yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:02:38.410	-1.75	-0.14	8.505	0.629032	0.398452	0.669536	-0.0555	-0.201	0.186	0	16	719	1
2026-02-12	15:02:38.430	-1.365	-0.42	8.715	0.63196	0.393328	0.688812	-0.0525	-0.1995	0.1845	0	16	719	1
2026-02-12	15:02:38.450	-2.205	-0.91	8.925	0.628056	0.380152	0.68808	-0.0555	-0.201	0.1875	0	16	719	1
2026-02-12	15:02:38.470	-3.43	-1.12	8.785	0.6283	0.382592	0.692228	-0.0585	-0.1965	0.189	0	16	719	1
2026-02-12	15:02:38.490	-3.535	-1.365	8.085	0.61976	0.387472	0.68198	-0.051	-0.1965	0.183	0	16	719	1
2026-02-12	15:02:38.510	-3.92	-2.1	7.035	0.631228	0.377468	0.693204	-0.057	-0.201	0.1815	0	16	719	1
2026-02-12	15:02:38.530	-5.005	-2.765	6.02	0.636108	0.37576	0.695888	-0.063	-0.1965	0.1845	0	16	719	1
2026-02-12	15:02:38.550	-5.635	-2.87	4.97	0.636108	0.37454	0.693448	-0.0645	-0.195	0.1815	0	16	719	1
2026-02-12	15:02:38.570	-5.88	-3.01	4.13	0.63074	0.371856	0.69296	-0.06	-0.1935	0.1845	0	16	719	1
2026-02-12	15:02:38.590	-5.74	-3.255	3.57	0.639768	0.367952	0.692472	-0.0555	-0.192	0.189	0	16	719	1
2026-02-12	15:02:38.610	-6.23	-3.255	3.535	0.641476	0.37332	0.700524	-0.0555	-0.192	0.1845	0	16	715	1
2026-02-12	15:02:38.630	-6.23	-2.73	3.745	0.641964	0.374296	0.692472	-0.0585	-0.192	0.1815	0	16	715	1
2026-02-12	15:02:38.650	-5.075	-2.065	4.095	0.643184	0.3782	0.688812	-0.0615	-0.195	0.1815	0	16	715	1
2026-02-12	15:02:38.670	-4.515	-1.68	4.445	0.646844	0.372344	0.683444	-0.06	-0.1965	0.1815	0	16	715	1
2026-02-12	15:02:38.690	-4.2	-1.4	4.865	0.650504	0.371368	0.684664	-0.0675	-0.189	0.189	0	16	715	1
2026-02-12	15:02:38.710	-3.85	-0.7	5.39	0.645868	0.369416	0.68564	-0.066	-0.198	0.1845	0	16	715	1
2026-02-12	15:02:38.730	-3.115	0.14	5.915	0.644892	0.367464	0.681736	-0.0675	-0.1875	0.1875	0	16	715	1
2026-02-12	15:02:38.750	-2.275	0.735	6.475	0.650504	0.366732	0.6832	-0.0645	-0.192	0.189	0	16	715	1
2026-02-12	15:02:38.770	-2.345	1.295	7.245	0.651968	0.36722	0.687836	-0.0675	-0.183	0.1875	0	16	715	1
2026-02-12	15:02:38.790	-2.415	1.925	7.84	0.654164	0.36722	0.68198	-0.072	-0.1845	0.1815	0	16	715	1
2026-02-12	15:02:38.810	-1.855	2.52	8.19	0.646844	0.37088	0.67832	-0.0735	-0.186	0.1785	0	17	711	1
2026-02-12	15:02:38.830	-1.365	2.835	8.33	0.650748	0.364536	0.679052	-0.063	-0.183	0.1875	0	17	711	1
2026-02-12	15:02:38.850	-1.155	3.08	8.435	0.652944	0.358924	0.678564	-0.066	-0.1785	0.1755	0	17	711	1
2026-02-12	15:02:38.870	-1.155	3.255	8.54	0.65148	0.357948	0.68076	-0.0735	-0.1815	0.177	0	17	711	1
2026-02-12	15:02:38.890	-1.12	3.325	8.61	0.65148	0.354776	0.678076	-0.0705	-0.177	0.1815	0	17	711	1
2026-02-12	15:02:38.910	-0.7	3.36	8.54	0.648308	0.355996	0.685396	-0.0705	-0.18	0.1815	0	17	711	1
2026-02-12	15:02:38.930	-0.63	3.675	8.365	0.648308	0.349408	0.685884	-0.0705	-0.1845	0.183	0	17	711	1
2026-02-12	15:02:38.950	0.035	3.955	8.155	0.650992	0.349896	0.688324	-0.0645	-0.1785	0.1875	0	17	711	1
2026-02-12	15:02:38.970	0.77	4.165	7.805	0.644404	0.34648	0.694668	-0.075	-0.1845	0.177	0	17	711	1
2026-02-12	15:02:38.990	0.21	4.06	7.63	0.650992	0.341844	0.693936	-0.0675	-0.1755	0.1845	0	17	711	1
2026-02-12	15:02:39.010	-0.175	3.955	7.63	0.653432	0.341112	0.690764	-0.069	-0.177	0.1785	0	18	708	1
