yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:32:30.010	1.26	-0.56	0.21	0.085888	-0.044408	1.006988	0.459	0.1575	0.249	0	2	1033	1
2026-02-12	14:32:30.030	1.26	-0.56	0.28	0.085888	-0.041724	1.00894	0.4605	0.1575	0.2475	0	2	1033	1
2026-02-12	14:32:30.050	1.26	-0.595	0.28	0.090036	-0.038796	1.01382	0.4575	0.1605	0.2445	0	2	1033	1
2026-02-12	14:32:30.070	1.295	-0.56	0.28	0.087108	-0.037576	1.008696	0.4545	0.1695	0.2475	0	2	1033	1
2026-02-12	14:32:30.090	1.26	-0.56	0.245	0.085156	-0.040016	1.012112	0.4635	0.165	0.2475	0	2	1033	1
2026-02-12	14:32:30.110	1.26	-0.56	0.245	0.0854	-0.040504	1.01016	0.462	0.156	0.249	0	2	1033	1
2026-02-12	14:32:30.130	1.26	-0.56	0.28	0.085156	-0.038796	1.008696	0.4605	0.1665	0.243	0	2	1033	1
2026-02-12	14:32:30.150	1.295	-0.56	0.245	0.085644	-0.036356	1.010404	0.4545	0.1665	0.255	0	2	1033	1
2026-02-12	14:32:30.170	1.295	-0.56	0.245	0.088572	-0.038552	1.009916	0.453	0.1605	0.2505	0	2	1033	1
2026-02-12	14:32:30.190	1.295	-0.595	0.245	0.08906	-0.036356	1.009672	0.453	0.1605	0.24	0	2	1033	1
2026-02-12	14:32:30.210	1.26	-0.56	0.245	0.086132	-0.03904	1.013088	0.459	0.159	0.255	0	2	1033	1
2026-02-12	14:32:30.230	1.295	-0.56	0.245	0.08662	-0.039528	1.010648	0.462	0.1605	0.2445	0	2	1033	1
2026-02-12	14:32:30.250	1.295	-0.56	0.245	0.084912	-0.037576	1.007964	0.4545	0.165	0.2415	0	2	1033	1
2026-02-12	14:32:30.270	1.26	-0.595	0.245	0.0854	-0.037332	1.010404	0.456	0.1725	0.2475	0	2	1033	1
2026-02-12	14:32:30.290	1.225	-0.56	0.21	0.085644	-0.037332	1.011868	0.456	0.1635	0.255	0	2	1033	1
2026-02-12	14:32:30.310	1.26	-0.525	0.28	0.087352	-0.039528	1.00894	0.453	0.1575	0.2505	0	2	1033	1
2026-02-12	14:32:30.330	1.26	-0.56	0.245	0.087108	-0.03904	1.010648	0.462	0.156	0.249	0	2	1033	1
2026-02-12	14:32:30.350	1.26	-0.56	0.245	0.087352	-0.038552	1.01138	0.459	0.1695	0.255	0	2	1033	1
2026-02-12	14:32:30.370	1.225	-0.56	0.245	0.086132	-0.039528	1.01016	0.4515	0.1545	0.255	0	2	1033	1
2026-02-12	14:32:30.390	1.225	-0.595	0.245	0.087108	-0.038064	1.01016	0.4545	0.1545	0.2505	0	2	1033	1
2026-02-12	14:32:30.410	1.225	-0.56	0.245	0.087108	-0.040016	1.011624	0.4575	0.1545	0.246	0	2	1033	1
2026-02-12	14:32:30.430	1.225	-0.56	0.245	0.087108	-0.038064	1.011624	0.4575	0.1545	0.246	0	2	1033	1
2026-02-12	14:32:30.450	1.295	-0.595	0.28	0.084912	-0.04148	1.009184	0.4575	0.1545	0.246	0	2	1033	1
2026-02-12	14:32:30.470	1.26	-0.56	0.21	0.087596	-0.039284	1.009672	0.4575	0.1545	0.246	0	2	1033	1
2026-02-12	14:32:30.490	1.26	-0.525	0.21	0.08906	-0.040016	1.009916	0.4575	0.159	0.249	0	2	1033	1
2026-02-12	14:32:30.510	1.295	-0.56	0.21	0.088816	-0.038308	1.011136	0.465	0.1605	0.243	0	2	1033	1
2026-02-12	14:32:30.530	1.26	-0.56	0.245	0.087108	-0.039284	1.010892	0.4575	0.171	0.243	0	2	1033	1
2026-02-12	14:32:30.550	1.295	-0.56	0.21	0.087108	-0.041724	1.008696	0.456	0.165	0.249	0	2	1033	1
2026-02-12	14:32:30.570	1.26	-0.595	0.28	0.0854	-0.038796	1.009916	0.456	0.1575	0.249	0	2	1033	1
2026-02-12	14:32:30.590	1.26	-0.595	0.245	0.086376	-0.038308	1.011136	0.462	0.165	0.246	0	2	1033	1
2026-02-12	14:32:50.610	1.26	-0.595	0.245	0.083692	-0.037088	1.01138	0.453	0.1665	0.246	0	49	98	2
2026-02-12	14:32:50.630	1.225	-0.56	0.245	0.08662	-0.039528	1.01016	0.4485	0.162	0.249	0	49	98	2
2026-02-12	14:32:50.650	1.295	-0.595	0.28	0.084668	-0.039284	1.008696	0.45	0.1575	0.2565	0	49	98	2
2026-02-12	14:32:50.670	3.43	5.88	-24.78	0.157868	-0.118096	0.883768	1.173	5.721	0.2775	0	49	98	2
2026-02-12	14:32:50.690	5.39	10.325	-30.1	0.184708	-0.13908	0.89182	1.8915	11.2875	0.3045	0	49	98	2
2026-02-12	14:32:50.710	6.51	13.09	-32.865	0.223016	-0.179096	0.938912	1.8915	11.2875	0.3045	0	49	98	2
2026-02-12	14:32:50.730	9.905	13.93	-33.88	0.235216	-0.196908	0.976244	1.8915	11.2875	0.3045	0	49	98	2
2026-02-12	14:32:50.750	8.085	15.575	-33.39	0.231556	-0.1891	0.9943	1.9005	11.2905	0.294	0	49	98	2
2026-02-12	14:32:50.770	2.205	15.715	-30.695	0.206912	-0.152744	0.982588	1.926	11.307	0.2925	0	49	98	2
2026-02-12	14:32:50.790	-5.18	13.58	-27.58	0.17812	-0.110532	0.988688	1.953	11.3295	0.309	0	49	98	2
2026-02-12	14:32:50.810	-9.45	10.29	-26.425	0.138104	-0.087352	0.964044	1.9755	11.352	0.3255	0	151	288	2
2026-02-12	14:32:50.830	-12.565	6.3	-26.6	0.11102	-0.066124	0.92354	1.9815	11.361	0.333	0	151	288	2
2026-02-12	14:32:50.850	-13.51	2.52	-27.055	0.096624	-0.06832	0.881328	1.9665	11.358	0.3285	0	151	288	2
2026-02-12	14:32:50.870	-11.935	-0.875	-27.195	0.093208	-0.066612	0.864736	1.9485	11.355	0.3255	0	151	288	2
2026-02-12	14:32:50.890	-8.785	-3.325	-26.915	0.100284	-0.061976	0.877424	1.9395	11.3475	0.3285	0	151	288	2
2026-02-12	14:32:50.910	-5.46	-4.55	-26.11	0.10736	-0.079544	0.9211	1.9425	11.352	0.3255	0	151	288	2
2026-02-12	14:32:50.930	-2.31	-4.06	-24.15	0.11346	-0.09272	0.959164	1.956	11.3565	0.3195	0	151	288	2
2026-02-12	14:32:50.950	-0.98	-2.31	-20.65	0.114192	-0.085156	0.975268	1.968	11.3565	0.3195	0	151	288	2
2026-02-12	14:32:50.970	-0.49	-0.49	-16.66	0.104676	-0.072224	0.98088	1.9665	11.361	0.321	0	151	288	2
2026-02-12	14:32:50.990	0.49	1.505	-13.615	0.088084	-0.055632	0.984052	1.965	11.367	0.3225	0	151	288	2
2026-02-12	14:32:51.010	3.185	3.605	-12.11	0.086376	-0.0427	0.988444	1.9635	11.379	0.324	0	247	464	1
2026-02-12	14:32:51.030	6.51	5.25	-11.235	0.077836	-0.041724	0.997472	1.9665	11.3775	0.324	0	247	464	1
2026-02-12	14:32:51.050	10.15	6.125	-10.36	0.081496	-0.05734	1.024068	1.974	11.3745	0.3315	0	247	464	1
2026-02-12	14:32:51.070	12.845	5.81	-8.61	0.087352	-0.0915	1.055788	1.9725	11.388	0.3555	0	247	464	1
2026-02-12	14:32:51.090	14.77	4.165	-6.44	0.088572	-0.127612	1.08458	1.9815	11.4045	0.363	0	247	464	1
2026-02-12	14:32:51.110	14.525	0.875	-4.34	0.07442	-0.12932	1.06872	2.013	11.4255	0.3705	0	247	464	1
2026-02-12	14:32:51.130	9.275	-4.655	-2.975	0.063928	-0.130052	1.074576	2.0565	11.451	0.402	0	247	464	1
2026-02-12	14:32:51.150	0	-11.48	-3.115	0.068808	-0.210328	1.135576	2.097	11.4855	0.432	0	247	464	1
2026-02-12	14:32:51.170	-5.32	-15.61	-4.83	0.078568	-0.276696	1.153144	2.1255	11.523	0.45	0	247	464	1
2026-02-12	14:32:51.190	-10.36	-16.135	-6.3	0.078812	-0.266448	1.070184	2.1255	11.5245	0.456	0	247	464	1
2026-02-12	14:32:51.210	-10.395	-14.805	-6.02	0.083692	-0.238388	0.95526	2.1015	11.5035	0.4635	0	315	606	1
2026-02-12	14:32:51.230	-6.755	-13.3	-4.13	0.09467199	-0.250344	0.91134	2.073	11.4765	0.4635	0	315	606	1
2026-02-12	14:32:51.250	-0.98	-9.625	-2.59	0.099796	-0.270352	0.925248	2.0535	11.451	0.456	0	315	606	1
2026-02-12	14:32:51.270	6.79	-5.46	0.07	0.101016	-0.2806	0.95526	2.0505	11.4405	0.447	0	315	606	1
2026-02-12	14:32:51.290	12.985	-1.505	3.535	0.093696	-0.261812	0.97112	2.052	11.4435	0.441	0	315	606	1
2026-02-12	14:32:51.310	14.245	-0.315	7.21	0.073688	-0.210572	0.968192	2.061	11.463	0.438	0	315	606	1
2026-02-12	14:32:51.330	11.55	-2.52	9.555	0.056608	-0.17812	0.976244	2.0895	11.487	0.45	0	315	606	1
2026-02-12	14:32:51.350	5.215	-7.245	10.465	0.040504	-0.16714	1.008696	2.1225	11.514	0.4725	0	315	606	1
2026-02-12	14:32:51.370	-2.205	-12.25	9.31	0.031964	-0.162748	1.048712	2.148	11.5335	0.4815	0	315	606	1
2026-02-12	14:32:51.390	-10.255	-14.91	5.39	0.03416	-0.162748	1.062132	2.1615	11.5395	0.483	0	315	606	1
2026-02-12	14:32:51.410	-16.135	-13.545	0.245	0.035136	-0.154696	1.022604	2.148	11.5245	0.48	0	353	719	1
2026-02-12	14:32:51.430	-14.77	-10.255	-3.71	0.0427	-0.143716	0.954284	2.1225	11.481	0.474	0	353	719	1
2026-02-12	14:32:51.450	-12.915	-6.335	-5.355	0.066124	-0.143472	0.922808	2.106	11.454	0.468	0	353	719	1
2026-02-12	14:32:51.470	-11.935	-1.54	-5.425	0.07686	-0.145912	0.932568	2.106	11.4585	0.4695	0	353	719	1
2026-02-12	14:32:51.490	-8.295	3.36	-3.71	0.070272	-0.134688	0.954284	2.1045	11.454	0.474	0	353	719	1
2026-02-12	14:32:51.510	-6.23	8.015	-1.82	0.050264	-0.123708	1.002352	2.1075	11.451	0.474	0	353	719	1
2026-02-12	14:32:51.530	-2.555	11.165	-1.085	0.036844	-0.1159	1.029192	2.1075	11.4585	0.4695	0	353	719	1
2026-02-12	14:32:51.550	-5.005	12.845	-1.12	0.012688	-0.10004	1.03822	2.112	11.478	0.4695	0	353	719	1
2026-02-12	14:32:51.570	-7.805	12.705	-2.135	0.004392	-0.095648	1.032364	2.1345	11.493	0.4725	0	353	719	1
2026-02-12	14:32:51.590	-10.85	11.655	-3.15	-0.004392	-0.09516	1.014796	2.1435	11.4915	0.4755	0	353	719	1
2026-02-12	14:32:51.610	-12.285	10.115	-3.045	-0.00366	-0.101016	0.996496	2.1345	11.4855	0.483	0	364	802	1
