yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:32:30.010	-56.035	-11.48	-15.295	0.894504	-0.022448	0.439932	0.1455	0.4485	-0.0675	0	171	276	3
2026-02-12	14:32:30.030	-46.935	-7.315	-12.285	0.901336	-0.017324	0.455304	0.153	0.4425	-0.072	0	171	276	3
2026-02-12	14:32:30.050	-42.14	-5.04	-10.465	0.898652	-0.00854	0.458232	0.153	0.4425	-0.072	0	171	276	3
2026-02-12	14:32:30.070	-34.37	-0.665	-5.915	0.896456	-0.010004	0.454084	0.1515	0.441	-0.0705	0	171	276	3
2026-02-12	14:32:30.090	-25.095	3.15	0.315	0.910852	-0.00732	0.460184	0.147	0.441	-0.0735	0	171	276	3
2026-02-12	14:32:30.110	-10.745	8.05	7.42	0.922076	0.028304	0.489952	0.147	0.444	-0.078	0	171	276	3
2026-02-12	14:32:30.130	-0.91	14.07	14.525	0.917196	0.061488	0.47824	0.15	0.45	-0.0765	0	171	276	3
2026-02-12	14:32:30.150	2.555	18.725	21.595	0.919392	0.070272	0.453596	0.1515	0.4515	-0.0795	0	171	276	3
2026-02-12	14:32:30.170	3.605	20.37	24.99	0.925004	0.065636	0.446276	0.1515	0.45	-0.081	0	171	276	3
2026-02-12	14:32:30.190	7.315	23.03	31.22	0.95526	0.050264	0.438224	0.1545	0.45	-0.081	0	171	276	3
2026-02-12	14:32:30.210	14.175	26.075	36.505	0.974292	0.05368	0.448228	0.156	0.4545	-0.087	0	167	298	3
2026-02-12	14:32:30.230	20.335	30.59	41.16	0.970632	0.057096	0.445544	0.15	0.459	-0.0885	0	167	298	3
2026-02-12	14:32:30.250	25.06	34.895	45.465	0.964288	0.055388	0.430416	0.1455	0.4605	-0.0885	0	167	298	3
2026-02-12	14:32:30.270	28.35	38.01	48.825	0.978196	0.04514	0.404064	0.1485	0.462	-0.0915	0	167	298	3
2026-02-12	14:32:30.290	29.54	39.13	50.12	0.996984	0.036356	0.391864	0.153	0.4635	-0.0945	0	167	298	3
2026-02-12	14:32:30.310	31.15	41.51	52.255	1.0187	0.027572	0.372832	0.1485	0.4695	-0.102	0	167	298	3
2026-02-12	14:32:30.330	32.97	44.03	54.425	1.014552	0.010736	0.347456	0.1575	0.4695	-0.0975	0	167	298	3
2026-02-12	14:32:30.350	33.915	45.605	57.225	1.017968	0.01586	0.336964	0.1485	0.4875	-0.1005	0	167	298	3
2026-02-12	14:32:30.370	31.71	47.985	59.955	1.020652	0.019032	0.33794	0.1455	0.4815	-0.1095	0	167	298	3
2026-02-12	14:32:30.390	27.44	50.995	61.81	1.009916	0.0305	0.325984	0.153	0.492	-0.1095	0	167	298	3
2026-02-12	14:32:30.410	24.255	52.255	62.545	1.00406	0.031476	0.313296	0.153	0.492	-0.1095	0	163	328	3
2026-02-12	14:32:30.430	15.47	53.445	63.84	0.99918	0.023424	0.281332	0.1485	0.492	-0.1125	0	163	328	3
2026-02-12	14:32:30.450	4.515	52.64	64.47	1.018944	0.011712	0.261568	0.1545	0.4995	-0.123	0	163	328	3
2026-02-12	14:32:30.470	-5.53	51.1	64.19	1.02602	-0.001952	0.255224	0.1485	0.5115	-0.1245	0	163	328	3
2026-02-12	14:32:30.490	-14	49.525	63.21	1.009672	-0.017568	0.245952	0.1455	0.5115	-0.1425	0	163	328	3
2026-02-12	14:32:30.510	-18.865	48.09	62.265	0.98454	-0.028548	0.246684	0.156	0.531	-0.138	0	163	328	3
