yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:32:30.010	34.23	4.655	3.92	0.948428	0.159332	0.161772	-0.168	-0.1065	0.4095	0	140	179	2
2026-02-12	14:32:30.030	22.855	1.12	5.985	0.948428	0.118828	0.172996	-0.1695	-0.1065	0.4065	0	140	179	2
2026-02-12	14:32:30.050	24.255	-1.68	8.575	0.965752	0.060512	0.185196	-0.168	-0.1035	0.4125	0	140	179	2
2026-02-12	14:32:30.070	45.36	-1.4	10.955	0.967216	0.050752	0.190076	-0.1665	-0.1005	0.4185	0	140	179	2
2026-02-12	14:32:30.090	69.685	-0.42	12.845	0.968436	0.065392	0.161528	-0.171	-0.1005	0.4185	0	140	179	2
2026-02-12	14:32:30.110	122.78	0.98	14.98	0.974292	0.02562	0.1403	-0.1755	-0.099	0.42	0	140	179	2
2026-02-12	14:32:30.130	182.42	3.955	15.33	1.010892	-0.03904	0.164456	-0.1755	-0.099	0.42	0	140	179	2
2026-02-12	14:32:30.150	262.22	14.21	13.3	1.072136	-0.054168	0.172264	-0.1725	-0.0885	0.447	0	140	179	2
2026-02-12	14:32:30.170	338.625	30.065	11.655	1.042124	-0.004392	0.110532	-0.171	-0.0735	0.465	0	140	179	2
2026-02-12	14:32:30.190	394.555	37.905	8.155	1.026996	0.26962	-0.019276	-0.1845	-0.0675	0.474	0	140	179	2
2026-02-12	14:32:30.210	403.235	41.02	-1.995	1.077504	0.399916	-0.084424	-0.1815	-0.048	0.4995	0	132	180	2
2026-02-12	14:32:30.230	415.135	42.21	-16.625	1.128012	0.254004	-0.11834	-0.183	-0.0225	0.516	0	132	180	2
2026-02-12	14:32:30.250	458.22	39.76	-29.365	1.078968	0.314516	-0.158844	-0.1785	-0.0045	0.528	0	132	180	2
2026-02-12	14:32:30.270	464.135	32.445	-38.815	0.975756	0.560468	-0.176656	-0.1785	0.018	0.5415	0	132	180	2
2026-02-12	14:32:30.290	426.58	21.525	-47.285	0.95892	0.586332	-0.1586	-0.189	0.048	0.555	0	132	180	2
2026-02-12	14:32:30.310	400.225	11.97	-47.915	0.960872	0.447252	-0.219844	-0.1815	0.066	0.555	0	132	180	2
2026-02-12	14:32:30.330	361.62	-2.905	-43.33	0.916464	0.626348	-0.2867	-0.1815	0.0795	0.561	0	132	180	2
2026-02-12	14:32:30.350	278.775	-19.775	-39.725	0.903532	0.645868	-0.250832	-0.1815	0.102	0.564	0	132	180	2
2026-02-12	14:32:30.370	170.24	-34.65	-38.115	0.953064	0.540704	-0.23058	-0.1815	0.102	0.564	0	132	180	2
2026-02-12	14:32:30.390	93.94	-46.235	-35.595	0.988688	0.399672	-0.236924	-0.1815	0.102	0.564	0	132	180	2
2026-02-12	14:32:30.410	61.32	-54.46	-30.38	0.959896	0.373808	-0.235948	-0.177	0.1185	0.5745	0	129	145	3
2026-02-12	14:32:30.430	27.825	-60.06	-26.25	0.949648	0.428952	-0.269864	-0.1665	0.129	0.5835	0	129	145	3
2026-02-12	14:32:30.450	-3.465	-63.14	-27.195	0.981856	0.290604	-0.32208	-0.1665	0.126	0.582	0	129	145	3
2026-02-12	14:32:30.470	6.825	-63.56	-27.895	0.962824	0.208864	-0.335744	-0.162	0.1275	0.5925	0	129	145	3
2026-02-12	14:32:30.490	27.405	-64.05	-26.46	0.915244	0.277672	-0.365024	-0.15	0.1095	0.603	0	129	145	3
2026-02-12	14:32:30.510	30.555	-65.205	-26.495	0.89792	0.331596	-0.457012	-0.1485	0.114	0.606	0	129	145	3
2026-02-12	14:32:30.530	26.74	-68.74	-28.14	0.882792	0.303536	-0.49776	-0.141	0.114	0.6135	0	129	145	3
2026-02-12	14:32:30.550	21.84	-73.99	-26.915	0.85644	0.312808	-0.49654	-0.132	0.1125	0.6285	0	129	145	3
2026-02-12	14:32:30.570	10.395	-76.405	-22.995	0.806908	0.29646	-0.49044	-0.1335	0.1095	0.636	0	129	145	3
2026-02-12	14:32:30.590	-0.98	-77.385	-17.22	0.78568	0.243268	-0.543388	-0.1275	0.114	0.6435	0	129	145	3
2026-02-12	14:32:30.610	9.835	-79.345	-12.67	0.782508	0.232044	-0.584624	-0.1185	0.117	0.651	0	136	59	3
2026-02-12	14:32:30.630	33.285	-81.83	-7.56	0.773724	0.268156	-0.551928	-0.114	0.1155	0.657	0	136	59	3
2026-02-12	14:32:30.650	47.985	-79.975	-2.87	0.7442	0.398452	-0.453352	-0.114	0.1155	0.657	0	136	59	3
2026-02-12	14:32:30.670	40.6	-73.815	-1.155	0.755424	0.346724	-0.506056	-0.096	0.1185	0.6705	0	136	59	3
2026-02-12	14:32:30.690	50.12	-69.23	-0.7	0.765184	0.33062	-0.479704	-0.0765	0.123	0.684	0	136	59	3
2026-02-12	14:32:30.710	61.04	-62.93	1.12	0.72712	0.352336	-0.397232	-0.0705	0.1305	0.6915	0	136	59	3
2026-02-12	14:32:30.730	62.72	-51.975	1.33	0.719068	0.324764	-0.382592	-0.0585	0.1395	0.6975	0	136	59	3
2026-02-12	14:32:30.750	66.675	-38.85	0.14	0.712236	0.240584	-0.43676	-0.0525	0.141	0.7035	0	136	59	3
2026-02-12	14:32:30.770	74.55	-27.44	-1.96	0.71004	0.303536	-0.480192	-0.0465	0.147	0.7065	0	136	59	3
2026-02-12	14:32:30.790	60.76	-19.39	-3.71	0.660752	0.30378	-0.481656	-0.0435	0.159	0.7065	0	136	59	3
2026-02-12	14:32:28.810	50.26	42.035	-45.92	0.9821	0.12932	0.189588	-0.1995	-0.0555	0.393	0	171	307	3
2026-02-12	14:32:28.830	52.85	43.155	-51.17	0.982588	0.13908	0.173972	-0.1995	-0.057	0.3885	0	171	307	3
2026-02-12	14:32:28.850	50.925	42.035	-56.14	0.984784	0.150548	0.16104	-0.192	-0.066	0.384	0	171	307	3
2026-02-12	14:32:28.870	45.01	39.515	-60.585	0.990396	0.159088	0.152744	-0.1875	-0.072	0.3795	0	171	307	3
2026-02-12	14:32:28.890	37.555	36.54	-64.05	0.998448	0.157624	0.137616	-0.1815	-0.078	0.3795	0	171	307	3
2026-02-12	14:32:28.910	31.78	33.46	-66.115	0.99796	0.148352	0.111752	-0.1755	-0.087	0.3765	0	171	307	3
2026-02-12	14:32:28.930	29.82	29.435	-66.29	0.998936	0.140056	0.094184	-0.177	-0.099	0.375	0	171	307	3
2026-02-12	14:32:28.950	31.955	24.71	-64.26	1.028704	0.1281	0.08662	-0.174	-0.1035	0.372	0	171	307	3
2026-02-12	14:32:28.970	45.15	23.205	-61.95	1.015528	0.120048	0.08295999	-0.1665	-0.1125	0.3735	0	171	307	3
2026-02-12	14:32:28.990	50.19	22.995	-57.715	1.016016	0.168116	0.066612	-0.162	-0.1245	0.372	0	171	307	3
