yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-23	16:53:40.210	1.4	-0.63	0.245	0.094428	0.080764	1.00162	-0.108	-0.177	0.0555	0	8	1032	1
2026-02-23	16:53:40.230	0.875	-0.525	0.245	0.095404	0.078568	1.012356	-0.117	-0.177	0.0585	0	8	1032	1
2026-02-23	16:53:40.250	1.155	-0.595	0.28	0.095404	0.079788	1.01138	-0.114	-0.174	0.057	0	8	1032	1
2026-02-23	16:53:40.270	1.4	-0.455	0.28	0.09394	0.082228	1.007476	-0.1095	-0.1725	0.054	0	8	1032	1
2026-02-23	16:53:40.290	1.19	-0.49	0.245	0.095892	0.083692	1.005524	-0.111	-0.1785	0.0585	0	8	1032	1
2026-02-23	16:53:40.310	1.155	-0.7	0.28	0.096624	0.079788	1.009428	-0.111	-0.1695	0.063	0	8	1032	1
2026-02-23	16:53:40.330	0.945	-0.42	0.28	0.096624	0.080276	1.0126	-0.1125	-0.165	0.0555	0	8	1032	1
2026-02-23	16:53:40.350	1.435	-0.595	0.245	0.097844	0.083204	1.005768	-0.1125	-0.177	0.0585	0	8	1032	1
2026-02-23	16:53:40.370	1.12	-0.42	0.245	0.09516	0.08052	1.008452	-0.1095	-0.1755	0.0525	0	8	1032	1
2026-02-23	16:53:40.390	1.225	-0.63	0.245	0.093696	0.081252	1.004304	-0.114	-0.1755	0.0555	0	8	1032	1
2026-02-23	16:53:40.410	0.875	-0.49	0.245	0.094428	0.08052	1.010892	-0.1155	-0.1725	0.0465	0	7	1032	1
2026-02-23	16:53:40.430	1.4	-0.63	0.28	0.097844	0.080764	1.007232	-0.114	-0.177	0.0585	0	7	1032	1
2026-02-23	16:53:40.450	1.12	-0.35	0.245	0.094916	0.08295999	1.009184	-0.1125	-0.1725	0.048	0	7	1032	1
2026-02-23	16:53:40.470	1.295	-0.7	0.21	0.097356	0.07905599	1.009184	-0.1155	-0.177	0.051	0	7	1032	1
2026-02-23	16:53:40.490	0.84	-0.315	0.21	0.094428	0.07905599	1.010648	-0.1155	-0.177	0.051	0	7	1032	1
2026-02-23	16:53:40.510	1.505	-0.7	0.245	0.094916	0.081252	1.00772	-0.1155	-0.1755	0.051	0	7	1032	1
