yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-23	16:53:40.210	-0.525	-1.435	-0.385	0.81008	-0.096136	0.567544	-0.5055	1.2645	-0.585	0	362	543	1
2026-02-23	16:53:40.230	-1.05	-1.54	-0.35	0.817644	-0.10126	0.579744	-0.5085	1.2645	-0.5835	0	362	543	1
2026-02-23	16:53:40.250	-1.365	-1.68	-0.63	0.818864	-0.130052	0.568764	-0.51	1.2585	-0.585	0	362	543	1
2026-02-23	16:53:40.270	-0.49	-2.24	-0.98	0.823012	-0.110288	0.564128	-0.51	1.26	-0.5865	0	362	543	1
2026-02-23	16:53:40.290	-0.84	-2.31	-0.63	0.81618	-0.09028	0.566324	-0.5055	1.2585	-0.5835	0	362	543	1
2026-02-23	16:53:40.310	-6.51	-0.77	0.07	0.813008	-0.118096	0.566568	-0.5025	1.2555	-0.585	0	362	543	1
2026-02-23	16:53:40.330	-5.25	-0.84	0.35	0.821792	-0.123952	0.561444	-0.516	1.2645	-0.582	0	362	543	1
2026-02-23	16:53:40.350	-0.7	-1.575	0.77	0.820328	-0.113704	0.563152	-0.5085	1.26	-0.576	0	362	543	1
2026-02-23	16:53:40.370	-1.19	-1.4	1.155	0.807152	-0.102724	0.560712	-0.5085	1.257	-0.582	0	362	543	1
2026-02-23	16:53:40.390	-3.745	-1.155	1.085	0.803004	-0.117608	0.561932	-0.5055	1.2525	-0.5835	0	362	543	1
2026-02-23	16:53:40.410	-1.68	-2.555	0.28	0.811056	-0.133956	0.567544	-0.5055	1.251	-0.588	0	310	553	1
2026-02-23	16:53:40.430	4.655	-3.955	-0.21	0.832528	-0.09272	0.563396	-0.5115	1.2615	-0.5835	0	310	553	1
2026-02-23	16:53:40.450	2.625	-2.345	0.77	0.831308	-0.110288	0.549244	-0.507	1.257	-0.5745	0	310	553	1
2026-02-23	16:53:40.470	-0.63	-0.63	2.17	0.81984	-0.098332	0.548024	-0.507	1.257	-0.5745	0	310	553	1
2026-02-23	16:53:40.490	-0.7	0.735	2.66	0.816668	-0.133712	0.559248	-0.507	1.257	-0.5745	0	310	553	1
2026-02-23	16:53:40.510	2.66	0.595	2.03	0.813984	-0.13054	0.54778	-0.51	1.2555	-0.579	0	310	553	1
2026-02-23	16:53:40.530	4.305	0.875	1.33	0.820084	-0.12078	0.566568	-0.507	1.26	-0.582	0	310	553	1
