yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-23	16:53:40.210	-1.47	0.035	3.64	0.140056	0.994788	-0.045872	-0.171	0.021	0.5775	0	312	95	2
2026-02-23	16:53:40.230	-0.735	0	3.325	0.133712	0.979904	-0.053192	-0.168	0.0225	0.579	0	312	95	2
2026-02-23	16:53:40.250	0.56	0.315	3.43	0.142008	0.985028	-0.059292	-0.1665	0.0195	0.5775	0	312	95	2
2026-02-23	16:53:40.270	-1.015	0.28	3.325	0.138836	0.9821	-0.060024	-0.1665	0.0195	0.576	0	312	95	2
2026-02-23	16:53:40.290	-0.175	0.21	2.765	0.128344	0.97722	-0.064904	-0.165	0.0165	0.5685	0	312	95	2
2026-02-23	16:53:40.310	0	0.245	2.17	0.139812	0.985272	-0.069296	-0.1635	0.009	0.5745	0	312	95	2
2026-02-23	16:53:40.330	0.455	0	1.225	0.14396	0.995764	-0.066856	-0.1695	0.0165	0.57	0	312	95	2
2026-02-23	16:53:40.350	0.42	-0.35	0.245	0.145424	0.985272	-0.065392	-0.1695	0.0165	0.5745	0	312	95	2
2026-02-23	16:53:40.370	0.98	-0.665	-0.245	0.138348	0.96746	-0.06954	-0.165	0.0135	0.576	0	312	95	2
2026-02-23	16:53:40.390	1.19	-0.315	-0.21	0.13908	0.982588	-0.066612	-0.1665	0.0165	0.5745	0	312	95	2
2026-02-23	16:53:40.410	-0.21	0.035	0	0.146644	1.001864	-0.059048	-0.1665	0.021	0.5715	0	267	86	2
2026-02-23	16:53:40.430	-0.105	0.35	-0.035	0.142984	1.003572	-0.058316	-0.1605	0.0225	0.5715	0	267	86	2
2026-02-23	16:53:40.450	0.91	0.455	0.07	0.144448	0.971364	-0.063684	-0.1635	0.0195	0.576	0	267	86	2
2026-02-23	16:53:40.470	0.56	0.875	0.7	0.149084	0.976244	-0.06588	-0.165	0.018	0.5775	0	267	86	2
2026-02-23	16:53:40.490	-0.42	0.945	1.225	0.149816	0.991616	-0.070272	-0.165	0.0195	0.576	0	267	86	2
2026-02-23	16:53:40.510	0.735	0.91	1.05	0.145912	0.996252	-0.062708	-0.1725	0.015	0.579	0	267	86	2
2026-02-23	16:53:40.530	0.56	0.735	0.84	0.147864	0.980392	-0.058804	-0.171	0.012	0.576	0	267	86	2
2026-02-23	16:53:40.550	-0.525	0.665	1.085	0.150304	0.981612	-0.05734	-0.1665	0.012	0.5745	0	267	86	2
2026-02-23	16:53:40.570	-1.33	0.56	1.26	0.150548	0.98698	-0.057828	-0.1755	0.015	0.576	0	267	86	2
2026-02-23	16:53:40.590	0.14	0.315	0.875	0.144936	0.981612	-0.068564	-0.171	0.0195	0.5685	0	267	86	2
2026-02-23	16:53:40.610	1.505	0.245	0.245	0.146888	0.981124	-0.06344	-0.1785	0.0135	0.582	0	226	80	2
2026-02-23	16:53:40.630	-0.245	0.035	-0.245	0.1464	0.984052	-0.057828	-0.177	0.015	0.5805	0	226	80	2
2026-02-23	16:53:40.650	-1.47	-0.245	-0.665	0.145424	0.990396	-0.061244	-0.1605	0.0165	0.579	0	226	80	2
2026-02-23	16:53:40.670	-1.155	-0.595	-1.085	0.140788	0.992348	-0.068076	-0.1725	0.0165	0.579	0	226	80	2
2026-02-23	16:53:40.690	0.84	-0.91	-1.47	0.139568	0.984296	-0.071004	-0.174	0.018	0.579	0	226	80	2
2026-02-23	16:53:40.710	1.225	-1.225	-1.54	0.145668	0.98698	-0.064416	-0.171	0.0195	0.5775	0	226	80	2
2026-02-23	16:53:40.730	-1.19	-1.715	-1.155	0.151036	0.98576	-0.058804	-0.1665	0.0165	0.576	0	226	80	2
2026-02-23	16:53:40.750	-2.485	-1.785	-0.875	0.149572	0.989664	-0.063196	-0.168	0.015	0.579	0	226	80	2
2026-02-23	16:53:40.770	-1.015	-1.505	-0.63	0.144448	0.988688	-0.069784	-0.171	0.0195	0.5805	0	226	80	2
2026-02-23	16:53:40.790	0.735	-1.26	-0.49	0.133712	0.987224	-0.070028	-0.171	0.021	0.579	0	226	80	2
2026-02-23	16:53:40.810	0.21	-1.155	-0.385	0.140788	0.987468	-0.062464	-0.1725	0.0195	0.5775	0	192	76	2
2026-02-23	16:53:40.830	-1.54	-0.84	0	0.149816	0.991616	-0.061	-0.174	0.0165	0.576	0	192	76	2
2026-02-23	16:53:40.850	-1.33	-0.805	0	0.148596	0.993324	-0.06344	-0.168	0.0135	0.576	0	192	76	2
2026-02-23	16:53:40.870	-1.995	-1.155	0.245	0.14762	0.988444	-0.061976	-0.162	0.018	0.5865	0	192	76	2
2026-02-23	16:53:40.890	-3.85	-1.225	0.665	0.143472	0.978928	-0.06466	-0.1635	0.018	0.5775	0	192	76	2
2026-02-23	16:53:40.910	-2.94	-0.91	1.015	0.138592	0.99308	-0.06734399	-0.1695	0.018	0.579	0	192	76	2
2026-02-23	16:53:40.930	-1.33	-0.455	0.77	0.142008	0.996984	-0.064904	-0.165	0.0225	0.576	0	192	76	2
2026-02-23	16:53:40.950	-0.42	-0.385	0.56	0.142008	0.985516	-0.062952	-0.1665	0.024	0.5745	0	192	76	2
2026-02-23	16:53:40.970	-1.61	-0.42	0.735	0.141032	0.984784	-0.054168	-0.1695	0.015	0.579	0	192	76	2
2026-02-23	16:53:40.990	-2.345	-0.21	0.84	0.142984	0.99186	-0.060756	-0.1695	0.015	0.5745	0	192	76	2
