yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:52:28.610	1.295	-0.595	0.28	-0.020984	-0.051728	1.010404	-4.1325	-8.6775	0.1605	0	14	1033	1
2026-02-12	16:52:28.630	1.295	-0.595	0.245	-0.023424	-0.048068	1.010404	-4.14	-8.6895	0.1635	0	14	1033	1
2026-02-12	16:52:28.650	1.33	-0.595	0.245	-0.020496	-0.04636	1.010892	-4.1415	-8.6925	0.1605	0	14	1033	1
2026-02-12	16:52:28.670	1.295	-0.595	0.28	-0.021472	-0.046116	1.009916	-4.1415	-8.685	0.1635	0	14	1033	1
2026-02-12	16:52:28.690	1.26	-0.595	0.28	-0.02318	-0.0488	1.010892	-4.1685	-8.694	0.1755	0	14	1033	1
2026-02-12	16:52:28.710	1.33	-0.595	0.245	-0.022204	-0.045628	1.009428	-4.1055	-8.6565	0.159	0	14	1033	1
2026-02-12	16:52:28.730	1.295	-0.56	0.245	-0.018544	-0.04758	1.010892	-4.1055	-8.6565	0.159	0	14	1033	1
2026-02-12	16:52:28.750	1.33	-0.595	0.245	-0.020496	-0.045384	1.009428	-4.1055	-8.6565	0.159	0	14	1033	1
2026-02-12	16:52:28.770	1.295	-0.63	0.245	-0.021472	-0.047336	1.013088	-4.143	-8.679	0.165	0	14	1033	1
2026-02-12	16:52:28.790	1.26	-0.595	0.28	-0.024156	-0.049044	1.010404	-4.167	-8.6985	0.171	0	14	1033	1
2026-02-12	16:52:28.810	1.295	-0.595	0.245	-0.02196	-0.046116	1.013088	-4.1505	-8.6925	0.1665	0	13	1033	1
2026-02-12	16:52:28.830	1.33	-0.63	0.28	-0.020252	-0.046848	1.010892	-4.1475	-8.691	0.168	0	13	1033	1
2026-02-12	16:52:28.850	1.33	-0.595	0.245	-0.019276	-0.047336	1.008452	-4.1625	-8.6985	0.1725	0	13	1033	1
2026-02-12	16:52:28.870	1.33	-0.595	0.245	-0.021716	-0.046848	1.011136	-4.167	-8.697001	0.1665	0	13	1033	1
2026-02-12	16:52:28.890	1.295	-0.595	0.245	-0.02074	-0.04758	1.006256	-4.1385	-8.685	0.153	0	13	1033	1
2026-02-12	16:52:28.910	1.295	-0.595	0.245	-0.022448	-0.046604	1.009672	-4.1235	-8.685	0.1515	0	13	1033	1
2026-02-12	16:52:28.930	1.295	-0.595	0.245	-0.02318	-0.045872	1.01138	-4.1325	-8.686501	0.1635	0	13	1033	1
2026-02-12	16:52:28.950	1.295	-0.63	0.245	-0.02318	-0.047824	1.009428	-4.1505	-8.6955	0.171	0	13	1033	1
2026-02-12	16:52:28.970	1.33	-0.595	0.28	-0.020496	-0.049044	1.011136	-4.155	-8.703	0.1605	0	13	1033	1
2026-02-12	16:52:28.990	1.33	-0.595	0.245	-0.022448	-0.04758	1.009672	-4.1445	-8.691	0.1545	0	13	1033	1
2026-02-12	16:52:29.010	1.295	-0.595	0.245	-0.023424	-0.047824	1.010648	-4.14	-8.682	0.159	0	11	1033	1
2026-02-12	16:52:29.030	1.295	-0.595	0.28	-0.01952	-0.044164	1.008696	-4.1625	-8.7015	0.1635	0	11	1033	1
2026-02-12	16:52:29.050	1.33	-0.63	0.245	-0.02196	-0.046116	1.010648	-4.1655	-8.7075	0.1665	0	11	1033	1
2026-02-12	16:52:29.070	1.295	-0.595	0.28	-0.022936	-0.047824	1.011136	-4.152	-8.6985	0.165	0	11	1033	1
2026-02-12	16:52:29.090	1.295	-0.56	0.245	-0.021716	-0.044652	1.009916	-4.1535	-8.6955	0.159	0	11	1033	1
2026-02-12	16:52:29.110	1.33	-0.63	0.245	-0.022448	-0.045384	1.012844	-4.1385	-8.6775	0.153	0	11	1033	1
2026-02-12	16:52:29.130	1.33	-0.63	0.28	-0.023424	-0.047824	1.006256	-4.1265	-8.67	0.162	0	11	1033	1
2026-02-12	16:52:29.150	1.33	-0.595	0.28	-0.018056	-0.046848	1.009672	-4.143	-8.679	0.1665	0	11	1033	1
2026-02-12	16:52:29.170	1.33	-0.56	0.245	-0.022936	-0.051484	1.017236	-4.1565	-8.688	0.1635	0	11	1033	1
2026-02-12	16:52:29.190	1.295	-0.595	0.28	-0.019764	-0.045628	1.01138	-4.128	-8.676	0.1605	0	11	1033	1
2026-02-12	16:52:29.210	1.26	-0.245	0.14	-0.013908	-0.030256	1.303448	-4.113	-8.664001	0.1575	0	10	1034	1
2026-02-12	16:52:29.230	1.225	-0.7	0.315	-0.006588	-0.055632	1.189256	-4.128	-8.6745	0.1605	0	10	1034	1
2026-02-12	16:52:29.250	1.365	-0.7	0.28	-0.017568	-0.043188	1.01504	-4.143	-8.6805	0.1665	0	10	1034	1
2026-02-12	16:52:29.270	1.33	-0.7	0.245	-0.01952	-0.051484	1.036268	-4.158	-8.7015	0.1665	0	10	1034	1
2026-02-12	16:52:29.290	1.33	-0.56	0.245	-0.020008	-0.048068	1.008208	-4.158	-8.7045	0.1665	0	10	1034	1
2026-02-12	16:52:29.310	1.33	-0.63	0.245	-0.024888	-0.045628	1.008696	-4.1415	-8.6805	0.1665	0	10	1034	1
2026-02-12	16:52:29.330	1.33	-0.595	0.28	-0.020984	-0.04636	1.006744	-4.1385	-8.682	0.168	0	10	1034	1
2026-02-12	16:52:29.350	1.365	-0.63	0.28	-0.022936	-0.045628	1.006256	-4.146	-8.6895	0.168	0	10	1034	1
2026-02-12	16:52:29.370	1.295	-0.595	0.245	-0.02074	-0.044408	1.012356	-4.1415	-8.688	0.165	0	10	1034	1
2026-02-12	16:52:29.390	1.33	-0.595	0.245	-0.023912	-0.048068	1.01138	-4.137	-8.691	0.1635	0	10	1034	1
2026-02-12	16:52:29.410	1.295	-0.595	0.245	-0.022204	-0.049044	1.010404	-4.137	-8.691	0.1635	0	10	1039	1
2026-02-12	16:52:29.430	1.33	-0.595	0.245	-0.021716	-0.048312	1.012112	-4.137	-8.6535	0.156	0	10	1039	1
2026-02-12	16:52:29.450	1.33	-0.595	0.245	-0.019276	-0.050264	1.014064	-4.137	-8.6535	0.156	0	10	1039	1
2026-02-12	16:52:29.470	1.295	-0.595	0.245	-0.022204	-0.048556	1.010648	-4.1805	-8.703	0.162	0	10	1039	1
2026-02-12	16:52:29.490	1.33	-0.595	0.245	-0.0244	-0.050996	1.009672	-4.1445	-8.682	0.1725	0	10	1039	1
2026-02-12	16:52:29.510	1.295	-0.595	0.245	-0.024156	-0.051972	1.007232	-4.155	-8.7015	0.177	0	10	1039	1
2026-02-12	16:52:29.530	1.295	-0.63	0.245	-0.024156	-0.049044	1.009672	-4.1445	-8.6835	0.1665	0	10	1039	1
2026-02-12	16:52:29.550	1.295	-0.595	0.28	-0.023668	-0.04636	1.013576	-4.161	-8.6925	0.165	0	10	1039	1
2026-02-12	16:52:29.570	1.295	-0.63	0.245	-0.022692	-0.051728	1.00772	-4.1595	-8.703	0.1635	0	10	1039	1
2026-02-12	16:52:29.590	1.33	-0.63	0.245	-0.021472	-0.048556	1.009184	-4.176	-8.718	0.1875	0	10	1039	1
2026-02-12	16:52:27.610	1.26	-0.595	0.28	-0.018788	-0.04758	1.01138	-4.125	-8.676	0.156	0	29	1033	1
2026-02-12	16:52:27.630	1.295	-0.595	0.245	-0.02318	-0.046604	1.010892	-4.1385	-8.6805	0.1665	0	29	1033	1
2026-02-12	16:52:27.650	1.26	-0.595	0.28	-0.022936	-0.0488	1.012844	-4.1355	-8.6895	0.171	0	29	1033	1
2026-02-12	16:52:27.670	1.295	-0.56	0.245	-0.022204	-0.05002	1.009184	-4.1295	-8.688	0.1725	0	29	1033	1
2026-02-12	16:52:27.690	1.33	-0.595	0.245	-0.024888	-0.049776	1.01016	-4.134	-8.6835	0.162	0	29	1033	1
2026-02-12	16:52:27.710	1.295	-0.56	0.28	-0.02318	-0.047336	1.00772	-4.146	-8.688	0.1605	0	29	1033	1
2026-02-12	16:52:27.730	1.33	-0.595	0.245	-0.022936	-0.048312	1.008452	-4.1535	-8.694	0.1695	0	29	1033	1
2026-02-12	16:52:27.750	1.295	-0.63	0.28	-0.021228	-0.045872	1.010892	-4.155	-8.7015	0.165	0	29	1033	1
2026-02-12	16:52:27.770	1.33	-0.63	0.28	-0.018544	-0.047092	1.009428	-4.158	-8.691	0.1665	0	29	1033	1
2026-02-12	16:52:27.790	1.295	-0.595	0.245	-0.023424	-0.049288	1.013332	-4.1595	-8.6805	0.165	0	29	1033	1
2026-02-12	16:52:27.810	1.295	-0.595	0.245	-0.01952	-0.044652	1.009916	-4.131	-8.67	0.159	0	25	1033	1
2026-02-12	16:52:27.830	1.295	-0.595	0.28	-0.022448	-0.045872	1.009428	-4.1175	-8.6745	0.1665	0	25	1033	1
2026-02-12	16:52:27.850	1.33	-0.595	0.245	-0.022204	-0.047824	1.0126	-4.137	-8.6925	0.1725	0	25	1033	1
2026-02-12	16:52:27.870	1.295	-0.595	0.245	-0.020984	-0.047336	1.01016	-4.1565	-8.6985	0.1755	0	25	1033	1
2026-02-12	16:52:27.890	1.295	-0.595	0.245	-0.025864	-0.046116	1.010648	-4.1655	-8.703	0.1785	0	25	1033	1
2026-02-12	16:52:27.910	1.33	-0.595	0.245	-0.01952	-0.05002	1.012356	-4.1655	-8.7015	0.174	0	25	1033	1
2026-02-12	16:52:27.930	1.295	-0.595	0.28	-0.021716	-0.043676	1.00894	-4.161	-8.697001	0.1695	0	25	1033	1
2026-02-12	16:52:27.950	1.295	-0.595	0.245	-0.022692	-0.044896	1.011624	-4.1835	-8.7135	0.18	0	25	1033	1
2026-02-12	16:52:27.970	1.365	-0.595	0.245	-0.023912	-0.0488	1.00894	-4.2045	-8.727	0.1935	0	25	1033	1
2026-02-12	16:52:27.990	1.33	-0.56	0.28	-0.022936	-0.048556	1.010648	-4.1985	-8.7255	0.1875	0	25	1033	1
2026-02-12	16:52:28.010	1.33	-0.595	0.21	-0.024156	-0.047824	1.010404	-4.188	-8.7225	0.183	0	22	1033	1
2026-02-12	16:52:28.030	1.295	-0.595	0.245	-0.023912	-0.047092	1.00894	-4.1955	-8.721	0.189	0	22	1033	1
2026-02-12	16:52:28.050	1.295	-0.56	0.245	-0.024888	-0.044896	1.01382	-4.26	-8.7645	0.2145	0	22	1033	1
2026-02-12	16:52:28.070	1.33	-0.63	0.28	-0.021472	-0.044408	1.009672	-4.2555	-8.766	0.2205	0	22	1033	1
2026-02-12	16:52:28.090	1.33	-0.595	0.245	-0.023424	-0.045628	1.010648	-4.1835	-8.7045	0.1875	0	22	1033	1
2026-02-12	16:52:28.110	1.33	-0.56	0.245	-0.023912	-0.049776	1.01382	-4.179	-8.7045	0.1755	0	22	1033	1
2026-02-12	16:52:28.130	1.33	-0.56	0.245	-0.02074	-0.049776	1.01016	-4.221	-8.745	0.183	0	22	1033	1
2026-02-12	16:52:28.150	1.295	-0.595	0.21	-0.023424	-0.047824	1.009916	-4.1925	-8.7255	0.177	0	22	1033	1
2026-02-12	16:52:28.170	1.295	-0.595	0.28	-0.02074	-0.049288	1.009428	-4.1475	-8.685	0.168	0	22	1033	1
2026-02-12	16:52:28.190	1.295	-0.595	0.28	-0.021716	-0.047336	1.008452	-4.1535	-8.688	0.1635	0	22	1033	1
2026-02-12	16:52:38.210	1.295	-0.56	0.245	-0.020252	-0.051972	1.008696	-4.152	-8.697001	0.1665	0	53	108	2
2026-02-12	16:52:38.230	1.33	-0.595	0.245	-0.021716	-0.048312	1.012112	-4.137	-8.6535	0.156	0	53	108	2
2026-02-12	16:52:38.250	1.33	-0.595	0.245	-0.019276	-0.050264	1.014064	-4.137	-8.6535	0.156	0	53	108	2
2026-02-12	16:52:38.270	-6.125	1.015	5.845	0.020984	0.028304	1.022848	-4.173	-8.703	0.1665	0	53	108	2
2026-02-12	16:52:38.290	-37.415	19.11	3.99	0.097112	0.022448	1.094096	-4.464	-14.8125	1.752	0	53	108	2
2026-02-12	16:52:38.310	-28.84	26.04	4.585	0.057584	0.006588	0.93452	-4.6125	-15.1005	1.7925	0	53	108	2
2026-02-12	16:52:38.330	-23.625	23.765	6.23	0.060024	-0.013908	1.02724	-4.695	-15.207	1.8315	0	53	108	2
2026-02-12	16:52:38.350	-15.155	21.21	5.53	0.04636	-0.00122	1.099464	-4.8135	-15.42	1.908	0	53	108	2
2026-02-12	16:52:38.370	-7.945	19.285	3.01	0.026596	0.03294	1.069452	-4.869	-15.5295	1.929	0	53	108	2
2026-02-12	16:52:38.390	-3.71	17.115	0.07	0.005856	0.056852	1.006988	-4.8465	-15.4845	1.926	0	53	108	2
2026-02-12	16:52:38.410	-3.5	10.815	-1.365	0.01464	0.039772	0.938912	-4.815	-15.465	1.9335	0	167	323	3
2026-02-12	16:52:38.430	1.26	6.265	-0.875	0.027328	0.066368	0.8479	-4.662	-15.2025	1.8885	0	167	323	3
