yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:52:28.610	78.96	-2.45	112.735	1.197064	-0.479948	0.277428	0.147	0.399	-0.2115	0	980	157	5
2026-02-12	16:52:28.630	83.23	3.535	132.09	1.42984	-0.440176	0.278648	0.1425	0.402	-0.204	0	980	157	5
2026-02-12	16:52:28.650	77.77	13.405	160.37	1.500844	-0.368684	0.27938	0.138	0.4005	-0.201	0	980	157	5
2026-02-12	16:52:28.670	68.425	20.51	187.81	1.454972	-0.330132	0.291824	0.138	0.4005	-0.201	0	980	157	5
2026-02-12	16:52:28.690	61.67	23.38	207.69	1.472296	-0.327936	0.301096	0.108	0.444	-0.1905	0	980	157	5
2026-02-12	16:52:28.710	57.995	24.045	227.5	1.552572	-0.30134	0.285724	0.1005	0.4635	-0.195	0	980	157	5
2026-02-12	16:52:28.730	57.435	25.48	247.415	1.556964	-0.29646	0.187636	0.0915	0.4785	-0.1875	0	980	157	5
2026-02-12	16:52:28.750	63.805	23.8	261.625	1.586732	-0.289384	0.151768	0.093	0.501	-0.183	0	980	157	5
2026-02-12	16:52:28.770	70.35	26.46	266.21	1.64822	-0.271084	0.163724	0.0945	0.534	-0.195	0	980	157	5
2026-02-12	16:52:28.790	68.985	32.62	268.52	1.682624	-0.223992	0.136884	0.0885	0.5655	-0.1965	0	980	157	5
2026-02-12	16:52:28.810	59.92	42.105	269.675	1.522804	-0.286944	0.080764	0.0855	0.5745	-0.1995	0	955	179	5
2026-02-12	16:52:28.830	47.495	40.705	264.11	1.425692	-0.233264	-0.02806	0.096	0.6015	-0.2085	0	955	179	5
2026-02-12	16:52:28.850	29.05	40.04	251.125	1.351272	-0.271572	-0.050996	0.1155	0.636	-0.216	0	955	179	5
2026-02-12	16:52:28.870	18.095	31.115	227.5	1.247328	-0.323788	-0.086132	0.1245	0.654	-0.219	0	955	179	5
