yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:52:28.610	35.875	-9.94	-87.92	1.15168	0.231312	-0.05856	-0.1995	0.2205	0.4335	0	1101	111	5
2026-02-12	16:52:28.630	33.6	-21.21	-103.355	1.30418	0.245952	-0.04514	-0.1965	0.21	0.4305	0	1101	111	5
2026-02-12	16:52:28.650	33.81	-31.01	-118.58	1.390068	0.228628	-0.061488	-0.204	0.192	0.4275	0	1101	111	5
2026-02-12	16:52:28.670	35.735	-39.83	-134.645	1.377624	0.217404	-0.09467199	-0.207	0.1755	0.4275	0	1101	111	5
2026-02-12	16:52:28.690	36.12	-53.375	-158.06	1.396656	0.151524	-0.099796	-0.2175	0.1605	0.441	0	1101	111	5
2026-02-12	16:52:28.710	35.875	-67.095	-185.185	1.407392	0.091744	-0.091012	-0.2175	0.1605	0.441	0	1101	111	5
2026-02-12	16:52:28.730	31.64	-79.625	-204.89	1.480836	0.091988	-0.024888	-0.219	0.129	0.4515	0	1101	111	5
2026-02-12	16:52:28.750	21.875	-89.215	-222.6	1.549888	0.11956	0.054656	-0.222	0.087	0.462	0	1101	111	5
2026-02-12	16:52:28.770	9.765	-94.36	-236.005	1.592344	0.200812	0.128588	-0.222	0.051	0.465	0	1101	111	5
2026-02-12	16:52:28.790	-8.645	-96.95	-244.895	1.595028	0.259616	0.177144	-0.2175	0.0135	0.4815	0	1101	111	5
2026-02-12	16:52:28.810	-34.79	-98.525	-252.035	1.58234	0.306464	0.21594	-0.21	-0.018	0.4935	0	1051	91	5
2026-02-12	16:52:28.830	-66.885	-98.77	-257.74	1.5982	0.3416	0.273036	-0.1935	-0.0495	0.501	0	1051	91	5
2026-02-12	16:52:28.850	-104.51	-95.55	-264.005	1.663348	0.3111	0.35624	-0.1755	-0.084	0.504	0	1051	91	5
2026-02-12	16:52:28.870	-147.49	-85.68	-266.98	1.685308	0.31232	0.459696	-0.159	-0.126	0.507	0	1051	91	5
2026-02-12	16:52:28.890	-193.515	-64.96	-263.48	1.661884	0.142984	0.543632	-0.1395	-0.1635	0.5085	0	1051	91	5
2026-02-12	16:52:28.910	-224.315	-41.475	-261.415	1.762412	0.200568	0.761524	-0.117	-0.195	0.495	0	1051	91	5
2026-02-12	16:52:28.930	-260.19	-1.785	-258.79	1.830976	0.040504	0.980636	-0.09	-0.219	0.4755	0	1051	91	5
2026-02-12	16:52:28.950	-240.66	53.69	-240.695	1.653588	-0.304756	1.018944	-0.06	-0.2475	0.447	0	1051	91	5
2026-02-12	16:52:28.970	-67.76	109.165	-185.15	1.271728	-0.782264	0.874252	-0.045	-0.2655	0.429	0	1051	91	5
2026-02-12	16:52:28.990	39.585	138.565	-132.44	1.059204	-0.613416	0.779092	-0.0135	-0.2805	0.4065	0	1051	91	5
2026-02-12	16:52:29.010	100.695	161.035	-87.08	0.856928	-0.467016	0.68564	0.021	-0.3	0.3795	0	992	117	5
2026-02-12	16:52:29.030	140.84	175.56	-44.17	0.756888	-0.11468	0.569252	0.0255	-0.306	0.3825	0	992	117	5
