yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:44:11.010	1.68	-0.035	0.315	0.040016	0.043432	0.965264	-0.4125	-0.486	0.345	0	4	1032	1
2026-02-12	15:44:11.030	1.68	-0.07	0.315	0.040748	0.085156	1.01626	-0.411	-0.489	0.3465	0	4	1032	1
2026-02-12	15:44:11.050	1.26	-1.085	0.21	0.049044	0.07564	0.997472	-0.4095	-0.489	0.3495	0	4	1032	1
2026-02-12	15:44:11.070	1.085	-0.91	0.21	0.04392	0.093452	1.029924	-0.4095	-0.48	0.339	0	4	1032	1
2026-02-12	15:44:11.090	1.54	-0.28	0.245	0.040992	0.09272	1.010404	-0.414	-0.492	0.3405	0	4	1032	1
2026-02-12	15:44:11.110	1.435	-0.525	0.245	0.042456	0.08662	0.999668	-0.417	-0.4755	0.3495	0	4	1032	1
2026-02-12	15:44:11.130	1.155	-0.875	0.245	0.04514	0.0854	1.022604	-0.4095	-0.483	0.3375	0	4	1032	1
2026-02-12	15:44:11.150	1.33	-0.455	0.245	0.0427	0.08295999	1.013088	-0.4155	-0.4965	0.3405	0	4	1032	1
2026-02-12	15:44:11.170	1.365	-0.49	0.245	0.048068	0.085888	1.004548	-0.4095	-0.4875	0.3345	0	4	1032	1
2026-02-12	15:44:11.190	1.295	-0.735	0.245	0.045628	0.08686399	1.0126	-0.4125	-0.489	0.3435	0	4	1032	1
2026-02-12	15:44:11.210	1.295	-0.595	0.245	0.044408	0.086376	1.011624	-0.4125	-0.48	0.3465	0	4	1031	1
2026-02-12	15:44:11.230	1.295	-0.56	0.28	0.042456	0.0854	1.010404	-0.408	-0.4875	0.336	0	4	1031	1
2026-02-12	15:44:11.250	1.295	-0.56	0.245	0.043188	0.085156	1.008208	-0.42	-0.4875	0.3465	0	4	1031	1
