yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:44:11.010	-39.515	41.475	54.705	0.918172	-0.147132	0.360388	0.033	0.6225	-0.0105	0	155	163	3
2026-02-12	15:44:11.030	-37.31	43.155	50.12	0.892308	-0.142252	0.365268	0.0375	0.636	-0.009	0	155	163	3
2026-02-12	15:44:11.050	-37.38	41.58	43.855	0.874984	-0.122	0.337208	0.0375	0.6525	-0.012	0	155	163	3
2026-02-12	15:44:11.070	-39.725	37.52	35.385	0.871812	-0.138836	0.328668	0.042	0.657	-0.021	0	155	163	3
2026-02-12	15:44:11.090	-37.275	32.97	25.34	0.864004	-0.169092	0.347456	0.0465	0.6675	-0.0285	0	155	163	3
2026-02-12	15:44:11.110	-27.335	28.805	14.42	0.864248	-0.181292	0.384056	0.0465	0.666	-0.0345	0	155	163	3
2026-02-12	15:44:11.130	-16.135	24.885	3.465	0.850584	-0.170556	0.397964	0.048	0.6675	-0.027	0	155	163	3
2026-02-12	15:44:11.150	-8.47	19.81	-7.63	0.836676	-0.153232	0.389912	0.048	0.669	-0.0285	0	155	163	3
2026-02-12	15:44:11.170	-3.85	14.07	-19.32	0.8235	-0.149328	0.3904	0.0465	0.669	-0.027	0	155	163	3
2026-02-12	15:44:11.190	0.77	8.435	-31.08	0.813008	-0.1525	0.403088	0.045	0.6705	-0.0315	0	155	163	3
2026-02-12	15:44:11.210	6.755	2.275	-44.52	0.787144	-0.139812	0.410652	0.0465	0.666	-0.0375	0	151	202	3
2026-02-12	15:44:11.230	9.38	-3.885	-57.54	0.774944	-0.12932	0.407236	0.051	0.66	-0.039	0	151	202	3
2026-02-12	15:44:11.250	8.96	-8.365	-67.865	0.762012	-0.1342	0.401868	0.0405	0.6435	-0.0405	0	151	202	3
2026-02-12	15:44:11.270	7.98	-12.915	-77.7	0.76616	-0.139324	0.383812	0.039	0.6375	-0.036	0	151	202	3
2026-02-12	15:44:11.290	6.125	-18.34	-86.835	0.778116	-0.157624	0.360388	0.033	0.627	-0.0405	0	151	202	3
2026-02-12	15:44:11.310	5.915	-24.325	-94.675	0.793488	-0.168604	0.332572	0.039	0.612	-0.036	0	151	202	3
2026-02-12	15:44:11.330	7.14	-33.705	-103.81	0.924028	-0.17934	0.338184	0.0375	0.5925	-0.03	0	151	202	3
2026-02-12	15:44:11.350	13.16	-39.375	-115.5	1.030412	-0.247904	0.42212	0.039	0.588	-0.033	0	151	202	3
2026-02-12	15:44:11.370	23.695	-39.935	-120.085	1.047492	-0.285968	0.463844	0.03	0.57	-0.015	0	151	202	3
2026-02-12	15:44:11.390	35.49	-38.675	-120.33	1.04798	-0.273524	0.463356	0.0345	0.558	-0.015	0	151	202	3
2026-02-12	15:44:11.410	41.37	-33.915	-116.515	1.014308	-0.263032	0.442372	0.0345	0.5355	-0.0105	0	149	247	3
2026-02-12	15:44:11.430	39.305	-25.41	-103.74	0.94306	-0.248636	0.376492	0.03	0.525	-0.006	0	149	247	3
2026-02-12	15:44:11.450	30.975	-22.575	-91.805	0.915244	-0.230092	0.337696	0.03	0.525	-0.006	0	149	247	3
2026-02-12	15:44:11.470	23.94	-21.35	-77.91	0.901092	-0.22082	0.320372	0.03	0.48	0.006	0	149	247	3
2026-02-12	15:44:11.490	21.42	-22.155	-64.47	0.921832	-0.21228	0.326228	0.0375	0.4725	0.0015	0	149	247	3
2026-02-12	15:44:11.510	20.3	-23.17	-51.695	0.964776	-0.194468	0.351116	0.036	0.4695	0.0105	0	149	247	3
2026-02-12	15:44:11.530	13.44	-23.345	-39.445	0.994544	-0.182024	0.36966	0.0255	0.45	0.0105	0	149	247	3
2026-02-12	15:44:11.550	-2.835	-23.065	-28.245	0.99308	-0.180804	0.375028	0.0495	0.444	0.0105	0	149	247	3
2026-02-12	15:44:11.570	-24.745	-22.26	-18.305	0.980148	-0.20374	0.36722	0.0405	0.4455	0.027	0	149	247	3
2026-02-12	15:44:11.590	-42.105	-21.84	-9.66	0.960384	-0.217648	0.363316	0.0435	0.441	0.027	0	149	247	3
2026-02-12	15:44:11.610	-55.895	-22.33	-2.765	0.941352	-0.233996	0.356972	0.0435	0.4365	0.0255	0	148	285	3
2026-02-12	15:44:11.630	-64.085	-23.065	3.465	0.93696	-0.264984	0.360876	0.0435	0.435	0.0285	0	148	285	3
2026-02-12	15:44:11.650	-61.425	-23.765	12.285	0.931348	-0.298412	0.360876	0.0465	0.4335	0.0315	0	148	285	3
2026-02-12	15:44:11.670	-54.25	-23.45	18.515	0.904264	-0.317688	0.35258	0.0465	0.4425	0.0255	0	148	285	3
2026-02-12	15:44:11.690	-41.195	-23.065	24.815	0.899628	-0.334036	0.344772	0.0435	0.438	0.0285	0	148	285	3
2026-02-12	15:44:11.710	-22.33	-22.435	30.8	0.914756	-0.334036	0.352824	0.0375	0.4455	0.03	0	148	285	3
2026-02-12	15:44:11.730	-1.54	-21.175	36.12	0.966972	-0.30622	0.39284	0.0375	0.444	0.0435	0	148	285	3
2026-02-12	15:44:11.750	18.9	-17.115	39.13	0.984784	-0.181536	0.49898	0.0345	0.4605	0.036	0	148	285	3
2026-02-12	15:44:11.770	34.23	-21.7	44.345	1.093608	0.254004	0.565836	0.042	0.462	0.0315	0	148	285	3
2026-02-12	15:44:11.790	46.165	-16.45	45.535	1.080676	0.265228	0.55632	0.033	0.462	0.0465	0	148	285	3
2026-02-12	15:44:11.810	44.485	-10.885	34.79	0.990884	0.289628	0.49532	0.0315	0.4665	0.0465	0	146	315	3
2026-02-12	15:44:11.830	28.77	5.705	11.515	0.891576	0.080032	0.417484	0.03	0.477	0.048	0	146	315	3
2026-02-12	15:44:11.850	31.92	24.15	-8.155	0.9394	-0.121268	0.41236	0.0285	0.477	0.051	0	146	315	3
2026-02-12	15:44:11.870	43.715	26.705	-8.715	0.95526	-0.079544	0.37576	0.027	0.4725	0.0525	0	146	315	3
2026-02-12	15:44:11.890	21.735	28.42	-2.17	0.977952	-0.095648	0.353068	0.0285	0.486	0.0435	0	146	315	3
2026-02-12	15:44:11.910	-16.73	30.205	2.485	0.965752	-0.0671	0.323544	0.039	0.48	0.0315	0	146	315	3
2026-02-12	15:44:11.930	-47.18	28.98	6.65	0.97844	-0.128832	0.286212	0.0315	0.48	0.036	0	146	315	3
2026-02-12	15:44:11.950	-57.085	20.37	13.685	0.981124	-0.091988	0.269132	0.03	0.474	0.0285	0	146	315	3
2026-02-12	15:44:11.970	-71.435	16.94	16.1	0.966972	-0.11956	0.249856	0.024	0.48	0.027	0	146	315	3
2026-02-12	15:44:11.990	-91	15.82	18.06	0.957212	-0.200812	0.22692	0.027	0.489	0.033	0	146	315	3
2026-02-12	15:44:10.010	-26.355	7.21	-44.485	0.928908	-0.515328	0.0488	0.0225	0.6	0.0495	0	207	170	3
2026-02-12	15:44:10.030	-20.825	8.155	-45.045	0.908412	-0.467504	0.04636	0.018	0.5985	0.048	0	207	170	3
2026-02-12	15:44:10.050	-22.75	8.435	-45.815	0.917928	-0.462868	0.050752	0.0225	0.588	0.048	0	207	170	3
2026-02-12	15:44:10.070	-23.38	9.555	-47.565	0.928176	-0.480924	0.06466	0.015	0.5925	0.0525	0	207	170	3
2026-02-12	15:44:10.090	-24.85	11.13	-48.93	0.914756	-0.474092	0.064904	0.0255	0.5745	0.051	0	207	170	3
2026-02-12	15:44:10.110	-33.88	12.425	-49.42	0.90646	-0.452864	0.064172	0.0255	0.576	0.048	0	207	170	3
2026-02-12	15:44:10.130	-52.43	14.07	-49.175	0.908656	-0.467748	0.063684	0.0255	0.57	0.048	0	207	170	3
2026-02-12	15:44:10.150	-73.99	16.31	-45.815	0.93574	-0.501908	0.061976	0.0255	0.564	0.051	0	207	170	3
2026-02-12	15:44:10.170	-77.315	18.97	-42.805	0.94672	-0.55632	0.054168	0.0195	0.5505	0.036	0	207	170	3
2026-02-12	15:44:10.190	-66.99	21.42	-38.605	0.939644	-0.565592	0.038796	0.0225	0.537	0.042	0	207	170	3
2026-02-12	15:44:10.210	-54.11	22.435	-34.09	0.931348	-0.547536	0.02196	0.0255	0.5325	0.0255	0	198	142	3
2026-02-12	15:44:10.230	-42.21	21.735	-29.715	0.933056	-0.538996	0.020984	0.0225	0.525	0.0285	0	198	142	3
2026-02-12	15:44:10.250	-30.485	19.88	-25.97	0.954528	-0.530944	0.035136	0.0315	0.5205	0.0225	0	198	142	3
2026-02-12	15:44:10.270	-17.99	17.71	-22.715	0.964532	-0.51972	0.05368	0.021	0.519	0.0165	0	198	142	3
2026-02-12	15:44:10.290	-5.88	15.575	-20.02	0.966484	-0.492148	0.069296	0.021	0.519	0.0165	0	198	142	3
2026-02-12	15:44:10.310	3.36	13.125	-18.795	0.967704	-0.465308	0.068808	0.027	0.5085	0.0165	0	198	142	3
2026-02-12	15:44:10.330	13.09	10.36	-18.935	0.975268	-0.464576	0.07686	0.027	0.51	0.018	0	198	142	3
2026-02-12	15:44:10.350	25.2	8.015	-19.845	0.966484	-0.458476	0.081252	0.027	0.51	0.012	0	198	142	3
2026-02-12	15:44:10.370	46.83	4.76	-21.105	0.919392	-0.454816	0.088328	0.027	0.5085	0.0045	0	198	142	3
2026-02-12	15:44:10.390	65.345	2.45	-22.05	0.904264	-0.466528	0.109312	0.024	0.501	0.009	0	198	142	3
2026-02-12	15:44:10.410	87.71	0.77	-22.505	0.902312	-0.472384	0.12932	0.033	0.4935	0.0135	0	186	120	3
2026-02-12	15:44:10.430	105.49	-1.085	-21.63	0.908656	-0.454816	0.1464	0.0255	0.4935	0.0135	0	186	120	3
