yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:44:11.010	-50.295	23.275	-51.87	1.0614	0.025132	0.213988	-0.312	0.081	0.417	0	354	262	3
2026-02-12	15:44:11.030	-47.215	26.845	-49.35	1.03578	0.02318	0.199348	-0.321	0.0735	0.4125	0	354	262	3
2026-02-12	15:44:11.050	-43.015	28.035	-46.025	1.018944	0.031964	0.178364	-0.321	0.063	0.411	0	354	262	3
2026-02-12	15:44:11.070	-37.8	27.335	-39.69	1.037	0.044408	0.171776	-0.318	0.0555	0.4065	0	354	262	3
2026-02-12	15:44:11.090	-32.9	26.635	-32.025	1.046028	0.053436	0.163724	-0.318	0.054	0.4035	0	354	262	3
2026-02-12	15:44:11.110	-26.845	26.11	-25.515	1.023092	0.060268	0.143228	-0.3195	0.039	0.3945	0	354	262	3
2026-02-12	15:44:11.130	-21.07	24.045	-18.655	1.007964	0.077348	0.130296	-0.3285	0.0285	0.39	0	354	262	3
2026-02-12	15:44:11.150	-16.87	21.315	-11.725	1.023336	0.091744	0.125904	-0.333	0.027	0.3855	0	354	262	3
2026-02-12	15:44:11.170	-13.51	19.53	-4.865	1.033828	0.10004	0.121024	-0.318	0.0315	0.3825	0	354	262	3
2026-02-12	15:44:11.190	-9.275	18.585	1.365	1.01382	0.102968	0.113704	-0.327	0.0285	0.372	0	354	262	3
2026-02-12	15:44:11.210	-5.005	16.975	6.895	0.99674	0.1159	0.108824	-0.33	0.0225	0.3825	0	369	251	2
2026-02-12	15:44:11.230	-3.815	14.84	11.55	0.996984	0.130296	0.110044	-0.324	0.0255	0.3765	0	369	251	2
2026-02-12	15:44:11.250	-5.04	13.86	15.26	0.979416	0.146156	0.116876	-0.3255	0.033	0.3795	0	369	251	2
2026-02-12	15:44:11.270	-7.98	13.055	18.025	0.970632	0.146644	0.11346	-0.333	0.024	0.3705	0	369	251	2
2026-02-12	15:44:11.290	-11.445	12.425	19.985	0.97722	0.152744	0.119072	-0.333	0.039	0.3765	0	369	251	2
2026-02-12	15:44:11.310	-15.96	12.845	21.525	0.974292	0.150304	0.117364	-0.3315	0.0345	0.369	0	369	251	2
2026-02-12	15:44:11.330	-18.34	12.005	22.365	1.070672	0.146888	0.086376	-0.3225	0.045	0.3645	0	369	251	2
2026-02-12	15:44:11.350	-7.35	12.46	23.17	1.168272	0.14762	0.034648	-0.324	0.045	0.3735	0	369	251	2
2026-02-12	15:44:11.370	5.495	15.54	21.315	1.089216	0.15128	0.013664	-0.324	0.045	0.369	0	369	251	2
