yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:48:12.210	1.295	-0.595	0.28	-0.020496	-0.043676	1.011624	-12.732	-15.3315	3.9495	0	34	71	2
2026-02-12	16:48:12.230	1.33	-0.63	0.28	-0.025132	-0.0427	1.009672	-12.7455	-15.324	3.9495	0	34	71	2
2026-02-12	16:48:12.250	1.33	-0.63	0.21	-0.021228	-0.043676	1.010892	-12.7335	-15.321	3.945	0	34	71	2
2026-02-12	16:48:12.270	1.33	-0.63	0.245	-0.02562	-0.04514	1.008452	-12.7215	-15.3315	3.942	0	34	71	2
2026-02-12	16:48:12.290	1.295	-0.595	0.28	-0.025132	-0.044164	1.011624	-12.735	-15.3405	3.942	0	34	71	2
2026-02-12	16:48:12.310	1.33	-0.595	0.245	-0.022936	-0.041968	1.010648	-12.759	-15.3585	3.939	0	34	71	2
2026-02-12	16:48:12.330	-1.68	-16.065	-16.625	-0.0305	0.11956	1.043832	-13.1655	-15.582	4.0335	0	34	71	2
2026-02-12	16:48:12.350	-14.385	-2.835	-20.58	-0.0366	0.115168	1.024068	-13.554	-15.783	4.1265	0	34	71	2
2026-02-12	16:48:12.370	-13.545	-3.36	-18.62	-0.020008	0.109312	1.040172	-13.5465	-15.7605	4.1145	0	34	71	2
2026-02-12	16:48:12.390	-12.915	-2.275	-17.535	-0.015616	0.093452	1.052616	-13.5645	-15.7725	4.1235	0	34	71	2
2026-02-12	16:48:12.410	-13.755	0.49	-15.645	-0.0244	0.055388	1.070428	-13.6035	-15.8115	4.1415	0	135	264	2
2026-02-12	16:48:12.430	-14.455	1.12	-12.18	-0.012444	0.039284	1.087264	-13.665	-15.8595	4.1445	0	135	264	2
2026-02-12	16:48:12.450	-15.155	3.5	-9.52	-0.018788	0.0305	1.095072	-13.6995	-15.8925	4.1535	0	135	264	2
2026-02-12	16:48:12.470	-15.4	4.375	-8.365	-0.012688	0.022936	1.08946	-13.701	-15.8985	4.1625	0	135	264	2
2026-02-12	16:48:12.490	-15.295	6.65	-6.685	0.004148	0.020496	1.104344	-13.722	-15.9135	4.167	0	135	264	2
2026-02-12	16:48:12.510	-16.765	6.44	-3.605	0.014396	0.016348	1.131184	-13.737	-15.927	4.1655	0	135	264	2
2026-02-12	16:48:12.530	-17.15	7.665	-0.735	-0.00366	-0.000244	1.077748	-13.737	-15.918	4.17	0	135	264	2
2026-02-12	16:48:12.550	-14.98	6.895	1.365	-0.015372	0.009028	1.075064	-13.707	-15.888	4.17	0	135	264	2
2026-02-12	16:48:12.570	-11.795	5.18	3.43	-0.002684	0.052704	1.09556	-13.701	-15.882	4.1685	0	135	264	2
2026-02-12	16:48:12.590	-10.57	2.59	6.055	0.018056	0.073444	1.09922	-13.749	-15.9285	4.1775	0	135	264	2
2026-02-12	16:48:12.610	-11.2	0.35	9.555	0.0183	0.069052	1.051884	-13.7895	-15.96	4.182	0	255	483	3
2026-02-12	16:48:12.630	-8.61	-1.855	12.25	0.01952	0.074176	1.003084	-13.785	-15.942	4.1805	0	255	483	3
2026-02-12	16:48:12.650	-2.31	-1.505	13.09	0.041236	0.092964	0.979904	-13.7385	-15.9105	4.2045	0	255	483	3
2026-02-12	16:48:12.670	3.08	2.415	13.545	0.072712	0.09272	0.97234	-13.7235	-15.8955	4.2285	0	255	483	3
2026-02-12	16:48:12.690	4.97	5.32	15.75	0.108336	0.089792	0.943792	-13.74	-15.9075	4.2375	0	255	483	3
2026-02-12	16:48:12.710	5.915	5.775	19.495	0.119316	0.10492	0.918416	-13.713	-15.891	4.2435	0	255	483	3
2026-02-12	16:48:12.730	8.68	6.125	22.225	0.117852	0.108336	0.910608	-13.65	-15.843	4.245	0	255	483	3
2026-02-12	16:48:12.750	9.975	6.44	24.815	0.116144	0.095648	0.921344	-13.578	-15.7785	4.245	0	255	483	3
2026-02-12	16:48:12.770	9.765	7.35	26.915	0.125172	0.1098	0.908168	-13.539	-15.7365	4.2555	0	255	483	3
2026-02-12	16:48:12.790	10.255	6.44	27.545	0.114924	0.123464	0.902556	-13.539	-15.7305	4.2645	0	255	483	3
2026-02-12	16:48:12.810	12.32	4.025	26.495	0.105164	0.1281	0.920368	-13.533	-15.7305	4.2615	0	341	638	1
2026-02-12	16:48:12.830	13.895	1.47	24.675	0.096136	0.126392	0.941352	-13.566	-15.771	4.275	0	341	638	1
2026-02-12	16:48:12.850	14.49	-1.47	23.24	0.07808	0.111264	0.930128	-13.6215	-15.834	4.2975	0	341	638	1
2026-02-12	16:48:12.870	15.855	-6.265	21.805	0.049532	0.109556	0.93574	-13.6425	-15.87	4.3095	0	341	638	1
2026-02-12	16:48:12.890	17.115	-11.095	20.3	0.030988	0.103944	0.955504	-13.656	-15.8895	4.3185	0	341	638	1
2026-02-12	16:48:12.910	16.555	-13.44	19.04	0.011224	0.09076799	0.941108	-13.665	-15.8955	4.3155	0	341	638	1
2026-02-12	16:48:12.930	16.205	-15.015	18.095	-0.003904	0.095892	0.935984	-13.632	-15.8745	4.302	0	341	638	1
2026-02-12	16:48:12.950	16.275	-15.995	16.135	0.007076	0.112728	0.959652	-13.6005	-15.846	4.2885	0	341	638	1
2026-02-12	16:48:12.970	14.91	-15.225	13.86	0.013664	0.098332	0.967948	-13.5915	-15.81	4.278	0	341	638	1
2026-02-12	16:48:12.990	13.23	-13.09	12.215	-0.000732	0.090036	0.951356	-13.557	-15.7665	4.2705	0	341	638	1
2026-02-12	16:48:13.010	13.16	-12.04	11.41	-0.01098	0.091744	0.9699	-13.545	-15.753	4.2645	0	388	738	1
2026-02-12	16:48:13.030	13.125	-11.725	11.55	-0.000488	0.101748	0.9821	-13.5645	-15.771	4.2675	0	388	738	1
2026-02-12	16:48:13.050	11.83	-10.675	12.145	-0.016592	0.104676	0.992592	-13.5765	-15.7905	4.2765	0	388	738	1
2026-02-12	16:48:13.070	10.29	-9.73	12.005	-0.030256	0.1098	0.98576	-13.608	-15.8205	4.2825	0	388	738	1
2026-02-12	16:48:13.090	9.695	-10.465	10.815	-0.02562	0.104188	1.005768	-13.635	-15.843	4.2855	0	388	738	1
2026-02-12	16:48:13.110	8.4	-9.975	9.695	-0.029524	0.096868	1.021628	-13.6485	-15.8535	4.284	0	388	738	1
2026-02-12	16:48:13.130	6.125	-8.225	8.645	-0.04392	0.088572	1.016992	-13.662	-15.87	4.2645	0	388	738	1
2026-02-12	16:48:13.150	4.585	-6.055	7.735	-0.050752	0.094428	1.019676	-13.635	-15.84	4.2375	0	388	738	1
2026-02-12	16:48:13.170	3.955	-3.36	7	-0.036112	0.111752	1.030412	-13.602	-15.7965	4.218	0	388	738	1
2026-02-12	16:48:13.190	3.43	-1.785	6.93	-0.024888	0.127612	1.052372	-13.5885	-15.7725	4.2075	0	388	738	1
2026-02-12	16:48:13.210	2.135	0.875	7.28	-0.018056	0.135664	1.068232	-13.5675	-15.756	4.2075	0	402	807	1
2026-02-12	16:48:13.230	0.665	1.19	8.12	-0.016836	0.148596	1.060668	-13.554	-15.7545	4.209	0	402	807	1
2026-02-12	16:48:13.250	0.98	0.28	8.4	-0.0183	0.16714	1.073356	-13.5495	-15.7665	4.1805	0	402	807	1
2026-02-12	16:48:13.270	1.68	0.56	7.77	-0.018788	0.187148	1.071892	-13.5495	-15.7665	4.1805	0	402	807	1
2026-02-12	16:48:13.290	3.08	0.91	4.585	-0.023912	0.14884	1.069452	-13.5615	-15.762	4.1895	0	402	807	1
2026-02-12	16:48:13.310	4.375	1.96	-0.105	-0.020008	0.117364	1.048224	-13.536	-15.7605	4.1835	0	402	807	1
2026-02-12	16:48:13.330	4.69	1.225	-3.465	-0.04148	0.120536	1.061156	-13.5765	-15.8145	4.1865	0	402	807	1
2026-02-12	16:48:13.350	5.95	0.175	-6.195	-0.015372	0.182756	1.108736	-13.626	-15.894	4.1835	0	402	807	1
2026-02-12	16:48:13.370	3.78	-0.21	-8.225	0.00488	0.193492	1.073112	-13.689	-15.9435	4.1985	0	402	807	1
2026-02-12	16:48:13.390	2.59	-3.57	-9.905	0.015616	0.201056	1.050908	-13.68	-15.963	4.185	0	402	807	1
2026-02-12	16:48:13.410	4.865	-8.085	-12.11	0.041724	0.23546	1.04066	-13.6125	-15.9105	4.1625	0	391	867	1
2026-02-12	16:48:13.430	9.94	-12.355	-15.085	0.074664	0.282308	1.032852	-13.563	-15.8565	4.137	0	391	867	1
2026-02-12	16:48:13.450	15.085	-14.385	-19.88	0.09882	0.286944	1.033096	-13.5045	-15.804	4.1145	0	391	867	1
2026-02-12	16:48:13.470	17.955	-11.97	-26.11	0.083692	0.269376	1.036756	-13.491	-15.75	4.107	0	391	867	1
2026-02-12	16:48:13.490	15.855	-8.47	-31.43	0.062952	0.25254	1.030168	-13.461	-15.735	4.104	0	391	867	1
