yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:47:50.210	-378.105	-68.11	-402.325	2.688636	-0.996008	0.029524	0.0405	0.5025	-0.123	0	1131	262	5
2026-02-12	16:47:50.230	-373.065	-23.205	-363.615	2.287012	-0.95526	0.233996	0.045	0.453	-0.1185	0	1131	262	5
2026-02-12	16:47:50.250	-321.755	4.165	-313.95	1.9398	-0.898164	0.376736	0.0495	0.4335	-0.1155	0	1131	262	5
2026-02-12	16:47:50.270	-262.045	20.685	-267.47	1.658712	-0.846436	0.258396	0.087	0.375	-0.15	0	1131	262	5
2026-02-12	16:47:50.290	-172.375	17.01	-218.785	1.483764	-0.740784	0.099308	0.111	0.363	-0.1725	0	1131	262	5
2026-02-12	16:47:50.310	-82.6	4.585	-176.785	1.346148	-0.67466	0.099064	0.1335	0.351	-0.1875	0	1131	262	5
2026-02-12	16:47:50.330	-28.77	-6.37	-140.63	1.241472	-0.627812	0.136152	0.1365	0.336	-0.189	0	1131	262	5
2026-02-12	16:47:50.350	-9.73	-9.485	-113.19	1.099464	-0.621956	0.121512	0.153	0.3255	-0.1845	0	1131	262	5
2026-02-12	16:47:50.370	-17.185	-8.295	-86.765	0.989908	-0.626592	0.130784	0.1635	0.3075	-0.1935	0	1131	262	5
2026-02-12	16:47:50.390	-35.35	-3.71	-67.55	0.867176	-0.640012	0.139812	0.168	0.3045	-0.192	0	1131	262	5
2026-02-12	16:47:50.410	-53.305	2.03	-54.425	0.754936	-0.67466	0.112484	0.1755	0.3	-0.198	0	1103	244	5
2026-02-12	16:47:50.430	-54.46	5.075	-45.57	0.68808	-0.703208	0.11346	0.18	0.3	-0.2025	0	1103	244	5
2026-02-12	16:47:50.450	-37.765	3.85	-32.62	0.644648	-0.679052	0.099308	0.1815	0.3015	-0.2025	0	1103	244	5
2026-02-12	16:47:50.470	-21.105	-0.595	-17.36	0.67344	-0.67832	0.060756	0.1905	0.291	-0.21	0	1103	244	5
2026-02-12	16:47:50.490	4.305	-7.735	0.14	0.754204	-0.700524	0.07076	0.1935	0.3045	-0.2175	0	1103	244	5
2026-02-12	16:47:50.510	31.43	-16.905	21.385	0.84058	-0.646844	0.11102	0.1935	0.3	-0.219	0	1103	244	5
2026-02-12	16:47:50.530	51.485	-25.305	46.97	0.909632	-0.602924	0.15616	0.189	0.3	-0.2055	0	1103	244	5
2026-02-12	16:47:50.550	68.775	-33.11	75.425	0.952332	-0.543632	0.193736	0.192	0.306	-0.198	0	1103	244	5
2026-02-12	16:47:50.570	83.195	-38.29	105.665	1.016748	-0.460428	0.26352	0.168	0.3075	-0.192	0	1103	244	5
2026-02-12	16:47:50.590	79.59	-38.99	136.255	1.094096	-0.362096	0.339892	0.1605	0.3075	-0.1845	0	1103	244	5
2026-02-12	16:47:50.610	55.3	-36.82	167.72	1.179984	-0.331108	0.372832	0.15	0.318	-0.1755	0	1064	228	5
2026-02-12	16:47:50.630	21.525	-32.69	202.44	1.373476	-0.357216	0.425536	0.1395	0.3285	-0.168	0	1064	228	5
2026-02-12	16:47:50.650	2.555	-31.045	231.14	1.627236	-0.383324	0.36722	0.1395	0.3285	-0.168	0	1064	228	5
2026-02-12	16:47:50.670	-22.54	-22.68	259.49	1.73484	-0.295972	0.411384	0.087	0.387	-0.1545	0	1064	228	5
2026-02-12	16:47:50.690	-22.89	-17.36	278.95	1.7385	-0.573888	0.220332	0.075	0.4185	-0.147	0	1064	228	5
2026-02-12	16:47:50.710	18.62	-19.635	290.605	1.758996	-0.546316	0.328424	0.0555	0.45	-0.1485	0	1064	228	5
2026-02-12	16:47:50.730	81.13	-19.18	298.62	1.797548	-1.0553	0.2684	0.0405	0.4935	-0.141	0	1064	228	5
2026-02-12	16:47:50.750	268.345	-16.065	305.655	2.029592	-1.753872	0.000732	0.0435	0.534	-0.1485	0	1064	228	5
2026-02-12	16:47:50.770	557.375	-32.69	280.665	1.921012	1.782908	0.111996	0.0255	0.5505	-0.129	0	1064	228	5
2026-02-12	16:47:50.790	470.05	37.31	228.34	1.029436	1.543788	0.1952	0.018	0.5535	-0.141	0	1064	228	5
2026-02-12	16:47:50.810	190.925	51.905	174.58	1.220732	0.118584	0.23424	0.0315	0.567	-0.1575	0	1017	225	5
2026-02-12	16:47:50.830	43.75	61.985	167.475	1.086044	-0.146644	0.430172	0.0315	0.567	-0.1575	0	1017	225	5
2026-02-12	16:47:50.850	-57.855	68.67	154.14	1.049932	-0.280844	0.48556	0.0315	0.567	-0.1575	0	1017	225	5
2026-02-12	16:47:50.870	-134.435	72.625	137.375	1.002108	-0.286212	0.427732	0.057	0.6285	-0.1845	0	1017	225	5
2026-02-12	16:47:50.890	-177.555	70.84	120.68	0.837896	-0.25132	0.290604	0.0735	0.6615	-0.18	0	1017	225	5
2026-02-12	16:47:50.910	-183.855	65.835	101.325	0.794464	-0.3904	0.126636	0.084	0.6885	-0.18	0	1017	225	5
2026-02-12	16:47:50.930	-148.68	57.715	87.57	0.70882	-0.355752	0.021716	0.1005	0.7095	-0.18	0	1017	225	5
2026-02-12	16:47:50.950	-93.135	50.47	71.75	0.63684	-0.367708	-0.040504	0.1065	0.7455	-0.174	0	1017	225	5
2026-02-12	16:47:50.970	-39.69	42.21	55.3	0.650992	-0.3416	-0.041236	0.117	0.762	-0.171	0	1017	225	5
2026-02-12	16:47:50.990	3.745	33.67	43.155	0.6466	-0.30256	-0.017812	0.117	0.759	-0.1755	0	1017	225	5
2026-02-12	16:47:51.010	22.575	26.18	26.005	0.625128	-0.318908	0.017324	0.1155	0.777	-0.174	0	971	226	5
2026-02-12	16:47:51.030	29.155	14.07	-4.445	0.59292	-0.315736	0.060512	0.1155	0.777	-0.174	0	971	226	5
2026-02-12	16:47:51.050	30.17	4.69	-23.345	0.616588	-0.324764	0.116876	0.1275	0.768	-0.1935	0	971	226	5
2026-02-12	16:47:51.070	26.39	-5.25	-43.05	0.662216	-0.33062	0.16836	0.129	0.7635	-0.1875	0	971	226	5
2026-02-12	16:47:51.090	14.875	-13.93	-59.885	0.708088	-0.33672	0.184952	0.1245	0.759	-0.1815	0	971	226	5
2026-02-12	16:47:51.110	2.345	-19.145	-73.255	0.686616	-0.369416	0.1586	0.1215	0.75	-0.1875	0	971	226	5
2026-02-12	16:47:51.130	-1.365	-27.44	-86.555	0.711504	-0.388204	0.12566	0.1155	0.7455	-0.186	0	971	226	5
2026-02-12	16:47:51.150	2.24	-37.485	-98.35	0.743468	-0.393328	0.12078	0.102	0.7275	-0.1905	0	971	226	5
2026-02-12	16:47:51.170	11.655	-47.565	-108.465	0.768356	-0.396256	0.09638	0.0915	0.72	-0.1905	0	971	226	5
