yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:47:50.210	314.58	-88.13	339.64	2.582984	0.576084	0.332572	-0.24	0.1035	0.513	0	1190	211	5
2026-02-12	16:47:50.230	281.015	-51.625	298.83	2.131584	0.76982	0.453596	-0.2385	0.156	0.5295	0	1190	211	5
2026-02-12	16:47:50.250	195.545	-38.01	245.42	1.980304	0.400648	0.421876	-0.222	0.2265	0.519	0	1190	211	5
2026-02-12	16:47:50.270	116.9	-31.43	200.795	1.826584	0.374052	0.361364	-0.198	0.255	0.525	0	1190	211	5
2026-02-12	16:47:50.290	48.09	-30.73	165.095	1.686528	0.352824	0.314516	-0.18	0.2865	0.5235	0	1190	211	5
2026-02-12	16:47:50.310	4.095	-28.84	132.79	1.573312	0.411384	0.2257	-0.168	0.3135	0.5265	0	1190	211	5
2026-02-12	16:47:50.330	-22.4	-21.28	109.165	1.474248	0.410408	0.134688	-0.1575	0.318	0.5265	0	1190	211	5
2026-02-12	16:47:50.350	-35.525	-11.34	94.92	1.342	0.436272	0.101748	-0.147	0.3285	0.5295	0	1190	211	5
2026-02-12	16:47:50.370	-44.695	-2.555	90.58	1.199016	0.444812	0.1525	-0.138	0.345	0.5355	0	1190	211	5
2026-02-12	16:47:50.390	-39.935	4.375	90.37	1.042612	0.433588	0.181292	-0.1305	0.357	0.54	0	1190	211	5
2026-02-12	16:47:50.410	-30.065	7.42	89.81	0.956236	0.419436	0.227408	-0.1185	0.3705	0.549	0	1158	200	5
2026-02-12	16:47:50.430	-20.23	10.64	87.955	0.894992	0.397964	0.264252	-0.114	0.3735	0.5505	0	1158	200	5
2026-02-12	16:47:50.450	-9.975	13.02	82.985	0.8601	0.420168	0.268156	-0.093	0.3795	0.558	0	1158	200	5
2026-02-12	16:47:50.470	-5.215	15.19	75.145	0.82716	0.43554	0.246928	-0.093	0.39	0.5475	0	1158	200	5
2026-02-12	16:47:50.490	-4.305	16.87	63.175	0.811788	0.467992	0.232532	-0.075	0.4035	0.555	0	1158	200	5
