yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:39:54.010	1.26	-0.63	0.21	0.033672	0.088572	1.010892	2.9325	-2.2935	-0.423	0	25	1036	1
2026-02-12	15:39:54.030	1.295	-0.525	0.245	0.033916	0.08686399	1.01138	2.946	-2.283	-0.426	0	25	1036	1
2026-02-12	15:39:54.050	1.295	-0.63	0.21	0.031476	0.09076799	1.009672	2.946	-2.283	-0.426	0	25	1036	1
2026-02-12	15:39:54.070	1.33	-0.56	0.28	0.034404	0.086132	1.012844	2.946	-2.283	-0.426	0	25	1036	1
2026-02-12	15:39:54.090	1.26	-0.63	0.245	0.031476	0.08295999	1.0126	2.946	-2.283	-0.426	0	25	1036	1
2026-02-12	15:39:54.110	1.295	-0.56	0.245	0.033916	0.091256	1.009428	2.94	-2.2815	-0.4275	0	25	1036	1
2026-02-12	15:39:54.130	1.295	-0.595	0.245	0.0366	0.091012	1.011624	2.9385	-2.286	-0.4305	0	25	1036	1
2026-02-12	15:39:54.150	1.295	-0.595	0.28	0.030988	0.08784	1.008696	2.9415	-2.2845	-0.4275	0	25	1036	1
2026-02-12	15:39:54.170	1.295	-0.63	0.28	0.03416	0.090524	1.008208	2.94	-2.2815	-0.4275	0	25	1036	1
2026-02-12	15:39:54.190	1.33	-0.595	0.28	0.037576	0.0854	1.009916	2.9385	-2.2845	-0.429	0	25	1036	1
2026-02-12	15:39:54.210	1.33	-0.595	0.245	0.032452	0.08686399	1.010648	2.94	-2.2905	-0.4245	0	22	1035	1
2026-02-12	15:39:54.230	1.295	-0.63	0.28	0.035136	0.088328	1.007964	2.9415	-2.292	-0.423	0	22	1035	1
2026-02-12	15:39:54.250	1.295	-0.595	0.245	0.037332	0.08686399	1.011624	2.943	-2.292	-0.4245	0	22	1035	1
2026-02-12	15:39:54.270	1.365	-0.595	0.28	0.032208	0.089792	1.012356	2.9415	-2.292	-0.4245	0	22	1035	1
2026-02-12	15:39:54.290	1.365	-0.525	0.28	0.034404	0.08418	1.007476	2.943	-2.289	-0.426	0	22	1035	1
2026-02-12	15:39:54.310	1.295	-0.63	0.245	0.033428	0.088816	1.012356	2.949	-2.2905	-0.429	0	22	1035	1
2026-02-12	15:39:54.330	1.33	-0.56	0.245	0.037088	0.088816	1.01016	2.949	-2.2905	-0.429	0	22	1035	1
2026-02-12	15:39:54.350	1.295	-0.595	0.245	0.033672	0.08662	1.011136	2.943	-2.286	-0.423	0	22	1035	1
2026-02-12	15:39:54.370	1.295	-0.63	0.245	0.032452	0.08686399	1.009428	2.943	-2.286	-0.423	0	22	1035	1
2026-02-12	15:39:54.390	1.365	-0.525	0.245	0.033916	0.085156	1.012356	2.943	-2.286	-0.4275	0	22	1035	1
2026-02-12	15:39:54.410	1.295	-0.665	0.245	0.035136	0.088084	1.008696	2.9355	-2.2815	-0.4245	0	19	1035	1
2026-02-12	15:39:54.430	1.295	-0.56	0.21	0.036844	0.08662	1.012112	2.9445	-2.2785	-0.4305	0	19	1035	1
2026-02-12	15:39:54.450	1.295	-0.63	0.245	0.034648	0.085156	1.012112	2.9415	-2.2935	-0.4185	0	19	1035	1
