yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:39:54.010	-85.155	-46.13	-46.48	-0.927688	-0.457012	-0.22814	0.8985	0.6135	0.1845	0	204	230	3
2026-02-12	15:39:54.030	-69.02	-42.84	-40.46	-0.898164	-0.472872	-0.231312	0.9075	0.621	0.1785	0	204	230	3
2026-02-12	15:39:54.050	-49.105	-38.395	-33.11	-0.899628	-0.444568	-0.220088	0.909	0.6195	0.1755	0	204	230	3
2026-02-12	15:39:54.070	-36.365	-35.56	-27.265	-0.889136	-0.33916	-0.198372	0.9135	0.621	0.1695	0	204	230	3
2026-02-12	15:39:54.090	-36.47	-33.285	-24.115	-0.852048	-0.286212	-0.183976	0.9075	0.624	0.168	0	204	230	3
2026-02-12	15:39:54.110	-41.86	-30.59	-22.575	-0.84546	-0.260348	-0.188856	0.9075	0.624	0.1665	0	204	230	3
2026-02-12	15:39:54.130	-51.835	-29.12	-22.085	-0.86864	-0.238388	-0.22326	0.9135	0.6285	0.1635	0	204	230	3
2026-02-12	15:39:54.150	-63.7	-31.29	-23.94	-0.914024	-0.274256	-0.263032	0.9135	0.627	0.1605	0	204	230	3
2026-02-12	15:39:54.170	-81.375	-39.445	-28.945	-0.970388	-0.397476	-0.28914	0.9135	0.6225	0.159	0	204	230	3
2026-02-12	15:39:54.190	-84.805	-45.15	-30.66	-0.98088	-0.528992	-0.273524	0.9135	0.6225	0.159	0	204	230	3
2026-02-12	15:39:52.210	-7.175	-3.92	5.635	-0.704672	-0.658068	-0.095404	0.846	0.7245	0.246	0	152	136	3
2026-02-12	15:39:52.230	-8.33	-6.895	9.1	-0.728828	-0.66612	-0.098088	0.846	0.7185	0.249	0	152	136	3
2026-02-12	15:39:52.250	-9.835	-13.615	12.915	-0.743224	-0.70272	-0.098088	0.8445	0.72	0.252	0	152	136	3
2026-02-12	15:39:52.270	-10.115	-17.36	15.225	-0.721996	-0.732976	-0.104676	0.8445	0.72	0.252	0	152	136	3
2026-02-12	15:39:52.290	-7.595	-19.11	18.34	-0.707356	-0.743712	-0.10004	0.843	0.717	0.243	0	152	136	3
