yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:39:54.010	146.37	-167.335	152.25	1.486448	0.2318	0.334524	-0.249	0.1665	0.153	0	181	178	3
2026-02-12	15:39:54.030	97.23	-160.02	149.87	1.441064	0.23424	0.448228	-0.2535	0.1785	0.1635	0	181	178	3
2026-02-12	15:39:54.050	24.36	-148.365	144.76	1.34566	0.205936	0.446032	-0.2475	0.189	0.18	0	181	178	3
2026-02-12	15:39:54.070	-44.87	-138.355	135.835	1.245376	0.155916	0.331596	-0.246	0.204	0.1965	0	181	178	3
2026-02-12	15:39:54.090	-86.555	-131.53	122.08	1.14436	0.170556	0.198372	-0.2475	0.222	0.2205	0	181	178	3
2026-02-12	15:39:54.110	-113.365	-128.52	105.735	1.085068	0.21716	0.092964	-0.2355	0.243	0.2415	0	181	178	3
2026-02-12	15:39:54.130	-135.45	-128.345	88.585	1.102148	0.214476	0.056364	-0.2295	0.2595	0.264	0	181	178	3
2026-02-12	15:39:54.150	-141.89	-126.735	70.875	1.144116	0.129564	0.05002	-0.2235	0.2715	0.294	0	181	178	3
2026-02-12	15:39:54.170	-120.225	-119.98	54.18	1.160952	0.019276	0.054656	-0.216	0.2805	0.3165	0	181	178	3
2026-02-12	15:39:54.190	-74.76	-110.985	39.97	1.159	-0.052216	0.048312	-0.2115	0.288	0.3405	0	181	178	3
2026-02-12	15:39:54.210	-19.11	-103.32	28.35	1.177056	-0.0915	0.05368	-0.2085	0.294	0.3645	0	190	185	3
2026-02-12	15:39:54.230	37.625	-95.9	16.73	1.194868	-0.112972	0.095648	-0.2025	0.2985	0.381	0	190	185	3
2026-02-12	15:39:54.250	95.165	-87.22	3.43	1.176324	-0.10492	0.139812	-0.1965	0.2955	0.39	0	190	185	3
2026-02-12	15:39:54.270	170.45	-73.92	-16.45	1.118252	-0.051728	0.216916	-0.1935	0.294	0.393	0	190	185	3
2026-02-12	15:39:54.290	204.54	-63.49	-26.635	1.096048	-0.086376	0.281332	-0.186	0.303	0.378	0	190	185	3
2026-02-12	15:39:54.310	237.3	-51.1	-35.735	1.091168	-0.068076	0.273524	-0.201	0.3015	0.366	0	190	185	3
2026-02-12	15:39:54.330	266.84	-41.79	-44.485	1.069696	0.021716	0.245708	-0.204	0.306	0.3465	0	190	185	3
2026-02-12	15:39:54.350	272.65	-35.84	-50.785	1.044076	0.083692	0.301096	-0.2085	0.3075	0.327	0	190	185	3
2026-02-12	15:39:54.370	248.605	-27.755	-53.48	1.002108	0.087596	0.343552	-0.21	0.294	0.3075	0	190	185	3
2026-02-12	15:39:54.390	216.685	-19.145	-56.945	0.929884	0.119072	0.315004	-0.21	0.2865	0.288	0	190	185	3
2026-02-12	15:39:54.410	179.025	-14.14	-61.25	0.892552	0.151036	0.339892	-0.216	0.2775	0.2775	0	199	192	3
2026-02-12	15:39:54.430	127.05	-9.625	-66.43	0.874984	0.121512	0.415532	-0.2265	0.2775	0.258	0	199	192	3
2026-02-12	15:39:54.450	73.15	-2.345	-70.315	0.897432	0.038064	0.466772	-0.24	0.2655	0.2445	0	199	192	3
2026-02-12	15:39:54.470	32.48	7.7	-72.03	0.95038	-0.024888	0.45994	-0.237	0.252	0.252	0	199	192	3
2026-02-12	15:39:54.490	6.195	17.885	-73.01	1.029436	-0.051728	0.460184	-0.2475	0.24	0.2385	0	199	192	3
2026-02-12	15:39:54.510	-12.285	29.995	-73.745	1.086288	-0.074908	0.453352	-0.255	0.2295	0.24	0	199	192	3
2026-02-12	15:39:54.530	-26.25	48.825	-73.15	1.138992	-0.119072	0.419924	-0.255	0.219	0.234	0	199	192	3
2026-02-12	15:39:54.550	-31.15	68.81	-70.595	1.229028	-0.151036	0.354776	-0.255	0.219	0.234	0	199	192	3
2026-02-12	15:39:54.570	-25.97	84.07	-69.195	1.281244	-0.16714	0.29158	-0.255	0.219	0.234	0	199	192	3
2026-02-12	15:39:54.590	-17.675	97.615	-67.69	1.297836	-0.202764	0.277428	-0.2625	0.192	0.2175	0	199	192	3
2026-02-12	15:39:54.610	-5.075	109.515	-65.485	1.298324	-0.215452	0.260348	-0.2505	0.1905	0.1995	0	207	215	3
2026-02-12	15:39:54.630	12.95	118.79	-65.73	1.292468	-0.16836	0.266448	-0.267	0.186	0.186	0	207	215	3
2026-02-12	15:39:54.650	31.71	126.315	-69.125	1.271728	-0.125416	0.291092	-0.2505	0.165	0.1695	0	207	215	3
2026-02-12	15:39:54.670	52.29	132.79	-73.01	1.24196	-0.12688	0.328912	-0.258	0.15	0.1575	0	207	215	3
2026-02-12	15:39:54.690	78.015	137.865	-77.35	1.23586	-0.096136	0.354532	-0.246	0.1395	0.132	0	207	215	3
2026-02-12	15:39:54.710	103.46	140.49	-83.09	1.223416	-0.050508	0.346724	-0.243	0.1275	0.114	0	207	215	3
2026-02-12	15:39:54.730	118.3	138.53	-87.395	1.207312	-0.006588	0.317932	-0.237	0.1245	0.0915	0	207	215	3
2026-02-12	15:39:54.750	124.46	133.105	-88.795	1.22	0.03172	0.30622	-0.2235	0.0945	0.0765	0	207	215	3
2026-02-12	15:39:54.770	119.245	127.26	-87.535	1.203164	0.095892	0.305732	-0.2175	0.078	0.057	0	207	215	3
2026-02-12	15:39:54.790	97.37	120.575	-85.295	1.146068	0.147864	0.2928	-0.207	0.051	0.042	0	207	215	3
2026-02-12	15:39:54.810	43.05	102.725	-77.595	1.074088	0.20862	0.211304	-0.207	0.051	0.042	0	211	243	3
