yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:40:44.810	-0.07	-3.57	1.715	-0.577792	0.682956	-0.489708	0.459	-0.372	0.3615	0	97	472	1
2026-02-19	12:40:44.830	-0.315	-3.465	1.715	-0.57828	0.686616	-0.493368	0.462	-0.3735	0.357	0	97	472	1
2026-02-19	12:40:44.850	-0.735	-3.255	1.505	-0.585112	0.696864	-0.49654	0.4665	-0.3705	0.3525	0	97	472	1
2026-02-19	12:40:44.870	-1.295	-2.73	1.12	-0.571204	0.685884	-0.495564	0.4665	-0.3705	0.36	0	97	472	1
2026-02-19	12:40:44.890	-1.96	-2.38	0.595	-0.566568	0.675148	-0.49166	0.4605	-0.3735	0.3585	0	97	472	1
2026-02-19	12:40:44.910	-1.54	-1.785	0.14	-0.573888	0.667828	-0.497272	0.462	-0.372	0.3615	0	97	472	1
2026-02-19	12:40:44.930	-0.77	-1.715	-0.14	-0.576084	0.660508	-0.495076	0.462	-0.372	0.366	0	97	472	1
2026-02-19	12:40:44.950	0	-1.505	-0.385	-0.579744	0.662216	-0.487024	0.4605	-0.3735	0.36	0	97	472	1
2026-02-19	12:40:44.970	1.155	-1.61	-0.175	-0.585112	0.66612	-0.480436	0.4605	-0.375	0.3585	0	97	472	1
2026-02-19	12:40:44.990	2.03	-1.61	0.315	-0.589016	0.669536	-0.477996	0.4605	-0.375	0.36	0	97	472	1
2026-02-19	12:40:45.010	2.695	-1.435	0.735	-0.59048	0.674172	-0.474336	0.4635	-0.3735	0.3585	0	89	482	1
2026-02-19	12:40:45.030	3.29	-1.61	1.19	-0.591212	0.68198	-0.46848	0.465	-0.378	0.36	0	89	482	1
2026-02-19	12:40:45.050	3.57	-1.89	1.61	-0.595116	0.67954	-0.466772	0.4635	-0.3765	0.36	0	89	482	1
2026-02-19	12:40:45.070	3.71	-2.52	2.1	-0.593896	0.676124	-0.473604	0.459	-0.3705	0.3525	0	89	482	1
2026-02-19	12:40:45.090	4.235	-3.36	2.555	-0.597556	0.672952	-0.475068	0.453	-0.3705	0.354	0	89	482	1
2026-02-19	12:40:45.110	4.83	-4.165	2.87	-0.599996	0.676612	-0.477508	0.4545	-0.378	0.3615	0	89	482	1
2026-02-19	12:40:45.130	5.355	-4.76	3.08	-0.587552	0.682712	-0.483364	0.4545	-0.3795	0.3585	0	89	482	1
2026-02-19	12:40:45.150	5.495	-5.6	3.325	-0.58194	0.685396	-0.483364	0.4545	-0.3705	0.357	0	89	482	1
2026-02-19	12:40:45.170	5.425	-5.985	3.36	-0.577792	0.688324	-0.480192	0.459	-0.375	0.36	0	89	482	1
2026-02-19	12:40:45.190	5.075	-5.635	3.01	-0.571936	0.689788	-0.477508	0.465	-0.378	0.3555	0	89	482	1
2026-02-19	12:40:45.210	4.34	-4.725	2.45	-0.558516	0.691252	-0.4819	0.465	-0.3765	0.351	0	80	486	1
2026-02-19	12:40:45.230	3.605	-3.85	2.03	-0.566568	0.693448	-0.482632	0.4605	-0.3795	0.354	0	80	486	1
2026-02-19	12:40:45.250	2.905	-2.8	1.54	-0.572424	0.686128	-0.488488	0.4575	-0.3825	0.363	0	80	486	1
2026-02-19	12:40:45.270	2.52	-2.065	1.085	-0.568032	0.68808	-0.488732	0.459	-0.381	0.3525	0	80	486	1
2026-02-19	12:40:45.290	2.1	-1.47	0.665	-0.572668	0.681736	-0.491904	0.459	-0.381	0.3525	0	80	486	1
2026-02-19	12:40:45.310	1.575	-0.84	0.07	-0.574376	0.68564	-0.487756	0.4605	-0.387	0.36	0	80	486	1
2026-02-19	12:40:45.330	1.05	-0.28	-0.35	-0.572424	0.683444	-0.490928	0.4605	-0.3735	0.3615	0	80	486	1
2026-02-19	12:40:45.350	0.595	0	-0.63	-0.574864	0.685396	-0.48922	0.4605	-0.3735	0.3645	0	80	486	1
2026-02-19	12:40:45.370	-0.175	0.35	-0.735	-0.578036	0.684176	-0.485804	0.4545	-0.3795	0.3705	0	80	486	1
2026-02-19	12:40:45.390	-0.735	0.595	-0.875	-0.584868	0.67954	-0.48434	0.459	-0.3795	0.357	0	80	486	1
2026-02-19	12:40:45.410	-1.12	0.875	-1.085	-0.588772	0.67954	-0.48434	0.465	-0.369	0.357	0	72	489	1
2026-02-19	12:40:45.430	-1.12	1.12	-1.295	-0.592432	0.6771	-0.48312	0.4635	-0.378	0.363	0	72	489	1
2026-02-19	12:40:45.450	-1.365	1.015	-1.365	-0.58804	0.677588	-0.480924	0.459	-0.372	0.357	0	72	489	1
2026-02-19	12:40:45.470	-1.085	0.875	-1.26	-0.591212	0.679052	-0.482388	0.456	-0.3795	0.3555	0	72	489	1
2026-02-19	12:40:45.490	-1.75	0.525	-1.155	-0.583892	0.670756	-0.484828	0.4635	-0.3705	0.354	0	72	489	1
2026-02-19	12:40:45.510	-0.84	0.245	-1.12	-0.58194	0.67222	-0.477508	0.4635	-0.375	0.3525	0	72	489	1
2026-02-19	12:40:45.530	-0.42	0.385	-0.98	-0.578036	0.668804	-0.485316	0.453	-0.3765	0.36	0	72	489	1
2026-02-19	12:40:45.550	-0.455	0.49	-0.84	-0.576328	0.671732	-0.48556	0.462	-0.375	0.3495	0	72	489	1
2026-02-19	12:40:45.570	-0.105	0.735	-0.7	-0.574132	0.673196	-0.491172	0.4635	-0.378	0.3555	0	72	489	1
2026-02-19	12:40:45.590	0.315	1.085	-0.595	-0.57584	0.674416	-0.486536	0.4575	-0.378	0.3585	0	72	489	1
2026-02-19	12:40:45.610	0.35	1.54	-0.735	-0.579012	0.672464	-0.489464	0.4605	-0.3795	0.366	0	64	491	1
2026-02-19	12:40:45.630	0.175	2.03	-0.91	-0.579256	0.675148	-0.488976	0.456	-0.3645	0.3525	0	64	491	1
2026-02-19	12:40:45.650	0.07	2.345	-1.085	-0.5856	0.682224	-0.489952	0.465	-0.3795	0.3615	0	64	491	1
2026-02-19	12:40:45.670	-0.245	2.66	-1.33	-0.59048	0.682224	-0.486292	0.4575	-0.369	0.357	0	64	491	1
2026-02-19	12:40:45.690	-0.49	2.695	-1.575	-0.59292	0.676368	-0.482876	0.4635	-0.372	0.354	0	64	491	1
2026-02-19	12:40:45.710	-0.84	2.415	-1.68	-0.598776	0.675148	-0.483608	0.4635	-0.372	0.354	0	64	491	1
2026-02-19	12:40:45.730	-0.945	1.89	-1.435	-0.592676	0.667828	-0.478972	0.4635	-0.3735	0.351	0	64	491	1
2026-02-19	12:40:45.750	-0.91	1.54	-1.295	-0.59292	0.668804	-0.484096	0.4665	-0.372	0.3555	0	64	491	1
2026-02-19	12:40:45.770	-0.49	1.225	-0.945	-0.589016	0.66856	-0.479948	0.465	-0.3675	0.36	0	64	491	1
2026-02-19	12:40:45.790	-0.14	0.91	-0.56	-0.591944	0.674172	-0.482388	0.4605	-0.369	0.3525	0	64	491	1
2026-02-19	12:40:43.810	1.89	-1.995	-4.935	-0.571448	0.704184	-0.4758	0.429	-0.408	0.3405	0	120	358	3
2026-02-19	12:40:43.830	1.61	-2.765	-4.935	-0.560224	0.702476	-0.484096	0.432	-0.405	0.336	0	120	358	3
2026-02-19	12:40:43.850	2.275	-3.535	-4.305	-0.554368	0.688568	-0.483608	0.4305	-0.405	0.3375	0	120	358	3
2026-02-19	12:40:43.870	3.115	-3.99	-3.535	-0.549976	0.691984	-0.48068	0.4335	-0.402	0.3405	0	120	358	3
2026-02-19	12:40:43.890	3.535	-3.71	-3.885	-0.546316	0.706136	-0.48434	0.435	-0.4005	0.3435	0	120	358	3
2026-02-19	12:40:43.910	4.13	-2.8	-4.795	-0.5368	0.720288	-0.492148	0.429	-0.4005	0.345	0	120	358	3
2026-02-19	12:40:43.930	3.99	-1.82	-5.67	-0.529236	0.729804	-0.481412	0.429	-0.4005	0.3375	0	120	358	3
