yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:40:44.810	-4.935	2.695	-4.795	0.922076	-0.166652	0.345992	-0.288	0.669	-0.4845	0	190	334	3
2026-02-19	12:40:44.830	-3.92	3.815	-2.555	0.919392	-0.167628	0.334036	-0.2895	0.672	-0.489	0	190	334	3
2026-02-19	12:40:44.850	-4.305	5.11	-0.385	0.927444	-0.16958	0.31964	-0.288	0.6675	-0.4875	0	190	334	3
2026-02-19	12:40:44.870	-5.18	5.88	1.365	0.925492	-0.163968	0.310612	-0.291	0.666	-0.4815	0	190	334	3
2026-02-19	12:40:44.890	-6.09	6.265	2.555	0.92964	-0.15982	0.305244	-0.288	0.684	-0.4815	0	190	334	3
2026-02-19	12:40:44.910	-7.105	6.265	2.905	0.926468	-0.148108	0.308416	-0.2835	0.6765	-0.4875	0	190	334	3
2026-02-19	12:40:44.930	-8.435	5.81	2.415	0.920368	-0.128832	0.3172	-0.2835	0.669	-0.4785	0	190	334	3
2026-02-19	12:40:44.950	-10.745	4.865	1.085	0.914268	-0.117608	0.3294	-0.2895	0.678	-0.4845	0	190	334	3
2026-02-19	12:40:44.970	-12.915	3.815	-0.735	0.90768	-0.11468	0.342332	-0.2865	0.6795	-0.483	0	190	334	3
2026-02-19	12:40:44.990	-13.65	2.87	-2.45	0.91378	-0.118584	0.347944	-0.2865	0.675	-0.48	0	190	334	3
2026-02-19	12:40:45.010	-13.895	2.135	-3.92	0.912316	-0.129808	0.353312	-0.2865	0.6735	-0.4755	0	179	333	3
2026-02-19	12:40:45.030	-13.23	1.505	-5.005	0.918904	-0.147864	0.351848	-0.282	0.6795	-0.477	0	179	333	3
2026-02-19	12:40:45.050	-11.515	1.015	-5.6	0.919636	-0.158844	0.345016	-0.2775	0.681	-0.477	0	179	333	3
2026-02-19	12:40:45.070	-9.065	0.63	-5.74	0.91866	-0.165432	0.3355	-0.279	0.681	-0.471	0	179	333	3
2026-02-19	12:40:45.090	-6.825	0.385	-5.425	0.91988	-0.16592	0.330132	-0.282	0.684	-0.471	0	179	333	3
2026-02-19	12:40:45.110	-5.565	0.28	-4.795	0.915488	-0.1708	0.327204	-0.2835	0.6855	-0.4785	0	179	333	3
2026-02-19	12:40:45.130	-5.95	0.595	-3.29	0.912072	-0.168604	0.332328	-0.285	0.684	-0.4845	0	179	333	3
2026-02-19	12:40:45.150	-7.315	0.875	-2.17	0.91012	-0.161772	0.339892	-0.288	0.687	-0.477	0	179	333	3
2026-02-19	12:40:45.170	-8.855	1.155	-1.12	0.910852	-0.160796	0.347456	-0.2805	0.6855	-0.474	0	179	333	3
2026-02-19	12:40:45.190	-10.045	1.365	-0.315	0.909632	-0.163724	0.353556	-0.2805	0.6855	-0.48	0	179	333	3
2026-02-19	12:40:45.210	-10.5	1.68	0.175	0.912072	-0.16348	0.358436	-0.2835	0.687	-0.4785	0	165	335	2
2026-02-19	12:40:45.230	-10.43	1.995	0.595	0.91256	-0.166652	0.354776	-0.288	0.687	-0.477	0	165	335	2
2026-02-19	12:40:45.250	-10.045	2.17	1.015	0.913048	-0.166652	0.353556	-0.291	0.687	-0.4785	0	165	335	2
2026-02-19	12:40:45.270	-9.345	2.24	1.225	0.914512	-0.171288	0.35136	-0.2865	0.6885	-0.4785	0	165	335	2
2026-02-19	12:40:45.290	-8.19	2.17	1.33	0.91622	-0.175924	0.350872	-0.282	0.6885	-0.4755	0	165	335	2
2026-02-19	12:40:45.310	-5.775	1.68	1.505	0.913048	-0.180804	0.346968	-0.2835	0.687	-0.4755	0	165	335	2
2026-02-19	12:40:45.330	-3.885	1.19	1.645	0.912316	-0.18178	0.342576	-0.276	0.6885	-0.477	0	165	335	2
2026-02-19	12:40:45.350	-1.89	0.84	1.785	0.91378	-0.182756	0.345016	-0.285	0.6885	-0.4665	0	165	335	2
2026-02-19	12:40:45.370	-0.035	0.63	1.995	0.914756	-0.177144	0.34282	-0.2895	0.69	-0.474	0	165	335	2
2026-02-19	12:40:45.390	1.96	0.385	2.24	0.91988	-0.178364	0.339404	-0.2805	0.69	-0.4785	0	165	335	2
2026-02-19	12:40:45.410	4.025	0.07	2.45	0.912804	-0.165188	0.34038	-0.2775	0.684	-0.468	0	148	339	2
2026-02-19	12:40:45.430	5.6	-0.315	2.625	0.910608	-0.162748	0.337696	-0.279	0.693	-0.471	0	148	339	2
2026-02-19	12:40:45.450	6.37	-0.595	2.625	0.912316	-0.155672	0.33672	-0.2835	0.6945	-0.4755	0	148	339	2
2026-02-19	12:40:45.470	6.44	-0.91	2.45	0.911096	-0.151036	0.34282	-0.288	0.693	-0.477	0	148	339	2
2026-02-19	12:40:45.490	5.95	-1.12	2.065	0.91256	-0.148352	0.345016	-0.282	0.696	-0.4755	0	148	339	2
2026-02-19	12:40:45.510	5.075	-1.05	1.645	0.912804	-0.149328	0.348676	-0.273	0.693	-0.4725	0	148	339	2
2026-02-19	12:40:45.530	3.99	-0.875	1.155	0.917196	-0.153964	0.3538	-0.273	0.687	-0.474	0	148	339	2
2026-02-19	12:40:45.550	3.045	-0.595	0.805	0.921588	-0.158112	0.357704	-0.279	0.69	-0.4755	0	148	339	2
2026-02-19	12:40:45.570	2.45	-0.35	0.595	0.923052	-0.164944	0.357948	-0.279	0.687	-0.4755	0	148	339	2
2026-02-19	12:40:45.590	2.415	-0.035	0.595	0.923784	-0.165432	0.359168	-0.279	0.6885	-0.4785	0	148	339	2
2026-02-19	12:40:45.610	2.66	0.14	0.875	0.921344	-0.16958	0.356728	-0.2805	0.69	-0.477	0	132	343	2
2026-02-19	12:40:45.630	3.185	0.35	1.295	0.9272	-0.167384	0.351116	-0.279	0.69	-0.4785	0	132	343	2
2026-02-19	12:40:45.650	3.955	0.455	1.75	0.925492	-0.165432	0.342088	-0.279	0.696	-0.4815	0	132	343	2
2026-02-19	12:40:45.670	4.795	0.21	1.925	0.916708	-0.154452	0.334768	-0.279	0.696	-0.4815	0	132	343	2
2026-02-19	12:40:45.690	5.075	-0.175	1.855	0.91012	-0.145912	0.337208	-0.2745	0.6885	-0.4815	0	132	343	2
2026-02-19	12:40:45.710	4.76	-0.28	1.82	0.913536	-0.142008	0.335988	-0.282	0.6915	-0.477	0	132	343	2
2026-02-19	12:40:45.730	3.885	-0.315	1.645	0.91134	-0.137616	0.3355	-0.2805	0.693	-0.4755	0	132	343	2
2026-02-19	12:40:45.750	2.73	-0.245	1.225	0.921588	-0.142252	0.338916	-0.2775	0.6915	-0.4785	0	132	343	2
2026-02-19	12:40:45.770	1.575	-0.315	0.63	0.925492	-0.141276	0.340624	-0.2775	0.6855	-0.48	0	132	343	2
2026-02-19	12:40:45.790	0.49	-0.245	0	0.92598	-0.146888	0.34526	-0.2805	0.6855	-0.4815	0	132	343	2
2026-02-19	12:40:43.810	16.94	-4.515	37.94	0.970144	-0.106872	0.390156	-0.3345	0.672	-0.399	0	179	468	1
2026-02-19	12:40:43.830	22.155	1.925	33.25	0.985028	0.018544	0.466284	-0.342	0.678	-0.399	0	179	468	1
2026-02-19	12:40:43.850	26.215	11.48	25.795	0.976488	0.091256	0.474092	-0.3345	0.6795	-0.402	0	179	468	1
2026-02-19	12:40:43.870	38.395	19.25	16.94	0.95892	0.17568	0.40748	-0.327	0.684	-0.4035	0	179	468	1
2026-02-19	12:40:43.890	55.09	21.105	9.66	0.93818	0.184464	0.359168	-0.3225	0.6825	-0.4005	0	179	468	1
2026-02-19	12:40:43.910	50.19	18.06	1.96	0.931592	0.122488	0.353068	-0.3255	0.672	-0.42	0	179	468	1
2026-02-19	12:40:43.930	17.22	16.695	0.14	0.94184	0.014152	0.357948	-0.3225	0.6705	-0.426	0	179	468	1
2026-02-19	12:40:43.950	-19.39	17.605	0.035	0.9394	-0.068808	0.333548	-0.3225	0.6705	-0.4335	0	179	468	1
2026-02-19	12:40:43.970	-44.66	17.955	-0.105	0.94672	-0.13786	0.282552	-0.3195	0.6705	-0.4335	0	179	468	1
2026-02-19	12:40:43.990	-56.91	18.13	0.56	0.943792	-0.19642	0.216672	-0.3135	0.6765	-0.438	0	179	468	1
2026-02-19	12:40:44.010	-55.965	17.325	3.045	0.945744	-0.226188	0.175924	-0.3165	0.6855	-0.4365	0	188	420	1
2026-02-19	12:40:44.030	-45.85	17.08	6.685	0.937204	-0.27328	0.154696	-0.315	0.6885	-0.429	0	188	420	1
2026-02-19	12:40:44.050	-30.905	17.01	11.095	0.936228	-0.294508	0.167872	-0.3105	0.69	-0.4275	0	188	420	1
2026-02-19	12:40:44.070	-15.645	17.08	15.68	0.916708	-0.306952	0.160796	-0.306	0.6885	-0.4365	0	188	420	1
2026-02-19	12:40:44.090	5.67	14.245	22.435	0.919392	-0.260836	0.162504	-0.306	0.6885	-0.4365	0	188	420	1
2026-02-19	12:40:44.110	13.65	11.76	25.41	0.921344	-0.22204	0.169824	-0.3045	0.696	-0.435	0	188	420	1
2026-02-19	12:40:44.130	18.48	8.68	26.775	0.934764	-0.200568	0.182756	-0.3015	0.7035	-0.435	0	188	420	1
2026-02-19	12:40:44.150	21.98	5.6	26.39	0.948184	-0.182756	0.194712	-0.297	0.7035	-0.438	0	188	420	1
2026-02-19	12:40:44.170	25.41	2.135	24.185	0.953552	-0.168604	0.20984	-0.297	0.702	-0.441	0	188	420	1
2026-02-19	12:40:44.190	29.295	-1.33	20.51	0.959164	-0.158112	0.227896	-0.297	0.7065	-0.4425	0	188	420	1
2026-02-19	12:40:44.210	33.39	-3.745	15.89	0.960628	-0.141276	0.251076	-0.291	0.711	-0.447	0	196	379	2
2026-02-19	12:40:44.230	36.26	-6.3	11.13	0.951356	-0.121024	0.271572	-0.2865	0.705	-0.453	0	196	379	2
2026-02-19	12:40:44.250	35.805	-8.365	6.02	0.935496	-0.101504	0.304268	-0.2835	0.7035	-0.4545	0	196	379	2
2026-02-19	12:40:44.270	32.41	-8.925	2.66	0.925248	-0.095892	0.347944	-0.279	0.7065	-0.4545	0	196	379	2
2026-02-19	12:40:44.290	29.61	-8.47	0.63	0.921832	-0.083448	0.376492	-0.2895	0.6975	-0.462	0	196	379	2
2026-02-19	12:40:44.310	28.49	-7.945	-0.63	0.927688	-0.064172	0.405528	-0.288	0.6885	-0.4515	0	196	379	2
2026-02-19	12:40:44.330	29.4	-7	-1.82	0.928176	-0.046116	0.41846	-0.294	0.696	-0.4545	0	196	379	2
2026-02-19	12:40:44.350	30.695	-5.775	-3.535	0.938668	-0.042456	0.418948	-0.288	0.69	-0.453	0	196	379	2
2026-02-19	12:40:44.370	32.585	-5.005	-5.285	0.949892	-0.053924	0.400648	-0.2985	0.69	-0.4635	0	196	379	2
2026-02-19	12:40:44.390	33.11	-4.27	-7.21	0.953308	-0.06344	0.3843	-0.2925	0.681	-0.4665	0	196	379	2
2026-02-19	12:40:44.410	29.89	-2.8	-8.54	0.949648	-0.093208	0.37698	-0.3015	0.6735	-0.462	0	199	352	3
2026-02-19	12:40:44.430	22.015	0.525	-8.155	0.942328	-0.110776	0.358436	-0.2955	0.669	-0.468	0	199	352	3
2026-02-19	12:40:44.450	12.74	4.41	-5.635	0.94062	-0.133468	0.316712	-0.294	0.669	-0.468	0	199	352	3
