yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:40:44.810	-2.94	7.455	7.14	0.849364	0.43066	0.484096	-0.5955	0.1395	0.2235	0	208	543	3
2026-02-19	12:40:44.830	0.385	2.52	3.57	0.837896	0.417484	0.38308	-0.594	0.132	0.219	0	208	543	3
2026-02-19	12:40:44.850	-6.37	-1.435	1.365	0.841556	0.399184	0.362584	-0.5955	0.135	0.2235	0	208	543	3
2026-02-19	12:40:44.870	-12.67	-4.025	0.56	0.850584	0.376492	0.382836	-0.591	0.1365	0.216	0	208	543	3
2026-02-19	12:40:44.890	-16.8	-4.9	0.595	0.848632	0.351848	0.37454	-0.5865	0.141	0.219	0	208	543	3
2026-02-19	12:40:44.910	-14.735	-5.32	1.085	0.84912	0.336476	0.373564	-0.597	0.1365	0.2145	0	208	543	3
2026-02-19	12:40:44.930	-9.485	-5.145	1.68	0.854488	0.339404	0.368928	-0.6015	0.1455	0.2175	0	208	543	3
2026-02-19	12:40:44.950	-3.5	-5.075	2.59	0.862784	0.34038	0.360876	-0.6	0.156	0.219	0	208	543	3
2026-02-19	12:40:44.970	0.91	-5.18	2.87	0.863028	0.34648	0.359656	-0.603	0.144	0.219	0	208	543	3
2026-02-19	12:40:44.990	2.835	-5.04	2.835	0.864492	0.361364	0.373076	-0.591	0.1485	0.219	0	208	543	3
2026-02-19	12:40:45.010	1.68	-4.06	1.785	0.869372	0.3599	0.375028	-0.597	0.153	0.213	0	202	516	3
2026-02-19	12:40:45.030	1.715	-1.96	0.735	0.890356	0.369904	0.429196	-0.597	0.1515	0.216	0	202	516	3
2026-02-19	12:40:45.050	6.685	-2.275	0.595	0.885232	0.343796	0.402844	-0.597	0.1515	0.216	0	202	516	3
2026-02-19	12:40:45.070	13.545	-2.135	-0.525	0.897188	0.348676	0.3904	-0.588	0.1455	0.222	0	202	516	3
2026-02-19	12:40:45.090	15.505	-0.98	-0.455	0.902068	0.33184	0.36112	-0.5985	0.15	0.2145	0	202	516	3
2026-02-19	12:40:45.110	16.38	-0.98	-0.21	0.90646	0.340624	0.350872	-0.6	0.1515	0.219	0	202	516	3
2026-02-19	12:40:45.130	12.845	-1.19	0.7	0.913536	0.332816	0.349164	-0.6	0.141	0.2295	0	202	516	3
2026-02-19	12:40:45.150	10.535	-1.26	0.84	0.903776	0.33184	0.345992	-0.6075	0.1395	0.2265	0	202	516	3
2026-02-19	12:40:45.170	7.735	-1.505	0.945	0.900604	0.333304	0.345504	-0.6	0.1455	0.2265	0	202	516	3
2026-02-19	12:40:45.190	8.435	-1.435	0.56	0.89914	0.332572	0.355996	-0.597	0.1395	0.228	0	202	516	3
2026-02-19	12:40:45.210	8.26	-1.68	-0.49	0.89304	0.346968	0.35624	-0.5985	0.141	0.234	0	193	487	3
2026-02-19	12:40:45.230	5.145	-1.715	-0.805	0.887428	0.332572	0.367708	-0.594	0.1425	0.2265	0	193	487	3
2026-02-19	12:40:45.250	3.675	-1.75	-0.77	0.888404	0.349408	0.368196	-0.603	0.1365	0.231	0	193	487	3
2026-02-19	12:40:45.270	1.61	-2.31	-0.455	0.874008	0.33306	0.365024	-0.606	0.135	0.237	0	193	487	3
2026-02-19	12:40:45.290	2.345	-2.205	0.525	0.87352	0.344528	0.386984	-0.603	0.1425	0.2295	0	193	487	3
2026-02-19	12:40:45.310	0.84	-1.785	1.33	0.879376	0.349652	0.400404	-0.6015	0.132	0.2265	0	193	487	3
2026-02-19	12:40:45.330	2.45	-1.435	1.96	0.875472	0.350872	0.39772	-0.6015	0.135	0.231	0	193	487	3
2026-02-19	12:40:45.350	5.005	-0.56	2.205	0.883524	0.345748	0.391132	-0.603	0.138	0.2355	0	193	487	3
2026-02-19	12:40:45.370	8.82	-0.105	2.52	0.881816	0.326228	0.376004	-0.6045	0.135	0.234	0	193	487	3
2026-02-19	12:40:45.390	11.97	0.56	2.835	0.887916	0.34038	0.367708	-0.6045	0.135	0.2355	0	193	487	3
2026-02-19	12:40:45.410	10.43	1.015	3.43	0.878644	0.344772	0.36234	-0.6105	0.141	0.237	0	182	459	3
2026-02-19	12:40:45.430	9.135	2.31	3.815	0.89182	0.34282	0.377468	-0.606	0.138	0.24	0	182	459	3
2026-02-19	12:40:45.450	8.82	3.115	4.06	0.8906	0.347944	0.377224	-0.603	0.1395	0.2385	0	182	459	3
2026-02-19	12:40:45.470	10.395	3.85	5.495	0.873032	0.33794	0.38064	-0.597	0.1335	0.231	0	182	459	3
2026-02-19	12:40:45.490	14.665	5.285	5.705	0.875228	0.360144	0.40504	-0.5985	0.1365	0.2415	0	182	459	3
2026-02-19	12:40:45.510	16.555	6.37	6.265	0.874252	0.371368	0.409432	-0.6045	0.132	0.237	0	182	459	3
2026-02-19	12:40:45.530	13.895	7	7.105	0.871812	0.368196	0.400648	-0.6075	0.1305	0.2445	0	182	459	3
2026-02-19	12:40:45.550	11.9	8.47	7.84	0.856196	0.353312	0.377956	-0.6015	0.1305	0.24	0	182	459	3
2026-02-19	12:40:45.570	10.64	8.26	8.925	0.851316	0.372588	0.387716	-0.603	0.1275	0.243	0	182	459	3
2026-02-19	12:40:45.590	8.19	7.945	8.365	0.85522	0.366244	0.383812	-0.6045	0.1305	0.243	0	182	459	3
2026-02-19	12:40:45.610	9.415	7.945	8.4	0.861564	0.322324	0.355264	-0.606	0.1305	0.24	0	168	438	1
2026-02-19	12:40:45.630	11.935	8.085	9.31	0.876204	0.343064	0.367708	-0.606	0.1305	0.2445	0	168	438	1
2026-02-19	12:40:45.650	12.95	8.435	10.185	0.876204	0.345016	0.374296	-0.6045	0.132	0.252	0	168	438	1
2026-02-19	12:40:45.670	13.685	8.61	10.815	0.883036	0.337696	0.36844	-0.603	0.1275	0.243	0	168	438	1
2026-02-19	12:40:45.690	14.455	8.365	11.025	0.8906	0.343552	0.355508	-0.612	0.132	0.24	0	168	438	1
2026-02-19	12:40:45.710	16.1	7.945	11.34	0.895236	0.322568	0.340624	-0.6075	0.1245	0.2475	0	168	438	1
2026-02-19	12:40:45.730	18.725	7.42	11.62	0.896212	0.3233	0.33794	-0.6045	0.132	0.2475	0	168	438	1
2026-02-19	12:40:45.750	18.55	7.84	12.25	0.899872	0.335256	0.354044	-0.609	0.1335	0.2505	0	168	438	1
2026-02-19	12:40:45.770	17.115	7.525	12.32	0.898896	0.336964	0.363804	-0.6015	0.129	0.252	0	168	438	1
2026-02-19	12:40:45.790	17.185	6.86	12.04	0.899384	0.325252	0.363316	-0.612	0.132	0.255	0	168	438	1
2026-02-19	12:40:43.810	49.105	11.585	72.66	0.726632	0.556564	0.641964	-0.4515	0.138	0.1455	0	224	659	1
2026-02-19	12:40:43.830	36.82	11.76	66.92	0.717604	0.549732	0.62952	-0.459	0.144	0.15	0	224	659	1
2026-02-19	12:40:43.850	33.25	12.32	58.87	0.706136	0.57828	0.636352	-0.4635	0.1425	0.1485	0	224	659	1
2026-02-19	12:40:43.870	31.15	12.285	52.045	0.687836	0.55998	0.611952	-0.468	0.138	0.1485	0	224	659	1
2026-02-19	12:40:43.890	28.875	10.92	44.485	0.67466	0.599508	0.639036	-0.4725	0.1365	0.1515	0	224	659	1
2026-02-19	12:40:43.910	20.195	9.45	36.96	0.679052	0.601704	0.599264	-0.4785	0.1395	0.153	0	224	659	1
2026-02-19	12:40:43.930	14.56	8.575	31.045	0.653676	0.519964	0.517768	-0.483	0.135	0.165	0	224	659	1
2026-02-19	12:40:43.950	16.345	5.355	25.235	0.628056	0.5307	0.538264	-0.4905	0.129	0.162	0	224	659	1
2026-02-19	12:40:43.970	19.495	-0.665	20.055	0.622444	0.474824	0.504104	-0.4875	0.1365	0.1545	0	224	659	1
2026-02-19	12:40:43.990	15.33	-10.08	18.55	0.59292	0.508008	0.506788	-0.4905	0.132	0.174	0	224	659	1
2026-02-19	12:40:44.010	0.945	-16.1	15.82	0.63562	0.538752	0.550952	-0.492	0.1275	0.168	0	225	647	1
2026-02-19	12:40:44.030	-19.915	-22.12	12.355	0.688568	0.502884	0.533872	-0.501	0.138	0.168	0	225	647	1
2026-02-19	12:40:44.050	-32.585	-24.675	9.905	0.727364	0.46604	0.53314	-0.507	0.132	0.1665	0	225	647	1
2026-02-19	12:40:44.070	-34.055	-24.43	6.965	0.753228	0.421388	0.539484	-0.5085	0.141	0.174	0	225	647	1
2026-02-19	12:40:44.090	-26.985	-24.01	5.11	0.757864	0.365268	0.505324	-0.5175	0.138	0.171	0	225	647	1
2026-02-19	12:40:44.110	-14.91	-22.645	4.095	0.776896	0.367952	0.523624	-0.5115	0.138	0.1575	0	225	647	1
2026-02-19	12:40:44.130	-5.915	-21.98	5.74	0.7869	0.352092	0.49776	-0.516	0.15	0.1605	0	225	647	1
2026-02-19	12:40:44.150	-1.96	-21.595	7.665	0.793976	0.33062	0.479704	-0.522	0.147	0.1695	0	225	647	1
2026-02-19	12:40:44.170	1.12	-21.735	9.695	0.83326	0.35868	0.46116	-0.519	0.1515	0.1725	0	225	647	1
2026-02-19	12:40:44.190	-2.38	-21.945	9.1	0.845704	0.346968	0.428708	-0.5175	0.1575	0.1755	0	225	647	1
2026-02-19	12:40:44.210	-5.18	-22.47	8.505	0.830088	0.335744	0.485072	-0.534	0.147	0.171	0	222	627	1
2026-02-19	12:40:44.230	-6.51	-24.15	8.4	0.87108	0.361852	0.486292	-0.5385	0.156	0.174	0	222	627	1
2026-02-19	12:40:44.250	-11.305	-26.18	8.085	0.841556	0.352824	0.503616	-0.543	0.15	0.168	0	222	627	1
2026-02-19	12:40:44.270	-9.52	-28.455	7.595	0.8296	0.31476	0.475068	-0.537	0.1425	0.174	0	222	627	1
2026-02-19	12:40:44.290	-4.55	-30.415	7	0.809348	0.360388	0.460672	-0.549	0.153	0.1785	0	222	627	1
