yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:58:06.210	-5.95	5.46	-4.97	0.034892	0.981612	-0.23424	0.246	-0.4245	0.48	0	170	295	3
2026-02-19	12:58:06.230	-8.19	4.97	-2.73	0.002196	1.008452	-0.249612	0.243	-0.423	0.4875	0	170	295	3
2026-02-19	12:58:06.250	-21.105	13.23	-1.855	-0.005612	0.99918	-0.243268	0.2415	-0.426	0.4785	0	170	295	3
2026-02-19	12:58:06.270	-25.235	5.53	-0.7	-0.02806	0.993812	-0.230336	0.2475	-0.423	0.471	0	170	295	3
2026-02-19	12:58:06.290	-17.78	-3.815	0	-0.037332	0.99918	-0.248636	0.2445	-0.432	0.4755	0	170	295	3
2026-02-19	12:58:06.310	-2.03	-7.455	0.175	-0.037088	1.018456	-0.225212	0.2415	-0.4275	0.462	0	170	295	3
2026-02-19	12:58:06.330	3.815	-5.88	-1.225	-0.009272	1.001376	-0.179584	0.243	-0.432	0.48	0	170	295	3
2026-02-19	12:58:06.350	2.24	-3.605	-2.135	-0.036844	1.017236	-0.139324	0.243	-0.4305	0.4755	0	170	295	3
2026-02-19	12:58:06.370	2.345	-2.625	-3.36	-0.025132	1.00162	-0.185196	0.255	-0.426	0.471	0	170	295	3
2026-02-19	12:58:06.390	2.765	-1.05	-4.13	-0.023668	0.997716	-0.208376	0.2475	-0.426	0.471	0	170	295	3
2026-02-19	12:58:06.410	1.435	-0.315	-3.115	-0.02562	0.995276	-0.185928	0.2445	-0.432	0.4815	0	161	283	2
2026-02-19	12:58:06.430	0.56	-1.89	-2.1	-0.027572	1.003084	-0.202764	0.2445	-0.432	0.4815	0	161	283	2
2026-02-19	12:58:06.450	1.33	-1.75	-2.835	-0.031232	0.994544	-0.206668	0.2445	-0.432	0.4815	0	161	283	2
2026-02-19	12:58:06.470	2.765	-0.14	-3.5	-0.029036	1.009184	-0.193492	0.246	-0.4275	0.4755	0	161	283	2
2026-02-19	12:58:06.490	4.34	-0.14	-3.045	-0.034892	1.021628	-0.200324	0.249	-0.4245	0.4725	0	161	283	2
2026-02-19	12:58:06.510	7.735	0.245	-4.095	-0.034892	1.033096	-0.21472	0.2505	-0.426	0.4725	0	161	283	2
2026-02-19	12:58:06.530	10.22	1.47	-4.9	-0.036112	1.031144	-0.199104	0.252	-0.423	0.474	0	161	283	2
2026-02-19	12:58:06.550	9.52	1.715	-4.375	-0.028792	1.015284	-0.194712	0.249	-0.4275	0.477	0	161	283	2
2026-02-19	12:58:06.570	8.225	3.185	-5.25	-0.025376	0.998448	-0.200568	0.246	-0.4275	0.4785	0	161	283	2
2026-02-19	12:58:06.590	6.265	5.775	-7.105	-0.030012	0.995276	-0.198372	0.252	-0.42	0.4755	0	161	283	2
2026-02-19	12:58:06.610	2.87	6.72	-7.665	-0.030744	0.981856	-0.214232	0.258	-0.4215	0.471	0	150	267	2
2026-02-19	12:58:06.630	-1.155	5.6	-5.74	-0.033672	0.978196	-0.221064	0.261	-0.4245	0.4755	0	150	267	2
2026-02-19	12:58:06.650	-5.39	4.48	-3.29	-0.043432	1.000156	-0.213012	0.2565	-0.423	0.4725	0	150	267	2
2026-02-19	12:58:06.670	-4.62	4.55	-2.45	-0.04148	1.005524	-0.212768	0.255	-0.426	0.4725	0	150	267	2
2026-02-19	12:58:06.690	-0.175	4.41	-3.395	-0.046116	1.009672	-0.199592	0.2565	-0.426	0.4785	0	150	267	2
