yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:58:06.210	21.77	-16.24	-1.4	0.22082	-0.765184	0.721752	0.2235	0.855	-0.4245	0	438	328	2
2026-02-19	12:58:06.230	14.735	-14.91	-2.135	0.26352	-0.624884	0.628544	0.2235	0.8565	-0.4305	0	438	328	2
2026-02-19	12:58:06.250	-0.665	-11.55	-7.14	0.295484	-0.682956	0.578768	0.222	0.8595	-0.4305	0	438	328	2
2026-02-19	12:58:06.270	-3.325	-7.525	-8.68	0.321348	-0.841556	0.598044	0.2205	0.858	-0.432	0	438	328	2
2026-02-19	12:58:06.290	1.89	-5.39	-7.42	0.327692	-0.788364	0.61976	0.219	0.8565	-0.4365	0	438	328	2
2026-02-19	12:58:06.310	2.135	-3.885	-6.475	0.305244	-0.762012	0.640256	0.219	0.855	-0.432	0	438	328	2
2026-02-19	12:58:06.330	-8.68	-2.625	-6.58	0.273524	-0.748104	0.620004	0.2205	0.8535	-0.432	0	438	328	2
2026-02-19	12:58:06.350	-20.3	-5.215	-7.77	0.27816	-0.763476	0.56486	0.2145	0.858	-0.435	0	438	328	2
2026-02-19	12:58:06.370	-21.21	-4.97	-7.63	0.2623	-0.798368	0.571448	0.2115	0.8625	-0.435	0	438	328	2
2026-02-19	12:58:06.390	-19.53	-5.565	-7.525	0.256688	-0.73322	0.585112	0.213	0.861	-0.426	0	438	328	2
2026-02-19	12:58:06.410	-19.6	-5.005	-8.715	0.257176	-0.712724	0.56486	0.21	0.867	-0.4185	0	398	388	2
2026-02-19	12:58:06.430	-21.315	-4.655	-8.855	0.269132	-0.836188	0.56364	0.2085	0.864	-0.423	0	398	388	2
2026-02-19	12:58:06.450	-16.59	-4.655	-5.215	0.290848	-0.920612	0.577792	0.2025	0.876	-0.4185	0	398	388	2
2026-02-19	12:58:06.470	-3.71	-4.725	0.07	0.2806	-0.857172	0.584624	0.204	0.8625	-0.4215	0	398	388	2
2026-02-19	12:58:06.490	-0.35	-5.04	3.255	0.277184	-0.832284	0.57584	0.2175	0.8745	-0.4155	0	398	388	2
2026-02-19	12:58:06.510	0.805	-4.305	6.02	0.288652	-0.8723	0.570472	0.201	0.8715	-0.4305	0	398	388	2
2026-02-19	12:58:06.530	9.485	-3.605	9.87	0.282064	-0.827648	0.576328	0.2055	0.8685	-0.42	0	398	388	2
2026-02-19	12:58:06.550	14.35	-3.78	11.97	0.277428	-0.770064	0.551928	0.2025	0.864	-0.42	0	398	388	2
2026-02-19	12:58:06.570	12.53	-4.445	12.32	0.267912	-0.727608	0.55266	0.204	0.861	-0.4215	0	398	388	2
2026-02-19	12:58:06.590	7.35	-4.235	11.305	0.260104	-0.732732	0.560712	0.2115	0.8625	-0.4245	0	398	388	2
2026-02-19	12:58:06.610	6.195	-2.695	9.275	0.255956	-0.72346	0.580232	0.2145	0.864	-0.4245	0	363	445	1
2026-02-19	12:58:06.630	4.095	-0.63	6.825	0.259616	-0.739076	0.576328	0.2205	0.8595	-0.4245	0	363	445	1
2026-02-19	12:58:06.650	1.33	1.225	5.285	0.2623	-0.773724	0.545096	0.2115	0.8655	-0.432	0	363	445	1
2026-02-19	12:58:06.670	-0.735	0.875	4.865	0.264008	-0.76372	0.55632	0.219	0.8655	-0.429	0	363	445	1
2026-02-19	12:58:06.690	-5.285	1.295	4.935	0.262544	-0.786656	0.577304	0.204	0.861	-0.4275	0	363	445	1
2026-02-19	12:58:06.710	-1.225	1.54	4.725	0.26718	-0.7503	0.557052	0.2205	0.861	-0.426	0	363	445	1
2026-02-19	12:58:06.730	-4.165	1.47	3.08	0.2623	-0.74176	0.554612	0.2145	0.864	-0.426	0	363	445	1
2026-02-19	12:58:06.750	-10.325	0.455	1.82	0.26718	-0.761768	0.544608	0.2115	0.8685	-0.426	0	363	445	1
2026-02-19	12:58:06.770	-13.37	-1.015	1.68	0.271816	-0.779336	0.534604	0.216	0.867	-0.426	0	363	445	1
2026-02-19	12:58:06.790	-9.905	-1.505	1.47	0.2745	-0.790316	0.55144	0.216	0.8655	-0.4245	0	363	445	1
2026-02-19	12:58:06.810	-5.6	-1.19	1.68	0.269376	-0.795684	0.54656	0.216	0.873	-0.42	0	332	486	1
2026-02-19	12:58:06.830	-6.51	-2.835	1.82	0.262788	-0.79056	0.5429	0.2235	0.87	-0.414	0	332	486	1
2026-02-19	12:58:06.850	-6.895	-3.745	1.89	0.2562	-0.789828	0.547048	0.2235	0.864	-0.414	0	332	486	1
2026-02-19	12:58:06.870	-5.04	-3.85	2.03	0.258396	-0.806176	0.546316	0.2205	0.8685	-0.4125	0	332	486	1
2026-02-19	12:58:06.890	2.625	-0.175	2.52	0.261568	-0.79056	0.55144	0.222	0.8715	-0.4095	0	332	486	1
2026-02-19	12:58:06.910	3.5	1.61	2.45	0.263032	-0.773724	0.547048	0.2145	0.864	-0.4215	0	332	486	1
2026-02-19	12:58:06.930	3.885	3.745	1.785	0.25864	-0.779092	0.549488	0.222	0.867	-0.408	0	332	486	1
2026-02-19	12:58:06.950	7.63	5.18	1.68	0.25986	-0.793244	0.563396	0.219	0.867	-0.4125	0	332	486	1
2026-02-19	12:58:06.970	8.505	5.985	1.96	0.255468	-0.81008	0.569008	0.2145	0.864	-0.417	0	332	486	1
2026-02-19	12:58:06.990	9.31	6.125	3.01	0.255224	-0.819352	0.5673	0.222	0.87	-0.42	0	332	486	1
2026-02-19	12:58:07.010	12.985	5.985	2.87	0.254492	-0.763232	0.559004	0.219	0.876	-0.423	0	300	512	1
2026-02-19	12:58:07.030	13.58	7.035	0.385	0.234972	-0.71858	0.54168	0.2235	0.87	-0.423	0	300	512	1
2026-02-19	12:58:07.050	2.905	5.075	-1.365	0.233996	-0.744688	0.549488	0.219	0.8655	-0.4245	0	300	512	1
2026-02-19	12:58:07.070	-2.415	2.24	-1.715	0.227652	-0.793	0.555344	0.2235	0.864	-0.423	0	300	512	1
2026-02-19	12:58:07.090	0.315	0.175	0.07	0.240584	-0.872056	0.565348	0.225	0.8655	-0.4245	0	300	512	1
2026-02-19	12:58:07.110	6.23	-0.77	4.41	0.236924	-0.823256	0.584868	0.2205	0.87	-0.423	0	300	512	1
2026-02-19	12:58:07.130	6.965	-0.42	5.005	0.234972	-0.742248	0.591944	0.216	0.867	-0.42	0	300	512	1
2026-02-19	12:58:07.150	1.54	0.245	3.22	0.253272	-0.72712	0.567788	0.219	0.864	-0.423	0	300	512	1
2026-02-19	12:58:07.170	-3.08	1.015	1.26	0.258396	-0.727852	0.547048	0.2235	0.8625	-0.4215	0	300	512	1
2026-02-19	12:58:07.190	-5.985	1.785	-1.015	0.259128	-0.754204	0.559492	0.2235	0.8595	-0.42	0	300	512	1
2026-02-19	12:58:05.210	-26.32	5.145	-6.475	0.135664	-0.854244	0.270596	0.2535	0.9255	-0.2505	0	849	294	5
2026-02-19	12:58:05.230	-29.225	8.225	-13.685	0.181536	-0.894748	0.19032	0.2535	0.921	-0.2475	0	849	294	5
2026-02-19	12:58:05.250	-27.615	10.255	-16.765	0.2074	-0.833992	0.163236	0.252	0.921	-0.2445	0	849	294	5
2026-02-19	12:58:05.270	-29.995	8.365	-17.325	0.238388	-0.853512	0.198372	0.252	0.924	-0.24	0	849	294	5
2026-02-19	12:58:05.290	-30.065	9.52	-17.675	0.227164	-0.993812	0.244244	0.246	0.927	-0.231	0	849	294	5
2026-02-19	12:58:05.310	-23.835	8.295	-15.365	0.206912	-1.02602	0.221552	0.2475	0.9285	-0.2265	0	849	294	5
2026-02-19	12:58:05.330	-31.535	4.305	-12.565	0.188856	-0.996984	0.131272	0.2535	0.9285	-0.228	0	849	294	5
2026-02-19	12:58:05.350	-33.145	0.945	-12.845	0.162748	-1.062132	0.152744	0.243	0.9285	-0.216	0	849	294	5
2026-02-19	12:58:05.370	-24.955	-3.535	-11.655	0.157868	-1.098732	0.20252	0.237	0.9285	-0.2115	0	849	294	5
2026-02-19	12:58:05.390	-9.73	-8.225	-9.24	0.200812	-1.084336	0.26596	0.2265	0.9345	-0.21	0	849	294	5
2026-02-19	12:58:05.410	6.09	-9.135	-3.955	0.229116	-1.034316	0.275964	0.237	0.9315	-0.207	0	738	298	2
2026-02-19	12:58:05.430	9.59	-8.68	0.14	0.191052	-0.930372	0.236924	0.2355	0.945	-0.2085	0	738	298	2
2026-02-19	12:58:05.450	3.955	-7.07	2.87	0.146156	-0.903776	0.205692	0.234	0.939	-0.21	0	738	298	2
2026-02-19	12:58:05.470	3.885	-7.14	4.9	0.144204	-0.938912	0.19886	0.234	0.933	-0.2115	0	738	298	2
2026-02-19	12:58:05.490	16.275	-10.57	4.935	0.149572	-0.93086	0.120048	0.237	0.9345	-0.213	0	738	298	2
2026-02-19	12:58:05.510	32.97	-18.515	2.73	0.17568	-0.921588	0.098332	0.237	0.9345	-0.213	0	738	298	2
2026-02-19	12:58:05.530	28.945	-22.89	0.875	0.177632	-0.846924	0.1403	0.2385	0.9375	-0.2175	0	738	298	2
2026-02-19	12:58:05.550	12.6	-25.48	-1.365	0.178852	-0.89182	0.18666	0.237	0.9285	-0.2265	0	738	298	2
2026-02-19	12:58:05.570	0.63	-24.745	-2.94	0.18056	-0.896456	0.217404	0.2385	0.927	-0.2295	0	738	298	2
2026-02-19	12:58:05.590	-0.42	-21.84	-4.13	0.188124	-0.905484	0.222284	0.2325	0.93	-0.2385	0	738	298	2
2026-02-19	12:58:05.610	3.64	-17.01	-6.37	0.161284	-0.906948	0.226676	0.2295	0.933	-0.24	0	640	285	2
2026-02-19	12:58:05.630	-0.805	-13.86	-9.345	0.181048	-0.909144	0.236436	0.2355	0.9285	-0.2295	0	640	285	2
2026-02-19	12:58:05.650	-4.305	-13.37	-11.025	0.207644	-0.945256	0.210816	0.237	0.9345	-0.2385	0	640	285	2
