yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:58:06.210	-67.48	-53.025	15.19	0.272548	0.504836	0.457744	-0.4545	0.393	0.0915	0	1616	588	5
2026-02-19	12:58:06.230	-24.71	-55.02	22.89	0.40016	0.582916	0.642696	-0.4605	0.4065	0.09	0	1616	588	5
2026-02-19	12:58:06.250	52.815	-46.2	16.625	0.43554	0.794464	0.74786	-0.465	0.408	0.0945	0	1616	588	5
2026-02-19	12:58:06.270	45.99	-31.15	12.11	0.417728	0.93818	0.772504	-0.468	0.4065	0.099	0	1616	588	5
2026-02-19	12:58:06.290	4.725	-25.795	6.3	0.42212	0.766892	0.791292	-0.495	0.3885	0.099	0	1616	588	5
2026-02-19	12:58:06.310	-3.15	-16.905	1.61	0.440664	0.655384	0.824232	-0.4905	0.3855	0.1065	0	1616	588	5
2026-02-19	12:58:06.330	2.905	-6.125	2.1	0.415532	0.678564	0.782508	-0.4965	0.3885	0.0975	0	1616	588	5
2026-02-19	12:58:06.350	0.7	-0.035	3.99	0.379908	0.689544	0.70028	-0.492	0.387	0.108	0	1616	588	5
2026-02-19	12:58:06.370	-4.83	0.175	6.09	0.373808	0.617808	0.619272	-0.4965	0.3885	0.108	0	1616	588	5
2026-02-19	12:58:06.390	-0.49	-0.07	11.375	0.394304	0.621956	0.597556	-0.498	0.39	0.105	0	1616	588	5
2026-02-19	12:58:06.410	18.865	0.455	9.415	0.45018	0.710284	0.629764	-0.495	0.393	0.1035	0	1580	663	5
2026-02-19	12:58:06.430	31.675	-2.45	3.325	0.428952	0.717116	0.66124	-0.492	0.393	0.1005	0	1580	663	5
2026-02-19	12:58:06.450	21.42	-2.345	0.84	0.462624	0.7442	0.717848	-0.4875	0.39	0.102	0	1580	663	5
2026-02-19	12:58:06.470	-0.84	1.96	3.255	0.46726	0.723704	0.738344	-0.4935	0.384	0.111	0	1580	663	5
2026-02-19	12:58:06.490	-11.025	8.435	8.855	0.449204	0.67344	0.67588	-0.4995	0.381	0.111	0	1580	663	5
2026-02-19	12:58:06.510	-6.055	15.995	9.275	0.436516	0.660752	0.623176	-0.495	0.3855	0.108	0	1580	663	5
2026-02-19	12:58:06.530	-0.21	14.14	7.35	0.402356	0.659288	0.593408	-0.4935	0.3885	0.108	0	1580	663	5
2026-02-19	12:58:06.550	-4.34	6.3	6.405	0.4087	0.612196	0.625616	-0.495	0.387	0.1065	0	1580	663	5
2026-02-19	12:58:06.570	-4.725	5.215	7.385	0.39284	0.61366	0.65758	-0.492	0.393	0.1005	0	1580	663	5
