yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:36:16.210	-21.56	40.425	-3.045	0.570716	0.729804	-0.406504	-0.258	-0.5445	0.4035	0	20	553	3
2026-02-19	12:36:16.230	-17.045	35.98	-1.82	0.551196	0.718092	-0.37088	-0.255	-0.549	0.399	0	20	553	3
2026-02-19	12:36:16.250	-11.165	28.105	-0.805	0.516792	0.726388	-0.319884	-0.2535	-0.5445	0.384	0	20	553	3
2026-02-19	12:36:16.270	-2.94	23.415	-2.59	0.477508	0.717116	-0.307684	-0.246	-0.546	0.3795	0	20	553	3
2026-02-19	12:36:16.290	3.605	22.54	-5.215	0.483852	0.728096	-0.320372	-0.2565	-0.5505	0.39	0	20	553	3
2026-02-19	12:36:16.310	8.89	20.545	-6.65	0.47458	0.709064	-0.328424	-0.252	-0.5445	0.381	0	20	553	3
2026-02-19	12:36:16.330	14.98	17.465	-9.275	0.478728	0.687348	-0.3416	-0.2475	-0.546	0.381	0	20	553	3
2026-02-19	12:36:16.350	22.015	16.66	-13.02	0.523868	0.703696	-0.35136	-0.2475	-0.546	0.381	0	20	553	3
2026-02-19	12:36:16.370	25.34	16.415	-16.31	0.575108	0.751276	-0.3843	-0.2475	-0.546	0.381	0	20	553	3
2026-02-19	12:36:16.390	25.27	13.965	-15.61	0.637572	0.835456	-0.391132	-0.2475	-0.549	0.3825	0	20	553	3
2026-02-19	12:36:16.410	24.325	4.165	-6.51	0.57096	0.915	-0.283528	-0.2415	-0.552	0.3885	0	26	521	3
2026-02-19	12:36:16.430	24.325	-1.12	0.875	0.438224	0.809104	-0.26962	-0.24	-0.5505	0.3945	0	26	521	3
2026-02-19	12:36:16.450	36.505	10.22	-9.66	0.473116	0.757376	-0.36356	-0.2415	-0.5535	0.3975	0	26	521	3
2026-02-19	12:36:16.470	28.98	23.17	-13.72	0.559736	0.657092	-0.441152	-0.2385	-0.5535	0.4005	0	26	521	3
2026-02-19	12:36:16.490	24.605	17.675	-9.835	0.584136	0.644404	-0.433832	-0.2355	-0.5535	0.4035	0	26	521	3
2026-02-19	12:36:16.510	26.04	4.095	-3.815	0.61244	0.671244	-0.40504	-0.237	-0.558	0.408	0	26	521	3
2026-02-19	12:36:16.530	17.955	-4.27	6.3	0.639524	0.758108	-0.374784	-0.237	-0.5565	0.414	0	26	521	3
2026-02-19	12:36:16.550	18.62	-4.515	1.995	0.598044	0.807884	-0.368196	-0.2385	-0.558	0.417	0	26	521	3
2026-02-19	12:36:16.570	19.95	2.555	-3.71	0.57584	0.791292	-0.38674	-0.24	-0.561	0.4185	0	26	521	3
2026-02-19	12:36:16.590	19.74	6.405	-9.8	0.57828	0.804956	-0.374052	-0.237	-0.558	0.4185	0	26	521	3
2026-02-19	12:36:16.610	13.86	4.655	-6.79	0.5673	0.828624	-0.334524	-0.237	-0.555	0.4185	0	35	484	3
2026-02-19	12:36:16.630	9.345	8.715	-8.12	0.540948	0.849608	-0.304512	-0.234	-0.5595	0.42	0	35	484	3
2026-02-19	12:36:16.650	7.77	22.155	-13.335	0.55022	0.813008	-0.343552	-0.231	-0.5595	0.423	0	35	484	3
2026-02-19	12:36:16.670	6.055	27.37	-14	0.573888	0.777384	-0.388692	-0.2325	-0.5595	0.4215	0	35	484	3
2026-02-19	12:36:16.690	0.665	20.16	-7.175	0.565104	0.743712	-0.424072	-0.231	-0.564	0.42	0	35	484	3
2026-02-19	12:36:16.710	-5.285	11.55	1.26	0.559736	0.721508	-0.427976	-0.2235	-0.564	0.42	0	35	484	3
2026-02-19	12:36:16.730	-7.945	5.53	6.965	0.545096	0.74908	-0.403332	-0.225	-0.5595	0.417	0	35	484	3
2026-02-19	12:36:16.750	-6.125	4.2	7.315	0.535092	0.768112	-0.366976	-0.2295	-0.561	0.4185	0	35	484	3
2026-02-19	12:36:16.770	-4.06	3.815	5.985	0.536556	0.793976	-0.325984	-0.2265	-0.5625	0.417	0	35	484	3
2026-02-19	12:36:16.790	-4.515	1.715	5.6	0.52948	0.808616	-0.299144	-0.2295	-0.5625	0.414	0	35	484	3
2026-02-19	12:36:16.810	-7.035	1.19	4.13	0.540704	0.803492	-0.279868	-0.2325	-0.5625	0.4155	0	44	453	1
2026-02-19	12:36:16.830	-10.08	-0.945	5.11	0.577304	0.83204	-0.285724	-0.2325	-0.5595	0.4125	0	44	453	1
2026-02-19	12:36:16.850	-14.525	-3.885	10.325	0.594872	0.807152	-0.319396	-0.2355	-0.561	0.411	0	44	453	1
2026-02-19	12:36:16.870	-17.57	-2.03	12.18	0.593896	0.771528	-0.343796	-0.237	-0.5625	0.405	0	44	453	1
2026-02-19	12:36:16.890	-18.83	2.45	11.06	0.594384	0.76616	-0.386252	-0.234	-0.555	0.399	0	44	453	1
2026-02-19	12:36:16.910	-16.975	6.195	7.875	0.601948	0.767624	-0.3599	-0.2415	-0.552	0.4005	0	44	453	1
2026-02-19	12:36:16.930	-14.91	2.45	7.35	0.576816	0.774212	-0.32574	-0.243	-0.5565	0.399	0	44	453	1
2026-02-19	12:36:16.950	-13.685	-0.7	7.14	0.569496	0.761036	-0.341356	-0.2385	-0.555	0.3915	0	44	453	1
2026-02-19	12:36:16.970	-16.03	-1.68	6.685	0.572912	0.783484	-0.323544	-0.2355	-0.555	0.39	0	44	453	1
2026-02-19	12:36:16.990	-16.94	-3.605	5.53	0.54534	0.824476	-0.279136	-0.234	-0.5565	0.3945	0	44	453	1
2026-02-19	12:36:17.010	-11.095	-0.07	-1.505	0.520696	0.825208	-0.268644	-0.2385	-0.5535	0.387	0	51	426	1
2026-02-19	12:36:17.030	-3.43	4.585	-9.94	0.542168	0.765916	-0.302316	-0.237	-0.555	0.3795	0	51	426	1
2026-02-19	12:36:17.050	-2.695	2.555	-11.62	0.546072	0.7137	-0.3477	-0.2385	-0.5535	0.381	0	51	426	1
2026-02-19	12:36:17.070	-8.575	-3.255	-6.79	0.566568	0.672464	-0.364536	-0.24	-0.5505	0.387	0	51	426	1
2026-02-19	12:36:17.090	-15.575	-9.205	1.435	0.568764	0.682468	-0.3477	-0.2325	-0.552	0.381	0	51	426	1
2026-02-19	12:36:17.110	-18.62	-12.285	6.3	0.57096	0.735172	-0.313784	-0.2325	-0.5565	0.384	0	51	426	1
2026-02-19	12:36:17.130	-17.325	-12.6	7.035	0.563396	0.77348	-0.300608	-0.2325	-0.5565	0.384	0	51	426	1
2026-02-19	12:36:17.150	-13.055	-9.275	2.835	0.56364	0.791048	-0.294996	-0.2325	-0.5535	0.369	0	51	426	1
2026-02-19	12:36:17.170	-8.33	-4.55	-2.03	0.545584	0.795928	-0.29402	-0.2445	-0.5445	0.381	0	51	426	1
