yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:36:16.210	-27.02	-24.955	14.42	0.7015	-0.621468	0.495808	-0.0795	0.792	-0.5145	0	115	512	3
2026-02-19	12:36:16.230	-38.815	-27.685	14.21	0.721264	-0.670512	0.460672	-0.078	0.789	-0.5055	0	115	512	3
2026-02-19	12:36:16.250	-44.275	-29.26	12.705	0.730536	-0.67466	0.3843	-0.075	0.792	-0.501	0	115	512	3
2026-02-19	12:36:16.270	-36.33	-27.895	16.52	0.775188	-0.645136	0.271328	-0.0825	0.8085	-0.4995	0	115	512	3
2026-02-19	12:36:16.290	-13.265	-20.125	24.675	0.751032	-0.62342	0.219844	-0.084	0.8025	-0.489	0	115	512	3
2026-02-19	12:36:16.310	2.17	-12.67	35	0.814716	-0.716384	0.255468	-0.0855	0.8145	-0.4905	0	115	512	3
2026-02-19	12:36:16.330	7	-4.655	45.885	0.815936	-0.739808	0.317688	-0.075	0.8145	-0.4845	0	115	512	3
2026-02-19	12:36:16.350	8.295	6.3	52.815	0.74176	-0.617564	0.440664	-0.078	0.8205	-0.4815	0	115	512	3
2026-02-19	12:36:16.370	-2.31	8.47	49.14	0.703208	-0.61244	0.421388	-0.072	0.825	-0.489	0	115	512	3
2026-02-19	12:36:16.390	-6.825	8.855	43.26	0.671488	-0.646844	0.432124	-0.0615	0.8205	-0.489	0	115	512	3
2026-02-19	12:36:16.410	0.91	8.26	37.73	0.619272	-0.655628	0.389424	-0.051	0.8235	-0.486	0	116	497	3
2026-02-19	12:36:16.430	15.855	6.65	34.72	0.550952	-0.594384	0.370392	-0.042	0.8265	-0.489	0	116	497	3
2026-02-19	12:36:16.450	25.27	3.255	34.475	0.521916	-0.562908	0.409676	-0.039	0.8415	-0.492	0	116	497	3
2026-02-19	12:36:16.470	25.025	-1.61	31.57	0.519476	-0.531188	0.42944	-0.036	0.828	-0.4845	0	116	497	3
2026-02-19	12:36:16.490	28.42	-5.81	25.55	0.504592	-0.543632	0.46726	-0.027	0.822	-0.4845	0	116	497	3
2026-02-19	12:36:16.510	32.165	-8.225	21.84	0.516304	-0.53192	0.485316	-0.0375	0.825	-0.4875	0	116	497	3
2026-02-19	12:36:16.530	26.88	-11.935	18.9	0.539484	-0.554124	0.42456	-0.0285	0.819	-0.498	0	116	497	3
