yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:36:16.210	17.325	16.24	-1.05	1.003328	0.04758	0.281576	-0.696	0.2445	0.2565	0	38	190	3
2026-02-19	12:36:16.230	17.255	14.42	1.26	0.998448	0.06222	0.272548	-0.693	0.2475	0.258	0	38	190	3
2026-02-19	12:36:16.250	16.765	12.005	3.325	0.981612	0.07515199	0.271084	-0.6915	0.243	0.255	0	38	190	3
2026-02-19	12:36:16.270	17.605	10.08	4.55	0.958188	0.082228	0.261812	-0.696	0.243	0.252	0	38	190	3
2026-02-19	12:36:16.290	19.6	8.05	4.41	0.943548	0.094428	0.252052	-0.6975	0.2445	0.255	0	38	190	3
2026-02-19	12:36:16.310	19.495	6.265	3.815	0.94428	0.106628	0.247904	-0.696	0.2385	0.2625	0	38	190	3
2026-02-19	12:36:16.330	15.47	4.375	3.675	0.933544	0.119316	0.231312	-0.6945	0.2385	0.264	0	38	190	3
2026-02-19	12:36:16.350	12.39	3.045	3.745	0.936472	0.118584	0.218136	-0.6945	0.2385	0.264	0	38	190	3
2026-02-19	12:36:16.370	9.765	0.945	4.2	0.958676	0.11224	0.208376	-0.696	0.24	0.258	0	38	190	3
2026-02-19	12:36:16.390	7.84	-1.33	5.46	0.992836	0.110044	0.216184	-0.6975	0.2385	0.2565	0	38	190	3
2026-02-19	12:36:16.410	7.91	-1.89	6.86	0.961848	0.109556	0.2135	-0.699	0.24	0.255	0	38	206	3
2026-02-19	12:36:16.430	11.83	-1.82	6.58	0.914756	0.122244	0.232776	-0.696	0.2385	0.2595	0	38	206	3
2026-02-19	12:36:16.450	15.855	-1.855	4.725	0.912316	0.1464	0.263764	-0.69	0.234	0.258	0	38	206	3
2026-02-19	12:36:16.470	14.735	-1.365	3.045	0.933544	0.164944	0.282064	-0.69	0.237	0.2625	0	38	206	3
2026-02-19	12:36:16.490	8.96	-0.63	2.835	0.949404	0.150548	0.290604	-0.696	0.234	0.267	0	38	206	3
2026-02-19	12:36:16.510	3.885	0.28	4.725	0.965752	0.117608	0.305244	-0.6975	0.237	0.267	0	38	206	3
2026-02-19	12:36:16.530	2.765	1.505	7.175	0.986736	0.092232	0.308904	-0.699	0.2385	0.2685	0	38	206	3
2026-02-19	12:36:16.550	6.195	2.555	8.925	1.009184	0.083448	0.30378	-0.699	0.2295	0.2655	0	38	206	3
2026-02-19	12:36:16.570	11.83	3.08	9.205	1.020896	0.077348	0.294508	-0.6975	0.2265	0.264	0	38	206	3
2026-02-19	12:36:16.590	16.065	3.36	8.435	1.024556	0.072224	0.276452	-0.6975	0.2295	0.27	0	38	206	3
2026-02-19	12:36:16.610	18.235	3.185	5.705	1.024556	0.066368	0.265228	-0.693	0.234	0.2715	0	40	223	3
2026-02-19	12:36:16.630	18.375	3.08	1.75	1.006988	0.053436	0.263032	-0.6915	0.234	0.2685	0	40	223	3
2026-02-19	12:36:16.650	17.465	3.045	-0.945	0.988688	0.048312	0.271572	-0.696	0.2355	0.267	0	40	223	3
2026-02-19	12:36:16.670	18.34	3.43	-2.555	0.974048	0.05124	0.282796	-0.696	0.2295	0.2655	0	40	223	3
2026-02-19	12:36:16.690	22.33	4.27	-2.87	0.967704	0.05734	0.30012	-0.7005	0.2295	0.2685	0	40	223	3
2026-02-19	12:36:16.710	26.88	5.565	-2.45	0.968436	0.077836	0.309392	-0.7035	0.228	0.273	0	40	223	3
2026-02-19	12:36:16.730	29.645	7.21	-0.875	0.967216	0.089304	0.31476	-0.7005	0.2265	0.279	0	40	223	3
2026-02-19	12:36:16.750	30.205	8.05	1.715	0.966484	0.115656	0.302072	-0.696	0.2265	0.2805	0	40	223	3
2026-02-19	12:36:16.770	29.61	7.98	4.41	0.968192	0.131516	0.290848	-0.6945	0.2235	0.276	0	40	223	3
2026-02-19	12:36:16.790	29.82	7.735	6.755	0.961848	0.143228	0.288652	-0.696	0.222	0.276	0	40	223	3
2026-02-19	12:36:16.810	30.94	7.56	7.805	0.960384	0.160796	0.293044	-0.6975	0.2175	0.276	0	43	239	3
2026-02-19	12:36:16.830	32.27	7.84	7.28	0.964532	0.176656	0.287432	-0.7005	0.216	0.2775	0	43	239	3
2026-02-19	12:36:16.850	31.605	8.295	5.6	0.957456	0.197152	0.289628	-0.6975	0.216	0.2805	0	43	239	3
2026-02-19	12:36:16.870	28.245	8.855	3.815	0.973316	0.221064	0.302804	-0.696	0.2145	0.2835	0	43	239	3
2026-02-19	12:36:16.890	19.88	9.73	2.065	0.990884	0.217648	0.328424	-0.6975	0.2145	0.2865	0	43	239	3
2026-02-19	12:36:16.910	10.885	10.08	0.91	0.998936	0.204228	0.340624	-0.6975	0.213	0.2865	0	43	239	3
2026-02-19	12:36:16.930	6.055	9.415	-0.315	0.975756	0.194468	0.335012	-0.696	0.2145	0.2865	0	43	239	3
2026-02-19	12:36:16.950	2.485	8.295	-1.505	0.959408	0.182512	0.34038	-0.69	0.2115	0.282	0	43	239	3
2026-02-19	12:36:16.970	-1.085	7.21	-2.73	0.951356	0.166896	0.347212	-0.6885	0.2115	0.288	0	43	239	3
2026-02-19	12:36:16.990	-3.43	7.035	-3.535	0.945988	0.149572	0.349408	-0.6915	0.2145	0.285	0	43	239	3
2026-02-19	12:36:17.010	-4.55	6.755	-4.375	0.940376	0.133224	0.338184	-0.693	0.21	0.282	0	45	256	3
2026-02-19	12:36:17.030	-4.34	6.02	-5.18	0.933788	0.136152	0.318664	-0.6945	0.204	0.282	0	45	256	3
2026-02-19	12:36:17.050	-3.71	5.075	-5.845	0.932812	0.127856	0.294996	-0.6945	0.2025	0.2805	0	45	256	3
2026-02-19	12:36:17.070	-2.03	4.305	-6.86	0.932568	0.121024	0.282308	-0.6915	0.204	0.2805	0	45	256	3
2026-02-19	12:36:17.090	-0.945	4.06	-7.805	0.937448	0.12322	0.27938	-0.687	0.204	0.282	0	45	256	3
2026-02-19	12:36:17.110	-0.98	4.025	-7.77	0.937204	0.113216	0.278404	-0.6885	0.2025	0.2775	0	45	256	3
2026-02-19	12:36:17.130	-1.54	3.5	-6.545	0.938912	0.10004	0.284504	-0.6885	0.201	0.2745	0	45	256	3
