yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:54:07.810	-13.615	-46.585	-17.5	-0.425048	0.913292	0.175192	0.03	-0.498	0.462	0	1491	167	5
2026-02-19	12:54:07.830	-5.425	-43.12	-23.415	-0.441396	0.96502	0.188124	0.0255	-0.5085	0.4575	0	1491	167	5
2026-02-19	12:54:07.850	-2.24	-31.99	-34.37	-0.411872	0.935008	0.18544	0.0405	-0.507	0.456	0	1491	167	5
2026-02-19	12:54:07.870	-4.235	-18.165	-43.12	-0.345992	0.88694	0.199836	0.045	-0.5085	0.4545	0	1491	167	5
2026-02-19	12:54:07.890	-1.68	-4.13	-47.845	-0.310124	0.838872	0.225944	0.06	-0.501	0.4605	0	1491	167	5
2026-02-19	12:54:07.910	-3.745	9.485	-42.49	-0.314272	0.835944	0.263032	0.054	-0.51	0.4515	0	1491	167	5
2026-02-19	12:54:07.930	-10.71	20.335	-41.405	-0.329156	0.831308	0.278892	0.072	-0.501	0.4545	0	1491	167	5
2026-02-19	12:54:07.950	-21.665	25.935	-47.005	-0.371856	0.865956	0.284504	0.0705	-0.5025	0.45	0	1491	167	5
2026-02-19	12:54:07.970	-30.975	24.5	-59.605	-0.40016	0.900848	0.276208	0.0825	-0.51	0.4425	0	1491	167	5
2026-02-19	12:54:07.990	-34.055	15.26	-76.09	-0.4087	0.944036	0.264252	0.081	-0.507	0.4455	0	1491	167	5
2026-02-19	12:54:08.010	-29.925	1.575	-94.255	-0.389912	1.005768	0.27572	0.0975	-0.5025	0.438	0	1337	189	5
2026-02-19	12:54:08.030	-26.705	-11.165	-109.165	-0.345016	1.055056	0.28426	0.114	-0.5055	0.4335	0	1337	189	5
2026-02-19	12:54:08.050	-24.745	-21.175	-120.75	-0.301584	1.067988	0.289628	0.1335	-0.498	0.4215	0	1337	189	5
2026-02-19	12:54:08.070	-23.065	-30.415	-119.98	-0.266204	1.072136	0.290116	0.1515	-0.501	0.4215	0	1337	189	5
2026-02-19	12:54:08.090	-22.575	-35.21	-106.365	-0.224968	1.055788	0.27572	0.183	-0.504	0.4065	0	1337	189	5
2026-02-19	12:54:08.110	-20.055	-34.93	-85.435	-0.209108	1.046516	0.2745	0.198	-0.4905	0.408	0	1337	189	5
2026-02-19	12:54:08.130	-17.885	-26.355	-58.24	-0.18178	1.010404	0.267668	0.207	-0.4905	0.4035	0	1337	189	5
2026-02-19	12:54:08.150	-12.705	-10.92	-26.705	-0.171044	0.997472	0.287432	0.2145	-0.477	0.396	0	1337	189	5
2026-02-19	12:54:08.170	-8.365	12.04	6.545	-0.188124	1.0004	0.333792	0.2265	-0.4785	0.3885	0	1337	189	5
2026-02-19	12:54:08.190	-10.85	43.085	36.785	-0.223992	0.972828	0.354776	0.225	-0.474	0.3975	0	1337	189	5
2026-02-19	12:54:08.210	-16.17	68.53	64.715	-0.276696	0.96746	0.376248	0.219	-0.48	0.39	0	1181	209	5
2026-02-19	12:54:08.230	-26.145	85.82	85.89	-0.324764	0.949648	0.377224	0.21	-0.4935	0.3945	0	1181	209	5
2026-02-19	12:54:08.250	-36.61	96.25	99.295	-0.350384	0.925492	0.369172	0.195	-0.495	0.4005	0	1181	209	5
2026-02-19	12:54:08.270	-44.73	100.8	98.385	-0.376736	0.911096	0.355996	0.171	-0.498	0.39	0	1181	209	5
2026-02-19	12:54:08.290	-50.82	98.98	87.5	-0.402356	0.899628	0.328424	0.1455	-0.513	0.3885	0	1181	209	5
2026-02-19	12:54:08.310	-53.13	86.17	71.89	-0.4148	0.905972	0.30256	0.129	-0.519	0.3915	0	1181	209	5
2026-02-19	12:54:08.330	-49.21	65.45	52.5	-0.406992	0.890356	0.2623	0.111	-0.525	0.3765	0	1181	209	5
2026-02-19	12:54:08.350	-37.73	42.595	36.715	-0.388448	0.894992	0.235704	0.1095	-0.528	0.381	0	1181	209	5
2026-02-19	12:54:08.370	-22.365	25.83	26.04	-0.36966	0.8967	0.239364	0.0885	-0.537	0.3705	0	1181	209	5
2026-02-19	12:54:08.390	-9.345	26.005	17.815	-0.369904	0.903288	0.27084	0.0915	-0.525	0.363	0	1181	209	5
