yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:54:07.810	-133.77	-317.135	-113.82	0.251808	-2.891156	0.600484	0.342	0.9105	-0.1065	0	1084	279	5
2026-02-19	12:54:07.830	-68.775	-271.88	-23.415	-0.072468	-2.352648	1.259528	0.327	0.912	-0.1095	0	1084	279	5
2026-02-19	12:54:07.850	11.795	-196.14	64.47	-0.500444	-1.796328	0.930616	0.324	0.912	-0.1215	0	1084	279	5
2026-02-19	12:54:07.870	34.755	-165.76	132.125	-0.52338	-1.074332	0.348676	0.336	0.909	-0.1395	0	1084	279	5
2026-02-19	12:54:07.890	-64.085	-151.76	123.83	-0.24034	-0.039772	0.363072	0.3525	0.9045	-0.1485	0	1084	279	5
2026-02-19	12:54:07.910	-146.895	-124.495	71.505	-0.262788	0.211792	0.581208	0.369	0.894	-0.153	0	1084	279	5
2026-02-19	12:54:07.930	-192.08	-96.53	30.8	-0.295728	-0.11346	0.461404	0.3825	0.882	-0.1485	0	1084	279	5
2026-02-19	12:54:07.950	-141.295	-76.615	-19.6	-0.20252	-0.380152	0.32208	0.387	0.8775	-0.141	0	1084	279	5
2026-02-19	12:54:07.970	-45.325	-68.25	-64.925	-0.044652	-0.397232	0.355996	0.396	0.8685	-0.1125	0	1084	279	5
2026-02-19	12:54:07.990	72.73	-56.77	-105.805	0.054656	-0.459696	0.693936	0.3855	0.8805	-0.111	0	1084	279	5
2026-02-19	12:54:08.010	209.195	-32.76	-138.215	0.102724	-0.497028	0.959652	0.372	0.8925	-0.132	0	1125	242	5
2026-02-19	12:54:08.030	320.845	-7.07	-162.61	0.04148	-0.344772	0.749812	0.3555	0.9	-0.162	0	1125	242	5
2026-02-19	12:54:08.050	382.375	-10.71	-185.5	0.173484	-0.529236	0.506056	0.3315	0.903	-0.21	0	1125	242	5
2026-02-19	12:54:08.070	322.14	-24.22	-192.115	0.444812	-1.049932	0.45384	0.312	0.909	-0.264	0	1125	242	5
2026-02-19	12:54:08.090	262.745	-36.19	-180.635	0.388692	-1.247084	0.499468	0.282	0.909	-0.309	0	1125	242	5
2026-02-19	12:54:08.110	266.56	-72.065	-161.945	0.298412	-0.974292	0.595116	0.2595	0.9105	-0.3435	0	1125	242	5
2026-02-19	12:54:08.130	192.115	-126.77	-123.41	0.539728	-0.72712	0.370392	0.2595	0.9105	-0.3435	0	1125	242	5
2026-02-19	12:54:08.150	161.105	-151.55	-101.92	0.834236	-1.331508	0.565104	0.2595	0.9105	-0.3435	0	1125	242	5
2026-02-19	12:54:08.170	173.565	-168.525	-62.44	0.943548	-1.510604	1.00772	0.174	0.8685	-0.444	0	1125	242	5
