yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:54:07.810	-38.675	-16.73	-9.695	0.993568	0.106384	0.311588	-0.5775	0.408	0.129	0	1029	356	5
2026-02-19	12:54:07.830	-41.86	-18.62	-0.385	0.988444	0.095404	0.298412	-0.576	0.417	0.138	0	1029	356	5
2026-02-19	12:54:07.850	-38.5	-20.02	9.52	0.958432	0.083204	0.27572	-0.576	0.423	0.144	0	1029	356	5
2026-02-19	12:54:07.870	-26.075	-23.695	22.33	0.885232	0.072468	0.238144	-0.576	0.423	0.144	0	1029	356	5
2026-02-19	12:54:07.890	-14.315	-27.72	28.42	0.874008	0.08686399	0.234484	-0.5835	0.4275	0.144	0	1029	356	5
2026-02-19	12:54:07.910	-4.55	-33.285	34.895	0.849364	0.105652	0.248392	-0.5925	0.4335	0.1455	0	1029	356	5
2026-02-19	12:54:07.930	2.94	-39.97	40.53	0.860832	0.132004	0.271816	-0.597	0.4365	0.1485	0	1029	356	5
2026-02-19	12:54:07.950	3.255	-46.655	47.11	0.902556	0.155428	0.290848	-0.6	0.441	0.1485	0	1029	356	5
2026-02-19	12:54:07.970	-3.15	-51.66	54.67	0.947208	0.174948	0.310612	-0.606	0.444	0.153	0	1029	356	5
2026-02-19	12:54:07.990	-13.44	-53.655	62.09	0.9882	0.190808	0.321592	-0.612	0.447	0.162	0	1029	356	5
2026-02-19	12:54:08.010	-29.75	-53.41	68.145	1.0309	0.204228	0.339892	-0.615	0.4515	0.168	0	939	341	5
2026-02-19	12:54:08.030	-40.04	-50.575	67.585	1.027484	0.19154	0.327448	-0.6225	0.462	0.1665	0	939	341	5
2026-02-19	12:54:08.050	-48.86	-46.27	62.755	1.010648	0.178364	0.3172	-0.6345	0.474	0.1755	0	939	341	5
2026-02-19	12:54:08.070	-52.57	-41.825	56.175	1.031632	0.157136	0.308904	-0.642	0.486	0.186	0	939	341	5
2026-02-19	12:54:08.090	-50.54	-35.77	47.88	1.020164	0.125172	0.293776	-0.648	0.5025	0.186	0	939	341	5
2026-02-19	12:54:08.110	-43.085	-29.295	36.82	1.012112	0.109312	0.270108	-0.6495	0.513	0.189	0	939	341	5
2026-02-19	12:54:08.130	-30.45	-22.645	25.41	0.99796	0.090524	0.234484	-0.648	0.522	0.1965	0	939	341	5
2026-02-19	12:54:08.150	1.54	-9.835	3.43	1.025776	0.061488	0.1769	-0.651	0.5265	0.2055	0	939	341	5
