yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:32:01.810	25.9	3.57	13.195	-0.71126	-0.526552	0.697352	0.36	0.264	0.2055	0	527	849	4
2026-02-19	12:32:01.830	22.085	-5.005	35.7	-0.701256	-0.619516	0.585112	0.3585	0.264	0.2055	0	527	849	4
2026-02-19	12:32:01.850	9.135	-15.05	35.315	-0.661728	-0.714432	0.899628	0.3585	0.264	0.2055	0	527	849	4
2026-02-19	12:32:01.870	26.355	13.895	29.05	-0.628056	-0.403088	0.572668	0.363	0.261	0.204	0	527	849	4
2026-02-19	12:32:01.890	-2.1	-1.68	45.85	-0.639524	-0.564128	0.733708	0.3765	0.2535	0.198	0	527	849	4
2026-02-19	12:32:01.910	13.86	-8.89	35.21	-0.587796	-0.5795	0.79788	0.381	0.249	0.1965	0	527	849	4
2026-02-19	12:32:01.930	18.13	5.74	47.495	-0.631472	-0.41236	0.583892	0.381	0.243	0.1905	0	527	849	4
2026-02-19	12:32:01.950	5.635	9.695	40.25	-0.590724	-0.39284	0.54656	0.3855	0.2325	0.1905	0	527	849	4
2026-02-19	12:32:01.970	-7.595	4.55	31.43	-0.747616	-0.46604	0.5734	0.3855	0.2295	0.1935	0	527	849	4
2026-02-19	12:32:01.990	-25.725	-2.205	17.955	-0.545584	-0.344772	0.596092	0.387	0.228	0.1875	0	527	849	4
2026-02-19	12:32:02.010	-13.72	-1.96	15.505	-0.665632	-0.398696	0.595604	0.3915	0.225	0.1905	0	496	804	4
2026-02-19	12:32:02.030	-0.245	0.945	16.24	-0.80276	-0.468968	0.601704	0.3975	0.2205	0.192	0	496	804	4
2026-02-19	12:32:02.050	-20.09	-0.945	7.455	-0.670756	-0.39772	0.489464	0.4005	0.219	0.192	0	496	804	4
2026-02-19	12:32:02.070	-13.3	-0.805	-1.82	-0.698084	-0.403088	0.61732	0.4035	0.222	0.189	0	496	804	4
2026-02-19	12:32:02.090	-38.045	3.325	-26.985	-0.673928	-0.280356	0.61488	0.4035	0.222	0.1935	0	496	804	4
2026-02-19	12:32:02.110	-63.7	20.79	-43.05	-0.660996	-0.279868	0.451888	0.3975	0.2235	0.2055	0	496	804	4
2026-02-19	12:32:02.130	-73.22	22.925	-32.76	-0.795928	-0.471896	0.554368	0.3915	0.2295	0.213	0	496	804	4
2026-02-19	12:32:02.150	-61.39	20.405	-43.61	-0.737856	-0.519476	0.575596	0.387	0.24	0.2235	0	496	804	4
2026-02-19	12:32:02.170	-37.45	35.665	-33.635	-0.674904	-0.428708	0.530212	0.3825	0.249	0.2325	0	496	804	4
2026-02-19	12:32:02.190	-41.335	32.27	-21.525	-0.64782	-0.491172	0.531188	0.381	0.255	0.243	0	496	804	4
2026-02-19	12:32:02.210	-33.985	20.755	-33.985	-0.658068	-0.544852	0.435784	0.3795	0.2565	0.258	0	465	755	4
2026-02-19	12:32:02.230	-29.75	31.78	-8.155	-0.669048	-0.625616	0.446764	0.3765	0.258	0.2595	0	465	755	4
2026-02-19	12:32:02.250	5.145	19.32	26.145	-0.610976	-0.76738	0.41968	0.378	0.2655	0.264	0	465	755	4
2026-02-19	12:32:02.270	50.365	21	4.2	-0.63196	-0.538508	0.51362	0.3825	0.2685	0.273	0	465	755	4
2026-02-19	12:32:02.290	11.97	-5.04	18.095	-0.69296	-0.492636	0.5002	0.3825	0.2655	0.2625	0	465	755	4
2026-02-19	12:32:02.310	-64.925	-51.835	83.23	-0.698816	-0.548268	0.432856	0.3825	0.264	0.2565	0	465	755	4
2026-02-19	12:32:02.330	-121.87	-66.115	87.85	-0.653676	-0.65758	0.6161	0.3885	0.255	0.2625	0	465	755	4
