yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:32:01.810	48.72	-35.56	-10.99	0.743224	-0.694424	0.50996	-0.1875	0.7005	-0.492	0	347	150	3
2026-02-19	12:32:01.830	27.02	-25.41	-9.695	0.804224	-0.682468	0.67466	-0.1905	0.6975	-0.486	0	347	150	3
2026-02-19	12:32:01.850	19.95	-11.97	3.64	0.908412	-0.633668	0.674172	-0.1965	0.6945	-0.492	0	347	150	3
2026-02-19	12:32:01.870	60.13	-0.595	21.14	0.716872	-0.55876	0.583404	-0.1935	0.6915	-0.4965	0	347	150	3
2026-02-19	12:32:01.890	65.38	2.87	24.255	0.724192	-0.691008	0.539728	-0.195	0.687	-0.492	0	347	150	3
2026-02-19	12:32:01.910	62.72	2.38	16.1	0.785436	-0.672952	0.560712	-0.18	0.684	-0.495	0	347	150	3
2026-02-19	12:32:01.930	40.81	0.84	25.62	0.792512	-0.653676	0.41968	-0.18	0.684	-0.495	0	347	150	3
2026-02-19	12:32:01.950	54.25	1.4	30.66	0.674904	-0.51118	0.310612	-0.1785	0.678	-0.501	0	347	150	3
2026-02-19	12:32:01.970	59.395	1.715	23.695	0.784704	-0.405284	0.406748	-0.18	0.669	-0.5085	0	347	150	3
2026-02-19	12:32:01.990	39.41	3.15	21.385	0.7503	-0.451644	0.407968	-0.1785	0.663	-0.5145	0	347	150	3
2026-02-19	12:32:02.010	2.345	4.025	0.56	0.607316	-0.493124	0.6283	-0.0855	0.6555	-0.5655	0	301	479	1
2026-02-19	12:32:02.030	0.56	4.865	-1.89	0.599752	-0.45872	0.657092	-0.087	0.654	-0.567	0	301	479	1
2026-02-19	12:32:02.050	-2.905	6.335	-3.22	0.614636	-0.48068	0.645136	-0.09	0.6555	-0.5655	0	301	479	1
2026-02-19	12:32:02.070	-1.82	5.95	-4.62	0.63562	-0.496052	0.613172	-0.09	0.6585	-0.5685	0	301	479	1
2026-02-19	12:32:02.090	-1.12	2.765	-5.285	0.661972	-0.446032	0.574376	-0.09	0.6615	-0.57	0	301	479	1
2026-02-19	12:32:02.110	2.975	-0.595	-8.855	0.624152	-0.38552	0.59048	-0.087	0.6615	-0.5685	0	301	479	1
2026-02-19	12:32:02.130	-2.52	-2.555	-13.265	0.586576	-0.399428	0.619028	-0.0825	0.66	-0.5715	0	301	479	1
2026-02-19	12:32:02.150	-10.78	-2.66	-16.345	0.56364	-0.49166	0.682468	-0.093	0.66	-0.5655	0	301	479	1
2026-02-19	12:32:02.170	-11.445	-1.82	-16.94	0.574376	-0.504592	0.641232	-0.093	0.66	-0.5685	0	301	479	1
2026-02-19	12:32:02.190	-14.665	-4.655	-14.455	0.588284	-0.561688	0.621224	-0.0915	0.657	-0.57	0	301	479	1
2026-02-19	12:32:02.210	-8.4	-3.64	-15.12	0.60146	-0.45262	0.54168	-0.09	0.657	-0.567	0	277	520	1
2026-02-19	12:32:02.230	-15.61	-3.675	-18.935	0.5368	-0.456768	0.525576	-0.0915	0.6585	-0.564	0	277	520	1
2026-02-19	12:32:02.250	-24.675	-3.99	-17.71	0.553148	-0.596092	0.614148	-0.093	0.6585	-0.561	0	277	520	1
2026-02-19	12:32:02.270	-15.26	-0.805	-11.585	0.499468	-0.633912	0.609512	-0.099	0.657	-0.5595	0	277	520	1
2026-02-19	12:32:02.290	-0.175	3.85	0	0.634644	-0.474824	0.608048	-0.105	0.654	-0.558	0	277	520	1
2026-02-19	12:32:02.310	2.31	4.76	-5.6	0.646112	-0.3843	0.64172	-0.0915	0.6615	-0.564	0	277	520	1
2026-02-19	12:32:02.330	-15.435	-0.28	-18.445	0.601216	-0.239364	0.637328	-0.087	0.657	-0.5625	0	277	520	1
2026-02-19	12:32:02.350	-49	-8.015	-13.44	0.589992	-0.394548	0.538508	-0.1005	0.663	-0.5595	0	277	520	1
2026-02-19	12:32:02.370	-57.995	-13.685	-10.325	0.558272	-0.55144	0.526552	-0.096	0.6705	-0.5535	0	277	520	1
2026-02-19	12:32:02.390	-47.6	-15.12	-11.235	0.568276	-0.477752	0.56608	-0.099	0.681	-0.5505	0	277	520	1
2026-02-19	12:32:02.410	-50.4	-18.095	-15.855	0.604876	-0.355996	0.56364	-0.0975	0.6765	-0.549	0	254	548	1
2026-02-19	12:32:02.430	-93.835	-27.545	-15.995	0.582916	-0.56486	0.340624	-0.108	0.678	-0.549	0	254	548	1
2026-02-19	12:32:02.450	-91.14	-39.795	1.12	0.6466	-1.16022	0.172752	-0.102	0.687	-0.537	0	254	548	1
2026-02-19	12:32:02.470	24.745	-32.725	12.005	0.601704	-0.768844	0.546072	-0.108	0.6945	-0.5295	0	254	548	1
2026-02-19	12:32:02.490	73.255	-25.165	12.88	0.668804	-0.450668	0.762988	-0.1185	0.7065	-0.5235	0	254	548	1
2026-02-19	12:32:02.510	49.805	-19.32	2.275	0.629276	-0.549	0.61854	-0.1215	0.7005	-0.525	0	254	548	1
2026-02-19	12:32:02.530	40.81	-16.065	-1.26	0.61976	-0.73932	0.419924	-0.1215	0.696	-0.5265	0	254	548	1
2026-02-19	12:32:02.550	60.025	-15.61	-3.15	0.663436	-0.701988	0.43188	-0.1245	0.693	-0.528	0	254	548	1
2026-02-19	12:32:02.570	72.415	-14.7	-5.215	0.640256	-0.40504	0.547292	-0.1245	0.6825	-0.528	0	254	548	1
2026-02-19	12:32:02.590	47.53	-11.795	-12.495	0.581696	-0.439932	0.58316	-0.1275	0.675	-0.531	0	254	548	1
2026-02-19	12:32:02.610	25.41	-1.085	-11.165	0.701744	-0.570228	0.524112	-0.132	0.669	-0.5385	0	234	557	3
2026-02-19	12:32:02.630	30.1	4.025	1.715	0.689544	-0.51362	0.56486	-0.135	0.6645	-0.543	0	234	557	3
2026-02-19	12:32:02.650	25.41	2.765	3.815	0.679784	-0.461648	0.6283	-0.135	0.6645	-0.543	0	234	557	3
2026-02-19	12:32:02.670	16.59	6.72	6.44	0.717116	-0.482632	0.604144	-0.132	0.654	-0.552	0	234	557	3
2026-02-19	12:32:02.690	13.125	11.235	13.405	0.67832	-0.446032	0.582184	-0.126	0.6525	-0.549	0	234	557	3
2026-02-19	12:32:02.710	12.46	11.2	13.02	0.716384	-0.421632	0.60024	-0.1275	0.657	-0.546	0	234	557	3
2026-02-19	12:32:02.730	12.81	11.095	13.195	0.69418	-0.40748	0.55266	-0.1245	0.6495	-0.5505	0	234	557	3
2026-02-19	12:32:02.750	3.045	5.46	6.545	0.67832	-0.376248	0.604388	-0.126	0.654	-0.549	0	234	557	3
2026-02-19	12:32:02.770	-15.575	2.1	7.315	0.739564	-0.520452	0.56486	-0.1245	0.6555	-0.549	0	234	557	3
2026-02-19	12:32:02.790	-10.64	4.725	13.16	0.688324	-0.522404	0.60634	-0.1245	0.6555	-0.5505	0	234	557	3
2026-02-19	12:32:02.810	4.235	5.04	-1.33	0.632448	-0.497272	0.638548	-0.0885	0.6585	-0.5655	0	322	433	1
2026-02-19	12:32:02.830	-0.28	4.62	0.7	0.610976	-0.540216	0.620248	-0.0885	0.6555	-0.561	0	322	433	1
2026-02-19	12:32:02.850	3.85	4.375	3.395	0.58926	-0.534604	0.619516	-0.0945	0.663	-0.5655	0	322	433	1
2026-02-19	12:32:02.870	3.675	4.06	3.045	0.561932	-0.496052	0.61244	-0.0975	0.66	-0.5685	0	322	433	1
2026-02-19	12:32:02.890	-2.415	1.435	2.8	0.5551	-0.540704	0.580232	-0.093	0.6555	-0.5595	0	322	433	1
2026-02-19	12:32:02.910	-0.525	-0.14	3.08	0.573156	-0.539484	0.583648	-0.0855	0.651	-0.561	0	322	433	1
2026-02-19	12:32:02.930	1.295	0.315	4.305	0.583404	-0.5307	0.597068	-0.0885	0.6615	-0.5715	0	322	433	1
2026-02-19	12:32:02.950	3.57	1.19	4.095	0.571204	-0.504104	0.600728	-0.0945	0.663	-0.57	0	322	433	1
