yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:50:35.610	-51.275	-68.04	-5.25	0.633912	-0.661972	0.359656	-0.402	0.093	0.198	0	222	665	1
2026-02-19	12:50:35.630	-51.065	-68.32	-7.98	0.662704	-0.632448	0.29158	-0.4065	0.087	0.219	0	222	665	1
2026-02-19	12:50:35.650	-30.275	-64.33	-6.405	0.657092	-0.64172	0.275232	-0.4125	0.099	0.24	0	222	665	1
2026-02-19	12:50:35.670	-13.615	-59.325	-1.05	0.653676	-0.6893	0.2867	-0.4125	0.0915	0.2535	0	222	665	1
2026-02-19	12:50:35.690	-13.51	-55.79	-1.26	0.635864	-0.71858	0.318664	-0.4125	0.0885	0.261	0	222	665	1
2026-02-19	12:50:35.710	-19.355	-57.855	-9.135	0.651236	-0.721996	0.314028	-0.411	0.099	0.2655	0	222	665	1
2026-02-19	12:50:35.730	-21.595	-59.255	-15.715	0.666608	-0.698816	0.294752	-0.417	0.093	0.2715	0	222	665	1
2026-02-19	12:50:35.750	-12.25	-59.185	-16.87	0.66124	-0.663924	0.281332	-0.42	0.0915	0.2895	0	222	665	1
2026-02-19	12:50:35.770	-0.525	-58.905	-15.54	0.666852	-0.650748	0.251076	-0.42	0.0825	0.297	0	222	665	1
2026-02-19	12:50:35.790	6.265	-56.49	-12.81	0.667828	-0.638548	0.187636	-0.426	0.0825	0.3	0	222	665	1
2026-02-19	12:50:35.810	13.965	-49.63	-8.365	0.659288	-0.66002	0.200568	-0.423	0.0915	0.3105	0	207	606	1
2026-02-19	12:50:35.830	9.17	-46.375	-8.155	0.654408	-0.660264	0.192028	-0.429	0.0855	0.3255	0	207	606	1
2026-02-19	12:50:35.850	7.805	-43.505	-7.665	0.657824	-0.659288	0.171532	-0.4275	0.0705	0.3345	0	207	606	1
2026-02-19	12:50:35.870	0.805	-40.88	-6.58	0.659776	-0.655872	0.173972	-0.438	0.0795	0.3315	0	207	606	1
2026-02-19	12:50:35.890	-0.455	-39.795	-4.55	0.676612	-0.65392	0.111508	-0.4305	0.075	0.342	0	207	606	1
2026-02-19	12:50:35.910	1.925	-33.495	-0.21	0.693692	-0.674416	0.09076799	-0.4275	0.078	0.348	0	207	606	1
2026-02-19	12:50:35.930	-1.295	-26.46	-0.07	0.700768	-0.683932	0.066856	-0.4245	0.0735	0.3525	0	207	606	1
2026-02-19	12:50:35.950	4.06	-17.64	-0.63	0.703452	-0.695156	0.098088	-0.4245	0.0765	0.354	0	207	606	1
2026-02-19	12:50:35.970	1.05	-13.16	-0.735	0.686372	-0.70516	0.12688	-0.426	0.081	0.3555	0	207	606	1
2026-02-19	12:50:35.990	-4.655	-10.99	-4.305	0.681492	-0.682468	0.127856	-0.4245	0.0795	0.3555	0	207	606	1
2026-02-19	12:50:36.010	-2.065	-8.365	-4.62	0.70028	-0.659532	0.109556	-0.423	0.0795	0.3555	0	198	521	1
2026-02-19	12:50:36.030	6.965	-7.035	-2.73	0.707112	-0.664656	0.134932	-0.426	0.075	0.357	0	198	521	1
2026-02-19	12:50:36.050	6.195	-6.79	-1.015	0.700036	-0.671	0.168604	-0.429	0.072	0.363	0	198	521	1
2026-02-19	12:50:36.070	-1.015	-10.22	-2.835	0.704184	-0.676124	0.160064	-0.4275	0.072	0.363	0	198	521	1
