yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:50:35.610	22.225	-20.545	-6.09	0.06222	-0.996008	0.260104	0.2685	0.93	-0.1695	0	596	328	3
2026-02-19	12:50:35.630	22.96	-20.895	-6.125	0.050752	-0.999912	0.283528	0.2715	0.9315	-0.1755	0	596	328	3
2026-02-19	12:50:35.650	20.16	-19.25	-5.67	0.06734399	-0.950136	0.321836	0.267	0.93	-0.1815	0	596	328	3
2026-02-19	12:50:35.670	26.005	-16.8	-6.44	0.055144	-0.914024	0.363316	0.261	0.9315	-0.1905	0	596	328	3
2026-02-19	12:50:35.690	28.91	-15.89	-5.845	0.061	-0.917928	0.38796	0.2595	0.9315	-0.1935	0	596	328	3
2026-02-19	12:50:35.710	18.235	-14.245	-5.425	0.049288	-0.85156	0.38796	0.264	0.9315	-0.1935	0	596	328	3
2026-02-19	12:50:35.730	3.325	-11.935	-9.31	-0.000244	-0.787144	0.368196	0.267	0.936	-0.1965	0	596	328	3
2026-02-19	12:50:35.750	-9.835	-11.235	-15.82	-0.010736	-0.751764	0.340868	0.2655	0.933	-0.198	0	596	328	3
2026-02-19	12:50:35.770	-10.395	-9.135	-22.61	0.01464	-0.849608	0.343796	0.2625	0.9345	-0.198	0	596	328	3
2026-02-19	12:50:35.790	10.045	-5.775	-22.33	0.041724	-0.985028	0.335988	0.2625	0.939	-0.1995	0	596	328	3
2026-02-19	12:50:35.810	21.21	-7.98	-21.875	0.024644	-0.873276	0.259372	0.2505	0.9435	-0.1935	0	574	319	2
2026-02-19	12:50:35.830	32.865	-12.6	-24.465	0.058316	-0.85522	0.212036	0.243	0.933	-0.2055	0	574	319	2
2026-02-19	12:50:35.850	44.52	-16.45	-22.26	0.130296	-0.978928	0.297436	0.2415	0.9345	-0.2085	0	574	319	2
2026-02-19	12:50:35.870	51.66	-15.995	-16.17	0.133956	-0.975024	0.38918	0.2445	0.9405	-0.219	0	574	319	2
2026-02-19	12:50:35.890	40.005	-18.375	-16.135	0.099796	-0.79178	0.47824	0.2325	0.9345	-0.228	0	574	319	2
2026-02-19	12:50:35.910	5.18	-12.985	-19.215	0.116144	-1.156072	0.617564	0.234	0.936	-0.225	0	574	319	2
2026-02-19	12:50:35.930	-21.14	-1.75	-10.92	0.134444	-1.276608	0.503372	0.234	0.9375	-0.225	0	574	319	2
2026-02-19	12:50:35.950	0.595	-12.005	-8.75	0.153964	-0.9516	0.472872	0.231	0.939	-0.2235	0	574	319	2
2026-02-19	12:50:35.970	8.19	-6.44	1.365	0.066124	-0.922076	0.39772	0.2325	0.939	-0.2265	0	574	319	2
2026-02-19	12:50:35.990	12.775	-7.735	8.925	0.025132	-0.910364	0.354288	0.2355	0.939	-0.234	0	574	319	2
2026-02-19	12:50:36.010	12.635	-11.375	8.085	-0.025132	-0.833748	0.356972	0.2355	0.942	-0.2295	0	541	324	3
2026-02-19	12:50:36.030	-7.735	-15.82	4.235	-0.028548	-0.848144	0.340624	0.2325	0.936	-0.2325	0	541	324	3
2026-02-19	12:50:36.050	-34.475	-22.47	0	-0.03904	-0.79544	0.30744	0.228	0.933	-0.24	0	541	324	3
2026-02-19	12:50:36.070	-55.09	-31.465	-5.915	-0.025132	-0.763232	0.253272	0.243	0.939	-0.231	0	541	324	3
2026-02-19	12:50:36.090	-66.815	-36.54	-11.725	-0.00732	-0.731512	0.214964	0.234	0.9375	-0.2295	0	541	324	3
2026-02-19	12:50:36.110	-63.63	-35.28	-20.3	0.051972	-0.812032	0.182756	0.231	0.942	-0.216	0	541	324	3
2026-02-19	12:50:36.130	-41.895	-39.655	-24.885	0.165188	-1.122644	0.233508	0.2295	0.939	-0.207	0	541	324	3
2026-02-19	12:50:36.150	-1.89	-37.415	-19.005	0.196664	-1.218292	0.308904	0.2235	0.951	-0.1935	0	541	324	3
2026-02-19	12:50:36.170	65.135	-32.935	-11.585	0.200812	-1.074576	0.356972	0.2145	0.942	-0.204	0	541	324	3
2026-02-19	12:50:36.190	105.105	-24.85	-10.115	0.275964	-0.948672	0.367708	0.213	0.9435	-0.2145	0	541	324	3
2026-02-19	12:50:36.210	146.265	-8.54	-9.765	0.290604	-0.950868	0.313052	0.21	0.9405	-0.2325	0	501	333	3
2026-02-19	12:50:36.230	193.76	-13.09	-7.91	0.352336	-0.814228	0.326472	0.2115	0.933	-0.252	0	501	333	3
2026-02-19	12:50:36.250	224.56	-20.335	-8.715	0.40504	-0.653188	0.377468	0.213	0.93	-0.282	0	501	333	3
2026-02-19	12:50:36.270	228.795	-22.575	-23.66	0.507032	-0.584136	0.479216	0.2115	0.921	-0.3135	0	501	333	3
2026-02-19	12:50:36.290	215.145	-16.135	-35.875	0.345992	-0.533628	0.54534	0.2085	0.909	-0.3435	0	501	333	3
2026-02-19	12:50:36.310	224.245	-19.355	-36.995	0.302804	-0.506788	0.576084	0.201	0.894	-0.375	0	501	333	3
2026-02-19	12:50:36.330	237.685	-24.395	-45.395	0.329156	-0.328424	0.587308	0.1965	0.8775	-0.408	0	501	333	3
2026-02-19	12:50:36.350	230.02	-29.715	-61.775	0.294752	-0.093696	0.548024	0.1875	0.8625	-0.444	0	501	333	3
2026-02-19	12:50:36.370	179.235	-46.235	-84.385	0.095404	0.010248	1.286612	0.1815	0.8535	-0.4605	0	501	333	3
2026-02-19	12:50:36.390	113.47	-11.62	-153.93	0.31232	-0.725168	1.90198	0.162	0.8145	-0.504	0	501	333	3
2026-02-19	12:50:36.410	36.715	12.81	-107.275	0.522892	-0.524844	0.982344	0.1425	0.8085	-0.5205	0	465	360	3
2026-02-19	12:50:36.430	1.225	8.47	-72.835	0.2623	-0.221796	0.473604	0.138	0.8055	-0.5235	0	465	360	3
2026-02-19	12:50:36.450	-5.145	-14.525	-94.29	0.280844	-0.158112	0.520208	0.126	0.7995	-0.5205	0	465	360	3
2026-02-19	12:50:36.470	-10.675	-41.125	-92.54	0.470188	-0.692716	0.8052	0.1065	0.81	-0.525	0	465	360	3
2026-02-19	12:50:36.490	29.715	-57.19	-80.395	0.564616	-0.582916	1.056276	0.1035	0.804	-0.5235	0	465	360	3
2026-02-19	12:50:36.510	50.575	-64.715	-64.225	0.45628	-0.374052	0.91256	0.09	0.801	-0.5235	0	465	360	3
2026-02-19	12:50:36.530	59.955	-81.725	-48.16	0.545828	-0.073444	0.685152	0.069	0.798	-0.5265	0	465	360	3
2026-02-19	12:50:36.550	-9.8	-108.5	-49.105	0.586332	0.116388	0.647576	0.063	0.798	-0.5295	0	465	360	3
2026-02-19	12:50:36.570	-125.23	-140.98	-65.345	0.637572	0.085888	0.803004	0.063	0.798	-0.5295	0	465	360	3
2026-02-19	12:50:36.590	-216.16	-141.855	-81.48	0.650016	-0.009028	0.772016	0.0105	0.7965	-0.522	0	465	360	3
2026-02-19	12:50:34.610	-17.5	-12.18	-114.17	-0.145424	-1.918816	0.438224	0.3795	0.8865	-0.177	0	517	337	3
2026-02-19	12:50:34.630	51.345	-14.07	-76.755	-0.0671	-2.23382	0.55632	0.3615	0.8925	-0.174	0	517	337	3
2026-02-19	12:50:34.650	25.06	-8.015	-12.95	-0.119072	-2.121092	0.387228	0.339	0.9	-0.174	0	517	337	3
2026-02-19	12:50:34.670	12.635	0.42	39.445	-0.265472	-1.712636	0.418948	0.333	0.906	-0.18	0	517	337	3
2026-02-19	12:50:34.690	13.86	8.26	75.74	-0.30622	-1.295396	0.472628	0.333	0.9105	-0.183	0	517	337	3
2026-02-19	12:50:34.710	10.5	14.735	93.59	-0.330132	-0.900604	0.400404	0.333	0.9105	-0.183	0	517	337	3
2026-02-19	12:50:34.730	19.74	17.5	95.97	-0.431636	-0.702476	0.277184	0.36	0.8925	-0.1875	0	517	337	3
2026-02-19	12:50:34.750	35.14	14.28	85.925	-0.24156	-0.528992	0.332572	0.36	0.8925	-0.1875	0	517	337	3
2026-02-19	12:50:34.770	28.42	10.955	73.185	-0.280844	-0.195444	0.369904	0.3765	0.882	-0.192	0	517	337	3
2026-02-19	12:50:34.790	10.43	3.605	50.33	-0.350872	0.053192	0.293532	0.4005	0.8685	-0.195	0	517	337	3
