yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:42:57.010	1.295	-0.595	0.21	0.009516	-0.056364	1.011624	-10.296	-4.4505	32.289	0	17	1032	1
2026-02-12	16:42:57.030	1.33	-0.595	0.245	0.011468	-0.055632	1.009428	-10.3125	-4.452	32.307	0	17	1032	1
2026-02-12	16:42:57.050	1.33	-0.63	0.245	0.0122	-0.05612	1.008208	-10.3065	-4.4595	32.3025	0	17	1032	1
2026-02-12	16:42:57.070	1.295	-0.595	0.245	0.010492	-0.05124	1.01016	-10.3125	-4.4595	32.2965	0	17	1032	1
2026-02-12	16:42:57.090	1.26	-0.56	0.245	0.014396	-0.055144	1.009916	-10.305	-4.461	32.31	0	17	1032	1
2026-02-12	16:42:57.110	1.295	-0.595	0.245	0.011224	-0.055876	1.010648	-10.305	-4.452	32.2965	0	17	1032	1
2026-02-12	16:42:57.130	1.33	-0.595	0.245	0.012932	-0.056852	1.009672	-10.3185	-4.47	32.298	0	17	1032	1
2026-02-12	16:42:57.150	1.33	-0.63	0.28	0.01342	-0.052704	1.008452	-10.3215	-4.4595	32.2995	0	17	1032	1
2026-02-12	16:42:57.170	1.295	-0.56	0.28	0.010736	-0.053192	1.008696	-10.3215	-4.4595	32.2995	0	17	1032	1
2026-02-12	16:42:57.190	1.295	-0.595	0.245	0.011712	-0.056852	1.011136	-10.3215	-4.4595	32.2995	0	17	1032	1
2026-02-12	16:42:57.210	1.295	-0.595	0.28	0.010492	-0.05612	1.00894	-10.314	-4.458	32.3025	0	15	1032	1
2026-02-12	16:42:57.230	1.295	-0.63	0.21	0.011224	-0.055632	1.008208	-10.3095	-4.455	32.2995	0	15	1032	1
2026-02-12	16:42:57.250	1.295	-0.595	0.21	0.014396	-0.054168	1.009916	-10.317	-4.4565	32.2935	0	15	1032	1
2026-02-12	16:42:57.270	1.295	-0.63	0.245	0.010004	-0.05124	1.008452	-10.323	-4.4565	32.292	0	15	1032	1
2026-02-12	16:42:57.290	1.33	-0.595	0.245	0.014396	-0.055632	1.004548	-10.3245	-4.4475	32.292	0	15	1032	1
2026-02-12	16:42:57.310	1.33	-0.595	0.245	0.009516	-0.050264	1.009672	-10.323	-4.449	32.2965	0	15	1032	1
2026-02-12	16:42:57.330	1.295	-0.595	0.245	0.014396	-0.053192	1.012356	-10.3185	-4.458	32.2935	0	15	1032	1
2026-02-12	16:42:57.350	1.365	-0.63	0.28	0.01342	-0.055144	1.010892	-10.317	-4.458	32.2875	0	15	1032	1
2026-02-12	16:42:57.370	1.33	-0.595	0.245	0.00854	-0.05368	1.01138	-10.29	-4.4475	32.3025	0	15	1032	1
2026-02-12	16:42:57.390	1.295	-0.595	0.21	0.01098	-0.054168	1.01016	-10.29	-4.4475	32.3025	0	15	1032	1
2026-02-12	16:42:57.410	1.33	-0.63	0.28	0.009028	-0.055632	1.010404	-10.3095	-4.4415	32.295	0	13	1032	1
2026-02-12	16:42:57.430	1.295	-0.595	0.245	0.009272	-0.051484	1.01016	-10.284	-4.4385	32.2965	0	13	1032	1
