yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:42:57.010	15.575	33.46	215.985	1.125572	-0.3294	0.00854	0.0735	0.6825	-0.1455	0	857	264	5
2026-02-12	16:42:57.030	31.675	22.995	200.585	1.073112	-0.28182	0.026108	0.0945	0.714	-0.138	0	857	264	5
2026-02-12	16:42:57.050	40.32	14.385	186.165	0.967704	-0.23912	0.044164	0.1095	0.732	-0.1425	0	857	264	5
2026-02-12	16:42:57.070	43.505	7	169.015	0.922808	-0.227652	0.054168	0.117	0.7425	-0.1455	0	857	264	5
2026-02-12	16:42:57.090	45.43	-0.315	151.55	0.846192	-0.206424	0.06734399	0.1275	0.762	-0.15	0	857	264	5
2026-02-12	16:42:57.110	45.5	-6.965	132.51	0.804712	-0.204716	0.064904	0.1365	0.777	-0.1545	0	857	264	5
2026-02-12	16:42:57.130	43.26	-11.62	114.66	0.747372	-0.187148	0.099308	0.147	0.789	-0.1575	0	857	264	5
2026-02-12	16:42:57.150	41.51	-17.78	86.695	0.648308	-0.161284	0.130052	0.153	0.7935	-0.159	0	857	264	5
2026-02-12	16:42:57.170	40.6	-21.525	66.08	0.607316	-0.174216	0.156892	0.153	0.7935	-0.159	0	857	264	5
2026-02-12	16:42:57.190	40.075	-25.445	45.15	0.558028	-0.143472	0.196908	0.177	0.8085	-0.1725	0	857	264	5
2026-02-12	16:42:57.210	34.615	-30.065	21.595	0.526308	-0.144936	0.211304	0.1845	0.819	-0.1635	0	823	241	5
2026-02-12	16:42:57.230	28.245	-33.775	-2.205	0.520208	-0.150304	0.218624	0.1875	0.816	-0.1605	0	823	241	5
2026-02-12	16:42:57.250	20.58	-35.805	-27.545	0.50874	-0.15006	0.244244	0.1725	0.8115	-0.162	0	823	241	5
2026-02-12	16:42:57.270	11.55	-39.2	-53.83	0.541436	-0.169824	0.282064	0.168	0.81	-0.1665	0	823	241	5
2026-02-12	16:42:57.290	3.815	-40.635	-80.605	0.537044	-0.18178	0.313052	0.1635	0.8085	-0.1635	0	823	241	5
2026-02-12	16:42:57.310	-0.105	-43.75	-108.64	0.604876	-0.211792	0.33062	0.153	0.807	-0.156	0	823	241	5
