yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:42:57.010	-2.73	52.115	-233.485	1.370304	0.100528	0.096868	-0.231	0.063	0.4845	0	971	184	5
2026-02-12	16:42:57.030	-9.275	46.935	-220.92	1.28588	0.156648	0.080764	-0.222	-0.0435	0.4425	0	971	184	5
2026-02-12	16:42:57.050	-18.935	42.07	-207.69	1.193892	0.096136	0.072956	-0.2145	-0.093	0.435	0	971	184	5
2026-02-12	16:42:57.070	-22.855	37.31	-192.885	1.11508	0.10004	0.06734399	-0.2025	-0.1125	0.429	0	971	184	5
2026-02-12	16:42:57.090	-25.55	33.285	-176.925	1.020896	0.088816	0.055632	-0.1815	-0.1275	0.4275	0	971	184	5
2026-02-12	16:42:57.110	-26.915	28.7	-160.405	0.94062	0.042944	0.05368	-0.1785	-0.1455	0.417	0	971	184	5
2026-02-12	16:42:57.130	-22.785	24.605	-142.66	0.859368	0.037332	0.053924	-0.1605	-0.1785	0.4095	0	971	184	5
2026-02-12	16:42:57.150	-16.765	18.41	-122.85	0.749568	0.051728	0.050264	-0.147	-0.189	0.4065	0	971	184	5
2026-02-12	16:42:57.170	-11.83	8.89	-101.57	0.721264	0.041968	0.051728	-0.1395	-0.1995	0.4065	0	971	184	5
2026-02-12	16:42:57.190	-5.705	3.885	-80.57	0.648064	0.030012	0.05002	-0.1245	-0.216	0.3975	0	971	184	5
2026-02-12	16:42:57.210	0.735	-1.4	-56.315	0.585844	0.03294	0.047824	-0.1215	-0.2265	0.3975	0	925	179	5
2026-02-12	16:42:57.230	6.475	-8.995	-29.61	0.560468	0.054656	0.047824	-0.1125	-0.228	0.3915	0	925	179	5
2026-02-12	16:42:57.250	12.25	-17.71	3.185	0.543144	0.077348	0.051728	-0.096	-0.2265	0.405	0	925	179	5
2026-02-12	16:42:57.270	15.12	-26.32	37.8	0.556808	0.117852	0.05734	-0.096	-0.2265	0.405	0	925	179	5
2026-02-12	16:42:57.290	15.435	-33.04	66.85	0.588284	0.140788	0.064416	-0.1065	-0.222	0.4095	0	925	179	5
2026-02-12	16:42:57.310	13.195	-39.375	95.935	0.630252	0.150792	0.072224	-0.1185	-0.2145	0.411	0	925	179	5
2026-02-12	16:42:57.330	9.03	-45.57	125.09	0.69174	0.16226	0.085644	-0.126	-0.2055	0.414	0	925	179	5
2026-02-12	16:42:57.350	4.935	-51.66	153.965	0.776896	0.181536	0.095404	-0.1335	-0.1995	0.4185	0	925	179	5
2026-02-12	16:42:57.370	2.205	-57.645	181.965	0.884256	0.188124	0.100528	-0.1485	-0.18	0.426	0	925	179	5
2026-02-12	16:42:57.390	1.575	-63.7	208.985	1.01016	0.196176	0.113216	-0.1695	-0.171	0.4335	0	925	179	5
2026-02-12	16:42:57.410	2.065	-69.09	234.64	1.153632	0.21594	0.142008	-0.1815	-0.1425	0.4485	0	869	159	5
2026-02-12	16:42:57.430	2.695	-72.8	257.495	1.319796	0.214476	0.1769	-0.192	-0.12	0.453	0	869	159	5
2026-02-12	16:42:57.450	1.505	-75.635	276.57	1.491328	0.260592	0.231312	-0.2085	-0.084	0.4695	0	869	159	5
2026-02-12	16:42:57.470	-5.74	-73.115	290.325	1.63236	0.30134	0.284992	-0.2235	-0.0435	0.486	0	869	159	5
2026-02-12	16:42:57.490	-9.485	-66.955	294.945	1.709464	0.30622	0.318176	-0.2265	-0.009	0.489	0	869	159	5
2026-02-12	16:42:57.510	-6.685	-57.47	288.4	1.739232	0.4514	0.303048	-0.234	0.0315	0.4995	0	869	159	5
2026-02-12	16:42:57.530	-21.385	-40.775	261.45	1.635532	0.3172	0.22082	-0.2325	0.078	0.5085	0	869	159	5
2026-02-12	16:42:57.550	-20.475	-32.55	232.925	1.514752	0.304756	0.223016	-0.2295	0.111	0.5235	0	869	159	5
2026-02-12	16:42:57.570	-16.24	-26.495	195.335	1.394704	0.212524	0.226432	-0.222	0.1605	0.5325	0	869	159	5
2026-02-12	16:42:57.590	0.28	-25.62	154.98	1.287588	-0.044652	0.134688	-0.213	0.1935	0.5325	0	869	159	5
2026-02-12	16:42:57.610	25.725	-25.69	108.08	1.27368	0.258152	0.236192	-0.201	0.2175	0.5355	0	809	150	5
2026-02-12	16:42:57.630	27.02	-25.585	73.08	1.205848	0.04514	0.199104	-0.1965	0.2325	0.5415	0	809	150	5
2026-02-12	16:42:57.650	48.93	-25.165	43.05	1.191208	0.094428	0.20008	-0.1935	0.2445	0.5475	0	809	150	5
2026-02-12	16:42:57.670	67.48	-22.19	21.28	1.181448	0.162504	0.205692	-0.183	0.252	0.546	0	809	150	5
2026-02-12	16:42:57.690	78.82	-15.365	5.845	1.119228	0.227408	0.183488	-0.177	0.261	0.5475	0	809	150	5
2026-02-12	16:42:57.710	83.405	-8.505	-2.695	1.0797	0.309636	0.174704	-0.18	0.2625	0.54	0	809	150	5
2026-02-12	16:42:57.730	79.87	-1.715	-5.285	1.035048	0.348676	0.156404	-0.1815	0.2655	0.5355	0	809	150	5
2026-02-12	16:42:57.750	70.7	5.145	-4.375	0.992104	0.377224	0.147132	-0.1815	0.2715	0.5325	0	809	150	5
2026-02-12	16:42:57.770	56.385	11.2	-0.49	0.953308	0.395524	0.14152	-0.18	0.2745	0.525	0	809	150	5
2026-02-12	16:42:57.790	34.58	17.22	7.14	0.914756	0.373808	0.140788	-0.1785	0.2715	0.519	0	809	150	5
2026-02-12	16:42:55.810	10.115	-17.815	-553.175	3.40136	0.748836	0.244244	-0.2385	0.0645	0.435	0	922	182	5
2026-02-12	16:42:55.830	-26.005	-8.54	-564.235	3.153212	0.712724	0.225944	-0.228	-0.0165	0.429	0	922	182	5
2026-02-12	16:42:55.850	-59.395	8.68	-556.115	2.750124	0.526796	0.198616	-0.2025	-0.096	0.4275	0	922	182	5
2026-02-12	16:42:55.870	-73.71	30.485	-538.685	2.235284	0.36234	0.185684	-0.162	-0.162	0.4275	0	922	182	5
2026-02-12	16:42:55.890	-79.45	43.225	-500.22	1.811456	0.215452	0.19642	-0.1065	-0.2205	0.414	0	922	182	5
2026-02-12	16:42:55.910	-85.435	54.565	-437.36	1.289296	0.022448	0.175192	-0.0765	-0.249	0.405	0	922	182	5
2026-02-12	16:42:55.930	-82.565	55.895	-395.57	1.078968	-0.033916	0.155672	-0.0765	-0.249	0.405	0	922	182	5
2026-02-12	16:42:55.950	-84.63	56.105	-358.995	0.936472	-0.057828	0.182756	0.1035	-0.324	0.3555	0	922	182	5
2026-02-12	16:42:55.970	-94.465	56.49	-317.345	0.763476	-0.23912	0.143228	0.1545	-0.3285	0.3435	0	922	182	5
2026-02-12	16:42:55.990	-91.175	52.885	-266.945	0.540704	-0.572668	-0.037332	0.1965	-0.339	0.33	0	922	182	5
