yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:34:48.410	1.47	-0.385	0.245	0.022936	-0.025864	0.904752	-0.2445	-0.444	-0.0645	0	14	1025	1
2026-02-12	15:34:48.430	1.05	-1.365	0.315	0.018788	0.042456	1.009672	-0.24	-0.4425	-0.063	0	14	1025	1
2026-02-12	15:34:48.450	0.98	-0.735	0.21	0.007076	0.107848	0.981612	-0.2415	-0.444	-0.06	0	14	1025	1
2026-02-12	15:34:48.470	1.435	-0.735	0.28	0.009516	0.077104	1.017724	-0.243	-0.447	-0.0555	0	14	1025	1
2026-02-12	15:34:48.490	1.12	-0.7	0.28	0.002196	0.097844	1.00894	-0.243	-0.444	-0.0555	0	14	1025	1
2026-02-12	15:34:48.510	1.4	-0.49	0.245	0.005612	0.079788	1.02236	-0.243	-0.4425	-0.057	0	14	1025	1
2026-02-12	15:34:48.530	1.33	-0.665	0.28	0.00366	0.082228	1.01138	-0.243	-0.4515	-0.057	0	14	1025	1
2026-02-12	15:34:48.550	1.295	-0.56	0.21	0.002684	0.081252	1.009672	-0.2415	-0.4515	-0.0585	0	14	1025	1
2026-02-12	15:34:48.570	1.295	-0.595	0.245	0.005612	0.078812	1.008208	-0.2415	-0.444	-0.063	0	14	1025	1
2026-02-12	15:34:48.590	1.26	-0.63	0.28	0.008784	0.084668	1.011868	-0.2415	-0.4455	-0.06	0	14	1025	1
2026-02-12	15:34:48.610	1.26	-0.595	0.28	0.0061	0.085644	1.012356	-0.2385	-0.447	-0.0555	0	16	1025	1
2026-02-12	15:34:48.630	1.33	-0.595	0.28	0.005856	0.085888	1.013332	-0.2415	-0.4455	-0.057	0	16	1025	1
2026-02-12	15:34:48.650	1.295	-0.595	0.245	0.006344	0.083692	1.01138	-0.2445	-0.4455	-0.06	0	16	1025	1
2026-02-12	15:34:48.670	1.26	-0.525	0.245	0.00366	0.080032	1.011868	-0.24	-0.4455	-0.0585	0	16	1025	1
2026-02-12	15:34:48.690	1.295	-0.63	0.245	0.008784	0.084668	1.01016	-0.237	-0.444	-0.0555	0	16	1025	1
2026-02-12	15:34:48.710	1.295	-0.525	0.245	0.003416	0.08295999	1.011624	-0.24	-0.4485	-0.0555	0	16	1025	1
2026-02-12	15:34:48.730	1.295	-0.595	0.28	0.010492	0.081496	1.010404	-0.2445	-0.4455	-0.06	0	16	1025	1
2026-02-12	15:34:48.750	1.365	-0.665	0.245	0.006588	0.083448	1.011136	-0.246	-0.441	-0.0645	0	16	1025	1
2026-02-12	15:34:48.770	1.33	-0.525	0.245	0.007076	0.08295999	1.012356	-0.2445	-0.4485	-0.066	0	16	1025	1
2026-02-12	15:34:48.790	1.26	-0.63	0.28	0.00732	0.083692	1.011624	-0.243	-0.45	-0.0675	0	16	1025	1
