yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:34:48.410	-59.36	1.47	-75.495	0.912072	-0.123708	0.279136	-0.0015	0.5745	-0.012	0	158	256	3
2026-02-12	15:34:48.430	-57.435	-0.455	-82.845	0.9638	-0.143228	0.298168	0.006	0.5565	-0.0135	0	158	256	3
2026-02-12	15:34:48.450	-52.745	-2.415	-88.69	0.998692	-0.161284	0.353312	0	0.546	-0.012	0	158	256	3
2026-02-12	15:34:48.470	-48.685	-4.305	-93.135	1.029436	-0.18178	0.421876	0.0105	0.5385	-0.0135	0	158	256	3
2026-02-12	15:34:48.490	-46.865	-4.655	-94.71	1.037488	-0.205936	0.470188	0.003	0.5265	-0.0135	0	158	256	3
2026-02-12	15:34:48.510	-44.975	-4.41	-93.065	1.022604	-0.217648	0.504348	0.009	0.51	-0.0165	0	158	256	3
2026-02-12	15:34:48.530	-43.995	-2.38	-85.89	0.91866	-0.177876	0.50142	0.0075	0.489	-0.0165	0	158	256	3
2026-02-12	15:34:48.550	-48.09	-2.275	-79.73	0.852536	-0.135664	0.462868	0.0075	0.489	-0.0165	0	158	256	3
2026-02-12	15:34:48.570	-54.915	-3.08	-74.305	0.825452	-0.122976	0.437492	0.0075	0.4695	-0.0255	0	158	256	3
2026-02-12	15:34:48.590	-61.425	-4.095	-69.545	0.820328	-0.118096	0.409432	0.0165	0.4515	-0.015	0	158	256	3
2026-02-12	15:34:48.610	-68.145	-5.74	-65.52	0.835944	-0.1342	0.38186	0.015	0.456	-0.024	0	156	279	3
2026-02-12	15:34:48.630	-70.945	-6.615	-60.935	0.845216	-0.156892	0.365268	0.018	0.444	-0.03	0	156	279	3
2026-02-12	15:34:48.650	-69.195	-7.595	-55.055	0.84668	-0.162992	0.364292	0.0285	0.4335	-0.0285	0	156	279	3
2026-02-12	15:34:48.670	-67.165	-7.735	-48.93	0.835212	-0.144448	0.376004	0.0225	0.4245	-0.0315	0	156	279	3
2026-02-12	15:34:48.690	-67.585	-8.05	-43.785	0.833992	-0.144204	0.384788	0.0345	0.4245	-0.036	0	156	279	3
