yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:34:48.410	2.345	23.17	-51.905	1.136552	0.12566	0.19886	-0.2985	0.1485	0.462	0	171	223	3
2026-02-12	15:34:48.430	5.74	27.16	-51.415	1.188036	0.141032	0.2074	-0.2895	0.1425	0.453	0	171	223	3
2026-02-12	15:34:48.450	8.575	32.795	-49.245	1.198772	0.152988	0.184952	-0.2925	0.1395	0.4545	0	171	223	3
2026-02-12	15:34:48.470	11.935	37.73	-46.97	1.176568	0.179584	0.150548	-0.3045	0.1245	0.447	0	171	223	3
2026-02-12	15:34:48.490	12.32	40.6	-44.975	1.164612	0.197396	0.12444	-0.306	0.12	0.4335	0	171	223	3
2026-02-12	15:34:48.510	10.36	43.155	-43.715	1.155584	0.201056	0.091988	-0.3075	0.1215	0.4395	0	171	223	3
2026-02-12	15:34:48.530	11.06	46.095	-44.345	1.076528	0.202276	0.063684	-0.309	0.1095	0.429	0	171	223	3
2026-02-12	15:34:48.550	9.31	46.305	-46.62	1.037488	0.197884	0.054168	-0.3105	0.099	0.4185	0	171	223	3
2026-02-12	15:34:48.570	5.04	46.34	-48.895	1.004792	0.18422	0.05002	-0.3165	0.0945	0.414	0	171	223	3
2026-02-12	15:34:48.590	1.645	46.13	-50.47	0.978928	0.18178	0.057584	-0.3225	0.084	0.405	0	171	223	3
2026-02-12	15:34:48.610	0.735	45.99	-51.625	0.95648	0.173972	0.053192	-0.3195	0.078	0.3975	0	169	228	3
2026-02-12	15:34:48.630	3.5	45.57	-51.94	0.949648	0.173972	0.0549	-0.3225	0.072	0.3915	0	169	228	3
2026-02-12	15:34:48.650	7.035	45.185	-50.68	0.961604	0.189832	0.051484	-0.3315	0.063	0.3855	0	169	228	3
2026-02-12	15:34:48.670	6.895	44.38	-47.425	1.038708	0.203252	0.041968	-0.3315	0.054	0.3765	0	169	228	3
2026-02-12	15:34:48.690	4.795	45.535	-43.015	1.017236	0.202276	0.022692	-0.3315	0.048	0.3675	0	169	228	3
2026-02-12	15:34:48.710	1.61	45.115	-38.08	1.011624	0.205936	0.011468	-0.3315	0.0435	0.363	0	169	228	3
2026-02-12	15:34:48.730	-3.955	43.68	-32.165	1.037976	0.221796	-0.002684	-0.33	0.036	0.357	0	169	228	3
2026-02-12	15:34:48.750	-12.32	41.37	-26.005	1.101172	0.224968	-0.027572	-0.3315	0.0315	0.3525	0	169	228	3
2026-02-12	15:34:48.770	-22.19	38.08	-19.74	1.163148	0.218624	-0.031964	-0.336	0.03	0.345	0	169	228	3
2026-02-12	15:34:48.790	-32.165	34.23	-12.18	1.109712	0.189832	-0.02074	-0.336	0.027	0.339	0	169	228	3
2026-02-12	15:34:48.810	-34.16	29.365	-9.45	1.118008	0.196664	0.007076	-0.3285	0.006	0.327	0	168	202	3
2026-02-12	15:34:48.830	-37.695	25.305	-9.24	1.162416	0.171044	0.016348	-0.3345	0.009	0.3285	0	168	202	3
2026-02-12	15:34:48.850	-33.88	21.7	-11.585	1.175104	0.138348	0.007076	-0.3375	0.0135	0.324	0	168	202	3
2026-02-12	15:34:48.870	-23.38	17.08	-15.575	1.075064	0.116388	0.002684	-0.33	0.015	0.324	0	168	202	3
2026-02-12	15:34:48.890	-14.7	8.82	-20.125	0.962336	0.125416	0.027328	-0.327	0.0135	0.3225	0	168	202	3
2026-02-12	15:34:48.910	-16.8	-2.205	-23.205	0.917928	0.144204	0.094916	-0.333	0.0135	0.315	0	168	202	3
2026-02-12	15:34:48.930	-32.165	-11.235	-23.52	0.888404	0.17202	0.175436	-0.336	0.0075	0.315	0	168	202	3
2026-02-12	15:34:48.950	-62.93	-17.64	-21.7	0.874008	0.178364	0.260836	-0.3345	0.003	0.309	0	168	202	3
