yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:38:46.610	1.33	-0.595	0.28	0.013908	-0.05368	1.012112	0.015	-0.144	0.2355	0	53	108	2
2026-02-12	16:38:46.630	1.295	-0.63	0.28	0.014152	-0.05368	1.008696	0.0165	-0.138	0.2295	0	53	108	2
2026-02-12	16:38:46.650	1.295	-0.595	0.28	0.015616	-0.047824	1.010648	0.018	-0.138	0.219	0	53	108	2
2026-02-12	16:38:46.670	13.615	-3.5	-3.85	0.025864	0.054656	1.021384	0.0165	-0.144	0.222	0	53	108	2
2026-02-12	16:38:46.690	13.37	12.075	-18.585	0.055144	0.197396	1.02724	-2.1075	0.1905	1.221	0	53	108	2
2026-02-12	16:38:46.710	17.57	13.3	-19.18	0.06954	0.249368	1.023824	-2.103	0.1905	1.1985	0	53	108	2
2026-02-12	16:38:46.730	21	13.02	-20.65	0.071736	0.256444	1.009672	-2.1015	0.189	1.2075	0	53	108	2
2026-02-12	16:38:46.750	21.42	13.79	-23.835	0.05368	0.255224	0.98698	-2.1075	0.1785	1.206	0	53	108	2
2026-02-12	16:38:46.770	20.72	14.98	-28.21	0.049532	0.264252	0.962092	-2.1015	0.1785	1.2135	0	53	108	2
2026-02-12	16:38:46.790	19.04	15.68	-31.675	0.036356	0.27328	0.927688	-2.1045	0.177	1.2045	0	53	108	2
2026-02-12	16:38:46.810	17.955	15.225	-33.705	0.011956	0.287432	0.91744	-2.094	0.174	1.2135	0	168	320	3
2026-02-12	16:38:46.830	18.62	14.21	-34.965	0	0.317688	0.941108	-2.1	0.1755	1.2105	0	168	320	3
2026-02-12	16:38:46.850	19.075	12.95	-35.35	-0.000244	0.330864	0.947696	-2.0925	0.1755	1.2195	0	168	320	3
2026-02-12	16:38:46.870	17.43	10.15	-34.72	-0.00854	0.310124	0.927932	-2.094	0.174	1.2	0	168	320	3
2026-02-12	16:38:46.890	14.735	6.265	-33.95	-0.019276	0.284016	0.904996	-2.094	0.168	1.203	0	168	320	3
2026-02-12	16:38:46.910	13.615	2.135	-32.62	-0.02318	0.264008	0.885476	-2.097	0.162	1.2105	0	168	320	3
2026-02-12	16:38:46.930	13.44	-1.47	-30.415	-0.026352	0.257176	0.905972	-2.0955	0.1575	1.206	0	168	320	3
2026-02-12	16:38:46.950	11.9	-4.41	-26.95	-0.032696	0.256932	0.931836	-2.097	0.159	1.2045	0	168	320	3
2026-02-12	16:38:46.970	10.5	-7.28	-23.345	-0.044896	0.271816	0.963556	-2.0985	0.162	1.1985	0	168	320	3
2026-02-12	16:38:46.990	9.59	-8.155	-21.14	-0.06222	0.272304	0.988932	-2.0955	0.165	1.1985	0	168	320	3
2026-02-12	16:38:47.010	9.94	-7.7	-20.65	-0.065148	0.249124	0.991372	-2.109	0.15	1.2075	0	279	507	1
2026-02-12	16:38:47.030	10.115	-6.58	-20.93	-0.064904	0.231068	0.97722	-2.097	0.1515	1.1955	0	279	507	1
2026-02-12	16:38:47.050	10.43	-5.81	-20.685	-0.06954	0.24278	0.984296	-2.1135	0.153	1.1955	0	279	507	1
2026-02-12	16:38:47.070	9.73	-5.075	-19.95	-0.0732	0.250832	0.975512	-2.103	0.147	1.2075	0	279	507	1
2026-02-12	16:38:47.090	9.24	-4.97	-19.215	-0.072712	0.248148	0.961116	-2.1075	0.153	1.1895	0	279	507	1
