yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:38:34.610	-1.785	0.315	-0.805	0.934276	-0.32696	0.193248	0.015	0.5235	-0.0075	0	84	193	3
2026-02-12	16:38:34.630	-0.735	0.14	-0.385	0.935496	-0.327204	0.190808	0.0165	0.522	-0.006	0	84	193	3
2026-02-12	16:38:34.650	0.07	0	-0.175	0.938668	-0.31964	0.191296	0.0195	0.5175	-0.003	0	84	193	3
2026-02-12	16:38:34.670	0.105	-0.07	-0.21	0.938912	-0.314516	0.190808	0.0165	0.516	-0.0165	0	84	193	3
2026-02-12	16:38:34.690	-0.385	-0.105	-0.35	0.93452	-0.320372	0.193004	0.024	0.5145	-0.0165	0	84	193	3
2026-02-12	16:38:34.710	-0.77	0	-0.525	0.93818	-0.321348	0.194224	0.0165	0.5145	-0.015	0	84	193	3
2026-02-12	16:38:34.730	-1.05	0.105	-0.595	0.935496	-0.321104	0.196176	0.018	0.51	-0.0075	0	84	193	3
2026-02-12	16:38:34.750	-0.84	0.245	-0.665	0.933788	-0.323788	0.193004	0.0165	0.5175	-0.0135	0	84	193	3
2026-02-12	16:38:34.770	-0.665	0.21	-0.735	0.933788	-0.327448	0.192028	0.0105	0.5205	-0.0135	0	84	193	3
2026-02-12	16:38:34.790	-0.035	-0.175	-0.595	0.93086	-0.331352	0.197884	0.0105	0.5175	-0.0105	0	84	193	3
2026-02-12	16:38:34.810	1.33	-0.7	-0.42	0.93696	-0.331596	0.194468	0.015	0.5145	-0.0075	0	74	193	2
2026-02-12	16:38:34.830	2.835	-1.19	-0.21	0.939644	-0.332572	0.197152	0.0165	0.516	-0.0105	0	74	193	2
2026-02-12	16:38:34.850	5.285	-1.435	0	0.937936	-0.329888	0.196664	0.0135	0.5235	-0.0075	0	74	193	2
2026-02-12	16:38:34.870	7.525	-1.54	0.105	0.941596	-0.32086	0.194956	0.012	0.5295	-0.003	0	74	193	2
2026-02-12	16:38:34.890	8.75	-1.82	0.245	0.940864	-0.31354	0.194468	0.015	0.5175	-0.0135	0	74	193	2
2026-02-12	16:38:34.910	9.31	-2.1	0.42	0.942816	-0.305976	0.191296	0.015	0.513	-0.009	0	74	193	2
2026-02-12	16:38:34.930	9.31	-2.205	0.455	0.943548	-0.305488	0.188368	0.018	0.5205	-0.0105	0	74	193	2
2026-02-12	16:38:34.950	8.96	-2.135	0.455	0.941596	-0.303536	0.188124	0.0165	0.516	-0.0015	0	74	193	2
2026-02-12	16:38:34.970	8.68	-2.17	0.49	0.939156	-0.300852	0.186904	0.0135	0.516	-0.0075	0	74	193	2
2026-02-12	16:38:34.990	8.085	-2.205	0.525	0.938668	-0.293288	0.19032	0.015	0.5205	-0.0075	0	74	193	2
2026-02-12	16:38:35.010	6.65	-2.135	0.455	0.9455	-0.294264	0.189344	0.018	0.5235	-0.0075	0	64	194	2
2026-02-12	16:38:35.030	4.305	-1.61	0.35	0.945256	-0.299144	0.1891	0.018	0.5205	-0.009	0	64	194	2
2026-02-12	16:38:35.050	2.555	-1.015	0.315	0.941108	-0.302316	0.19154	0.0135	0.519	-0.0075	0	64	194	2
2026-02-12	16:38:35.070	1.365	-0.595	0.35	0.937936	-0.312076	0.191052	0.015	0.5235	-0.006	0	64	194	2
2026-02-12	16:38:35.090	0.875	-0.525	0.49	0.94428	-0.31232	0.189344	0.015	0.5235	-0.006	0	64	194	2
2026-02-12	16:38:35.110	0.945	-0.77	0.595	0.9394	-0.31598	0.194956	0.018	0.5145	-0.0015	0	64	194	2
2026-02-12	16:38:35.130	2.03	-1.295	0.77	0.938668	-0.314272	0.200812	0.018	0.5205	0.0015	0	64	194	2
2026-02-12	16:38:35.150	3.325	-1.715	0.875	0.950868	-0.312808	0.196176	0.0105	0.516	-0.0105	0	64	194	2
