yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:38:34.610	-2.345	-4.655	-0.385	0.995032	0.186416	0.157136	-0.234	0.126	0.489	0	138	161	3
2026-02-12	16:38:34.630	-1.785	-3.85	-1.61	0.990884	0.182268	0.160064	-0.2325	0.123	0.489	0	138	161	3
2026-02-12	16:38:34.650	-0.91	-3.115	-2.485	0.98942	0.179584	0.165432	-0.2295	0.123	0.492	0	138	161	3
2026-02-12	16:38:34.670	-0.245	-2.52	-3.22	0.994056	0.170556	0.170068	-0.228	0.1245	0.4935	0	138	161	3
2026-02-12	16:38:34.690	1.47	-1.435	-3.43	0.9943	0.152012	0.177632	-0.228	0.1245	0.4935	0	138	161	3
2026-02-12	16:38:34.710	2.625	-0.49	-3.15	0.99674	0.144692	0.182756	-0.2355	0.1305	0.4935	0	138	161	3
2026-02-12	16:38:34.730	3.36	0.56	-2.66	0.996252	0.1403	0.184952	-0.231	0.126	0.501	0	138	161	3
2026-02-12	16:38:34.750	4.165	1.435	-2.24	0.989664	0.136152	0.18422	-0.231	0.1245	0.501	0	138	161	3
2026-02-12	16:38:34.770	5.04	1.925	-2.205	0.991616	0.14396	0.180072	-0.2295	0.12	0.4905	0	138	161	3
2026-02-12	16:38:34.790	5.565	2.03	-2.73	0.994788	0.152012	0.16958	-0.228	0.1185	0.492	0	138	161	3
2026-02-12	16:38:34.810	5.11	1.925	-3.465	0.99796	0.156404	0.16348	-0.2295	0.12	0.495	0	128	161	3
2026-02-12	16:38:34.830	3.395	1.925	-3.99	1.002596	0.167628	0.15982	-0.2295	0.1245	0.4935	0	128	161	3
2026-02-12	16:38:34.850	1.785	2.24	-4.235	0.998936	0.162504	0.155428	-0.228	0.1275	0.492	0	128	161	3
2026-02-12	16:38:34.870	1.26	2.59	-4.585	0.992592	0.16104	0.146644	-0.2295	0.123	0.495	0	128	161	3
2026-02-12	16:38:34.890	1.925	2.87	-4.795	0.993812	0.160552	0.145912	-0.2295	0.1185	0.4965	0	128	161	3
2026-02-12	16:38:34.910	3.255	3.15	-4.97	0.989664	0.16348	0.144936	-0.2295	0.117	0.4935	0	128	161	3
2026-02-12	16:38:34.930	4.235	3.43	-4.97	0.987712	0.160308	0.142984	-0.234	0.114	0.4905	0	128	161	3
2026-02-12	16:38:34.950	4.83	3.64	-4.655	0.983564	0.16104	0.13786	-0.2325	0.1155	0.492	0	128	161	3
2026-02-12	16:38:34.970	5.46	3.71	-3.99	0.986736	0.161772	0.13176	-0.2265	0.12	0.495	0	128	161	3
2026-02-12	16:38:34.990	6.195	3.64	-3.36	0.981856	0.15982	0.129076	-0.2385	0.12	0.4965	0	128	161	3
2026-02-12	16:38:35.010	6.79	3.325	-2.66	0.981124	0.159088	0.129808	-0.2355	0.114	0.498	0	117	160	3
2026-02-12	16:38:35.030	7.14	2.765	-2.03	0.983076	0.16592	0.128344	-0.2355	0.117	0.5025	0	117	160	3
2026-02-12	16:38:35.050	6.685	1.995	-1.435	0.987224	0.1647	0.130296	-0.2355	0.1125	0.4995	0	117	160	3
2026-02-12	16:38:35.070	5.74	1.085	-0.875	0.983076	0.168116	0.12444	-0.2415	0.1215	0.498	0	117	160	3
2026-02-12	16:38:35.090	4.305	0.035	-0.315	0.983564	0.16714	0.131272	-0.2355	0.114	0.4905	0	117	160	3
2026-02-12	16:38:35.110	3.5	-0.7	0.035	0.9882	0.162504	0.135176	-0.2325	0.1215	0.486	0	117	160	3
