yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:29:11.210	1.26	-0.56	0.245	-0.012932	0.09882	1.008696	-1.677	1.6905	-1.0305	0	135	1014	1
2026-02-12	15:29:11.230	1.26	-0.56	0.21	-0.009028	0.09882	1.009916	-1.6785	1.674	-1.0425	0	135	1014	1
2026-02-12	15:29:11.250	1.295	-0.63	0.245	-0.01342	0.101016	1.007232	-1.686	1.6725	-1.044	0	135	1014	1
2026-02-12	15:29:11.270	1.295	-0.63	0.28	-0.011468	0.094916	1.009184	-1.686	1.6725	-1.044	0	135	1014	1
2026-02-12	15:29:11.290	1.295	-0.56	0.245	-0.010004	0.099796	1.010648	-1.686	1.6725	-1.044	0	135	1014	1
2026-02-12	15:29:11.310	1.26	-0.56	0.28	-0.00854	0.100284	1.007964	-1.686	1.6725	-1.044	0	135	1014	1
2026-02-12	15:29:11.330	1.295	-0.595	0.245	-0.009272	0.099064	1.009916	-1.683	1.7115	-1.0275	0	135	1014	1
2026-02-12	15:29:11.350	1.295	-0.56	0.28	-0.010248	0.099308	1.01138	-1.686	1.689	-1.047	0	135	1014	1
2026-02-12	15:29:11.370	1.26	-0.595	0.245	-0.009272	0.0976	1.008208	-1.6905	1.6845	-1.044	0	135	1014	1
2026-02-12	15:29:11.390	1.295	-0.63	0.245	-0.013908	0.094916	1.00894	-1.683	1.71	-1.0575	0	135	1014	1
2026-02-12	15:29:11.410	1.26	-0.63	0.245	-0.011224	0.098088	1.007232	-1.6785	1.7205	-1.0485	0	113	1019	1
2026-02-12	15:29:11.430	1.26	-0.595	0.21	-0.009516	0.09882	1.009672	-1.665	1.71	-1.047	0	113	1019	1
2026-02-12	15:29:11.450	1.295	-0.595	0.28	-0.012688	0.097844	1.006256	-1.68	1.68	-1.0365	0	113	1019	1
2026-02-12	15:29:11.470	1.295	-0.595	0.245	-0.010492	0.09882	1.01138	-1.68	1.68	-1.0365	0	113	1019	1
2026-02-12	15:29:11.490	1.26	-0.63	0.245	-0.01098	0.097844	1.009428	-1.674	1.71	-1.044	0	113	1019	1
2026-02-12	15:29:11.510	1.295	-0.63	0.245	-0.010492	0.099064	1.008208	-1.674	1.71	-1.044	0	113	1019	1
2026-02-12	15:29:11.530	1.33	-0.63	0.245	-0.011956	0.097356	1.012356	-1.6755	1.707	-1.0395	0	113	1019	1
2026-02-12	15:29:11.550	1.26	-0.595	0.245	-0.010004	0.103212	1.012112	-1.6785	1.698	-1.035	0	113	1019	1
2026-02-12	15:29:11.570	1.295	-0.56	0.28	-0.011224	0.09638	1.007476	-1.683	1.695	-1.041	0	113	1019	1
2026-02-12	15:29:11.590	1.295	-0.595	0.245	-0.008784	0.099064	1.009672	-1.683	1.6995	-1.0425	0	113	1019	1
2026-02-12	15:29:11.610	1.295	-0.63	0.245	-0.011712	0.099064	1.00772	-1.677	1.701	-1.044	0	96	1022	1
2026-02-12	15:29:11.630	1.33	-0.63	0.28	-0.008296	0.099796	1.007964	-1.6725	1.7055	-1.0455	0	96	1022	1
2026-02-12	15:29:11.650	1.295	-0.56	0.245	-0.011956	0.10248	1.01016	-1.6785	1.704	-1.0365	0	96	1022	1
2026-02-12	15:29:11.670	1.295	-0.595	0.245	-0.010004	0.095892	1.00894	-1.6815	1.6995	-1.0365	0	96	1022	1
2026-02-12	15:29:11.690	1.295	-0.595	0.245	-0.014152	0.098332	1.009184	-1.677	1.71	-1.0365	0	96	1022	1
