yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:28:59.210	-63.35	-101.36	-259.42	1.796572	-0.311588	0.457256	0.177	0.492	-0.276	0	373	386	3
2026-02-12	15:28:59.230	-49.07	-97.055	-257.46	1.71898	-0.339892	0.501908	0.162	0.4575	-0.2625	0	373	386	3
2026-02-12	15:28:59.250	-31.255	-90.44	-250.39	1.643096	-0.383812	0.547048	0.1605	0.4365	-0.252	0	373	386	3
2026-02-12	15:28:59.270	-10.675	-81.025	-237.79	1.527196	-0.426756	0.580232	0.1635	0.4215	-0.246	0	373	386	3
2026-02-12	15:28:59.290	11.76	-68.775	-220.465	1.390312	-0.458476	0.599752	0.1755	0.396	-0.2385	0	373	386	3
2026-02-12	15:28:59.310	33.46	-54.495	-199.92	1.338096	-0.449448	0.582184	0.1875	0.3735	-0.234	0	373	386	3
2026-02-12	15:28:59.330	63.91	-23.345	-176.645	1.22854	-0.483852	0.560956	0.1965	0.351	-0.2265	0	373	386	3
2026-02-12	15:28:59.350	129.99	-16.765	-144.655	1.045052	-0.60024	0.548268	0.2055	0.3285	-0.216	0	373	386	3
2026-02-12	15:28:59.370	182.665	-41.405	-95.55	0.69662	-0.46604	0.638792	0.2175	0.312	-0.1995	0	373	386	3
2026-02-12	15:28:59.390	150.605	-56.385	-54.81	0.584136	-0.226188	0.687836	0.228	0.2955	-0.1845	0	373	386	3
2026-02-12	15:28:59.410	30.17	-37.835	-18.41	0.589016	-0.159088	0.730536	0.2295	0.285	-0.18	0	380	389	3
2026-02-12	15:28:59.430	-34.02	-17.08	3.92	0.546072	-0.097112	0.715652	0.2295	0.285	-0.18	0	380	389	3
2026-02-12	15:28:59.450	-91.21	-1.785	22.085	0.52582	-0.055632	0.661728	0.2235	0.2625	-0.1575	0	380	389	3
2026-02-12	15:28:59.470	-142.52	13.755	36.33	0.498492	-0.19886	0.589992	0.225	0.276	-0.171	0	380	389	3
2026-02-12	15:28:59.490	-162.225	21.07	53.83	0.49776	-0.3355	0.56242	0.222	0.279	-0.177	0	380	389	3
2026-02-12	15:28:59.510	-151.34	22.61	73.745	0.55266	-0.424316	0.550952	0.2205	0.2925	-0.1905	0	380	389	3
2026-02-12	15:28:59.530	-117.915	22.085	95.165	0.65148	-0.4514	0.561932	0.216	0.306	-0.207	0	380	389	3
2026-02-12	15:28:59.550	-67.62	25.585	114.345	0.786412	-0.460428	0.595848	0.213	0.327	-0.2235	0	380	389	3
2026-02-12	15:28:59.570	-8.61	32.9	134.505	0.886696	-0.438956	0.649528	0.204	0.3495	-0.234	0	380	389	3
2026-02-12	15:28:59.590	52.15	41.825	156.87	1.003816	-0.411628	0.673928	0.1935	0.363	-0.234	0	380	389	3
2026-02-12	15:28:59.610	108.185	51.45	177.03	1.1529	-0.32818	0.690764	0.186	0.3675	-0.234	0	392	428	3
2026-02-12	15:28:59.630	168.175	69.965	200.025	1.337852	-0.1586	0.645868	0.177	0.369	-0.237	0	392	428	3
2026-02-12	15:28:59.650	190.19	82.425	209.965	1.438868	-0.075884	0.59658	0.174	0.3885	-0.2265	0	392	428	3
2026-02-12	15:28:59.670	197.4	94.605	213.08	1.503772	-0.02074	0.548756	0.1695	0.3915	-0.2235	0	392	428	3
2026-02-12	15:28:59.690	190.26	106.12	207.865	1.56892	-0.007076	0.531676	0.159	0.3885	-0.234	0	392	428	3
2026-02-12	15:28:59.710	173.985	117.67	194.18	1.64334	-0.001464	0.558272	0.156	0.396	-0.225	0	392	428	3
2026-02-12	15:28:59.730	154	131.6	177.205	1.690432	-0.017568	0.618052	0.1545	0.408	-0.219	0	392	428	3
2026-02-12	15:28:59.750	135.555	147.035	162.75	1.692628	-0.017324	0.63562	0.1545	0.411	-0.228	0	392	428	3
2026-02-12	15:28:59.770	119.735	158.41	147.7	1.741428	-0.0061	0.64294	0.1545	0.417	-0.2385	0	392	428	3
2026-02-12	15:28:59.790	100.94	169.085	131.215	1.762168	-0.003416	0.665388	0.1635	0.423	-0.2475	0	392	428	3
2026-02-12	15:28:59.810	77.35	179.69	119.07	1.713856	-0.017812	0.65758	0.18	0.4245	-0.258	0	404	477	3
2026-02-12	15:28:59.830	47.53	187.32	110.705	1.618696	0.016348	0.585844	0.198	0.4305	-0.276	0	404	477	3
2026-02-12	15:28:59.850	12.67	189.805	104.125	1.54818	0.05124	0.51728	0.2055	0.435	-0.288	0	404	477	3
2026-02-12	15:28:59.870	-20.16	189.35	100.485	1.484252	0.052704	0.48556	0.243	0.447	-0.3165	0	404	477	3
2026-02-12	15:28:59.890	-49.875	187.04	99.855	1.39324	0.032696	0.448716	0.255	0.45	-0.3315	0	404	477	3
2026-02-12	15:28:59.910	-79.975	179.585	103.53	1.286856	0.027572	0.399428	0.2865	0.456	-0.342	0	404	477	3
2026-02-12	15:28:59.930	-116.97	167.79	110.215	1.230004	-0.005368	0.355508	0.294	0.468	-0.351	0	404	477	3
2026-02-12	15:28:59.950	-140.84	166.075	119	1.17364	-0.10858	0.334768	0.3135	0.492	-0.3645	0	404	477	3
2026-02-12	15:28:59.970	-124.95	165.2	128.52	1.060424	-0.16348	0.305732	0.342	0.5145	-0.369	0	404	477	3
