yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	15:28:59.210	207.305	-167.58	243.285	2.131828	0.156648	0.047092	-0.2895	-0.141	0.231	0	404	173	3
2026-02-12	15:28:59.230	205.45	-155.61	243.88	2.068632	0.1586	-0.003416	-0.303	-0.108	0.267	0	404	173	3
2026-02-12	15:28:59.250	199.535	-144.13	240.905	1.936628	0.208376	-0.012444	-0.3135	-0.075	0.3045	0	404	173	3
2026-02-12	15:28:59.270	150.64	-132.055	231.14	1.801208	0.299144	0.09394	-0.315	-0.039	0.3345	0	404	173	3
2026-02-12	15:28:59.290	99.715	-122.885	220.395	1.60552	0.347212	0.168116	-0.312	-0.0045	0.3555	0	404	173	3
2026-02-12	15:28:59.310	35.98	-118.02	207.025	1.463024	0.347456	0.26474	-0.309	0.0315	0.375	0	404	173	3
2026-02-12	15:28:59.330	-20.405	-112.945	189.63	1.349808	0.316712	0.30134	-0.306	0.0705	0.393	0	404	173	3
2026-02-12	15:28:59.350	-52.325	-104.79	166.845	1.182668	0.327448	0.306952	-0.2955	0.102	0.4095	0	404	173	3
2026-02-12	15:28:59.370	-65.73	-98.07	138.495	1.058472	0.28304	0.311588	-0.282	0.123	0.426	0	404	173	3
2026-02-12	15:28:59.390	-58.94	-87.395	109.13	0.91744	0.216428	0.319152	-0.2655	0.1365	0.4455	0	404	173	3
2026-02-12	15:28:59.410	-36.295	-74.935	82.005	0.772748	0.189588	0.31598	-0.2565	0.15	0.4575	0	413	151	3
2026-02-12	15:28:59.430	-19.81	-64.12	56.735	0.666852	0.2074	0.349408	-0.252	0.162	0.4695	0	413	151	3
2026-02-12	15:28:59.450	-23.45	-54.95	33.46	0.610732	0.217648	0.391132	-0.2415	0.1695	0.4815	0	413	151	3
2026-02-12	15:28:59.470	-39.48	-46.69	11.865	0.615124	0.200568	0.420412	-0.237	0.1725	0.4845	0	413	151	3
2026-02-12	15:28:59.490	-49.91	-37.205	-7.385	0.636596	0.185684	0.418704	-0.237	0.174	0.486	0	413	151	3
2026-02-12	15:28:59.510	-54.74	-25.165	-25.06	0.674416	0.216916	0.473116	-0.231	0.171	0.4965	0	413	151	3
2026-02-12	15:28:59.530	-69.615	-7.175	-41.755	0.74786	0.21106	0.533628	-0.231	0.162	0.5055	0	413	151	3
2026-02-12	15:28:59.550	-92.295	19.845	-65.03	0.86864	0.17202	0.510448	-0.2385	0.1545	0.507	0	413	151	3
2026-02-12	15:28:59.570	-108.85	49.875	-86.415	0.977464	0.072224	0.412116	-0.2415	0.1515	0.5055	0	413	151	3
2026-02-12	15:28:59.590	-111.965	72.415	-100.345	1.118008	0.030744	0.319884	-0.2445	0.1215	0.507	0	413	151	3
2026-02-12	15:28:59.610	-124.775	97.265	-111.335	1.25904	0.003416	0.284748	-0.246	0.102	0.5085	0	424	168	3
2026-02-12	15:28:59.630	-148.505	126.105	-120.47	1.318576	-0.033672	0.208132	-0.264	0.0795	0.4935	0	424	168	3
2026-02-12	15:28:59.650	-174.16	148.645	-125.055	1.328824	-0.161528	0.10126	-0.276	0.0495	0.4815	0	424	168	3
2026-02-12	15:28:59.670	-157.465	164.99	-131.145	1.295884	-0.157624	0.031964	-0.291	0.0255	0.4545	0	424	168	3
2026-02-12	15:28:59.690	-128.835	173.18	-135.415	1.35054	-0.085888	0.112972	-0.2985	0	0.432	0	424	168	3
2026-02-12	15:28:59.710	-109.97	177.94	-136.29	1.602592	-0.054168	0.320616	-0.3015	-0.0345	0.4005	0	424	168	3
2026-02-12	15:28:59.730	-93.835	192.185	-135.8	1.857816	-0.038796	0.419436	-0.315	-0.0525	0.3735	0	424	168	3
2026-02-12	15:28:59.750	-64.05	215.67	-136.71	1.91906	-0.012932	0.395524	-0.3015	-0.072	0.342	0	424	168	3
2026-02-12	15:28:59.770	-30.45	227.99	-140.56	2.27164	0.0122	0.435296	-0.306	-0.09	0.3	0	424	168	3
2026-02-12	15:28:59.790	2.555	243.18	-147.77	2.514908	-0.01342	0.334768	-0.2985	-0.1155	0.2685	0	424	168	3
2026-02-12	15:28:59.810	42.98	267.645	-169.47	2.295064	0.010004	0.126392	-0.2865	-0.129	0.231	0	435	200	3
2026-02-12	15:28:59.830	76.72	268.73	-196.28	2.144272	0.041236	-0.068076	-0.2625	-0.153	0.195	0	435	200	3
2026-02-12	15:28:59.850	86.625	249.095	-222.635	1.91662	0.116144	-0.146156	-0.2355	-0.1875	0.171	0	435	200	3
2026-02-12	15:28:59.870	65.94	218.33	-242.165	1.82024	0.2013	-0.107604	-0.21	-0.2175	0.1485	0	435	200	3
2026-02-12	15:28:59.890	19.11	194.18	-247.8	1.79828	0.199104	0	-0.177	-0.246	0.12	0	435	200	3
2026-02-12	15:28:59.910	-40.355	177.625	-240.59	1.697264	0.155672	0.055144	-0.141	-0.261	0.1125	0	435	200	3
2026-02-12	15:28:59.930	-86.905	168.07	-223.685	1.518656	0.087596	0.066368	-0.1035	-0.282	0.0885	0	435	200	3
2026-02-12	15:28:59.950	-112.315	160.93	-200.375	1.352736	0.034892	0.066612	-0.0645	-0.2895	0.0735	0	435	200	3
2026-02-12	15:28:59.970	-119.665	153.405	-173.705	1.174128	0.031964	0.062464	-0.021	-0.294	0.054	0	435	200	3
2026-02-12	15:28:59.990	-111.055	143.92	-149.52	1.01138	0.045872	0.046848	0.006	-0.2925	0.03	0	435	200	3
2026-02-12	15:29:00.010	-84.595	126.875	-121.59	0.854488	-0.0061	0.051972	0.006	-0.2925	0.03	0	447	205	3
2026-02-12	15:29:00.030	-60.83	116.235	-105.84	0.732	-0.112972	0.001464	0.006	-0.2925	0.03	0	447	205	3
2026-02-12	15:29:00.050	4.97	97.65	-83.335	0.563152	-0.43066	-0.102236	0.093	-0.2715	0.0045	0	447	205	3
2026-02-12	15:29:00.070	98.77	74.69	-62.545	0.388448	-0.426268	-0.08906	0.114	-0.267	0	0	447	205	3
2026-02-12	15:29:00.090	138.215	39.025	-36.89	0.396256	-0.280844	-0.050996	0.123	-0.2775	0.018	0	447	205	3
2026-02-12	15:29:00.110	157.955	8.75	-8.645	0.465064	-0.208132	-0.0244	0.1395	-0.279	0.021	0	447	205	3
2026-02-12	15:29:00.130	173.04	-10.745	24.15	0.48922	-0.230092	-0.024156	0.1335	-0.3075	0.0435	0	447	205	3
2026-02-12	15:29:00.150	162.33	-34.37	81.2	0.567788	-0.152988	0.016836	0.1335	-0.3075	0.0435	0	447	205	3
2026-02-12	15:29:00.170	123.585	-49.385	115.36	0.728584	0.055388	0.037332	0.12	-0.324	0.0675	0	447	205	3
2026-02-12	15:29:00.190	75.81	-59.255	144.235	0.866932	0.158112	0.033428	0.102	-0.3435	0.102	0	447	205	3
