yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:57:20.610	3.43	-3.955	1.05	0.096136	0.778116	0.6588	-0.4215	0.03	0.24	0	30	666	1
2026-02-12	16:57:20.630	0.105	0.455	1.785	0.072712	0.8296	0.652456	-0.4275	0.0255	0.243	0	30	666	1
2026-02-12	16:57:20.650	-2.765	2.45	-0.035	0.059536	0.786656	0.6466	-0.4275	0.03	0.2295	0	30	666	1
2026-02-12	16:57:20.670	-2.415	2.59	-0.91	0.058072	0.784216	0.659532	-0.432	0.03	0.2325	0	30	666	1
2026-02-12	16:57:20.690	-3.605	3.535	-0.315	0.05734	0.780556	0.656848	-0.426	0.0255	0.2325	0	30	666	1
2026-02-12	16:57:20.710	-2.415	2.275	0.28	0.061	0.77836	0.643672	-0.429	0.024	0.2265	0	30	666	1
2026-02-12	16:57:20.730	-0.945	-0.385	1.155	0.060024	0.773724	0.664412	-0.42	0.0255	0.2325	0	30	666	1
2026-02-12	16:57:20.750	-1.855	-0.455	2.485	0.054656	0.772016	0.661972	-0.426	0.0285	0.231	0	30	666	1
2026-02-12	16:57:20.770	-2.24	-1.75	3.255	0.049532	0.775432	0.653188	-0.4215	0.03	0.237	0	30	666	1
2026-02-12	16:57:20.790	0.385	-3.99	3.08	0.05856	0.789828	0.65636	-0.42	0.024	0.2355	0	30	666	1
2026-02-12	16:57:20.810	4.06	-5.25	1.925	0.075396	0.811788	0.643184	-0.4305	0.0255	0.2295	0	28	666	1
2026-02-12	16:57:20.830	4.305	-5.67	-1.61	0.06734399	0.8113	0.6893	-0.4215	0.027	0.2355	0	28	666	1
2026-02-12	16:57:20.850	-1.505	3.22	-4.69	0.08418	0.771528	0.693204	-0.4275	0.0345	0.231	0	28	666	1
2026-02-12	16:57:20.870	-5.985	8.26	-2.345	0.0854	0.762012	0.65026	-0.4245	0.024	0.24	0	28	666	1
2026-02-12	16:57:20.890	-7.595	4.55	1.68	0.060512	0.789828	0.626104	-0.4305	0.03	0.24	0	28	666	1
2026-02-12	16:57:20.910	-4.375	-1.015	0.42	0.053924	0.822524	0.65026	-0.4335	0.036	0.234	0	28	666	1
2026-02-12	16:57:20.930	-0.315	-1.05	-4.97	0.060756	0.793976	0.676124	-0.432	0.033	0.2295	0	28	666	1
2026-02-12	16:57:20.950	-1.225	3.185	-6.02	0.068564	0.772016	0.674172	-0.4275	0.0285	0.228	0	28	666	1
2026-02-12	16:57:20.970	-2.135	5.53	-3.99	0.064416	0.775432	0.655628	-0.432	0.018	0.237	0	28	666	1
2026-02-12	16:57:20.990	-1.995	3.85	-3.465	0.067588	0.799588	0.639036	-0.4305	0.0195	0.2385	0	28	666	1
2026-02-12	16:57:21.010	-1.085	-0.91	-6.055	0.089304	0.813252	0.6161	-0.4335	0.0285	0.2355	0	27	667	1
2026-02-12	16:57:21.030	-3.43	-6.72	-7.91	0.111996	0.755668	0.642208	-0.432	0.0195	0.2205	0	27	667	1
2026-02-12	16:57:21.050	-4.795	-4.375	0.035	0.09028	0.75518	0.665144	-0.4215	0.0195	0.2235	0	27	667	1
2026-02-12	16:57:21.070	-1.12	1.295	9.8	0.06954	0.74298	0.703452	-0.4155	0.012	0.225	0	27	667	1
2026-02-12	16:57:21.090	-3.885	8.12	15.54	0.037088	0.755668	0.728096	-0.4095	0.015	0.2115	0	27	667	1
