yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:57:20.610	75.145	198.065	3.01	0.095648	-0.296216	1.319552	0.369	0.762	-0.3345	0	865	673	5
2026-02-12	16:57:20.630	59.36	250.18	-5.705	0.10492	-0.315736	0.914024	0.381	0.7575	-0.339	0	865	673	5
2026-02-12	16:57:20.650	23.59	304.885	-14.385	0.117364	-0.375272	0.419924	0.402	0.75	-0.354	0	865	673	5
2026-02-12	16:57:20.670	7.56	327.74	-14.175	0.113704	-0.414068	0.106384	0.4485	0.7455	-0.36	0	865	673	5
2026-02-12	16:57:20.690	-4.76	340.41	-11.725	0.064416	-0.338672	-0.114436	0.513	0.7425	-0.3615	0	865	673	5
2026-02-12	16:57:20.710	-28.98	340.235	-10.115	-0.091256	-0.235216	-0.348432	0.555	0.7425	-0.354	0	865	673	5
2026-02-12	16:57:20.730	-81.515	322.035	-8.365	-0.29158	-0.25742	-0.62098	0.603	0.7455	-0.3435	0	865	673	5
2026-02-12	16:57:20.750	-106.785	269.85	-2.52	-0.517036	-0.319152	-0.499224	0.6465	0.756	-0.3225	0	865	673	5
2026-02-12	16:57:20.770	-112.91	192.01	-2.24	-0.665876	-0.342088	-0.465796	0.6825	0.771	-0.2955	0	865	673	5
2026-02-12	16:57:20.790	-108.29	92.33	-21.21	-0.618296	-0.405528	-0.813008	0.708	0.78	-0.276	0	865	673	5
2026-02-12	16:57:20.810	-90.86	-5.46	-40.18	-0.655872	-0.274012	-0.979904	0.7155	0.7905	-0.261	0	872	701	5
2026-02-12	16:57:20.830	-61.39	-99.12	-66.36	-0.55266	-0.232776	-0.675636	0.711	0.804	-0.252	0	872	701	5
2026-02-12	16:57:20.850	-32.2	-175.945	-96.46	-0.3843	-0.19032	-0.290604	0.7065	0.81	-0.2535	0	872	701	5
2026-02-12	16:57:20.870	-13.65	-232.155	-119.315	-0.236924	-0.171044	-0.031476	0.6885	0.816	-0.264	0	872	701	5
2026-02-12	16:57:20.890	1.505	-281.05	-141.05	-0.05002	-0.257908	0.24766	0.6885	0.816	-0.264	0	872	701	5
2026-02-12	16:57:20.910	-13.615	-292.04	-153.51	0.024888	-0.32818	0.287188	0.6255	0.828	-0.2775	0	872	701	5
2026-02-12	16:57:20.930	-2.66	-299.565	-166.005	0.146644	-0.431636	0.37576	0.534	0.837	-0.2925	0	872	701	5
2026-02-12	16:57:20.950	20.335	-298.2	-170.135	0.290848	-0.51484	0.505324	0.477	0.834	-0.2955	0	872	701	5
2026-02-12	16:57:20.970	54.985	-292.46	-166.985	0.415532	-0.718092	0.693692	0.423	0.831	-0.294	0	872	701	5
2026-02-12	16:57:20.990	76.545	-285.705	-162.925	0.493612	-0.615612	0.946232	0.3765	0.822	-0.291	0	872	701	5
2026-02-12	16:57:21.010	67.9	-274.785	-155.435	0.544364	-0.5429	1.116056	0.3345	0.8025	-0.288	0	881	623	5
