yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:57:20.610	-10.71	4.235	-3.99	0.952088	0.203252	0.134932	-0.2415	0.072	0.4845	0	70	172	3
2026-02-12	16:57:20.630	-9.24	3.5	-4.165	0.94916	0.20008	0.125904	-0.2415	0.0795	0.486	0	70	172	3
2026-02-12	16:57:20.650	-7.455	2.765	-4.305	0.956236	0.210816	0.1281	-0.24	0.0795	0.483	0	70	172	3
2026-02-12	16:57:20.670	-6.93	1.75	-3.675	0.97234	0.21716	0.128344	-0.234	0.075	0.483	0	70	172	3
2026-02-12	16:57:20.690	-6.405	1.015	-2.835	0.992104	0.233264	0.123952	-0.249	0.0765	0.486	0	70	172	3
2026-02-12	16:57:20.710	-4.27	-0.455	-1.575	1.021628	0.26718	0.133712	-0.2385	0.0705	0.486	0	70	172	3
2026-02-12	16:57:20.730	1.33	-2.695	-1.855	1.01504	0.315248	0.219844	-0.2415	0.069	0.4845	0	70	172	3
2026-02-12	16:57:20.750	17.255	-5.635	-6.965	1.013332	0.408944	0.366488	-0.2355	0.0675	0.486	0	70	172	3
2026-02-12	16:57:20.770	39.515	-5.425	-22.015	1.046272	0.610488	0.58438	-0.24	0.0675	0.4905	0	70	172	3
2026-02-12	16:57:20.790	62.825	3.605	-59.01	1.088728	0.742736	0.594384	-0.237	0.0645	0.486	0	70	172	3
2026-02-12	16:57:20.810	72.94	14.735	-100.73	1.133868	1.089704	0.4758	-0.237	0.0615	0.489	0	69	181	3
2026-02-12	16:57:20.830	58.59	18.27	-143.535	1.271972	1.261724	0.453108	-0.243	0.051	0.4875	0	69	181	3
2026-02-12	16:57:20.850	36.645	20.65	-188.615	1.403	1.31638	0.498248	-0.2355	0.0285	0.48	0	69	181	3
2026-02-12	16:57:20.870	15.75	26.635	-234.64	1.604788	1.521828	0.513864	-0.2265	0	0.4755	0	69	181	3
2026-02-12	16:57:20.890	-26.39	41.475	-281.54	1.726544	1.459608	0.508252	-0.2265	-0.03	0.474	0	69	181	3
2026-02-12	16:57:20.910	-38.605	61.775	-318.675	1.906372	1.551352	0.54778	-0.2235	-0.048	0.474	0	69	181	3
2026-02-12	16:57:20.930	-38.15	95.795	-357.77	1.837076	1.379332	0.542656	-0.21	-0.093	0.4545	0	69	181	3
2026-02-12	16:57:20.950	-19.915	131.845	-386.225	1.780956	1.35176	0.431636	-0.1905	-0.135	0.441	0	69	181	3
2026-02-12	16:57:20.970	-13.475	172.27	-402.22	1.508408	1.226344	0.322568	-0.1665	-0.1785	0.423	0	69	181	3
2026-02-12	16:57:20.990	-20.055	195.615	-410.76	1.240496	1.038708	0.314272	-0.114	-0.2205	0.4035	0	69	181	3
2026-02-12	16:57:21.010	-32.515	207.025	-412.86	1.062132	0.751032	0.281088	-0.0795	-0.267	0.381	0	84	215	3
2026-02-12	16:57:21.030	-38.605	218.19	-404.81	0.88572	0.482876	0.20496	-0.021	-0.288	0.3615	0	84	215	3
2026-02-12	16:57:21.050	-45.15	221.165	-383.25	0.624396	0.131028	0.036844	0.0345	-0.3075	0.3465	0	84	215	3
2026-02-12	16:57:21.070	-32.795	203.77	-333.865	0.439444	-0.108336	-0.140788	0.099	-0.327	0.33	0	84	215	3
2026-02-12	16:57:21.090	-23.24	182.98	-292.565	0.390888	-0.204472	-0.223748	0.1545	-0.3345	0.321	0	84	215	3
2026-02-12	16:57:21.110	-38.395	154.84	-253.12	0.273524	-0.37454	-0.305244	0.2325	-0.333	0.3105	0	84	215	3
2026-02-12	16:57:21.130	-41.125	114.94	-200.795	0.13176	-0.532164	-0.26962	0.27	-0.3195	0.3105	0	84	215	3
2026-02-12	16:57:21.150	-7	67.83	-142.135	0.00244	-0.576328	-0.384788	0.3045	-0.3105	0.3105	0	84	215	3
2026-02-12	16:57:21.170	20.895	9.765	-73.5	-0.162992	-0.525088	-0.663192	0.3285	-0.3015	0.315	0	84	215	3
2026-02-12	16:57:21.190	37.94	-53.795	-3.57	-0.287432	-0.403576	-0.83326	0.3375	-0.3015	0.3255	0	84	215	3
2026-02-12	16:57:21.210	36.54	-123.235	56.105	-0.361608	-0.308172	-0.8235	0.3405	-0.306	0.3225	0	125	214	3
2026-02-12	16:57:21.230	39.2	-195.93	101.745	-0.462868	-0.1281	-0.727608	0.33	-0.306	0.315	0	125	214	3
2026-02-12	16:57:21.250	20.02	-269.955	134.89	-0.538508	0.087108	-0.386008	0.312	-0.3135	0.315	0	125	214	3
2026-02-12	16:57:21.270	-65.38	-338.695	148.365	-0.39406	0.550952	0.587308	0.2865	-0.3195	0.3045	0	125	214	3
2026-02-12	16:57:21.290	-212.345	-378.91	127.155	-0.183244	1.408368	1.710684	0.2505	-0.321	0.288	0	125	214	3
2026-02-12	16:57:21.310	-345.52	-345.1	50.26	-0.133224	1.93248	2.03984	0.219	-0.312	0.255	0	125	214	3
2026-02-12	16:57:21.330	-363.79	-267.085	-66.5	-0.102724	1.663836	1.692628	0.195	-0.2955	0.2025	0	125	214	3
2026-02-12	16:57:21.350	-145.005	-203.91	-124.11	0.578768	0.757864	2.6779	0.186	-0.288	0.1785	0	125	214	3
2026-02-12	16:57:21.370	-1.12	-68.355	-117.565	0.137372	1.129476	2.910432	0.171	-0.2475	0.123	0	125	214	3
