yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:58:15.210	3.395	-0.595	-11.865	0.742004	0.437004	0.548512	-0.0495	-0.207	0.2295	0	24	606	1
2026-02-12	14:58:15.230	3.045	-2.52	-10.08	0.753228	0.439444	0.560468	-0.0525	-0.2205	0.2295	0	24	606	1
2026-02-12	14:58:15.250	2.66	-3.955	-8.33	0.750056	0.431636	0.56608	-0.0615	-0.2085	0.222	0	24	606	1
2026-02-12	14:58:15.270	2.73	-5.04	-6.58	0.742492	0.420168	0.563884	-0.06	-0.213	0.234	0	24	606	1
2026-02-12	14:58:15.290	3.255	-6.09	-4.97	0.740296	0.408944	0.573156	-0.0495	-0.2145	0.2295	0	24	606	1
2026-02-12	14:58:15.310	2.87	-7.035	-4.06	0.743224	0.406992	0.564616	-0.0585	-0.2115	0.2265	0	24	606	1
2026-02-12	14:58:15.330	3.15	-7.735	-3.85	0.738344	0.41968	0.549	-0.051	-0.2145	0.228	0	24	606	1
2026-02-12	14:58:15.350	4.515	-8.19	-4.025	0.736636	0.426512	0.546804	-0.0525	-0.222	0.234	0	24	606	1
2026-02-12	14:58:15.370	5.425	-8.96	-4.76	0.728096	0.427488	0.529724	-0.0525	-0.21	0.2325	0	24	606	1
2026-02-12	14:58:15.390	4.97	-9.87	-6.125	0.72956	0.427976	0.529724	-0.0525	-0.21	0.234	0	24	606	1
2026-02-12	14:58:15.410	5.355	-10.71	-8.015	0.739564	0.419436	0.53436	-0.0525	-0.219	0.237	0	25	596	1
2026-02-12	14:58:15.430	3.22	-11.375	-10.465	0.743956	0.426512	0.526552	-0.0495	-0.213	0.234	0	25	596	1
2026-02-12	14:58:15.450	1.33	-11.305	-13.3	0.732976	0.433588	0.519476	-0.0495	-0.213	0.234	0	25	596	1
2026-02-12	14:58:15.470	0.455	-11.06	-15.575	0.736148	0.44652	0.505812	-0.0525	-0.2175	0.2325	0	25	596	1
2026-02-12	14:58:15.490	-1.19	-11.585	-17.745	0.739564	0.454572	0.490928	-0.0495	-0.2265	0.234	0	25	596	1
2026-02-12	14:58:15.510	-1.435	-12.11	-19.565	0.740784	0.471408	0.483608	-0.045	-0.2295	0.2385	0	25	596	1
2026-02-12	14:58:15.530	-1.365	-12.25	-20.51	0.741028	0.478972	0.486048	-0.0465	-0.2295	0.2385	0	25	596	1
2026-02-12	14:58:15.550	-1.05	-12.075	-20.475	0.736636	0.49166	0.4819	-0.039	-0.228	0.237	0	25	596	1
2026-02-12	14:58:15.570	-0.63	-11.83	-19.46	0.74054	0.497028	0.488	-0.0435	-0.2235	0.249	0	25	596	1
2026-02-12	14:58:15.590	-0.945	-11.41	-18.025	0.741028	0.499224	0.47946	-0.0465	-0.234	0.243	0	25	596	1
2026-02-12	14:58:15.610	-0.42	-10.64	-16.905	0.7381	0.498492	0.477508	-0.0405	-0.237	0.2445	0	27	582	1
2026-02-12	14:58:15.630	0.49	-9.8	-16.065	0.733708	0.50264	0.485072	-0.039	-0.2295	0.2505	0	27	582	1
2026-02-12	14:58:15.650	0.315	-9.24	-15.015	0.740296	0.492636	0.487756	-0.039	-0.2355	0.2445	0	27	582	1
2026-02-12	14:58:15.670	-0.525	-8.785	-13.58	0.742492	0.483852	0.495076	-0.036	-0.2355	0.2535	0	27	582	1
2026-02-12	14:58:15.690	-0.91	-7.735	-12.075	0.736392	0.493368	0.49044	-0.03	-0.237	0.2475	0	27	582	1
2026-02-12	14:58:15.710	-2.1	-6.265	-9.905	0.736392	0.49898	0.47702	-0.036	-0.237	0.2475	0	27	582	1
2026-02-12	14:58:15.730	-3.045	-5.425	-9.135	0.73688	0.509716	0.468724	-0.0315	-0.237	0.249	0	27	582	1
2026-02-12	14:58:15.750	-3.605	-4.445	-8.715	0.733464	0.507032	0.467016	-0.033	-0.24	0.2505	0	27	582	1
2026-02-12	14:58:15.770	-2.975	-2.835	-8.19	0.729804	0.500688	0.4575	-0.033	-0.24	0.2505	0	27	582	1
2026-02-12	14:58:15.790	-3.045	-1.575	-7.84	0.72956	0.516548	0.444568	-0.03	-0.2415	0.2445	0	27	582	1
2026-02-12	14:58:15.810	-3.01	-1.085	-7.7	0.729072	0.527528	0.443348	-0.036	-0.243	0.2475	0	29	564	1
2026-02-12	14:58:15.830	-3.5	-1.12	-7.875	0.728584	0.54046	0.44164	-0.0345	-0.24	0.2505	0	29	564	1
2026-02-12	14:58:15.850	-3.955	-1.435	-8.33	0.732732	0.542412	0.447984	-0.024	-0.234	0.243	0	29	564	1
2026-02-12	14:58:15.870	-4.025	-1.68	-8.435	0.732976	0.535092	0.463112	-0.018	-0.2385	0.2415	0	29	564	1
2026-02-12	14:58:15.890	-4.375	-1.715	-7.84	0.734684	0.523868	0.466772	-0.024	-0.2445	0.2445	0	29	564	1
2026-02-12	14:58:15.910	-4.76	-1.505	-6.895	0.73932	0.521916	0.459696	-0.024	-0.243	0.243	0	29	564	1
2026-02-12	14:58:15.930	-4.27	-1.435	-5.74	0.73688	0.532652	0.460672	-0.018	-0.2445	0.2445	0	29	564	1
2026-02-12	14:58:15.950	-3.57	-1.505	-4.34	0.739076	0.534848	0.465064	-0.015	-0.246	0.249	0	29	564	1
2026-02-12	14:58:15.970	-2.695	-0.91	-3.045	0.734196	0.5368	0.462624	-0.024	-0.2385	0.2475	0	29	564	1
2026-02-12	14:58:15.990	-1.785	0.035	-1.085	0.725656	0.528992	0.459208	-0.0315	-0.234	0.2445	0	29	564	1
2026-02-12	14:58:16.010	-1.19	0.77	0.14	0.725168	0.527772	0.461892	-0.021	-0.2385	0.2415	0	32	542	1
2026-02-12	14:58:16.030	-0.875	1.05	1.33	0.730048	0.525576	0.462136	-0.0195	-0.2385	0.2475	0	32	542	1
2026-02-12	14:58:16.050	-0.175	1.12	2.17	0.728828	0.528748	0.470188	-0.027	-0.24	0.2415	0	32	542	1
2026-02-12	14:58:16.070	0.805	1.225	2.415	0.729072	0.53314	0.476532	-0.027	-0.2355	0.2415	0	32	542	1
2026-02-12	14:58:16.090	1.33	1.365	2.31	0.724436	0.52582	0.472384	-0.0225	-0.2385	0.2475	0	32	542	1
2026-02-12	14:58:16.110	1.225	1.225	2.275	0.724192	0.522404	0.465796	-0.021	-0.24	0.243	0	32	542	1
2026-02-12	14:58:16.130	1.12	0.665	2.17	0.727364	0.526308	0.467504	-0.024	-0.2415	0.243	0	32	542	1
2026-02-12	14:58:16.150	1.19	0.035	2.1	0.724436	0.520208	0.47702	-0.027	-0.246	0.246	0	32	542	1
2026-02-12	14:58:16.170	1.435	-0.42	1.96	0.721508	0.518988	0.473848	-0.0255	-0.246	0.2445	0	32	542	1
2026-02-12	14:58:16.190	1.715	-0.77	1.645	0.720776	0.52216	0.468968	-0.024	-0.2415	0.246	0	32	542	1
2026-02-12	14:58:14.210	-0.35	-3.535	-11.795	0.72468	0.404064	0.57828	-0.057	-0.2085	0.2055	0	19	608	1
2026-02-12	14:58:14.230	-0.455	-3.15	-13.09	0.715408	0.414312	0.58316	-0.06	-0.2085	0.2025	0	19	608	1
2026-02-12	14:58:14.250	-1.085	-1.715	-14.105	0.70028	0.412116	0.588528	-0.051	-0.204	0.207	0	19	608	1
