yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:15:37.210	1.26	-0.56	0.21	-0.070516	0.051972	1.009672	0.225	-0.249	0.4305	0	9	1035	1
2026-02-12	16:15:37.230	1.26	-0.595	0.21	-0.064904	0.048312	1.014064	0.2175	-0.2505	0.432	0	9	1035	1
2026-02-12	16:15:37.250	1.26	-0.56	0.245	-0.065392	0.04514	1.010648	0.219	-0.249	0.432	0	9	1035	1
2026-02-12	16:15:37.270	1.26	-0.56	0.28	-0.06466	0.043676	1.014796	0.222	-0.2415	0.432	0	9	1035	1
2026-02-12	16:15:37.290	1.26	-0.56	0.315	-0.06588	0.04392	1.009916	0.219	-0.2445	0.4305	0	9	1035	1
2026-02-12	16:15:37.310	1.26	-0.525	0.28	-0.066612	0.04636	1.0126	0.2205	-0.2475	0.4305	0	9	1035	1
2026-02-12	16:15:37.330	1.295	-0.56	0.245	-0.065636	0.04392	1.0126	0.2205	-0.246	0.4305	0	9	1035	1
2026-02-12	16:15:37.350	1.26	-0.595	0.245	-0.06466	0.045384	1.01138	0.2205	-0.246	0.4365	0	9	1035	1
2026-02-12	16:15:37.370	1.26	-0.595	0.245	-0.0671	0.043676	1.012356	0.222	-0.243	0.4365	0	9	1035	1
2026-02-12	16:15:37.390	1.26	-0.56	0.28	-0.06588	0.043432	1.013088	0.2265	-0.2475	0.429	0	9	1035	1
2026-02-12	16:15:49.410	1.26	-0.455	0.245	-0.065148	0.045384	1.014064	0.2235	-0.2505	0.435	0	11	11	2
2026-02-12	16:15:49.430	1.26	-0.56	0.245	-0.06588	0.044408	1.01016	0.2235	-0.2505	0.435	0	11	11	2
2026-02-12	16:15:49.450	1.26	-0.56	0.28	-0.064172	0.04514	1.010892	0.219	-0.252	0.4335	0	11	11	2
2026-02-12	16:15:49.470	1.26	-0.56	0.245	-0.065148	0.0427	1.009184	0.2205	-0.252	0.4305	0	11	11	2
2026-02-12	16:15:49.490	1.26	-0.525	0.245	-0.066856	0.046848	1.012356	0.225	-0.246	0.432	0	11	11	2
2026-02-12	16:15:49.510	1.295	-0.875	0.525	-0.06466	0.044652	1.010892	0.2145	-0.2475	0.435	0	11	11	2
2026-02-12	16:15:49.530	1.225	-0.84	0.595	-0.06588	0.047092	1.011868	0.2205	-0.2445	0.438	0	11	11	2
2026-02-12	16:15:49.550	1.295	-0.385	0.56	-0.060512	0.044408	1.013576	0.2235	-0.2505	0.435	0	11	11	2
2026-02-12	16:15:49.570	1.19	-0.35	1.05	-0.068076	0.044652	1.011136	0.2235	-0.2505	0.435	0	11	11	2
2026-02-12	16:15:49.590	2.73	-13.195	34.615	0.201544	0.903532	0.48678	0.4245	-0.243	0.498	0	11	11	2
2026-02-12	16:15:49.610	15.785	-9.8	32.305	0.164944	0.919148	0.63196	0.642	-0.246	0.579	0	93	88	2
2026-02-12	16:15:49.630	23.87	-6.475	27.72	0.120536	0.970876	0.71126	0.63	-0.2475	0.591	0	93	88	2
2026-02-12	16:15:49.650	-1.05	-6.23	19.95	0.104188	0.917684	0.61732	0.615	-0.249	0.588	0	93	88	2
2026-02-12	16:15:49.670	2.52	-13.965	18.165	0.126148	0.925004	0.578524	0.633	-0.252	0.5955	0	93	88	2
2026-02-12	16:15:49.690	9.87	-17.605	14.455	0.150792	0.97112	0.654896	0.63	-0.2535	0.5955	0	93	88	2
2026-02-12	16:15:49.710	2.345	-14.49	5.285	0.132004	0.876936	0.568276	0.621	-0.258	0.5865	0	93	88	2
2026-02-12	16:15:49.730	-5.075	-22.715	1.715	0.100528	0.863516	0.543632	0.615	-0.2595	0.582	0	93	88	2
2026-02-12	16:15:49.750	1.68	-38.605	-0.21	0.061	0.839848	0.508984	0.606	-0.2625	0.5805	0	93	88	2
2026-02-12	16:15:49.770	7.945	-65.66	-1.75	0.034892	0.964776	0.711992	0.597	-0.2685	0.5775	0	93	88	2
2026-02-12	16:15:49.790	1.015	-77.735	-14.98	0.107116	0.924028	0.717116	0.6	-0.279	0.582	0	93	88	2
2026-02-12	16:15:49.810	-20.3	-75.915	-23.1	0.137372	0.85644	0.6344	0.6	-0.291	0.5865	0	223	211	3
2026-02-12	16:15:49.830	-36.33	-73.5	-27.16	0.13054	0.813252	0.643916	0.5925	-0.2895	0.5775	0	223	211	3
2026-02-12	16:15:49.850	-34.755	-63.525	-32.62	0.098332	0.810324	0.651236	0.594	-0.2835	0.57	0	223	211	3
2026-02-12	16:15:49.870	-22.26	-56.455	-35.525	0.039772	0.739564	0.560468	0.597	-0.2865	0.564	0	223	211	3
2026-02-12	16:15:49.890	-12.6	-63.385	-33.495	0.068564	0.785192	0.60756	0.6045	-0.288	0.558	0	223	211	3
2026-02-12	16:15:49.910	-2.135	-58.59	-36.225	0.05002	0.83082	0.693204	0.6105	-0.288	0.5535	0	223	211	3
2026-02-12	16:15:49.930	2.905	-52.08	-43.995	0.034404	0.775188	0.55632	0.612	-0.291	0.5475	0	223	211	3
2026-02-12	16:15:49.950	-0.77	-55.16	-48.405	0.044652	0.776164	0.493368	0.6195	-0.2925	0.54	0	223	211	3
2026-02-12	16:15:49.970	-0.77	-57.855	-49.84	0.072468	0.721752	0.453108	0.6255	-0.291	0.537	0	223	211	3
2026-02-12	16:15:49.990	11.2	-61.25	-50.015	0.077348	0.771528	0.56364	0.633	-0.291	0.534	0	223	211	3
2026-02-12	16:15:50.010	18.375	-57.12	-49.7	0.053192	0.74664	0.566568	0.6405	-0.2865	0.534	0	320	313	2
2026-02-12	16:15:50.030	21.805	-55.65	-43.645	0.045628	0.782508	0.501908	0.645	-0.2835	0.5445	0	320	313	2
2026-02-12	16:15:50.050	21.77	-57.19	-39.445	0.073688	0.8113	0.447984	0.645	-0.285	0.546	0	320	313	2
2026-02-12	16:15:50.070	30.59	-56.14	-35.7	0.101748	0.812764	0.444812	0.654	-0.282	0.5445	0	320	313	2
2026-02-12	16:15:50.090	34.055	-52.71	-29.75	0.10614	0.881816	0.488732	0.672	-0.282	0.5475	0	320	313	2
2026-02-12	16:15:50.110	33.04	-44.59	-20.755	0.131516	0.9089	0.386984	0.6645	-0.2835	0.5535	0	320	313	2
2026-02-12	16:15:50.130	24.815	-46.095	-8.015	0.1403	1.01016	0.44896	0.6555	-0.2835	0.5595	0	320	313	2
2026-02-12	16:15:50.150	22.295	-45.08	0	0.113948	0.927444	0.485072	0.6615	-0.2865	0.567	0	320	313	2
2026-02-12	16:15:50.170	30.24	-45.22	15.4	0.066856	1.069452	0.502396	0.6615	-0.2805	0.576	0	320	313	2
2026-02-12	16:15:50.190	34.545	-46.2	15.575	0.13542	1.07238	0.610488	0.6525	-0.282	0.582	0	320	313	2
2026-02-12	16:15:50.210	28.175	-33.95	13.44	0.10614	1.093608	0.5734	0.627	-0.291	0.5835	0	379	382	2
2026-02-12	16:15:50.230	9.275	-21.14	11.235	0.075396	1.087752	0.559248	0.6075	-0.291	0.585	0	379	382	2
2026-02-12	16:15:50.250	-3.745	-12.075	11.06	0.038552	1.079944	0.47092	0.6075	-0.291	0.585	0	379	382	2
2026-02-12	16:15:50.270	0.315	-6.72	10.85	0.036356	1.12728	0.416752	0.615	-0.2925	0.576	0	379	382	2
2026-02-12	16:15:50.290	2.625	-4.13	9.66	0.038552	1.131672	0.419924	0.615	-0.2925	0.576	0	379	382	2
2026-02-12	16:15:50.310	6.265	3.01	3.955	-0.020252	1.113372	0.503616	0.6135	-0.3045	0.576	0	379	382	2
2026-02-12	16:15:50.330	4.41	7.84	-3.745	0.08418	0.928664	0.3721	0.603	-0.303	0.5655	0	379	382	2
2026-02-12	16:15:50.350	-0.455	3.395	-5.635	0.00976	0.98576	0.334768	0.645	-0.2985	0.588	0	379	382	2
2026-02-12	16:15:50.370	3.185	4.375	-3.885	-0.029036	1.017236	0.411872	0.6	-0.3045	0.567	0	379	382	2
2026-02-12	16:15:50.390	7.595	7.105	-4.235	-0.011224	0.927688	0.436272	0.6105	-0.303	0.5715	0	379	382	2
2026-02-12	16:15:50.410	4.27	11.795	0.315	-0.080764	0.913048	0.377468	0.621	-0.309	0.576	0	407	418	3
2026-02-12	16:15:50.430	-5.145	6.3	6.37	-0.061244	0.86742	0.32818	0.6105	-0.3	0.5745	0	407	418	3
2026-02-12	16:15:50.450	-2.555	8.47	8.82	-0.010004	0.867176	0.464088	0.606	-0.3	0.564	0	407	418	3
2026-02-12	16:15:50.470	9.45	29.82	9.38	0.02806	0.861564	0.411628	0.6225	-0.2985	0.567	0	407	418	3
2026-02-12	16:15:50.490	5.075	48.65	7.875	0.065392	0.842288	0.416996	0.6105	-0.309	0.555	0	407	418	3
2026-02-12	16:15:50.510	-8.33	60.725	6.895	-0.003416	0.498248	0.296948	0.621	-0.2955	0.5535	0	407	418	3
2026-02-12	16:15:50.530	-27.965	57.085	38.57	-0.115656	0.766892	0.137616	0.6525	-0.2985	0.558	0	407	418	3
2026-02-12	16:15:50.550	-22.645	38.43	44.485	0.029524	1.11508	0.212524	0.663	-0.3135	0.5475	0	407	418	3
2026-02-12	16:15:50.570	-29.33	27.545	11.445	0.095892	0.851072	0.432856	0.6645	-0.324	0.5325	0	407	418	3
2026-02-12	16:15:50.590	-18.935	33.04	1.89	0.04514	0.6649	0.325252	0.6525	-0.3375	0.54	0	407	418	3
2026-02-12	16:15:50.610	-15.225	25.9	9.765	0.140788	0.805932	0.35502	0.6615	-0.3375	0.531	0	409	425	3
2026-02-12	16:15:50.630	-24.605	19.39	13.44	0.171288	0.847412	0.492392	0.657	-0.3315	0.5265	0	409	425	3
2026-02-12	16:15:50.650	-19.705	28.315	10.955	0.201056	0.821548	0.437004	0.6495	-0.3285	0.543	0	409	425	3
2026-02-12	16:15:50.670	-22.89	26.25	11.795	0.221552	0.829356	0.417484	0.6525	-0.333	0.5415	0	409	425	3
2026-02-12	16:15:50.690	-34.23	23.45	11.06	0.242536	0.914024	0.533872	0.6525	-0.333	0.5415	0	409	425	3
2026-02-12	16:15:50.710	-22.26	17.85	11.48	0.281332	0.917196	0.3477	0.6525	-0.333	0.5415	0	409	425	3
2026-02-12	16:15:50.730	-17.71	10.255	11.235	0.312808	0.87352	0.429196	0.6495	-0.3255	0.525	0	409	425	3
2026-02-12	16:15:50.750	-18.62	4.025	14.245	0.294752	0.896456	0.530212	0.648	-0.315	0.5085	0	409	425	3
2026-02-12	16:15:50.770	-19.18	0.77	14.35	0.276452	0.96624	0.556564	0.6465	-0.315	0.5085	0	409	425	3
2026-02-12	16:15:50.790	-11.76	-6.335	11.515	0.23668	0.962092	0.501908	0.642	-0.315	0.507	0	409	425	3
2026-02-12	16:15:50.810	-2.8	-19.495	8.4	0.255224	0.916464	0.677344	0.63	-0.312	0.4995	0	395	423	3
2026-02-12	16:15:50.830	9.66	-15.855	7.84	0.218136	0.937204	0.72956	0.6135	-0.312	0.5025	0	395	423	3
2026-02-12	16:15:50.850	16.1	-7.525	7.875	0.230824	1.031144	0.64172	0.6195	-0.3195	0.5025	0	395	423	3
2026-02-12	16:15:50.870	20.86	-8.19	5.355	0.25376	0.981612	0.570472	0.639	-0.327	0.498	0	395	423	3
2026-02-12	16:15:50.890	34.125	-12.985	6.37	0.221552	0.909388	0.614392	0.636	-0.3285	0.507	0	395	423	3
2026-02-12	16:15:50.910	49.35	-20.125	8.75	0.244732	0.877668	0.58194	0.6225	-0.3345	0.5145	0	395	423	3
2026-02-12	16:15:50.930	52.78	-36.785	15.26	0.24278	0.905972	0.680028	0.6135	-0.345	0.5325	0	395	423	3
2026-02-12	16:15:50.950	35.525	-47.11	20.125	0.204716	1.052616	0.873764	0.5955	-0.3525	0.5625	0	395	423	3
2026-02-12	16:15:50.970	7.315	-43.12	10.815	0.163236	0.956236	0.767624	0.588	-0.3555	0.57	0	395	423	3
