yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:15:37.210	20.545	-16.45	-3.325	0.011224	0.039772	0.077836	0.4845	0.9075	-0.2145	0	678	180	3
2026-02-12	16:15:37.230	-3.22	-26.53	-58.52	0.034648	-0.028792	0.086376	0.4815	0.9045	-0.2115	0	678	180	3
2026-02-12	16:15:37.250	-15.155	-32.76	-100.625	0.074908	-0.092232	0.079788	0.4755	0.903	-0.216	0	678	180	3
2026-02-12	16:15:37.270	-21.175	-36.435	-140.315	0.1037	-0.10858	0.088328	0.462	0.903	-0.2115	0	678	180	3
2026-02-12	16:15:37.290	-29.12	-41.09	-178.85	0.150792	-0.1098	0.120536	0.4395	0.9075	-0.201	0	678	180	3
2026-02-12	16:15:37.310	-37.345	-44.695	-215.39	0.246196	-0.193248	0.149328	0.414	0.909	-0.1965	0	678	180	3
2026-02-12	16:15:37.330	-41.685	-48.825	-248.605	0.3965	-0.3599	0.16836	0.381	0.9015	-0.1935	0	678	180	3
2026-02-12	16:15:37.350	-44.415	-49.455	-281.96	0.528504	-0.52826	0.191784	0.345	0.894	-0.1935	0	678	180	3
2026-02-12	16:15:37.370	-45.395	-51.1	-312.515	0.654652	-0.609512	0.18056	0.3285	0.888	-0.1905	0	678	180	3
2026-02-12	16:15:37.390	-40.11	-52.78	-329.105	0.776164	-0.565592	0.184464	0.2565	0.867	-0.18	0	678	180	3
2026-02-12	16:15:37.410	-36.26	-55.755	-352.8	1.003328	-0.57218	0.1586	0.2325	0.855	-0.1725	0	670	163	3
2026-02-12	16:15:37.430	-25.55	-61.6	-369.285	1.235616	-0.493368	0.204716	0.1935	0.822	-0.1665	0	670	163	3
2026-02-12	16:15:37.450	-16.52	-65.87	-388.92	1.42984	-0.299632	0.256688	0.153	0.786	-0.156	0	670	163	3
2026-02-12	16:15:37.470	-24.36	-66.64	-411.25	1.757776	-0.279868	0.292312	0.114	0.7455	-0.1455	0	670	163	3
2026-02-12	16:15:37.490	-33.915	-64.96	-426.86	2.117676	-0.346724	0.299876	0.0855	0.693	-0.1425	0	670	163	3
2026-02-12	16:15:37.510	-62.405	-50.68	-428.75	2.543456	-0.497272	0.354288	0.072	0.6675	-0.1395	0	670	163	3
2026-02-12	16:15:37.530	-83.23	-34.265	-417.06	2.635932	-0.572912	0.4026	0.042	0.5625	-0.126	0	670	163	3
2026-02-12	16:15:37.550	-125.3	-13.51	-379.96	2.321904	-0.643672	0.283772	0.0525	0.516	-0.123	0	670	163	3
2026-02-12	16:15:37.570	-143.815	3.78	-326.305	1.932968	-0.683444	0.20984	0.054	0.4635	-0.1185	0	670	163	3
2026-02-12	16:15:37.590	-124.915	12.95	-284.305	1.746552	-0.635376	0.288652	0.0615	0.4215	-0.1365	0	670	163	3
2026-02-12	16:15:37.610	-80.99	11.585	-234.29	1.493524	-0.5795	0.331596	0.075	0.4065	-0.138	0	669	164	3
2026-02-12	16:15:37.630	-42.49	9.24	-184.66	1.331996	-0.545584	0.276696	0.0975	0.381	-0.1425	0	669	164	3
2026-02-12	16:15:37.650	11.13	-1.295	-120.715	1.193648	-0.456524	0.19398	0.1065	0.3705	-0.147	0	669	164	3
2026-02-12	16:15:37.670	27.615	-8.19	-87.29	1.104588	-0.450912	0.154452	0.1215	0.339	-0.1485	0	669	164	3
2026-02-12	16:15:37.690	51.8	-17.29	-59.22	1.075308	-0.577792	0.138104	0.1275	0.321	-0.147	0	669	164	3
2026-02-12	16:15:37.710	57.47	-16.52	-36.61	1.01992	-0.442372	0.157868	0.1335	0.312	-0.138	0	669	164	3
2026-02-12	16:15:37.730	39.48	-13.825	-19.425	0.956236	-0.479948	0.17446	0.1305	0.3075	-0.132	0	669	164	3
2026-02-12	16:15:37.750	25.97	-11.585	-9.94	0.88694	-0.49654	0.16714	0.144	0.2985	-0.126	0	669	164	3
2026-02-12	16:15:37.770	16.1	-7.63	-4.34	0.822524	-0.489708	0.198128	0.1425	0.3015	-0.126	0	669	164	3
2026-02-12	16:15:37.790	11.76	-3.885	1.26	0.76372	-0.474336	0.214232	0.135	0.2925	-0.126	0	669	164	3
2026-02-12	16:15:37.810	10.71	-0.175	6.895	0.759328	-0.45872	0.202764	0.1395	0.2985	-0.12	0	669	177	3
2026-02-12	16:15:37.830	12.985	2.135	13.965	0.786656	-0.463844	0.17324	0.138	0.2955	-0.1125	0	669	177	3
2026-02-12	16:15:37.850	20.615	3.22	23.8	0.846436	-0.467748	0.152012	0.132	0.297	-0.1155	0	669	177	3
2026-02-12	16:15:37.870	29.435	3.885	36.54	0.921588	-0.453596	0.148596	0.135	0.2985	-0.1095	0	669	177	3
2026-02-12	16:15:37.890	36.995	4.76	51.835	0.988688	-0.438468	0.1464	0.1305	0.3045	-0.1095	0	669	177	3
2026-02-12	16:15:37.910	43.995	5.075	69.79	1.059936	-0.430172	0.152988	0.123	0.3015	-0.117	0	669	177	3
2026-02-12	16:15:37.930	47.67	6.545	94.815	1.169248	-0.364292	0.180072	0.1215	0.312	-0.108	0	669	177	3
2026-02-12	16:15:37.950	37.17	9.24	122.64	1.323456	-0.269864	0.230092	0.111	0.3195	-0.1035	0	669	177	3
2026-02-12	16:15:37.970	16.555	13.65	149.45	1.447164	-0.187148	0.272548	0.096	0.336	-0.099	0	669	177	3
