yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:15:37.210	-6.755	-10.01	-57.47	0.060268	-0.106628	0.0671	0.1485	-0.372	0.249	0	711	192	3
2026-02-12	16:15:37.230	0.98	-15.68	-12.88	0.0122	-0.094428	0.072224	0.162	-0.369	0.252	0	711	192	3
2026-02-12	16:15:37.250	5.39	-21.42	32.235	-0.008296	-0.039284	0.06954	0.159	-0.3555	0.2535	0	711	192	3
2026-02-12	16:15:37.270	5.425	-26.565	77.98	0.007808	0.021472	0.062464	0.1575	-0.36	0.246	0	711	192	3
2026-02-12	16:15:37.290	3.92	-32.235	122.71	0.033184	0.052216	0.066124	0.147	-0.3675	0.2475	0	711	192	3
2026-02-12	16:15:37.310	4.515	-38.955	166.215	0.073932	0.055876	0.061732	0.1275	-0.36	0.249	0	711	192	3
2026-02-12	16:15:37.330	12.495	-46.025	208.845	0.157136	0.07808	0.061976	0.1035	-0.36	0.2505	0	711	192	3
2026-02-12	16:15:37.350	23.38	-53.515	259.42	0.35746	0.274744	0.119316	0.0675	-0.3675	0.255	0	711	192	3
2026-02-12	16:15:37.370	23.66	-58.905	303.485	0.57462	0.52704	0.186172	0.0525	-0.3675	0.2565	0	711	192	3
2026-02-12	16:15:37.390	17.43	-63.245	330.715	0.738588	0.640012	0.228384	-0.03	-0.3525	0.264	0	711	192	3
2026-02-12	16:15:37.410	3.605	-67.55	353.675	0.892308	0.63806	0.217404	-0.0825	-0.3435	0.2655	0	701	177	3
2026-02-12	16:15:37.430	-22.085	-74.865	374.78	1.164612	0.612196	0.270596	-0.129	-0.3195	0.2805	0	701	177	3
2026-02-12	16:15:37.450	-42.035	-80.71	374.01	1.527684	0.55754	0.314516	-0.174	-0.297	0.279	0	701	177	3
2026-02-12	16:15:37.470	-25.795	-75.6	371.245	1.502796	0.503616	0.320616	-0.2025	-0.261	0.2865	0	701	177	3
2026-02-12	16:15:37.490	10.465	-82.005	380.905	1.711172	0.485804	0.310368	-0.249	-0.2265	0.294	0	701	177	3
2026-02-12	16:15:37.510	53.025	-83.93	390.565	2.009828	0.562908	0.3233	-0.267	-0.2025	0.297	0	701	177	3
2026-02-12	16:15:37.530	87.605	-71.505	399.63	2.16916	0.517768	0.40748	-0.3	-0.1545	0.315	0	701	177	3
2026-02-12	16:15:37.550	109.34	-53.445	396.27	2.336788	0.450668	0.437492	-0.318	-0.099	0.3315	0	701	177	3
2026-02-12	16:15:37.570	128.52	-23.135	390.145	2.322148	0.555344	0.386496	-0.3315	-0.042	0.345	0	701	177	3
2026-02-12	16:15:37.590	128.485	5.53	371.385	2.234308	0.550952	0.289872	-0.3405	0.012	0.3555	0	701	177	3
2026-02-12	16:15:37.610	124.95	28.42	333.41	1.955904	0.484584	0.226676	-0.333	0.0735	0.357	0	699	178	3
2026-02-12	16:15:37.630	122.115	35.245	285.915	1.594784	0.637084	0.243024	-0.324	0.1245	0.3555	0	699	178	3
2026-02-12	16:15:37.650	102.655	31.605	223.58	1.345904	0.493612	0.317932	-0.315	0.168	0.348	0	699	178	3
2026-02-12	16:15:37.670	80.99	23.73	163.275	1.238788	0.470676	0.305732	-0.309	0.1905	0.3435	0	699	178	3
2026-02-12	16:15:37.690	46.305	13.72	122.29	1.197552	0.388936	0.23546	-0.2805	0.246	0.3255	0	699	178	3
2026-02-12	16:15:37.710	-1.015	3.395	90.055	1.193404	0.480924	0.206668	-0.2685	0.2685	0.333	0	699	178	3
2026-02-12	16:15:37.730	-44.345	-1.995	63.07	1.121668	0.539728	0.163724	-0.2595	0.279	0.3195	0	699	178	3
2026-02-12	16:15:37.750	-74.83	-4.48	45.045	1.05652	0.527772	0.128832	-0.261	0.2835	0.3285	0	699	178	3
2026-02-12	16:15:37.770	-83.86	-5.32	32.13	0.977464	0.490928	0.134932	-0.252	0.2895	0.336	0	699	178	3
2026-02-12	16:15:37.790	-75.88	-5.005	22.47	0.88694	0.415776	0.14274	-0.2505	0.2955	0.3435	0	699	178	3
2026-02-12	16:15:37.810	-58.275	-4.025	15.715	0.811788	0.378932	0.158356	-0.249	0.3	0.3465	0	698	193	3
2026-02-12	16:15:37.830	-39.795	-2.66	11.06	0.776652	0.35502	0.174948	-0.243	0.2985	0.3495	0	698	193	3
2026-02-12	16:15:37.850	-24.01	-0.42	5.775	0.766648	0.38186	0.18544	-0.2445	0.297	0.3615	0	698	193	3
2026-02-12	16:15:37.870	-14.175	1.96	-2.205	0.786412	0.419192	0.180804	-0.237	0.2925	0.36	0	698	193	3
2026-02-12	16:15:37.890	-11.165	4.305	-13.755	0.826428	0.432612	0.170312	-0.246	0.291	0.366	0	698	193	3
2026-02-12	16:15:37.910	-14.42	5.635	-28.28	0.871324	0.41846	0.167384	-0.249	0.3015	0.3645	0	698	193	3
2026-02-12	16:15:37.930	-19.67	5.915	-45.01	0.921344	0.3904	0.1769	-0.249	0.2955	0.3705	0	698	193	3
2026-02-12	16:15:37.950	-23.45	5.88	-63.245	0.994544	0.369172	0.196664	-0.2505	0.285	0.3645	0	698	193	3
2026-02-12	16:15:37.970	-19.565	5.95	-91.84	1.126548	0.306464	0.213256	-0.252	0.2745	0.3555	0	698	193	3
2026-02-12	16:15:37.990	-10.045	5.39	-113.4	1.24196	0.243268	0.20618	-0.264	0.264	0.36	0	698	193	3
2026-02-12	16:15:36.010	-76.44	-5.775	-70.98	0.093208	-0.193736	-0.066124	0.1425	-0.351	0.174	0	793	197	3
2026-02-12	16:15:36.030	-38.185	-24.955	-21.175	0.03904	-0.226188	-0.091988	0.1545	-0.3465	0.159	0	793	197	3
2026-02-12	16:15:36.050	-4.13	-44.835	30.03	0.040748	-0.205448	-0.068076	0.1605	-0.345	0.1545	0	793	197	3
2026-02-12	16:15:36.070	18.83	-62.685	79.66	0.08052	-0.133712	-0.029036	0.1485	-0.3465	0.153	0	793	197	3
2026-02-12	16:15:36.090	34.685	-77.14	126.525	0.139812	-0.04636	0.02562	0.1365	-0.348	0.153	0	793	197	3
2026-02-12	16:15:36.110	45.01	-88.165	170.31	0.202276	0.037576	0.064172	0.123	-0.3495	0.1545	0	793	197	3
2026-02-12	16:15:36.130	54.25	-101.01	232.715	0.333792	0.11712	0.096868	0.111	-0.3525	0.156	0	793	197	3
2026-02-12	16:15:36.150	64.855	-107.66	273.21	0.500688	0.254004	0.139324	0.111	-0.3525	0.156	0	793	197	3
2026-02-12	16:15:36.170	69.23	-110.985	308.105	0.710528	0.557296	0.247172	-0.006	-0.354	0.189	0	793	197	3
