yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:54:46.410	1.365	-0.595	0.28	-0.031232	0.08686399	1.010648	0.6645	-0.933	-2.334	0	4	1033	1
2026-02-12	14:54:46.430	1.68	-0.385	0.28	-0.029036	0.091988	1.009428	0.6735	-0.906	-2.3595	0	4	1033	1
2026-02-12	14:54:46.450	1.33	-0.28	0.28	-0.03294	0.091012	1.006012	0.678	-0.909	-2.346	0	4	1033	1
2026-02-12	14:54:46.470	2.03	-1.12	0.245	-0.016592	0.0732	1.098976	0.6795	-0.93	-2.343	0	4	1033	1
2026-02-12	14:54:46.490	0.49	0	0.21	-0.045872	0.104432	0.941352	0.666	-0.939	-2.3325	0	4	1033	1
2026-02-12	14:54:46.510	1.855	-0.35	0.245	-0.030256	0.122244	1.07116	0.6735	-0.9465	-2.3385	0	4	1033	1
2026-02-12	14:54:46.530	1.225	-1.89	0.35	-0.025864	0.091988	0.998448	0.663	-0.9075	-2.352	0	4	1033	1
2026-02-12	14:54:46.550	1.12	1.47	0.14	-0.037576	0.0915	0.989176	0.6705	-0.9135	-2.3535	0	4	1033	1
2026-02-12	14:54:46.570	1.575	-2.835	0.42	-0.016836	0.098332	1.052372	0.672	-0.9045	-2.3445	0	4	1033	1
2026-02-12	14:54:46.590	0.875	1.365	0.14	-0.039528	0.088328	0.986736	0.6735	-0.897	-2.337	0	4	1033	1
2026-02-12	14:54:46.610	1.785	-1.82	0.385	-0.02684	0.09028	1.017968	0.6735	-0.8955	-2.3385	0	4	1033	1
2026-02-12	14:54:46.630	1.225	-0.105	0.245	-0.029768	0.091256	1.018212	0.678	-0.8985	-2.337	0	4	1033	1
2026-02-12	14:54:46.650	1.26	-0.28	0.245	-0.030256	0.089548	1.006988	0.6765	-0.9	-2.3325	0	4	1033	1
2026-02-12	14:54:46.670	1.54	-1.33	0.28	-0.025864	0.087108	1.017236	0.6735	-0.9015	-2.34	0	4	1033	1
2026-02-12	14:54:46.690	1.26	0.28	0.21	-0.031964	0.089792	1.005036	0.675	-0.9	-2.3415	0	4	1033	1
2026-02-12	14:54:46.710	1.54	-1.19	0.245	-0.028548	0.09028	1.014552	0.675	-0.897	-2.3385	0	4	1033	1
2026-02-12	14:54:46.730	1.33	-0.175	0.28	-0.02928	0.08906	1.008696	0.675	-0.897	-2.3385	0	4	1033	1
2026-02-12	14:54:46.750	1.4	-0.595	0.28	-0.028304	0.083936	1.009428	0.6765	-0.906	-2.3265	0	4	1033	1
2026-02-12	14:54:46.770	1.225	-0.105	0.245	-0.028304	0.085156	1.006744	0.6765	-0.906	-2.3265	0	4	1033	1
2026-02-12	14:54:46.790	1.33	-0.91	0.28	-0.0305	0.090524	1.011624	0.672	-0.9405	-2.331	0	4	1033	1
2026-02-12	14:54:46.810	1.33	-0.49	0.28	-0.0244	0.088328	1.009428	0.666	-0.9345	-2.3355	0	5	1034	1
2026-02-12	14:54:46.830	1.4	-0.49	0.245	-0.027572	0.086132	1.009184	0.6675	-0.9315	-2.3325	0	5	1034	1
2026-02-12	14:54:46.850	1.4	-0.805	0.28	-0.02806	0.092476	1.014308	0.666	-0.9345	-2.337	0	5	1034	1
2026-02-12	14:54:46.870	1.295	-0.385	0.28	-0.02806	0.085888	1.009672	0.6675	-0.936	-2.334	0	5	1034	1
2026-02-12	14:54:46.890	1.33	-0.77	0.245	-0.028304	0.087596	1.011868	0.669	-0.936	-2.331	0	5	1034	1
2026-02-12	14:54:46.910	1.295	-0.49	0.28	-0.028304	0.089304	1.011136	0.66	-0.9285	-2.334	0	5	1034	1
2026-02-12	14:54:46.930	1.365	-0.595	0.245	-0.030012	0.091012	1.011868	0.666	-0.9375	-2.337	0	5	1034	1
2026-02-12	14:54:46.950	1.33	-0.63	0.245	-0.029036	0.08906	1.010404	0.6675	-0.939	-2.3355	0	5	1034	1
2026-02-12	14:54:46.970	1.26	-0.49	0.28	-0.029036	0.088084	1.010892	0.669	-0.9405	-2.3415	0	5	1034	1
2026-02-12	14:54:46.990	1.295	-0.665	0.245	-0.029524	0.091012	1.01382	0.684	-0.9135	-2.3655	0	5	1034	1
2026-02-12	14:54:47.010	1.33	-0.525	0.28	-0.031964	0.093208	1.008696	0.672	-0.915	-2.3535	0	6	1034	1
2026-02-12	14:54:47.030	1.435	-0.63	0.245	-0.031232	0.09467199	1.008208	0.6825	-0.8955	-2.355	0	6	1034	1
2026-02-12	14:54:47.050	0	-0.49	0.28	-0.028792	0.083692	1.0065	0.675	-0.9015	-2.3355	0	6	1034	1
2026-02-12	14:54:47.070	0.805	-1.12	0.28	-0.026596	0.090524	1.003816	0.663	-0.9375	-2.325	0	6	1034	1
2026-02-12	14:54:47.090	1.295	-1.155	0.28	-0.023912	0.08686399	1.015284	0.6765	-0.933	-2.3355	0	6	1034	1
2026-02-12	14:54:47.110	1.575	0.735	0.245	-0.033184	0.084912	1.003084	0.6675	-0.9465	-2.3475	0	6	1034	1
2026-02-12	14:54:47.130	1.995	-1.715	0.315	-0.027328	0.087596	1.01382	0.678	-0.921	-2.3385	0	6	1034	1
2026-02-12	14:54:47.150	1.54	0.385	0.245	-0.030012	0.087352	1.00772	0.678	-0.9045	-2.352	0	6	1034	1
2026-02-12	14:54:47.170	1.61	-0.91	0.315	-0.0305	0.088572	1.011136	0.675	-0.921	-2.352	0	6	1034	1
2026-02-12	14:54:47.190	1.54	-0.7	0.245	-0.028792	0.088328	1.010892	0.6795	-0.885	-2.3385	0	6	1034	1
2026-02-12	14:54:47.210	1.855	-0.035	0.245	-0.031964	0.087596	1.003572	0.681	-0.9045	-2.34	0	7	1034	1
2026-02-12	14:54:47.230	2.695	-0.385	0.21	-0.029036	0.089304	1.0126	0.678	-0.9	-2.331	0	7	1034	1
2026-02-12	14:54:47.250	1.68	-0.56	0.28	-0.0305	0.095892	0.993812	0.675	-0.888	-2.349	0	7	1034	1
2026-02-12	14:54:47.270	1.645	0.07	0.245	-0.03294	0.079788	0.947208	0.669	-0.9	-2.331	0	7	1034	1
2026-02-12	14:54:47.290	1.575	-1.155	0.28	-0.022204	0.080764	1.05286	0.6705	-0.9075	-2.337	0	7	1034	1
2026-02-12	14:54:47.310	1.155	-0.21	0.245	-0.032452	0.09272	1.005768	0.675	-0.906	-2.3445	0	7	1034	1
2026-02-12	14:54:47.330	0.805	-1.015	0.28	-0.029768	0.091988	0.994056	0.6585	-0.9435	-2.3445	0	7	1034	1
2026-02-12	14:54:47.350	0	-0.945	0.28	-0.013908	0.095892	1.037732	0.6675	-0.939	-2.3355	0	7	1034	1
2026-02-12	14:54:47.370	1.225	-1.015	0.28	-0.030988	0.093452	0.991616	0.6735	-0.9405	-2.3385	0	7	1034	1
2026-02-12	14:54:47.390	1.225	-0.49	0.28	-0.02928	0.116876	1.042368	0.675	-0.9345	-2.343	0	7	1034	1
2026-02-12	14:54:45.410	1.365	-0.63	0.28	-0.027816	0.084424	1.008696	0.6735	-0.921	-2.343	0	5	1032	1
2026-02-12	14:54:45.430	1.295	-0.595	0.245	-0.026108	0.091256	1.01138	0.666	-0.9345	-2.3355	0	5	1032	1
2026-02-12	14:54:45.450	1.295	-0.595	0.28	-0.026352	0.0915	1.013576	0.663	-0.936	-2.3325	0	5	1032	1
2026-02-12	14:54:45.470	1.295	-0.63	0.28	-0.026352	0.088084	1.013576	0.669	-0.9195	-2.337	0	5	1032	1
2026-02-12	14:54:45.490	1.295	-0.56	0.245	-0.028548	0.084668	1.008208	0.681	-0.909	-2.352	0	5	1032	1
2026-02-12	14:54:45.510	1.295	-0.595	0.245	-0.028304	0.093208	1.011868	0.681	-0.9165	-2.3625	0	5	1032	1
2026-02-12	14:54:45.530	1.295	-0.63	0.245	-0.02928	0.090036	1.009916	0.6735	-0.909	-2.358	0	5	1032	1
2026-02-12	14:54:45.550	1.295	-0.595	0.245	-0.025376	0.086376	1.01016	0.675	-0.8985	-2.3415	0	5	1032	1
2026-02-12	14:54:45.570	1.33	-0.63	0.245	-0.02806	0.092476	1.010892	0.6765	-0.894	-2.3325	0	5	1032	1
2026-02-12	14:54:45.590	1.33	-0.595	0.28	-0.027816	0.090036	1.009672	0.6735	-0.894	-2.3325	0	5	1032	1
2026-02-12	14:54:45.610	1.295	-0.56	0.28	-0.026108	0.09076799	1.008208	0.675	-0.897	-2.3325	0	5	1032	1
2026-02-12	14:54:45.630	1.295	-0.595	0.28	-0.027084	0.089548	1.009672	0.6795	-0.9	-2.3325	0	5	1032	1
2026-02-12	14:54:45.650	1.295	-0.595	0.28	-0.0244	0.091012	1.014064	0.684	-0.9015	-2.331	0	5	1032	1
2026-02-12	14:54:45.670	1.295	-0.63	0.28	-0.025132	0.086376	1.012356	0.684	-0.9015	-2.331	0	5	1032	1
2026-02-12	14:54:45.690	1.33	-0.63	0.245	-0.027816	0.082472	1.008696	0.663	-0.936	-2.3385	0	5	1032	1
2026-02-12	14:54:45.710	1.33	-0.63	0.28	-0.028304	0.084912	1.007232	0.663	-0.936	-2.3385	0	5	1032	1
