yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:54:46.410	-0.525	1.82	-1.89	-0.402112	-0.00732	0.910608	0.6075	0.537	-0.2625	0	485	929	1
2026-02-12	14:54:46.430	-1.89	1.435	-1.785	-0.40382	-0.026352	0.921344	0.603	0.5235	-0.2595	0	485	929	1
2026-02-12	14:54:46.450	-1.645	1.47	-1.575	-0.387716	-0.03538	0.927932	0.6075	0.5295	-0.255	0	485	929	1
2026-02-12	14:54:46.470	-0.805	2.065	-0.91	-0.389424	-0.027572	0.925736	0.609	0.531	-0.258	0	485	929	1
2026-02-12	14:54:46.490	-1.96	2.31	-0.455	-0.413336	-0.007076	0.887184	0.6075	0.537	-0.2445	0	485	929	1
2026-02-12	14:54:46.510	-0.805	1.47	-1.54	-0.439444	-0.032452	0.892552	0.603	0.5265	-0.261	0	485	929	1
2026-02-12	14:54:46.530	2.24	0.28	-2.135	-0.393328	-0.043188	0.930128	0.606	0.528	-0.2595	0	485	929	1
2026-02-12	14:54:46.550	2.555	1.155	-2.205	-0.380884	-0.028548	0.933056	0.612	0.531	-0.2595	0	485	929	1
2026-02-12	14:54:46.570	-0.945	2.065	-1.925	-0.400404	-0.022204	0.91744	0.609	0.5325	-0.2505	0	485	929	1
2026-02-12	14:54:46.590	-4.97	1.575	-2.17	-0.423828	-0.0183	0.888404	0.6075	0.5385	-0.2595	0	485	929	1
2026-02-12	14:54:46.610	-2.52	-0.595	-3.675	-0.40748	-0.060512	0.934032	0.6045	0.5385	-0.2625	0	412	932	1
2026-02-12	14:54:46.630	-0.665	-0.7	-3.64	-0.378688	-0.033184	0.936716	0.603	0.5295	-0.2625	0	412	932	1
2026-02-12	14:54:46.650	-1.68	0.77	-3.255	-0.385276	-0.015616	0.911096	0.6075	0.5385	-0.261	0	412	932	1
2026-02-12	14:54:46.670	-2.695	1.61	-2.975	-0.40382	-0.020252	0.890844	0.6075	0.531	-0.2535	0	412	932	1
2026-02-12	14:54:46.690	-1.68	1.82	-2.765	-0.40382	-0.039528	0.913048	0.6075	0.5295	-0.258	0	412	932	1
2026-02-12	14:54:46.710	1.925	2.835	-2.275	-0.379664	-0.045384	0.927444	0.603	0.5325	-0.2535	0	412	932	1
2026-02-12	14:54:46.730	3.15	5.145	-1.645	-0.400892	-0.029524	0.909632	0.603	0.528	-0.261	0	412	932	1
2026-02-12	14:54:46.750	-1.575	5.95	-1.75	-0.450424	-0.020008	0.879376	0.6105	0.531	-0.255	0	412	932	1
2026-02-12	14:54:46.770	-1.89	4.865	-3.36	-0.432368	-0.073688	0.905972	0.612	0.534	-0.2565	0	412	932	1
2026-02-12	14:54:46.790	2.03	4.76	-4.865	-0.388448	-0.055388	0.933788	0.612	0.5295	-0.2565	0	412	932	1
2026-02-12	14:54:46.810	1.68	6.405	-4.97	-0.3782	-0.031476	0.935008	0.6135	0.5355	-0.2535	0	351	933	1
2026-02-12	14:54:46.830	-5.74	7.315	-6.16	-0.43432	-0.018056	0.878644	0.6135	0.5355	-0.264	0	351	933	1
2026-02-12	14:54:46.850	-6.125	5.215	-7.315	-0.43066	-0.05612	0.916708	0.603	0.5415	-0.264	0	351	933	1
2026-02-12	14:54:46.870	-2.625	4.165	-7.385	-0.402356	-0.061976	0.93452	0.609	0.534	-0.2565	0	351	933	1
2026-02-12	14:54:46.890	-2.415	4.41	-6.51	-0.411872	-0.034648	0.91622	0.612	0.5355	-0.255	0	351	933	1
2026-02-12	14:54:46.910	-4.305	3.885	-5.775	-0.441152	-0.03172	0.884988	0.615	0.543	-0.255	0	351	933	1
2026-02-12	14:54:46.930	-3.78	1.925	-5.845	-0.42456	-0.049776	0.915488	0.6195	0.534	-0.258	0	351	933	1
2026-02-12	14:54:46.950	-1.4	1.12	-5.215	-0.396012	-0.04758	0.921832	0.627	0.537	-0.2565	0	351	933	1
2026-02-12	14:54:46.970	-1.68	1.33	-4.095	-0.422608	-0.031232	0.901092	0.6225	0.5385	-0.2595	0	351	933	1
2026-02-12	14:54:46.990	-0.385	0.735	-3.5	-0.43066	-0.0488	0.894992	0.621	0.543	-0.2565	0	351	933	1
2026-02-12	14:54:47.010	1.12	-0.07	-2.94	-0.4209	-0.04758	0.91012	0.6165	0.5385	-0.261	0	300	933	1
2026-02-12	14:54:47.030	0.84	0.07	-1.68	-0.41114	-0.043188	0.909144	0.624	0.534	-0.258	0	300	933	1
2026-02-12	14:54:47.050	-1.05	0.91	-0.91	-0.42334	-0.050752	0.902068	0.624	0.534	-0.258	0	300	933	1
