yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:11:16.810	1.295	-0.595	0.245	0.013176	-0.038552	1.01504	0.5445	-0.0555	0.0465	0	3	1036	1
2026-02-12	16:11:16.830	1.26	-0.595	0.245	0.013664	-0.038796	1.010892	0.546	-0.0585	0.0465	0	3	1036	1
2026-02-12	16:11:16.850	1.295	-0.595	0.28	0.012932	-0.0366	1.012356	0.5445	-0.0645	0.0495	0	3	1036	1
2026-02-12	16:11:16.870	1.26	-0.595	0.245	0.009028	-0.0305	1.012356	0.5445	-0.06	0.054	0	3	1036	1
2026-02-12	16:11:16.890	1.295	-0.595	0.245	0.012932	-0.033672	1.011624	0.5445	-0.06	0.054	0	3	1036	1
2026-02-12	16:11:16.910	1.295	-0.595	0.28	0.01342	-0.03538	1.01382	0.5445	-0.0615	0.0555	0	3	1036	1
2026-02-12	16:11:16.930	1.26	-0.595	0.28	0.011224	-0.037088	1.013576	0.5415	-0.054	0.054	0	3	1036	1
2026-02-12	16:11:16.950	1.295	-0.595	0.245	0.01098	-0.034892	1.013088	0.5445	-0.0555	0.0525	0	3	1036	1
2026-02-12	16:11:16.970	1.295	-0.595	0.245	0.014396	-0.037088	1.009428	0.546	-0.06	0.057	0	3	1036	1
2026-02-12	16:11:16.990	1.26	-0.595	0.245	0.009516	-0.0366	1.014552	0.5415	-0.057	0.0555	0	3	1036	1
2026-02-12	16:11:17.010	1.26	-0.595	0.245	0.012932	-0.037088	1.012356	0.5445	-0.0555	0.051	0	3	1036	1
2026-02-12	16:11:17.030	1.295	-0.56	0.245	0.012932	-0.037332	1.014064	0.5475	-0.0585	0.051	0	3	1036	1
2026-02-12	16:11:17.050	1.295	-0.595	0.28	0.010004	-0.03782	1.010648	0.5445	-0.0555	0.0495	0	3	1036	1
2026-02-12	16:11:17.070	1.26	-0.595	0.245	0.012444	-0.040504	1.011136	0.5445	-0.06	0.0495	0	3	1036	1
2026-02-12	16:11:17.090	1.295	-0.595	0.28	0.01098	-0.036112	1.013332	0.5415	-0.0645	0.045	0	3	1036	1
2026-02-12	16:11:17.110	1.26	-0.595	0.245	0.014884	-0.037576	1.0126	0.546	-0.06	0.045	0	3	1036	1
2026-02-12	16:11:17.130	1.295	-0.595	0.245	0.013176	-0.037088	1.014552	0.5505	-0.0585	0.0525	0	3	1036	1
2026-02-12	16:11:17.150	1.295	-0.595	0.28	0.012444	-0.036844	1.0126	0.5475	-0.06	0.0525	0	3	1036	1
2026-02-12	16:11:17.170	1.295	-0.595	0.245	0.0122	-0.039772	1.01504	0.5475	-0.0585	0.051	0	3	1036	1
2026-02-12	16:11:17.190	1.295	-0.56	0.245	0.009272	-0.039772	1.0126	0.546	-0.0585	0.0525	0	3	1036	1
2026-02-12	16:11:17.210	1.26	-0.595	0.245	0.010248	-0.036356	1.014796	0.5445	-0.06	0.0525	0	3	1036	1
2026-02-12	16:11:17.230	1.26	-0.595	0.245	0.010004	-0.037088	1.015528	0.5445	-0.0615	0.051	0	3	1036	1
2026-02-12	16:11:17.250	1.295	-0.595	0.28	0.011712	-0.039284	1.014552	0.546	-0.06	0.0465	0	3	1036	1
2026-02-12	16:11:17.270	1.26	-0.595	0.245	0.011712	-0.033916	1.010648	0.552	-0.057	0.048	0	3	1036	1
2026-02-12	16:11:17.290	1.295	-0.595	0.245	0.0061	-0.0366	1.014064	0.5535	-0.057	0.054	0	3	1036	1
2026-02-12	16:11:17.310	1.26	-0.56	0.28	0.014152	-0.040992	1.011868	0.549	-0.0555	0.0525	0	3	1036	1
2026-02-12	16:11:17.330	1.26	-0.595	0.21	0.009028	-0.039772	1.0126	0.5475	-0.0585	0.051	0	3	1036	1
2026-02-12	16:11:17.350	1.26	-0.56	0.245	0.01342	-0.03904	1.01138	0.5475	-0.06	0.048	0	3	1036	1
2026-02-12	16:11:17.370	1.26	-0.56	0.28	0.011956	-0.038552	1.01138	0.546	-0.06	0.0465	0	3	1036	1
2026-02-12	16:11:17.390	1.295	-0.63	0.28	0.011468	-0.038796	1.012356	0.546	-0.06	0.0495	0	3	1036	1
2026-02-12	16:11:17.410	1.26	-0.56	0.28	0.010492	-0.038064	1.011624	0.5415	-0.06	0.0495	0	3	1036	1
2026-02-12	16:11:17.430	1.26	-0.595	0.21	0.011956	-0.0366	1.01138	0.5385	-0.057	0.0525	0	3	1036	1
2026-02-12	16:11:17.450	1.295	-0.56	0.28	0.0122	-0.035136	1.011624	0.54	-0.057	0.0525	0	3	1036	1
2026-02-12	16:11:17.470	1.26	-0.56	0.245	0.00976	-0.037088	1.013088	0.543	-0.06	0.0495	0	3	1036	1
2026-02-12	16:11:17.490	1.295	-0.56	0.28	0.010248	-0.038796	1.012356	0.546	-0.06	0.048	0	3	1036	1
2026-02-12	16:11:17.510	1.295	-0.595	0.245	0.011224	-0.035624	1.014308	0.5445	-0.057	0.0465	0	3	1036	1
2026-02-12	16:11:17.530	1.295	-0.56	0.28	0.01464	-0.03782	1.011868	0.5445	-0.057	0.0465	0	3	1036	1
2026-02-12	16:11:17.550	1.26	-0.595	0.28	0.012688	-0.037332	1.0126	0.546	-0.057	0.045	0	3	1036	1
2026-02-12	16:11:17.570	1.26	-0.56	0.245	0.014396	-0.036112	1.01382	0.543	-0.0555	0.045	0	3	1036	1
2026-02-12	16:11:17.590	1.295	-0.56	0.245	0.013176	-0.035868	1.012356	0.5415	-0.0585	0.045	0	3	1036	1
2026-02-12	16:11:17.610	1.295	-0.595	0.245	0.008296	-0.03904	1.010648	0.543	-0.0645	0.0495	0	3	1036	1
2026-02-12	16:11:17.630	1.26	-0.56	0.245	0.013664	-0.036112	1.010892	0.5475	-0.0615	0.0525	0	3	1036	1
2026-02-12	16:11:17.650	1.26	-0.595	0.245	0.012688	-0.034892	1.013332	0.5475	-0.0585	0.051	0	3	1036	1
2026-02-12	16:11:17.670	1.295	-0.595	0.28	0.013664	-0.034892	1.011624	0.5445	-0.06	0.051	0	3	1036	1
2026-02-12	16:11:17.690	1.26	-0.56	0.245	0.012932	-0.0366	1.012356	0.546	-0.0585	0.0495	0	3	1036	1
2026-02-12	16:11:17.710	1.26	-0.595	0.28	0.012688	-0.039284	1.01138	0.546	-0.0585	0.0495	0	3	1036	1
2026-02-12	16:11:17.730	1.295	-0.56	0.28	0.01098	-0.03538	1.014308	0.537	-0.066	0.048	0	3	1036	1
2026-02-12	16:11:17.750	1.295	-0.595	0.245	0.0122	-0.038796	1.014796	0.537	-0.066	0.048	0	3	1036	1
2026-02-12	16:11:17.770	1.26	-0.56	0.28	0.009028	-0.03782	1.013576	0.54	-0.063	0.048	0	3	1036	1
2026-02-12	16:11:17.790	1.26	-0.595	0.245	0.009516	-0.038064	1.014552	0.5505	-0.0615	0.0495	0	3	1036	1
