yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:11:16.810	-3.71	-67.235	146.51	0.111508	-0.743224	-0.096136	0.2505	0.933	0.0825	0	182	229	3
2026-02-12	16:11:16.830	-6.195	-66.255	136.57	0.062708	-0.743224	-0.06954	0.282	0.9405	0.087	0	182	229	3
2026-02-12	16:11:16.850	1.015	-64.995	119.735	0.002196	-0.609756	-0.047092	0.2955	0.945	0.0855	0	182	229	3
2026-02-12	16:11:16.870	-3.605	-62.615	105.805	0.023424	-0.795928	-0.032452	0.3165	0.9525	0.0885	0	182	229	3
2026-02-12	16:11:16.890	-7.77	-59.01	97.195	-0.009516	-0.807396	-0.050508	0.324	0.9525	0.099	0	182	229	3
2026-02-12	16:11:16.910	-13.51	-57.33	86.415	-0.030256	-0.810568	-0.110288	0.348	0.969	0.099	0	182	229	3
2026-02-12	16:11:16.930	-13.895	-53.725	72.975	-0.068076	-0.806664	-0.103456	0.369	0.966	0.1125	0	182	229	3
2026-02-12	16:11:16.950	-8.855	-50.855	61.18	-0.055144	-0.844728	-0.12078	0.369	0.966	0.1125	0	182	229	3
2026-02-12	16:11:16.970	-14.28	-48.615	56.455	-0.052704	-0.909632	-0.160796	0.39	0.9735	0.1185	0	182	229	3
2026-02-12	16:11:16.990	-21.42	-46.62	51.66	-0.105164	-0.836188	-0.161284	0.399	0.972	0.1125	0	182	229	3
2026-02-12	16:11:17.010	-22.96	-42.875	44.73	-0.160064	-0.791048	-0.129076	0.414	0.975	0.1215	0	197	176	3
2026-02-12	16:11:17.030	-15.715	-38.955	37.8	-0.176656	-0.884012	-0.148596	0.4155	0.9795	0.129	0	197	176	3
2026-02-12	16:11:17.050	2.975	-36.61	31.92	-0.238144	-0.863028	-0.122244	0.4245	0.9795	0.1215	0	197	176	3
2026-02-12	16:11:17.070	18.025	-31.85	27.475	-0.238632	-0.863272	-0.070272	0.441	0.9915	0.138	0	197	176	3
2026-02-12	16:11:17.090	20.3	-27.335	24.675	-0.27816	-0.8967	-0.088328	0.4395	0.978	0.132	0	197	176	3
2026-02-12	16:11:17.110	20.93	-22.715	22.715	-0.319884	-0.88938	-0.07198	0.447	0.9825	0.1215	0	197	176	3
2026-02-12	16:11:17.130	19.985	-18.9	19.74	-0.360876	-0.888892	-0.07515199	0.4425	0.975	0.126	0	197	176	3
2026-02-12	16:11:17.150	10.255	-15.785	13.825	-0.382836	-0.830332	-0.066124	0.45	0.975	0.1215	0	197	176	3
2026-02-12	16:11:17.170	7.28	-14.28	10.08	-0.389912	-0.838628	-0.046604	0.4545	0.9825	0.1215	0	197	176	3
2026-02-12	16:11:17.190	4.69	-13.09	6.02	-0.395768	-0.844484	-0.041236	0.4605	0.9825	0.117	0	197	176	3
2026-02-12	16:11:17.210	3.605	-13.615	2.275	-0.40748	-0.86498	-0.065636	0.465	0.978	0.1245	0	225	111	3
2026-02-12	16:11:17.230	5.425	-14.63	-1.47	-0.397964	-0.886696	-0.057584	0.462	0.984	0.123	0	225	111	3
2026-02-12	16:11:17.250	3.01	-15.19	-3.99	-0.3904	-0.899384	-0.041968	0.465	0.9885	0.126	0	225	111	3
2026-02-12	16:11:17.270	-6.23	-14.945	-5.81	-0.393328	-0.898408	-0.035868	0.468	0.9825	0.12	0	225	111	3
2026-02-12	16:11:17.290	-15.26	-14.525	-7.35	-0.386496	-0.897432	-0.067588	0.4725	0.9825	0.12	0	225	111	3
