yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:11:16.810	-26.53	-11.76	-25.935	0.94062	0.258396	0.1586	-0.324	0.06	0.345	0	123	171	3
2026-02-12	16:11:16.830	-31.955	-12.495	-19.81	0.938912	0.255712	0.171044	-0.324	0.0555	0.345	0	123	171	3
2026-02-12	16:11:16.850	-35.21	-11.865	-13.09	0.933544	0.25132	0.1708	-0.327	0.0495	0.3465	0	123	171	3
2026-02-12	16:11:16.870	-35.525	-10.29	-6.44	0.93818	0.24644	0.173728	-0.321	0.048	0.345	0	123	171	3
2026-02-12	16:11:16.890	-33.565	-7.91	-0.735	0.945744	0.237168	0.174948	-0.3195	0.048	0.348	0	123	171	3
2026-02-12	16:11:16.910	-24.99	-3.255	4.9	0.956968	0.232288	0.180072	-0.3255	0.048	0.351	0	123	171	3
2026-02-12	16:11:16.930	-16.94	-0.245	6.65	0.969412	0.229116	0.172996	-0.3255	0.048	0.351	0	123	171	3
2026-02-12	16:11:16.950	-7.91	2.66	7.175	0.979172	0.230336	0.177632	-0.3165	0.0465	0.3525	0	123	171	3
2026-02-12	16:11:16.970	0.735	5.11	6.475	0.989664	0.241804	0.181048	-0.3315	0.0495	0.354	0	123	171	3
2026-02-12	16:11:16.990	8.47	7.07	4.515	0.994056	0.241316	0.17446	-0.3255	0.048	0.3495	0	123	171	3
2026-02-12	16:11:17.010	15.085	8.365	1.61	0.994788	0.24644	0.170312	-0.3225	0.0525	0.345	0	110	169	3
2026-02-12	16:11:17.030	19.67	8.68	-1.715	0.987224	0.253028	0.16958	-0.318	0.051	0.348	0	110	169	3
2026-02-12	16:11:17.050	21.035	7.98	-4.935	0.9699	0.256932	0.163968	-0.3225	0.0555	0.3435	0	110	169	3
2026-02-12	16:11:17.070	19.25	6.44	-7.28	0.9699	0.26596	0.166408	-0.3165	0.063	0.3375	0	110	169	3
2026-02-12	16:11:17.090	15.155	4.655	-8.505	0.959896	0.27084	0.166652	-0.3165	0.051	0.345	0	110	169	3
2026-02-12	16:11:17.110	10.325	3.115	-8.05	0.960384	0.261812	0.169092	-0.3195	0.0405	0.348	0	110	169	3
2026-02-12	16:11:17.130	7.49	2.345	-6.195	0.952088	0.255224	0.168116	-0.3225	0.0525	0.351	0	110	169	3
2026-02-12	16:11:17.150	7.28	2.065	-3.36	0.9455	0.246196	0.175436	-0.315	0.048	0.345	0	110	169	3
2026-02-12	16:11:17.170	9.415	2.205	0.63	0.92598	0.245952	0.173972	-0.3195	0.0495	0.3405	0	110	169	3
2026-02-12	16:11:17.190	11.585	2.24	4.69	0.914024	0.25986	0.180316	-0.3195	0.0495	0.3405	0	110	169	3
2026-02-12	16:11:17.210	12.39	2.31	7.735	0.91866	0.266692	0.177388	-0.321	0.045	0.342	0	99	169	3
2026-02-12	16:11:17.230	12.775	2.555	10.5	0.927688	0.267912	0.181536	-0.3225	0.0435	0.3405	0	99	169	3
2026-02-12	16:11:17.250	13.335	3.045	12.915	0.938912	0.270352	0.18056	-0.3255	0.0465	0.339	0	99	169	3
2026-02-12	16:11:17.270	14.595	3.815	14.945	0.944036	0.277184	0.17812	-0.3255	0.051	0.3435	0	99	169	3
2026-02-12	16:11:17.290	15.68	4.41	16.31	0.950624	0.278892	0.1769	-0.321	0.0525	0.348	0	99	169	3
2026-02-12	16:11:17.310	16.695	4.935	16.87	0.952576	0.285724	0.179096	-0.318	0.054	0.3435	0	99	169	3
