yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:48:07.210	1.365	-0.385	0.245	-0.042456	0.059292	1.012844	0.5475	-0.255	-0.537	0	3	1034	1
2026-02-12	14:48:07.230	1.4	-0.105	0.245	-0.04636	0.062952	1.009184	0.5325	-0.258	-0.516	0	3	1034	1
2026-02-12	14:48:07.250	1.26	-1.015	0.28	-0.04514	0.061	1.009184	0.5535	-0.2535	-0.57	0	3	1034	1
2026-02-12	14:48:07.270	1.26	-0.735	0.28	-0.045872	0.058804	1.01138	0.5295	-0.261	-0.4815	0	3	1034	1
2026-02-12	14:48:07.290	1.295	-0.455	0.28	-0.042212	0.059048	1.01016	0.534	-0.2595	-0.6465	0	3	1034	1
2026-02-12	14:48:07.310	1.33	-0.77	0.315	-0.044896	0.063928	1.014308	0.531	-0.282	-0.555	0	3	1034	1
2026-02-12	14:48:07.330	1.295	-0.385	0.28	-0.049776	0.064172	1.0126	0.5085	-0.4215	-0.5925	0	3	1034	1
2026-02-12	14:48:07.350	1.295	-0.63	0.28	-0.043676	0.063196	1.011624	0.5415	-0.258	-0.531	0	3	1034	1
2026-02-12	14:48:07.370	1.295	-0.49	0.28	-0.044408	0.059536	1.010648	0.5295	-0.258	-0.51	0	3	1034	1
2026-02-12	14:48:07.390	1.26	-0.63	0.28	-0.048068	0.060268	1.011868	0.5355	-0.2565	-0.519	0	3	1034	1
2026-02-12	14:48:07.410	1.33	-0.49	0.245	-0.045628	0.055876	1.009916	0.5355	-0.252	-0.54	0	3	1034	1
2026-02-12	14:48:07.430	1.33	-0.63	0.245	-0.047336	0.06222	1.01138	0.5175	-0.252	-0.5115	0	3	1034	1
2026-02-12	14:48:07.450	1.365	-0.56	0.245	-0.043676	0.05856	1.012844	0.561	-0.267	-0.552	0	3	1034	1
2026-02-12	14:48:07.470	1.33	-0.595	0.245	-0.044164	0.064904	1.011624	0.447	-0.435	-0.5445	0	3	1034	1
2026-02-12	14:48:07.490	1.33	-0.665	0.245	-0.044408	0.065148	1.011136	0.375	-0.4905	-0.597	0	3	1034	1
2026-02-12	14:48:07.510	1.295	-0.525	0.245	-0.04758	0.064172	1.01138	0.537	-0.2505	-0.516	0	3	1034	1
2026-02-12	14:48:07.530	1.295	-0.63	0.245	-0.043432	0.060512	1.011624	0.522	-0.252	-0.4815	0	3	1034	1
2026-02-12	14:48:07.550	1.295	-0.56	0.21	-0.043188	0.060024	1.012356	0.5565	-0.285	-0.5625	0	3	1034	1
2026-02-12	14:48:07.570	1.295	-0.56	0.28	-0.043676	0.060756	1.01138	0.5475	-0.276	-0.513	0	3	1034	1
2026-02-12	14:48:07.590	1.295	-0.56	0.28	-0.04636	0.060512	1.012844	0.534	-0.249	-0.4905	0	3	1034	1
2026-02-12	14:48:07.610	1.295	-0.525	0.245	-0.046604	0.057584	1.008452	0.5235	-0.264	-0.5145	0	3	1034	1
2026-02-12	14:48:07.630	1.33	-0.56	0.28	-0.045384	0.061976	1.01016	0.5265	-0.261	-0.489	0	3	1034	1
2026-02-12	14:48:07.650	1.26	-0.595	0.245	-0.047336	0.058804	1.009672	0.537	-0.258	-0.4845	0	3	1034	1
2026-02-12	14:48:07.670	1.33	-0.595	0.245	-0.046604	0.061	1.013332	0.4545	-0.411	-0.5835	0	3	1034	1
2026-02-12	14:48:07.690	1.295	-0.595	0.28	-0.048556	0.060268	1.012112	0.534	-0.2625	-0.5415	0	3	1034	1
2026-02-12	14:48:07.710	1.295	-0.525	0.245	-0.04636	0.063928	1.011868	0.543	-0.2565	-0.564	0	3	1034	1
2026-02-12	14:48:07.730	1.295	-0.595	0.28	-0.044164	0.059048	1.009672	0.552	-0.258	-0.546	0	3	1034	1
2026-02-12	14:48:07.750	1.295	-0.56	0.245	-0.04636	0.060756	1.0126	0.5625	-0.261	-0.5715	0	3	1034	1
2026-02-12	14:48:07.770	1.295	-0.63	0.28	-0.048556	0.060756	1.009184	0.5445	-0.267	-0.534	0	3	1034	1
2026-02-12	14:48:07.790	1.33	-0.595	0.245	-0.047336	0.060024	1.012356	0.5415	-0.36	-0.6075	0	3	1034	1
2026-02-12	14:48:07.810	1.33	-0.595	0.28	-0.046116	0.060268	1.010404	0.5235	-0.2685	-0.543	0	3	1034	1
2026-02-12	14:48:07.830	1.33	-0.56	0.28	-0.043676	0.0549	1.013088	0.549	-0.2595	-0.528	0	3	1034	1
2026-02-12	14:48:07.850	1.33	-0.595	0.245	-0.047092	0.060512	1.009916	0.531	-0.2535	-0.5025	0	3	1034	1
2026-02-12	14:48:07.870	1.26	-0.63	0.245	-0.045628	0.059536	1.013088	0.5295	-0.2685	-0.4845	0	3	1034	1
2026-02-12	14:48:07.890	1.33	-0.595	0.28	-0.045384	0.060512	1.011868	0.558	-0.306	-0.576	0	3	1034	1
2026-02-12	14:48:07.910	1.33	-0.595	0.245	-0.044408	0.062464	1.012844	0.4725	-0.3405	-0.564	0	3	1034	1
2026-02-12	14:48:07.930	1.33	-0.56	0.28	-0.046116	0.062464	1.012356	0.474	-0.2925	-0.582	0	3	1034	1
2026-02-12	14:48:07.950	1.33	-0.595	0.28	-0.045384	0.062464	1.01138	0.528	-0.2535	-0.576	0	3	1034	1
2026-02-12	14:48:07.970	1.295	-0.595	0.245	-0.045872	0.060756	1.010404	0.549	-0.255	-0.558	0	3	1034	1
2026-02-12	14:48:07.990	1.33	-0.56	0.245	-0.04636	0.062464	1.009916	0.5475	-0.324	-0.603	0	3	1034	1
2026-02-12	14:48:08.010	1.33	-0.63	0.28	-0.050264	0.061244	1.010892	0.4065	-0.4425	-0.5895	0	3	1034	1
2026-02-12	14:48:08.030	1.33	-0.49	0.245	-0.044408	0.060024	1.00772	0.5265	-0.2655	-0.537	0	3	1034	1
2026-02-12	14:48:08.050	1.365	-0.56	0.28	-0.046116	0.063928	1.01138	0.5385	-0.2625	-0.4815	0	3	1034	1
2026-02-12	14:48:08.070	1.365	-0.595	0.28	-0.044652	0.061976	1.0126	0.522	-0.2565	-0.492	0	3	1034	1
2026-02-12	14:48:08.090	1.365	-0.56	0.245	-0.0427	0.08784	1.019676	0.5325	-0.2535	-0.531	0	3	1034	1
2026-02-12	14:48:08.110	1.295	-0.56	0.245	-0.044652	0.070516	1.011624	0.5325	-0.2535	-0.531	0	3	1034	1
2026-02-12	14:48:08.130	1.33	-0.595	0.245	-0.044652	0.056608	1.008452	0.528	-0.252	-0.54	0	3	1034	1
2026-02-12	14:48:08.150	1.295	-0.49	0.245	-0.045384	0.057096	1.011136	0.525	-0.252	-0.549	0	3	1034	1
2026-02-12	14:48:08.170	1.295	-0.63	0.245	-0.043188	0.057096	1.008696	0.525	-0.255	-0.5205	0	3	1034	1
2026-02-12	14:48:08.190	1.19	-0.56	0.245	-0.048556	0.052216	1.006256	0.546	-0.276	-0.543	0	3	1034	1
