yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:48:07.210	-3.185	-0.035	-2.485	0.986492	-0.096136	0.219112	0.15	0.702	-0.117	0	127	200	2
2026-02-12	14:48:07.230	-0.385	0.105	-2.17	0.9821	-0.074664	0.223748	0.1485	0.702	-0.1215	0	127	200	2
2026-02-12	14:48:07.250	-0.945	0.07	-1.925	0.972828	-0.07564	0.2196	0.15	0.7035	-0.1215	0	127	200	2
2026-02-12	14:48:07.270	-1.47	-0.175	-1.82	0.979904	-0.09076799	0.210816	0.1485	0.6945	-0.1155	0	127	200	2
2026-02-12	14:48:07.290	-0.245	-0.175	-1.855	0.99186	-0.08052	0.215452	0.1545	0.702	-0.12	0	127	200	2
2026-02-12	14:48:07.310	-0.175	0.14	-1.365	0.998448	-0.086132	0.210572	0.1545	0.696	-0.123	0	127	200	2
2026-02-12	14:48:07.330	-1.225	0.77	0.105	0.992836	-0.103944	0.202276	0.147	0.6975	-0.117	0	127	200	2
2026-02-12	14:48:07.350	-0.105	0.945	1.855	0.996252	-0.120536	0.207644	0.1485	0.696	-0.1215	0	127	200	2
2026-02-12	14:48:07.370	2.52	1.015	3.885	0.995032	-0.094916	0.2074	0.141	0.705	-0.123	0	127	200	2
2026-02-12	14:48:07.390	5.6	0.7	5.145	0.998936	-0.106872	0.230824	0.1515	0.6945	-0.12	0	127	200	2
2026-02-12	14:48:07.410	9.31	1.12	6.58	0.991128	-0.113948	0.222528	0.153	0.696	-0.12	0	112	205	2
2026-02-12	14:48:07.430	14.595	1.19	8.05	0.997716	-0.162016	0.212524	0.1545	0.699	-0.1245	0	112	205	2
2026-02-12	14:48:07.450	28.595	1.47	11.06	1.064328	-0.219112	0.273524	0.153	0.7005	-0.1305	0	112	205	2
2026-02-12	14:48:07.470	42.735	7.245	17.43	1.07604	-0.21228	0.338672	0.1605	0.699	-0.12	0	112	205	2
2026-02-12	14:48:07.490	44.485	15.435	29.05	1.067256	-0.245952	0.365024	0.153	0.696	-0.12	0	112	205	2
2026-02-12	14:48:07.510	25.27	23.52	47.215	1.077016	-0.294752	0.390888	0.1575	0.6945	-0.1215	0	112	205	2
2026-02-12	14:48:07.530	-5.67	27.93	67.55	1.105808	-0.311344	0.40504	0.153	0.7005	-0.129	0	112	205	2
2026-02-12	14:48:07.550	-38.36	31.43	86.8	1.145092	-0.275476	0.395768	0.1605	0.708	-0.1365	0	112	205	2
2026-02-12	14:48:07.570	-65.03	35.63	106.085	1.157292	-0.355996	0.360388	0.1635	0.717	-0.1335	0	112	205	2
2026-02-12	14:48:07.590	-70.28	38.36	126.07	1.175348	-0.475556	0.316468	0.174	0.7425	-0.1365	0	112	205	2
2026-02-12	14:48:07.610	-12.565	47.005	146.16	1.20048	-0.672708	0.39284	0.1785	0.753	-0.132	0	103	219	2
2026-02-12	14:48:07.630	7.28	55.125	172.55	1.258552	-0.866444	0.506544	0.1905	0.774	-0.1365	0	103	219	2
2026-02-12	14:48:07.650	-13.195	61.075	200.76	1.245864	-0.930128	0.487268	0.207	0.8025	-0.1485	0	103	219	2
2026-02-12	14:48:07.670	-30.625	61.775	220.5	1.199748	-0.981124	0.438956	0.213	0.8115	-0.156	0	103	219	2
2026-02-12	14:48:07.690	-20.02	59.255	233.87	1.121912	-1.016748	0.367464	0.2295	0.8415	-0.153	0	103	219	2
2026-02-12	14:48:07.710	17.255	55.58	243.355	1.071404	-1.055544	0.321104	0.2565	0.8685	-0.1605	0	103	219	2
2026-02-12	14:48:07.730	43.925	52.045	254.625	1.01138	-0.99552	0.307684	0.2775	0.8805	-0.1635	0	103	219	2
2026-02-12	14:48:07.750	44.45	48.58	263.06	0.893284	-0.954284	0.30134	0.3	0.894	-0.165	0	103	219	2
2026-02-12	14:48:07.770	49.7	42.56	267.47	0.828868	-0.920856	0.256932	0.3345	0.9135	-0.171	0	103	219	2
2026-02-12	14:48:07.790	69.44	38.22	268.17	0.782264	-0.916708	0.251564	0.369	0.9195	-0.186	0	103	219	2
2026-02-12	14:48:07.810	95.06	35.14	267.4	0.6771	-0.77714	0.25376	0.3945	0.9255	-0.189	0	107	246	3
2026-02-12	14:48:07.830	85.89	31.815	262.115	0.560468	-0.51728	0.267912	0.3945	0.9255	-0.189	0	107	246	3
2026-02-12	14:48:07.850	53.725	27.93	255.465	0.441152	-0.415532	0.239608	0.4395	0.918	-0.201	0	107	246	3
2026-02-12	14:48:07.870	18.13	18.34	244.335	0.31964	-0.293532	0.207156	0.498	0.9105	-0.2085	0	107	246	3
2026-02-12	14:48:07.890	-19.46	6.475	231.105	0.245708	-0.337696	0.212768	0.51	0.9105	-0.2055	0	107	246	3
2026-02-12	14:48:07.910	-47.81	-5.25	217.14	0.155428	-0.349896	0.228628	0.5325	0.915	-0.21	0	107	246	3
2026-02-12	14:48:07.930	-68.075	-19.565	201.11	0.09394	-0.373564	0.282796	0.561	0.9255	-0.2145	0	107	246	3
2026-02-12	14:48:07.950	-78.61	-31.885	181.37	0.029768	-0.463112	0.359412	0.5805	0.924	-0.198	0	107	246	3
2026-02-12	14:48:07.970	-83.37	-40.74	165.76	-0.017568	-0.567788	0.354776	0.582	0.9255	-0.198	0	107	246	3
2026-02-12	14:48:07.990	-80.01	-44.905	146.615	-0.118828	-0.485316	0.278648	0.591	0.936	-0.1815	0	107	246	3
2026-02-12	14:48:08.010	-73.08	-51.73	118.265	-0.168848	-0.466284	0.287676	0.591	0.936	-0.1815	0	129	266	3
2026-02-12	14:48:08.030	-78.995	-58.66	101.64	-0.16104	-0.595848	0.2684	0.6105	0.9405	-0.186	0	129	266	3
2026-02-12	14:48:08.050	-93.17	-63.42	86.03	-0.190808	-0.69784	0.21838	0.615	0.948	-0.174	0	129	266	3
2026-02-12	14:48:08.070	-84.385	-64.575	71.4	-0.2257	-0.768112	0.279136	0.6165	0.9615	-0.1575	0	129	266	3
2026-02-12	14:48:08.090	-73.01	-64.785	62.195	-0.242048	-0.718336	0.358436	0.615	0.963	-0.1545	0	129	266	3
2026-02-12	14:48:08.110	-87.64	-60.095	53.655	-0.283528	-0.722972	0.354532	0.615	0.96	-0.156	0	129	266	3
2026-02-12	14:48:08.130	-108.57	-57.54	45.01	-0.290604	-0.741028	0.304024	0.624	0.981	-0.1455	0	129	266	3
2026-02-12	14:48:08.150	-99.575	-54.53	24.885	-0.2562	-0.6222	0.330376	0.6165	0.9825	-0.141	0	129	266	3
2026-02-12	14:48:08.170	-100.905	-47.88	11.305	-0.269376	-0.622688	0.338428	0.6195	0.993	-0.1245	0	129	266	3
2026-02-12	14:48:08.190	-131.39	-42.035	11.095	-0.250344	-0.974292	0.23546	0.6135	1.0035	-0.123	0	129	266	3
2026-02-12	14:48:06.210	-7.595	-0.28	-2.1	1.004304	-0.005368	0.203008	0.1395	0.6675	-0.105	0	272	186	2
2026-02-12	14:48:06.230	-15.54	1.12	-4.025	0.989664	-0.004148	0.200812	0.144	0.663	-0.1155	0	272	186	2
2026-02-12	14:48:06.250	-20.86	2.31	-5.46	0.982588	-0.031232	0.185928	0.1395	0.669	-0.1155	0	272	186	2
2026-02-12	14:48:06.270	-22.89	2.695	-6.055	0.97722	-0.0061	0.174216	0.141	0.675	-0.114	0	272	186	2
2026-02-12	14:48:06.290	-26.635	2.17	-6.16	0.981856	-0.026108	0.17568	0.141	0.663	-0.1065	0	272	186	2
