yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:07:01.610	4.76	-2.03	5.985	-0.282796	0.443348	0.873032	0.0765	-0.6645	0.6705	0	58	889	1
2026-02-12	16:07:01.630	3.465	-4.445	6.65	-0.29524	0.447496	0.875228	0.069	-0.6645	0.6675	0	58	889	1
2026-02-12	16:07:01.650	2.625	-6.685	6.895	-0.283772	0.457988	0.888648	0.069	-0.6675	0.663	0	58	889	1
2026-02-12	16:07:01.670	0.84	-6.3	5.705	-0.283528	0.454084	0.877424	0.0735	-0.675	0.6675	0	58	889	1
2026-02-12	16:07:01.690	-0.14	-7.35	4.235	-0.274012	0.460672	0.872056	0.075	-0.681	0.669	0	58	889	1
2026-02-12	16:07:01.710	0.105	-8.155	3.255	-0.260104	0.46116	0.888892	0.0705	-0.6765	0.6615	0	58	889	1
2026-02-12	16:07:01.730	0.84	-5.705	2.94	-0.247172	0.472384	0.881816	0.0705	-0.6735	0.6615	0	58	889	1
2026-02-12	16:07:01.750	1.925	-3.325	1.19	-0.244732	0.468968	0.878156	0.072	-0.675	0.66	0	58	889	1
2026-02-12	16:07:01.770	0.035	-1.05	-0.98	-0.24644	0.45628	0.877668	0.072	-0.6705	0.654	0	58	889	1
2026-02-12	16:07:01.790	-2.975	0.7	-0.14	-0.22936	0.464332	0.88572	0.069	-0.669	0.6555	0	58	889	1
2026-02-12	16:07:01.810	-0.385	4.025	0.175	-0.22692	0.458476	0.88816	0.066	-0.6675	0.663	0	53	890	1
2026-02-12	16:07:01.830	2.59	7.14	-0.84	-0.243756	0.463844	0.868152	0.069	-0.6675	0.6615	0	53	890	1
2026-02-12	16:07:01.850	2.975	5.88	0.07	-0.256688	0.458476	0.859368	0.0675	-0.6705	0.654	0	53	890	1
2026-02-12	16:07:01.870	3.64	3.465	1.645	-0.258152	0.456036	0.884256	0.069	-0.6675	0.657	0	53	890	1
2026-02-12	16:07:01.890	2.765	3.955	2.485	-0.27328	0.466284	0.871324	0.0705	-0.6675	0.6615	0	53	890	1
2026-02-12	16:07:01.910	1.26	0.875	1.855	-0.282552	0.480436	0.854732	0.063	-0.669	0.663	0	53	890	1
2026-02-12	16:07:01.930	-0.315	-3.675	-0.665	-0.261812	0.447252	0.8906	0.06	-0.672	0.666	0	53	890	1
2026-02-12	16:07:01.950	0.35	-0.945	1.89	-0.265228	0.459208	0.877668	0.063	-0.6765	0.663	0	53	890	1
2026-02-12	16:07:01.970	-0.91	1.645	2.625	-0.253028	0.4575	0.85156	0.06	-0.681	0.6615	0	53	890	1
2026-02-12	16:07:01.990	-4.55	-1.155	3.395	-0.242048	0.449204	0.8723	0.06	-0.6795	0.6615	0	53	890	1
2026-02-12	16:07:02.010	-3.815	-2.275	2.94	-0.250588	0.462136	0.884744	0.057	-0.684	0.6555	0	48	891	1
2026-02-12	16:07:02.030	-0.28	-0.91	2.205	-0.2562	0.45872	0.886452	0.0555	-0.6945	0.6495	0	48	891	1
2026-02-12	16:07:02.050	3.885	-0.945	2.31	-0.268644	0.457256	0.886452	0.057	-0.6975	0.648	0	48	891	1
2026-02-12	16:07:02.070	4.34	-2.17	2.03	-0.272548	0.454084	0.882304	0.054	-0.699	0.6495	0	48	891	1
2026-02-12	16:07:02.090	0.63	-2.8	1.925	-0.25376	0.452376	0.866932	0.048	-0.7005	0.654	0	48	891	1
2026-02-12	16:07:02.110	-1.4	-3.885	2.8	-0.23546	0.45262	0.8845	0.042	-0.7035	0.657	0	48	891	1
2026-02-12	16:07:02.130	-1.575	-0.98	2.765	-0.232532	0.459452	0.891332	0.042	-0.7035	0.657	0	48	891	1
2026-02-12	16:07:02.150	1.19	1.715	1.925	-0.250344	0.447008	0.90036	0.042	-0.705	0.6495	0	48	891	1
2026-02-12	16:07:02.170	0.665	3.29	2.87	-0.27938	0.456036	0.873764	0.0405	-0.708	0.6465	0	48	891	1
2026-02-12	16:07:02.190	-2.87	2.45	3.885	-0.292312	0.459696	0.849608	0.0405	-0.7095	0.6495	0	48	891	1
2026-02-12	16:07:08.210	0.945	-6.58	3.22	-0.241316	0.377956	0.907924	0.0705	-0.699	0.594	0	73	8	2
2026-02-12	16:07:08.230	5.775	-8.995	5.88	-0.223992	0.41358	0.94428	0.0705	-0.696	0.5925	0	73	8	2
2026-02-12	16:07:08.250	19.39	2.52	2.835	-0.207888	0.82594	0.49654	0.0765	-0.693	0.588	0	73	8	2
2026-02-12	16:07:08.270	-5.74	40.285	-10.605	-0.216672	1.110444	-0.006344	-0.243	0.345	2.145	0	73	8	2
2026-02-12	16:07:08.290	-17.535	20.79	-16.135	-0.19276	0.999424	-0.116876	-0.252	0.3375	2.1375	0	73	8	2
2026-02-12	16:07:08.310	-2.065	-6.055	-11.095	-0.07076	0.931592	-0.017812	-0.2595	0.3495	2.1135	0	73	8	2
2026-02-12	16:07:08.330	13.93	6.93	7.91	-0.134688	1.135088	0.017568	-0.264	0.3645	2.121	0	73	8	2
2026-02-12	16:07:08.350	15.61	25.06	0.84	-0.233752	1.100196	0.062464	-0.2655	0.3645	2.1555	0	73	8	2
2026-02-12	16:07:08.370	17.22	34.405	-3.045	-0.282308	1.20414	-0.070516	-0.267	0.3525	2.1945	0	73	8	2
2026-02-12	16:07:08.390	21.245	20.02	-22.05	-0.293288	1.18584	-0.001952	-0.2595	0.3285	2.226	0	73	8	2
2026-02-12	16:07:08.410	10.99	9.94	-46.62	-0.258152	1.070428	-0.064416	-0.255	0.3285	2.259	0	215	20	2
2026-02-12	16:07:08.430	5.88	6.58	-44.485	-0.135176	1.021872	-0.049288	-0.255	0.336	2.283	0	215	20	2
2026-02-12	16:07:08.450	7.525	5.81	-34.335	-0.097112	0.970144	-0.0244	-0.252	0.3405	2.2845	0	215	20	2
2026-02-12	16:07:08.470	4.865	5.74	-26.635	-0.095648	1.00284	-0.03416	-0.267	0.3405	2.307	0	215	20	2
2026-02-12	16:07:08.490	5.95	5.635	-19.53	-0.140544	1.055056	-0.035136	-0.2625	0.3465	2.3085	0	215	20	2
2026-02-12	16:07:08.510	10.605	10.85	-6.58	-0.21838	1.064328	0.064416	-0.252	0.3525	2.3295	0	215	20	2
2026-02-12	16:07:08.530	2.975	26.18	-2.52	-0.279136	1.130452	0.074908	-0.2325	0.36	2.3565	0	215	20	2
2026-02-12	16:07:08.550	2.345	26.74	-15.645	-0.213744	1.206824	0.002196	-0.207	0.3465	2.37	0	215	20	2
2026-02-12	16:07:08.570	20.44	21.595	-26.495	-0.237412	1.168516	0.07124799	-0.1905	0.342	2.3865	0	215	20	2
2026-02-12	16:07:08.590	23.905	40.215	-13.86	-0.239852	1.25294	0.190564	-0.162	0.339	2.439	0	215	20	2
2026-02-12	16:07:08.610	18.865	62.265	-25.2	-0.31354	1.3664	0.022936	-0.1455	0.306	2.481	0	343	23	3
2026-02-12	16:07:08.630	13.51	43.505	-62.615	-0.305	1.3664	0.060512	-0.123	0.2835	2.508	0	343	23	3
2026-02-12	16:07:08.650	19.005	27.09	-97.195	-0.193492	1.144116	0.09028	-0.111	0.2535	2.5425	0	343	23	3
2026-02-12	16:07:08.670	24.675	28.385	-105.7	-0.116632	1.068232	0.014884	-0.1155	0.2625	2.5635	0	343	23	3
2026-02-12	16:07:08.690	42.14	36.96	-87.955	-0.189832	1.025532	0.033916	-0.126	0.2655	2.589	0	343	23	3
2026-02-12	16:07:08.710	52.815	38.99	-78.61	-0.249368	1.068964	-0.052704	-0.135	0.2715	2.616	0	343	23	3
2026-02-12	16:07:08.730	48.755	28.21	-82.04	-0.242536	0.895968	-0.037332	-0.1335	0.2835	2.6325	0	343	23	3
2026-02-12	16:07:08.750	28.315	22.715	-80.01	-0.291824	0.999912	0.002928	-0.126	0.2895	2.6745	0	343	23	3
2026-02-12	16:07:08.770	25.865	22.645	-98.91	-0.364536	1.108004	-0.0183	-0.111	0.2805	2.739	0	343	23	3
2026-02-12	16:07:08.790	32.06	23.8	-118.475	-0.364292	1.032364	-0.04514	-0.09	0.2745	2.7795	0	343	23	3
2026-02-12	16:07:08.810	31.395	33.46	-134.295	-0.396744	0.816668	-0.020008	-0.0585	0.294	2.811	0	427	20	3
2026-02-12	16:07:08.830	27.44	49.245	-131.53	-0.389424	0.650016	-0.114924	-0.0435	0.3285	2.829	0	427	20	3
2026-02-12	16:07:08.850	29.715	49.28	-116.62	-0.404552	0.623176	-0.163724	-0.0435	0.3285	2.829	0	427	20	3
2026-02-12	16:07:08.870	71.47	37.31	-99.61	-0.450424	0.658312	-0.211792	-0.063	0.333	2.871	0	427	20	3
2026-02-12	16:07:08.890	87.85	34.37	-77.805	-0.468968	0.721752	-0.255956	-0.063	0.333	2.871	0	427	20	3
2026-02-12	16:07:08.910	91.665	32.445	-72.625	-0.537044	0.479216	-0.281576	-0.0315	0.273	2.913	0	427	20	3
2026-02-12	16:07:08.930	100.52	26.6	-46.025	-0.552904	0.644892	-0.312564	0.0195	0.1545	2.9925	0	427	20	3
2026-02-12	16:07:08.950	86.625	6.23	-38.57	-0.516548	0.571448	-0.376492	0.06	0.0015	3.048	0	427	20	3
2026-02-12	16:07:08.970	91.49	-16.065	-40.705	-0.582672	0.281088	-0.252052	0.114	-0.1965	3.0645	0	427	20	3
2026-02-12	16:07:08.990	72.975	-7	-20.23	-0.658312	0.098088	-0.151768	0.177	-0.435	3.0135	0	427	20	3
2026-02-12	16:07:09.010	19.775	23.765	-2.275	-0.771528	-0.016348	-0.133712	0.2205	-0.7035	2.811	0	473	3	2
2026-02-12	16:07:09.030	-73.885	76.37	30.52	-0.669292	0.303292	-0.328912	0.228	-0.9225	2.382	0	473	3	2
2026-02-12	16:07:09.050	-172.69	125.3	53.27	-0.547292	0.461892	-0.582184	0.2145	-1.0095	1.818	0	473	3	2
2026-02-12	16:07:09.070	-218.47	129.465	70	-0.634156	0.762988	-0.659288	0.2115	-0.966	1.308	0	473	3	2
2026-02-12	16:07:09.090	-236.53	95.235	53.375	-0.736148	1.088728	-0.153964	0.2325	-0.8385	0.9525	0	473	3	2
2026-02-12	16:07:09.110	-233.695	128.555	30.835	-0.772748	1.508408	-0.167872	0.2685	-0.693	0.744	0	473	3	2
2026-02-12	16:07:09.130	-237.65	169.785	8.68	-0.536312	1.079944	-0.087108	0.3	-0.573	0.6315	0	473	3	2
2026-02-12	16:07:09.150	-213.43	183.295	32.235	-0.43554	1.052128	-0.407724	0.321	-0.48	0.573	0	473	3	2
2026-02-12	16:07:09.170	-173.005	151.48	48.23	-0.43798	1.38714	0.122732	0.339	-0.4155	0.552	0	473	3	2
2026-02-12	16:07:09.190	-138.495	151.235	-8.26	-0.348188	1.28344	0.21838	0.351	-0.372	0.555	0	473	3	2
2026-02-12	16:07:09.210	-95.97	122.08	-22.295	-0.291824	1.27124	-0.244244	0.3645	-0.336	0.558	0	493	49	3
2026-02-12	16:07:09.230	-55.86	84.49	-37.87	-0.228384	1.524024	-0.081496	0.372	-0.3165	0.5625	0	493	49	3
2026-02-12	16:07:09.250	-25.55	71.995	-113.96	-0.264252	1.17364	0.122	0.3825	-0.3105	0.579	0	493	49	3
2026-02-12	16:07:09.270	-22.225	74.375	-138.355	-0.180072	0.78324	0.179828	0.405	-0.297	0.5955	0	493	49	3
2026-02-12	16:07:09.290	-24.115	99.54	-93.345	-0.120048	0.975756	-0.133468	0.426	-0.2835	0.6045	0	493	49	3
2026-02-12	16:07:09.310	-23.31	92.155	-91.84	-0.160552	1.224392	-0.221552	0.45	-0.27	0.615	0	493	49	3
2026-02-12	16:07:09.330	1.785	67.34	-143.36	-0.288164	0.965752	-0.088328	0.471	-0.2625	0.624	0	493	49	3
2026-02-12	16:07:09.350	-3.045	51.03	-156.94	-0.319152	0.519964	0.092476	0.495	-0.2535	0.6315	0	493	49	3
2026-02-12	16:07:09.370	-22.015	65.415	-120.54	-0.31598	0.32208	0.174948	0.5145	-0.243	0.6375	0	493	49	3
2026-02-12	16:07:09.390	-36.82	102.55	-74.34	-0.28426	0.376492	-0.001708	0.5145	-0.243	0.6375	0	493	49	3
2026-02-12	16:07:09.410	-45.395	118.58	-54.005	-0.28182	0.506544	-0.1952	0.5145	-0.243	0.6375	0	499	79	3
