yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:07:01.610	11.795	0.175	1.82	0.96258	-0.222284	0.232044	0.078	0.6405	-0.2445	0	244	218	2
2026-02-12	16:07:01.630	11.2	0.21	2.59	0.959164	-0.210816	0.22936	0.0735	0.636	-0.246	0	244	218	2
2026-02-12	16:07:01.650	10.22	0.175	2.73	0.960872	-0.213988	0.223748	0.078	0.636	-0.24	0	244	218	2
2026-02-12	16:07:01.670	9.59	0.14	2.38	0.957944	-0.204472	0.224236	0.069	0.6285	-0.2415	0	244	218	2
2026-02-12	16:07:01.690	8.26	-0.035	1.68	0.956236	-0.20252	0.219844	0.0795	0.6315	-0.243	0	244	218	2
2026-02-12	16:07:01.710	6.79	-0.14	0.91	0.952088	-0.203496	0.22082	0.0735	0.6375	-0.249	0	244	218	2
2026-02-12	16:07:01.730	4.795	-0.315	-0.07	0.955016	-0.20374	0.217648	0.075	0.6345	-0.2445	0	244	218	2
2026-02-12	16:07:01.750	3.955	-0.385	-0.385	0.956724	-0.208864	0.218624	0.0795	0.636	-0.2415	0	244	218	2
2026-02-12	16:07:01.770	3.605	-0.49	-0.525	0.956236	-0.213988	0.217404	0.0795	0.6375	-0.246	0	244	218	2
2026-02-12	16:07:01.790	3.71	-0.63	-0.455	0.961848	-0.210816	0.22082	0.0705	0.6345	-0.2475	0	244	218	2
2026-02-12	16:07:01.810	3.745	-0.7	-0.42	0.961848	-0.212036	0.220088	0.0675	0.633	-0.243	0	219	222	2
2026-02-12	16:07:01.830	3.57	-0.84	-0.245	0.962092	-0.212768	0.219356	0.078	0.642	-0.246	0	219	222	2
2026-02-12	16:07:01.850	3.395	-0.875	-0.175	0.962336	-0.213744	0.224724	0.072	0.636	-0.2475	0	219	222	2
2026-02-12	16:07:01.870	3.15	-0.875	-0.035	0.954528	-0.2135	0.224968	0.0735	0.633	-0.243	0	219	222	2
2026-02-12	16:07:01.890	2.975	-0.945	0.035	0.955016	-0.213988	0.224236	0.075	0.633	-0.2385	0	219	222	2
2026-02-12	16:07:01.910	3.115	-1.05	0	0.944524	-0.215208	0.226676	0.0705	0.63	-0.2415	0	219	222	2
2026-02-12	16:07:01.930	4.655	-1.19	0.035	0.92232	-0.216672	0.237656	0.075	0.636	-0.2415	0	219	222	2
2026-02-12	16:07:01.950	6.055	-1.75	0.07	1.002596	-0.223748	0.234484	0.075	0.636	-0.2415	0	219	222	2
2026-02-12	16:07:01.970	5.915	-0.49	-0.07	0.977952	-0.216428	0.24034	0.075	0.636	-0.2415	0	219	222	2
2026-02-12	16:07:01.990	5.53	0.21	-0.49	0.964288	-0.210328	0.244488	0.075	0.633	-0.2415	0	219	222	2
2026-02-12	16:07:02.010	4.2	0.42	-0.035	0.960872	-0.205692	0.23668	0.078	0.633	-0.2445	0	195	224	2
2026-02-12	16:07:02.030	2.345	0.665	0.525	0.964532	-0.208376	0.22326	0.081	0.636	-0.2505	0	195	224	2
2026-02-12	16:07:02.050	0.77	0.98	0.735	0.958432	-0.205448	0.219356	0.081	0.636	-0.249	0	195	224	2
2026-02-12	16:07:02.070	0.07	0.91	0.525	0.954528	-0.208864	0.219112	0.0765	0.639	-0.252	0	195	224	2
2026-02-12	16:07:02.090	-0.49	0.77	0.035	0.961604	-0.211304	0.21472	0.0735	0.6315	-0.249	0	195	224	2
2026-02-12	16:07:02.110	-1.96	0.84	-0.455	0.966484	-0.217648	0.206424	0.0765	0.6255	-0.2475	0	195	224	2
2026-02-12	16:07:02.130	-3.745	0.84	-0.945	0.96868	-0.218868	0.20618	0.0795	0.633	-0.2415	0	195	224	2
2026-02-12	16:07:02.150	-5.32	0.735	-1.085	0.953796	-0.22326	0.211548	0.075	0.624	-0.2535	0	195	224	2
2026-02-12	16:07:02.170	-5.775	0.42	-0.595	0.952576	-0.220332	0.21594	0.0765	0.63	-0.2505	0	195	224	2
2026-02-12	16:07:02.190	-5.495	0.14	-0.21	0.953064	-0.216184	0.225212	0.075	0.6315	-0.246	0	195	224	2
2026-02-12	16:07:02.210	-4.585	0.07	-0.14	0.958676	-0.212768	0.233264	0.075	0.63	-0.2445	0	171	225	2
2026-02-12	16:07:02.230	-3.36	0.14	-0.245	0.959164	-0.214476	0.242536	0.0795	0.633	-0.2445	0	171	225	2
2026-02-12	16:07:02.250	-3.045	0.07	-0.28	0.961848	-0.212768	0.246196	0.0765	0.6315	-0.24	0	171	225	2
2026-02-12	16:07:02.270	-3.22	0.035	-0.28	0.961116	-0.20984	0.248636	0.075	0.6375	-0.246	0	171	225	2
2026-02-12	16:07:02.290	-3.535	0.14	-0.315	0.960872	-0.217404	0.247904	0.0825	0.6285	-0.2385	0	171	225	2
2026-02-12	16:07:02.310	-3.395	0.385	-0.315	0.953796	-0.224968	0.239852	0.0765	0.636	-0.2475	0	171	225	2
