yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	16:07:01.610	-39.41	0.91	25.2	1.005768	0.300608	0.090036	-0.273	-0.243	0.3405	0	352	161	2
2026-02-12	16:07:01.630	-36.365	1.4	25.585	1.005768	0.271816	0.100284	-0.276	-0.2445	0.336	0	352	161	2
2026-02-12	16:07:01.650	-27.265	2.695	25.06	0.98576	0.251076	0.11224	-0.2835	-0.243	0.333	0	352	161	2
2026-02-12	16:07:01.670	-15.33	3.64	23.45	0.972828	0.24888	0.117608	-0.285	-0.237	0.33	0	352	161	2
2026-02-12	16:07:01.690	-2.555	3.99	20.3	0.970144	0.264496	0.116876	-0.2865	-0.2355	0.3285	0	352	161	2
2026-02-12	16:07:01.710	5.355	3.675	16.345	0.9699	0.284748	0.11346	-0.291	-0.237	0.327	0	352	161	2
2026-02-12	16:07:01.730	6.93	3.15	12.985	0.963312	0.294508	0.110288	-0.288	-0.231	0.33	0	352	161	2
2026-02-12	16:07:01.750	5.845	2.345	9.415	0.953796	0.300608	0.102236	-0.2925	-0.234	0.336	0	352	161	2
2026-02-12	16:07:01.770	2.31	1.12	6.09	0.9516	0.29646	0.102236	-0.291	-0.2295	0.3255	0	352	161	2
2026-02-12	16:07:01.790	-1.575	-0.175	3.115	0.95526	0.287432	0.111508	-0.2925	-0.222	0.3315	0	352	161	2
2026-02-12	16:07:01.810	-4.41	-1.33	1.015	0.967948	0.28182	0.114436	-0.291	-0.231	0.3285	0	321	158	2
2026-02-12	16:07:01.830	-5.18	-2.1	0	0.97234	0.277184	0.114436	-0.291	-0.2265	0.333	0	321	158	2
2026-02-12	16:07:01.850	-4.025	-2.45	-0.28	0.97356	0.271328	0.115656	-0.2955	-0.228	0.3315	0	321	158	2
2026-02-12	16:07:01.870	-1.54	-2.695	-0.42	0.966728	0.268156	0.117608	-0.294	-0.216	0.3285	0	321	158	2
2026-02-12	16:07:01.890	1.26	-2.8	-0.455	0.964044	0.268644	0.114436	-0.297	-0.2265	0.3225	0	321	158	2
2026-02-12	16:07:01.910	3.36	-3.01	-0.63	0.969412	0.274256	0.119072	-0.303	-0.2235	0.321	0	321	158	2
2026-02-12	16:07:01.930	4.62	-3.15	-0.945	0.97112	0.274988	0.118828	-0.2985	-0.225	0.33	0	321	158	2
2026-02-12	16:07:01.950	5.04	-3.185	-1.715	0.964776	0.27938	0.125904	-0.297	-0.2235	0.3315	0	321	158	2
2026-02-12	16:07:01.970	4.62	-3.745	-3.5	0.957456	0.278648	0.13054	-0.2895	-0.222	0.3315	0	321	158	2
2026-02-12	16:07:01.990	3.955	-4.235	-5.04	0.959164	0.275476	0.126636	-0.2955	-0.2265	0.33	0	321	158	2
2026-02-12	16:07:02.010	3.045	-4.76	-6.545	0.965996	0.27328	0.131028	-0.297	-0.228	0.3285	0	291	151	2
2026-02-12	16:07:02.030	1.715	-5.355	-7.735	0.965508	0.275232	0.134932	-0.294	-0.225	0.33	0	291	151	2
2026-02-12	16:07:02.050	-0.035	-5.985	-8.435	0.965264	0.279136	0.141032	-0.2955	-0.2265	0.333	0	291	151	2
2026-02-12	16:07:02.070	-2.38	-6.615	-8.89	0.965752	0.272304	0.142252	-0.2865	-0.231	0.33	0	291	151	2
2026-02-12	16:07:02.090	-4.935	-7.245	-8.925	0.967948	0.271084	0.146156	-0.2865	-0.228	0.333	0	291	151	2
2026-02-12	16:07:02.110	-7.28	-7.735	-8.61	0.966484	0.2684	0.15128	-0.282	-0.2325	0.339	0	291	151	2
2026-02-12	16:07:02.130	-9.66	-7.91	-7.98	0.964288	0.269132	0.151524	-0.2865	-0.2355	0.336	0	291	151	2
2026-02-12	16:07:02.150	-12.74	-7.945	-6.93	0.968924	0.260592	0.161528	-0.2835	-0.234	0.342	0	291	151	2
2026-02-12	16:07:02.170	-14.84	-7.77	-5.705	0.96624	0.253272	0.165676	-0.2955	-0.2325	0.333	0	291	151	2
2026-02-12	16:07:02.190	-14.875	-7.35	-4.41	0.973072	0.249368	0.173728	-0.288	-0.2295	0.342	0	291	151	2
2026-02-12	16:07:02.210	-13.79	-6.37	-3.115	0.971364	0.247416	0.176412	-0.288	-0.234	0.3315	0	260	146	2
2026-02-12	16:07:02.230	-12.95	-4.9	-1.715	0.976488	0.249856	0.167384	-0.288	-0.2415	0.339	0	260	146	2
2026-02-12	16:07:02.250	-13.16	-3.745	-1.19	0.990396	0.253516	0.149328	-0.288	-0.2415	0.339	0	260	146	2
2026-02-12	16:07:02.270	-14.315	-3.115	-1.26	0.991128	0.25864	0.142008	-0.2835	-0.237	0.3345	0	260	146	2
2026-02-12	16:07:02.290	-16.065	-3.29	-1.96	0.9882	0.255468	0.14152	-0.2835	-0.2325	0.333	0	260	146	2
2026-02-12	16:07:02.310	-17.255	-3.57	-2.975	0.975512	0.254492	0.147864	-0.2865	-0.231	0.3315	0	260	146	2
2026-02-12	16:07:02.330	-17.01	-3.64	-4.235	0.969412	0.25498	0.139568	-0.282	-0.237	0.3285	0	260	146	2
2026-02-12	16:07:02.350	-16.065	-2.975	-5.145	0.968924	0.252052	0.125416	-0.2805	-0.24	0.327	0	260	146	2
2026-02-12	16:07:02.370	-14.49	-1.645	-5.495	0.963312	0.251808	0.117852	-0.285	-0.2355	0.321	0	260	146	2
2026-02-12	16:07:02.390	-12.53	-0.21	-5.32	0.962824	0.24888	0.118828	-0.285	-0.2355	0.321	0	260	146	2
2026-02-12	16:07:02.410	-9.695	1.295	-4.725	0.95038	0.246684	0.124684	-0.2805	-0.2385	0.324	0	230	144	2
2026-02-12	16:07:02.430	-5.88	2.485	-3.64	0.949404	0.244976	0.124684	-0.2835	-0.234	0.321	0	230	144	2
2026-02-12	16:07:02.450	-1.89	3.57	-2.38	0.948672	0.25254	0.120536	-0.2895	-0.234	0.3165	0	230	144	2
2026-02-12	16:07:02.470	0.84	4.48	-1.085	0.946964	0.262544	0.124196	-0.288	-0.237	0.321	0	230	144	2
2026-02-12	16:07:02.490	2.135	5.355	0.175	0.954284	0.268888	0.123708	-0.2925	-0.237	0.3225	0	230	144	2
2026-02-12	16:07:02.510	3.36	6.51	1.68	0.968924	0.271572	0.122488	-0.2955	-0.2385	0.3195	0	230	144	2
2026-02-12	16:07:02.530	4.76	7.14	2.1	0.972828	0.269864	0.12078	-0.2955	-0.2385	0.3195	0	230	144	2
2026-02-12	16:07:02.550	7	7.35	2.1	0.983808	0.276208	0.11834	-0.282	-0.2385	0.315	0	230	144	2
2026-02-12	16:07:02.570	9.24	7.175	1.085	0.982832	0.279624	0.120048	-0.285	-0.2445	0.327	0	230	144	2
2026-02-12	16:07:02.590	10.5	6.685	-0.315	0.978928	0.283284	0.116876	-0.2835	-0.231	0.3195	0	230	144	2
2026-02-12	16:07:02.610	10.465	5.705	-2.205	0.980148	0.2867	0.11834	-0.282	-0.234	0.3225	0	202	142	2
2026-02-12	16:07:02.630	8.89	4.585	-4.025	0.971364	0.285968	0.114924	-0.279	-0.234	0.324	0	202	142	2
2026-02-12	16:07:02.650	6.335	3.29	-5.635	0.965752	0.28426	0.116632	-0.2835	-0.231	0.3195	0	202	142	2
2026-02-12	16:07:02.670	3.36	1.855	-7	0.965752	0.281332	0.11712	-0.288	-0.237	0.318	0	202	142	2
2026-02-12	16:07:02.690	0.875	0.77	-7.56	0.962336	0.271816	0.118584	-0.285	-0.243	0.324	0	202	142	2
2026-02-12	16:07:02.710	-0.455	0	-7.56	0.964288	0.263276	0.11834	-0.285	-0.243	0.3255	0	202	142	2
2026-02-12	16:07:02.730	-0.665	-0.42	-6.895	0.959164	0.262544	0.120048	-0.288	-0.243	0.321	0	202	142	2
2026-02-12	16:07:02.750	-0.14	-0.665	-5.81	0.956724	0.259128	0.121024	-0.285	-0.243	0.3195	0	202	142	2
2026-02-12	16:07:02.770	1.05	-0.735	-4.2	0.957456	0.2562	0.125172	-0.279	-0.246	0.3225	0	202	142	2
2026-02-12	16:07:02.790	2.275	-0.7	-2.59	0.961116	0.255956	0.128344	-0.279	-0.249	0.3255	0	202	142	2
2026-02-12	16:07:02.810	3.29	-0.735	-1.33	0.958676	0.263032	0.126636	-0.279	-0.2415	0.321	0	176	138	2
2026-02-12	16:07:02.830	4.095	-0.805	-0.21	0.961604	0.264984	0.13176	-0.2745	-0.2415	0.3195	0	176	138	2
2026-02-12	16:07:02.850	4.655	-0.875	0.595	0.96502	0.263764	0.129076	-0.285	-0.2415	0.3255	0	176	138	2
2026-02-12	16:07:02.870	4.725	-1.085	1.12	0.963556	0.26962	0.131028	-0.282	-0.2415	0.324	0	176	138	2
2026-02-12	16:07:02.890	4.34	-1.435	1.26	0.957944	0.277184	0.132248	-0.285	-0.246	0.3255	0	176	138	2
2026-02-12	16:07:02.910	3.255	-1.89	1.4	0.965996	0.281576	0.141032	-0.282	-0.2415	0.3195	0	176	138	2
2026-02-12	16:07:02.930	1.82	-2.275	1.435	0.961848	0.2806	0.145668	-0.2775	-0.243	0.3255	0	176	138	2
2026-02-12	16:07:02.950	0.7	-2.52	1.575	0.966728	0.281576	0.142008	-0.2805	-0.2505	0.3225	0	176	138	2
2026-02-12	16:07:02.970	0.035	-2.275	1.75	0.962336	0.28182	0.150304	-0.2865	-0.2355	0.3255	0	176	138	2
2026-02-12	16:07:02.990	0.035	-2.065	2.065	0.957212	0.282308	0.152256	-0.285	-0.243	0.3315	0	176	138	2
2026-02-12	16:07:03.010	0.175	-1.89	2.17	0.956236	0.281088	0.15006	-0.2835	-0.2415	0.3285	0	153	136	2
2026-02-12	16:07:03.030	0.28	-1.75	2.135	0.954772	0.28426	0.15372	-0.2865	-0.2415	0.324	0	153	136	2
2026-02-12	16:07:03.050	0.385	-1.295	2.17	0.966728	0.287676	0.156892	-0.276	-0.2385	0.3285	0	153	136	2
2026-02-12	16:07:03.070	0.595	-0.77	2.345	0.972828	0.28792	0.151036	-0.282	-0.2385	0.327	0	153	136	2
2026-02-12	16:07:03.090	0.875	-0.245	2.38	0.969168	0.29036	0.153232	-0.285	-0.24	0.3255	0	153	136	2
2026-02-12	16:07:03.110	0.105	0.07	2.17	0.960872	0.293288	0.155184	-0.285	-0.2415	0.33	0	153	136	2
2026-02-12	16:07:03.130	-0.525	0.21	1.505	0.955992	0.2867	0.152744	-0.285	-0.2385	0.333	0	153	136	2
2026-02-12	16:07:03.150	-1.225	0.175	0.63	0.957944	0.291336	0.150792	-0.282	-0.2355	0.3315	0	153	136	2
2026-02-12	16:07:03.170	-1.995	0.385	-0.07	0.962336	0.287676	0.147864	-0.285	-0.24	0.33	0	153	136	2
2026-02-12	16:07:03.190	-2.66	0.945	-0.595	0.962824	0.288896	0.147864	-0.288	-0.237	0.33	0	153	136	2
2026-02-12	16:07:03.210	-3.29	1.575	-0.7	0.96868	0.284992	0.143228	-0.285	-0.2415	0.3225	0	132	136	2
2026-02-12	16:07:03.230	-2.975	2.24	-0.595	0.968924	0.27938	0.142984	-0.2835	-0.2415	0.321	0	132	136	2
2026-02-12	16:07:03.250	-1.505	2.73	-0.56	0.968924	0.275964	0.133712	-0.2775	-0.2415	0.33	0	132	136	2
2026-02-12	16:07:03.270	0.245	2.905	-0.7	0.965264	0.275476	0.129808	-0.282	-0.243	0.318	0	132	136	2
2026-02-12	16:07:03.290	1.05	2.835	-1.05	0.965752	0.279868	0.12932	-0.2865	-0.243	0.3285	0	132	136	2
2026-02-12	16:07:03.310	0.56	2.485	-1.54	0.967704	0.278648	0.126148	-0.282	-0.2475	0.324	0	132	136	2
2026-02-12	16:07:03.330	-0.49	1.89	-1.925	0.972096	0.280112	0.123952	-0.282	-0.2475	0.324	0	132	136	2
2026-02-12	16:07:03.350	-1.05	1.47	-2.205	0.962092	0.27206	0.12078	-0.282	-0.246	0.324	0	132	136	2
2026-02-12	16:07:03.370	-1.365	0.84	-2.45	0.959164	0.274012	0.121756	-0.2805	-0.243	0.3195	0	132	136	2
2026-02-12	16:07:03.390	-1.75	0.21	-2.555	0.962824	0.269132	0.121756	-0.282	-0.2385	0.321	0	132	136	2
2026-02-12	16:07:03.410	-2.135	-0.28	-2.485	0.96258	0.273524	0.122976	-0.2805	-0.24	0.327	0	115	138	2
2026-02-12	16:07:03.430	-2.45	-0.595	-2.065	0.959164	0.271816	0.124196	-0.2805	-0.237	0.3255	0	115	138	2
2026-02-12	16:07:03.450	-2.485	-0.77	-1.575	0.961116	0.266692	0.127856	-0.2835	-0.2385	0.3255	0	115	138	2
2026-02-12	16:07:03.470	-2.03	-0.735	-1.155	0.959164	0.268156	0.130784	-0.285	-0.2445	0.3225	0	115	138	2
2026-02-12	16:07:03.490	-1.505	-0.77	-0.84	0.959164	0.266936	0.13054	-0.285	-0.237	0.318	0	115	138	2
2026-02-12	16:07:03.510	-1.05	-0.77	-0.7	0.96014	0.26962	0.132492	-0.2865	-0.237	0.321	0	115	138	2
2026-02-12	16:07:03.530	-0.875	-0.84	-0.665	0.964532	0.274012	0.134688	-0.288	-0.24	0.3225	0	115	138	2
